en	es	fr	it	de	nl	sv	fi	ru	cs	hu	tr	mk	id	bg	ca	da	et	he	no	pl	pt	ro	sk	sl	uk	el	hr
ability	habilidad	capacités	abilità	fähigkeit	vaardigheden	förmågan	kyky	способность	schopnost	képessége	yeteneğin	способноста	kemampuan	способноста	habilitat	evne	võimet	היכולת	evne	zdolności	habilidade	abilitatea	schopnosť	sposobnosti	здатність	ικανότητα	sposobnost
mechanism	mecanismo	mécanisme	meccanismo	mechanismus	mechanisme	mekanismerna	mekanismi	механизма	mechanismus	mechanizmus	mekanizmada	механизамот	mekanisme	механизма	mecanisme	mekanismerne	mehhanism	מנגנון	virkningsmekanismen	mechanizm	mecanismo	mecanism	mechanizmus	mehanizem	механізм	μηχανισμού	mehanizam	
medication	medicación	médicamenteux	farmaci	medikamentös	medicatie	läkemedelsbehandling	lääkehoitoa	лечение	antidepresiva	gyógyszeres	tedaviyi	лекови	antihipertensi	медикаменти	medicació	kræftpatienter	ravimid	תרופות	antibiotikabehandling	leczenie	medicação	medicamente	liekmi	zdravljenje	медикаментозне	ενδοφλέβιας	lijekovi	
money	dinero	rembourser	denaro	geld	geld	pengar	rahaa	денег	peníze	pénzt	parayı	пари	uang	парите	diners	penge	raha	כספים	penger	pieniądze	dinheiro	bani	peniaze	denarja	гроші	χρήματα	novca	
mountain	montaña	montagne	montagna	gebirgsstock	berg	berg	vuori	горы	hory	hegy	dağ	планине	pegunungan	планината	muntanya	bjergene	mägedes	ההר	fjellene	górskie	montanha	muntele	pohoria	gorski	гірський	βουνό	planina	
movement	movimiento	mouvement	movimento	bewegung	beweging	rörelsen	liikkeen	движения	hnutí	mozgalma	hareketi	движење	gerakan	движение	moviment	bevægelse	liikumine	התנועה	bevegelse	ruch	movimento	mișcarea	hnutie	gibanje	рух	κίνημα	pokreta	
movie	película	film	film	film	film	filmen	elokuva	фильм	filmu	film	filmi	филмот	film	филм	pel·lícula	filmen	filmi	סרט	filmen	film	filme	film	film 	film	фільм	ταινία	film	
music	música	musique	musica	musik	muziek	musik	musiikki	музыки	hudby	zene	müzik	музика	musik	музика	música	musik	jazzmuusika	מוזיקה	musikk	muzyki	música	muzică	hudobne	glasbo	музики	μουσική	glazbeni	
nation	nación	nation	nazione	nation	natie	nationen	kansakunnan	нации	národ	nemzet	ulusun	нација	negara	нация	nació	nation	rahvusriik	והאומות	nasjonen	narodu	nação	națiune	súštátia	držav,	нації	έθνος	nacija	
news	noticias	news	news	news	nieuws	nyhetssändningar	uutiset	новостей	zpravodajství	hír	haber	вести	berita	новини	notícies	nyheder	uudisteportaal	חדשותיים	nyheter	news	notícias	știri	spravodajstvo	novice	новини	ειδήσεις	vijesti	
noise	ruido	bruit	rumore	geräuschen	geluidssignaal	högtalarna	äänenvoimakkuus	шумом	slyšitelné	zaj	gürültüyü	звука	bising	трептене	soroll	støj	müra	רעש	støyen	hałas	ruído	zgomot	zvuku	zvok	шум	θόρυβο	zvuke	
obligation	obligación	obligation	obblighi	pflichten	verplichting	förpliktelse	velvollisuus	обязательство	povinnost	kötelesrész	yükümlülüğünü	обврска	kewajiban	задължените	obligació	forpligtelse	kohustus	והחובה	forpliktelse	obowiązek	obrigação	obligația	povinnosť	obveznosti	зобов	υποχρέωση	obvezuje	
pain	dolor	douleur	dolore	schmerz	pijn	smärta	kipuja	боль	bolest	fájdalom	ağrılar	болка	penderitanya	болка	dolor	smerte	valu	עוויתות	smerter	ból	dor	dureri	bolesti	bolečin	біль	πόνο	bol	
personality	personalidad	égocentrique	personalità	persönlichkeit	persoonlijkheid	personlighet	persoonallisuus	личностные	osobnost	személyiség	mizahçı	личност	kepribadian	личност	personalitat	personlighed	isiksus	ואישיות	personlighet	osobowość	personalidade	personalitatea	osobnosť	osebnost	особистості	προσωπικότητα	osobnosti	
philosophy	filosofía	philosophie	filosofia	philosophie	filosofie	filosofi	filosofia	философии	filozofie	filozófia	felsefe	филозофија	filsafat	философия	filosofia	filosofi	religioonifilosoofia	פילוסופיה	filosofi	filozofii	filosofia	filosofie	filozofiu,	filozofijo	філософія	φιλοσοφία	filozofije	
picture	foto	photo	foto	bild	filmposter	bilden	kuvan	изображение»	fotografii	fénykép	fotoğraf	слика	picture	снимката	fotograma	billede	pildi	התמונה	bildet	zdjęcie	foto	imagine	fotoalbum	sliko	зображення	φωτογραφία	slike	
pig	cerdo	cochon	maiale	schwein	varken	kyckling	lammas	свиной	vepř	disznó	domuz	свиња	kelinci	крава	porc	fårekylling	veiseliha	חזיר	gris	pies	porco	vițel	zvieratko	prašička	свині	χοίρος	svinje	
plan	plan	plan	pianifica	plan	plan	plan	suunnitelma	план	plán	tervet	planı	план	rencana	плановете	planejament	plan	plaan	תוכניתו	planen	plan	plano	planul	plán	načrt	план	σχέδιο	plan	
plant	planta	plantes	piante	pflanze	plant	växterna	kasvi	растений	rostlinka	növény	bitki	растенија	tumbuhan	растения	plantes	plantefrø	taimeõli	צמחים	planteforedling	rośliny	plantas	plante	rastlina	rastlina	рослини	φυτού	biljka	
play	jugar	jouer	giocare	mitspielen	spelen	spela	pelata	играть	hrát	játszani	oynamak	играј	bermain	играе	jugar	spille	mängi	לשחק	spille	zagrać	jogar	juca	hrať	igra	грати	παίξει	igrati	
pleasure	placer	plaisir	piacere	vergnügen	plezieren	behag	mielihyvä	удовольствия	potěšení	élvezet	zevkler	задоволство	kesenangan	удоволствие	plaer	fornøjelse	nauding	והנאה	glede	przyjemności	prazer	plăcerea	pôžitok	sočutje	насолоди	απόλαυση	užitak	
poor	pobre	pauvres	scarsa	schlechte	slechte	dåliga	huono	плохое	špatné	rossz	yoksul	сиромашните	buruk	недобро	pobre	dårlige	halb	גרוע	dårlig	niedostatecznej	pobre	sărace	nezdravé	slabo	поганий	κακή	siromašna	
prison	prisión	prison	carcere	gefängnis	gevangenis	fängelset	vankilatuomio	тюрьмы	vězení	börtönt	hapis	затвор	penjara	затвор	presó	fængsel	vanglas	בכלא	fengselet	więzienia	prisão	închisoare	väzenia	zapora	ув	φυλακή	zatvor	
professional	profesional	professionnel	professionistico	professioneller	professionele	professionella	ammattilaistasolla	профессиональная	profesionální	profi	profesyonel	професионален	profesional	професионален	professional	professionel	professionaalne	מקצועי	profesjonell	profesjonalny	profissional	profesionist	profesionálny	profesionalni	професійний	επαγγελματική	profesionalni	
protection	protección	protection	protezione	schutz	bescherming	skydd	suoja	защиты	ochranu	védelme	koruma	заштита	perlindungan	защита	protecció	beskyttelse	kaitse	הגנה	beskyttelse	ochrona	proteção	protecția	ochranu	varovanje	захисту	προστασία	zaštitu	
quality	calidad	qualité	qualità	qualität	kwaliteit	kvalitet	laatu	качество	kvalita	minősége	kalitesi	квалитет	kualitas	качество	qualitat	kvalitet	kvaliteet	איכות	kvalitet	jakość	qualidade	calitatea	kvalita	kakovost	якість	ποιότητα	kvaliteta	
reaction	reacción	réaction	reazione	reaktion	reactie	reaktion	reaktio	реакция	reakce	reakció	reaksiyonu	реакција	reaksi	реакция	reacció	reaktion	redoksreaktsioon	תגובה	reaksjonen	reakcja	reação	reacția	reakcia	reakcijo	реакція	αντίδραση	reakcija	
read	leer	lire	leggerlo	lesen	lezen	läsa	kirjoita	прочитать	číst	olvasnod	okumam	прочиташ	membaca	прочете	llegir	læse	lugege	לקרוא	lese	przeczytać	ler	citit	prečítať	napisat	прочитати	διαβάσω	pročitati	
relationship	relación	relation	relazione	beziehung	relatie	relationen	suhde	взаимоотношения	vztah	kapcsolatuk	ilişki	односи	hubungan	взаимоотношенията	relació	forholdet	suhted	יחסים	forholdet	relacje	relacionamento	relație	vzťahy	odnosi	стосунки	σχέσεις	odnos	
religious	religiosa	religieux	religiosi	religiöse	religieuze	religiösa	uskonnollinen	религиозных	náboženské	vallási	dini	религиозус	keagamaan	религиозни	religiosos	religiøse	religioosselt	דתי	religiøs	religijne	religiosa	religioase	náboženské	verske	релігійні	θρησκευτική	vjerski	
residence	residencia	résidence	residenza	wohnsitz	verblijfplaats	bostad	residenssi	резиденции	rezidence	rezidencia	ikametgâhı	престојувалиште	kediaman	резиденция	residència	embedsbolig	suveresidents	מגורים	residensen	mieszkanie	residência	locuință	rezidencie	prebivališče	резиденції	κατοικία	rezidenciju	
road	carretera	route	strada	road	asfaltweg	landsvägen	tie	шоссе	silnici	út	karayolunu	автопатот	jalan	пътят	carretera	landevejen	maantee	כביש	sykkelveien	droga	estrada	drum	križovatke	cesta	дорога	δρόμος	cesta	
sad	triste	triste	triste	traurig	droevige	sorgen	surullinen	грустно	smutno	szomorú	seveceksen	младеновац	perasaanku	мързелград	avergonyeix	sorgløs	kurb	עצוב	hviskende	smutno	triste	naša	„túžim	će	горя	λυπηρό	ljubiš	
science	ciencia	science	scienza	science	wetenschap	naturvetenskap	ihmistieteiden	науки	vědy	tudomány	bilim	наука	sains	наукознание	ciència	naturvidenskab	bioloogiateaduste	מדע	vitenskap	naukoznawstwa	ciência	știință	vedu	znanost	науки	επιστήμη	znanosti	
seafood	mariscos	légumes	pesce	meeresfrüchten	zeevruchten	fiskmjöl	ruokakaloja	морепродуктов	potravina	halételek	lokantaları	јадења	seafood	зеленчуци	marisc	fiskeprodukter	kalatoitude	ומאכלי	sjømat	mięs	mariscos	mâncăruri	zeleniny	zelenjave	морепродуктів	κρέας	školjkaše	
sell	vender	vendre	vendere	verkaufen	verkopen	sälja	myydä	продать	prodat	értékesíteni	satmak	продадат	menjual	продават	vendre	sælge	müüa	למכור	selge	sprzedać	vender	cumpăra	predať	prodajat	продати	αγοράσει	prodati	
sew	tejer	tricoter	cucire	nähen	naaien	fläta	kenkiä	вышивкой	vyšívání	varrni	dikişsiz	ткае	menjahit	обуват	brodar	syer	õmmelda	לתפור	tøy	bieliznę	costurar	cusut	ručne	oblekico	шити	χαρτωσιά	skuhati	
sexy	sexy	sexy	sexy	sexy	sexy	sexiga	seksikäs	блондинки	sexy	szexi	seksi	танцувај	girly	секси	sexy	sexede	blondie	מצחיקונת	sexy	sexy	sexy	sexy	twiggy	videospotu	легковажна	σέξι	sexy	
shape	aplanada	aplati	forma	aussehen	druppelvormige	cirkelrund	pyöreämuotoinen	очертания	tvar	alakú	şekil	правоаголната	bentuknya	елипсовидна	allargada	ellipseformet	kujult	צורת	vinkelformet	kształt	achatada	dimensiunile	tvaru	podolgovate	форму	σχήμα	zakrivljenost	
ship	buque	navire	nave	schiff	schip	fartyget	aluksen	корабль	loď	hajó	gemi	бродо	kapal	кораб –	vaixell	skibet	laev	ספינות	skipet	okręt	navio	navă	loď	ladja	корабель	πλοίο	brod	
show	show	show	show	show	show	showen	show	шоу	show	show	şovu	„шоуто	show	шоуто	show	showet	show	הריאליטי	showet	show	show	show	show	oddaji	шоу	παρουσιάση	show	
sign	firmar	signe	firmare	unterschreiben	onderteken	avsiktsförklaring	merkki	подписать	podepsat	aláírásban	imzalamak	потпишете	menanda	подписа	signar	underskrive	märgin	לחתום	signere	znak	assinar	semnele	podpíšte	znak	підписатися	υπογραφή	potpis	
silly	ridículo	stupide	assurda	lächerlich	kinderachtig	tycker	ihan	смешно	tohle	vicces	söylemiyorum	глупаво	卐	недоумявам	divertit	@madglad	nojah	טיפשי	intetsigende	głupie	brincadeira	repet	drzý	ponavljam	дурниці	καταλαβαίνεις	bezveze	
sin	pecado	sin	peccato	sin	sin	gudomen	syntisen	грех	hříchu	sin	sin	гревот	sin	греха	sin	gud	pattu	כפרת	synden	grzechu	sin	dumnezeul	odpusť	laž	гріх	γχβχ	dušu	
skin	piel	peau	pelle	haut	huid	huden	iho	кожи	kůže	bőr	deride	кожата	kulitnya	кожата	pell	hud	nahk	העור	hud	skóry	pele	pielii	pokožky	kože	шкіри	δέρμα	kože	
smart	inteligente	smart	smart	smart	slimme	smart	puhelias	умный	smart	okos	akıllı	сурфејс	pintar	смарт	intel·ligent	smart	kasutajasõbralik	חכם	smarttelefon	inteligentne	inteligente	inteligent	kdevelop	brezžično	планшетний	έξυπνου	firewire	
smiling	sonriendo	souriant	sorridente	lächelnd	glimlachend	förtjusande	hymyilee	улыбается	políbil	mosolyog	gülümser	насмеан	tersenyum	усмихва	somrient	smilende	kõndima	מחייך	smilende	uśmiechnięty	sorridente	zâmbit	pozeraj	zasmehuje	цілує	χαμογελάει	nasmijao	
solution	solución	solution	soluzione	lösung	oplossing	lösning	ratkaisu	оптимально	řešení	megoldás	çözüm	решениа	solusi	разтворимостта	solució	løsning	lahendus	פתרון	løsning	rozwiązanie	solução	soluție	riešenie	rešitev	оптимальне	λύση	rješavamo	
soul	soul	soul	anima	seele	ziel	soul	sielun	души	duše	lélek	ruhunda	душа	soul	душата	ànima	sjæl	hinges	ונשמה	sjel	soul	alma	sufletul	dušu	dušo	душі	ψυχή	duše	
sound	sonido	sonore	suono	sound	geluid	ljudbild	äänimaailma	звук	zvuk	hangzás	ses	звук	sound	звук	so	lyd	heli	צליל	lyd	dźwięk	som	sunet	zvuk	zvok	звук	ήχο	zvuk	
spoke	habló	parlait	parlava	sprach	sprak	talade	puhui	говорил	mluvil	beszélt	konuşuyordu	зборувал	berbicara	говорило	parlava	talte	rääkis	דיבר	snakket	mówił	falava	vorbit	hovoril	govoril	говорив	μιλούσε	govorio	
star	estrella	étoiles	stella	stern	sterren	stjärna	tähti	звездой	hvězdy	csillagpor	yıldızı	ѕвезда	star	звезда	estrella	stjerne	täht	כוכב	stjerne	gwiazda	estrela	star	hviezda	zvezdo,	зірка	αστέρα»	zvijezda	
student	estudiante	étudiante	studente	student	student	studenter	opiskelija	преподавателей	studentů	diák	öğrenci	студент	mahasiswinya	студенти	estudiants	lærerstuderende	õpilasesinduse	סטודנטים	pedagogstudentene	studentów	estudante	studenție	študentov	študent	студент	μαθητές/φοιτητές	student	
stupid	estúpido	stupide	stupido	dämlich	onbenullig	tröttsamt	naurettava	смешно	tohle	nevetséges	beğenmiyorum	глупав	bodoh	глупави	estúpid	tåbe	tahagi	טיפשי	dumt	głupi	estúpido	prostul	drzý	neumen	образливо	καταλαβαίνεις	shvaćaš	
successful	exitoso	réussie	successo	erfolgreiche	succesvolle	framgångsrika	menestyksekäs	успешными	úspěšné	sikeres	başarılı	успешни	sukses	успешни	èxit	succesfulde	edukas	כמוצלחת	vellykkede	sukcesem	êxito	succes	úspešný	uspešna	успішними	επιτυχημένη	uspješan	
sugar	azúcar	sucre	zucchero	zucker	suiker	socker	sokerijuurikasta	какао	vanilky	gyümölcslé	şeker	шеќер	gula	захар	sucre	sukker	suhkrupeet	סוכר	sukker	cukru	açúcar	zahăr	liehovín	sladkorja	цукру	ζαχαροκάλαμα	šećera	
suspect	sospecho	soupçonne	sospetta	verdächtig	verdacht	misstänker	epäile	подозревается	podezřele	gyanús	şüphelisi	посомневаат	mencurigai	подозирам	sospitat	mistænke	kahtlustan	חושד	mistenker	podejrzenia	suspeito	suspectez	nedozvie	ugotoviš	підозрює	παρεπιμπτόντως	sumnji	
table	tabla	table	tabella	tabelle	tabel	tabell	taulukon	таблицу	tabulky	táblázat	sütunundaki	табелата	tabel	таблица	taula	tabel	tabel	טבלה	tabellene	tabelce	tabela	tabelul	tabuľky	tabeli	таблицею	πίνακα	tablicu	
taste	sabor	goût	gusto	geschmack	smaak	smak	maku	вкус	chuť	íz	lezzette	вкус	citarasanya	вкус	gust	smag	maitse	טעם	smak	smaku	paladar	gust	chuť	okus	смак	γεύση	svježem	
team	equipo	équipe	squadra	team	team	team	joukkue	команда	tým	csapat	takımken	тим	team	отбора	equip	teamteam	meeskondb	ביורובאסקט	team	drużyna	equipe	echipă	tím	ekipa	команда	πρωτάθλημα_	momčad	
texture	textura	texture	morbidezza	textur	textuur	färgnyanser	värisävy	текстуру	textura	textúra	yumuşaklık	текстура	tekstur	текстура	textura	farveflader	tekstuur	ומרקם	porøs	tekstury	textura	textură	jemnozrnné	finozrnato	текстуру	υφή	teksture	
time	tiempo	temps	tempo	zeit	tijd	tid	aikaa	времени	čas	idő	zamanı	време	waktu	време	temps	tid	aeg	זמן	tid	czasu	tempo	perioadă	čas	čas	але	διάστημμα	vrijeme	
tool	herramienta	outil	tool	werkzeug	tool	verktyg	työkalu	инструмент	nástroj	eszköz	önyükleme	алатка	debugging	автоматизиране	eina	værktøj	tööriistaks	ככלי	verktøy	narzędzie	ferramenta	unealtă	pl/sql	orodje	інструмент	εργαλείο	alat	
toy	juguete	jouet	giocattolo	spielzeug	speelgoedauto	leksaken	nukkeanimaatio	игрушечный	hračku	rajzfilmfigura	oyuncak	штрумфета	mainan	играчки	joguines	legetøjsbiler	mänguautomaadi	צעצוע	leketøy	zabawka	brinquedo	jucărie	batman	igračo	іграшкові	βιντεοπαιχνίδια	igračaka	
tree	árbol	arbre	albero	baum	boom	träd	köynnöskasvi	дерево	stromu	fák	ağacı	дрво	pohon	дървета	arbre	træet	puu	עץ	treet	drzewa	árvore	copac	stromu	dreves	дерево	δέντρο	stablo	
trial	juicio	procès	imputato	anklage	vrijgesproken	rättegången	oikeudenkäynti	приговора	obžalobě	vádlottakat	yargılanmasının	судење	pengadilannya	обвинение	judici	retssagen	kohtuotsuse	משפטו	rettssaken	wyrok	julgamento	rejudecare	obžalobe	obsodba	обвинуваченого	δίκη	suđenje	
tried	intentó	essayé	tentato	versuchte	probeerde	försökte	yritti	пытался	pokusil	megpróbálta	suçluyordu	обидел	mencoba	опитвал	intentar	prøvede	üritas	ניסה	prøvde	próbował	tentou	încercat	pokúsil	poskušal	спробував	προσπάθησε	pokušao	
typical	típico	typique	tipicamente	typische	typische	typiska	tyypillinen	типично	typické	tipikus	tipik	типично	mirip	типично	típic	typiske	tüüpiline	אופייני	typisk	typowe	típico	tipic	typické	tipične	характерний	συνηθισμένο	karakteristično	
unaware	sabiendo	persuadé	ignaro	überrascht	beseft	misstänker	tietää	понимает	neprozradí	összezavarja	bilmiyordur	сознава	mengetahui	разбира	assabentant	overbevidst	teadnudki	משוכנע	innser	dowiaduje	sabendo	crezând	nedozvie	prepričana	здогадується	εκμυστηρευτεί	otkrije	
usable	utilizable	utilisable	utilizzabile	verwendbar	bruikbaar	användbart	käyttökelpoista	использований	použitelné	felhasználható	kullanılabilecek	употребливи	dibutuhkan	използваема	utilitzable	brugbart	kasutuskõlblik	זמינים	gjenbrukbart	użyteczne	utilizável	reutilizabil	použiteľné	neuporabno	потрібні	επαναχρησιμοποιήσιμο	dostupni	
useless	inútil	inutile	inutile	unnütz	nutteloos	meningslös	tarpeeton	бесполезна	nepoužitelné	értelmetlen	gereksiz	непотребни	wikirusak	безполезна	innecessària	ubrugeligt	mõttetu	מיותר	unødvendig	bezużyteczne	inútil	inutilă	nepoužiteľné	neuporabna	непотрібні	άχρηστο	nepotreban	
vacation	vacaciones	vacances	vacanza	urlaub	vakantie	semester	lomalle	каникулы	prázdninové	nyaralni	tatil	одмор	liburan	почивка	vacances	ferie	suvepäevad	חופשה	ferietur	wakacje	férias	vacanță	výlet	počitnice	канікули	διακοπές	odmor	
war	guerra	guerre	guerra	krieg	oorlog	kriget	sodan	войны	války	háború	savaşı	војна	perang	война	guerra	krigen	sõda	מלחמת	krigen	wojny	guerra	război	vojny	vojno,	війни	πόλεμο	rata	
wash	limpiarse	laver	lavare	waschen	insmeren	tvättas	kuivataan	мыть	vysušit	tisztítani	yıkamak	измие	mencucinya	налива	rentar	vaske	mõdu	מטפטפים	vaske	mycia	lavar	spălând	čistiť	čistilih	миття	στεγνώσει	čistimo	
weak	débil	faibles	debole	schwache	zwakke	svaga	heikko	слабые	slabé	gyenge	zayıf	слаба	kuat	слаба	feble	svag	tugev	חלש	svak	słabe	fraco	slab	slabé	močna	слабкий	ισχυρή	slab	
wear	vestir	vêtement	indossare	kopfbedeckungen	gedragen	bära	päähine	носить	nosit	viselni	giyerler	облекуваат	mengenakan	носенето	vestir	iføre	riietuda	ללבוש	antrekk	noszono	vestir	purtau	odevy	obleči	носити	φορούν	nositi	
weather	meteorológicas	météo	meteo	wetter	weersomstandigheden	väder	sää	погоды	počasí	időjárás	fırtınaları	врнежи	cuaca	метеорологични	meteorològiques	vejr	niiske	מזג	vær	pogodowe	meteorológicas	meteo	počasia	vremenski	погодні	καιρικές	meteorološki	
willingly	voluntariamente	refusant	inconsapevolmente	bereitwillig	onderdanig	hämnas	tahtomattaan	желает	dobrovolně	megbánja	yalvararak	покајува	bersedia	разубеждава	voluntàriament	godvilligt	pahatahtlikult	יבגוד	motvillig	dobrowolnie	relutantemente	pedepsească	poslúchnuť	obljubiti	бажаючи	πείθοντάς	svojevoljno	
word	palabra	mot	parola	wort	woord	ordet	sana	слово	slovo	szót	kelime	зборои	kata	думата	paraula	ord	sõna	המילה	ordet	słowa	palavra	cuvântul	slovo	besede	слово	λέξη	riječi	
