ability	{'способности', 'правоспособност', 'умение', 'кадърност_ло́вкост', 'вещина́', 'способността', 'пригодност', 'способност'}
drink	{'lil_jon', 'питие', 'гълтане', 'пи́я', 'преглъщане', 'пиене', 'пиянство', 'питие́', 'пие', 'boozing', 'годен_за_пиене', 'лил_джон', 'напитка', 'алкохолни_напитки', 'напи́тка', 'напитки', 'пия'}
driver	{'иглолистни_гори', 'шофьо́р', 'гори', 'шофьори_на_камиони', 'шофьор_на_камион', 'driver', 'оси', 'номер_едно_дърво', 'драйвер_за_принтер', 'драйвер', 'пилот', 'драйвър', 'съчетано_ос', 'водач', 'драйвери_на_устройства', 'шофьор_камион', 'лес', 'управление_на_тежкотоварни_камиони', 'шофьор', 'задвижващите_колела', 'камиони_шофиране', 'гората', 'иглолистна_гора', 'cowcatcher', 'гора', 'шофьорът', 'драйвер_на_устройство', 'съчетани_колела', 'driver:_san_francisco', 'задвижващо_колело'}
dry	{'суша', 'изсъхне', 'stypsis', 'привърженик_на_сухия_режим', 'сух', 'плодове', 'баланс', 'dry', 'тялото', 'изсушавам', 'minerality'}
dull	{'скучен', 'глу́пав', 'тъп', 'отегчителен'}
dust	{'атмосферен_прах', 'ангелски_прах', 'бърша_прах', 'pekoe', 'вавилон_5', 'развалини', 'разпръскам', 'прах', 'fannings', 'разпилея', 'разпръсквам', 'фенциклидин_хидрохлорид', 'отломки', 'babylon_5', 'оранжево_pekoe', 'разнеса', 'фенциклидин', 'разнасям', 'баластра', 'разпилявам', 'висококачествен_черен_чай', 'orange_pekoe', 'прашина', 'dust'}
ear	{'ухото', 'ушите', 'клас', 'вътрешно_ухо', 'връх', 'ушна́_ми́да', 'pinnae', 'човешкото_ухо', 'ухото_разлагане', 'ухо', 'ушната_мида', 'уши'}
earth	{'суша', '⊕', 'magrathea', 'сушата', 'синята_планета', 'lamuella', 'заземяване', 'заземявам', 'електрически_земята', 'dragon_ball', 'andrómeda', 'земята', 'земя', 'земното_загриженост', 'светски_загриженост', 'brontitall', '♁', 'околоземна_орбита', 'golgafrincham', 'sonic_the_hedgehog', 'солидна_основа', 'земно_кълбо', 'earth', 'земя́', 'свят', 'milliways', 'земна_ос', 'saiyan', 'андромеда', 'света', 'ace_combat', 'земна_маса', 'krikkit', 'гея'}
eat	{'ядене', 'храня́', 'ям', 'хранене', 'eat', 'храня_се'}
economy	{'иконо́мика', 'икономическата_активност', 'политически_икономист', 'политикономика', 'спестяване', 'икономическа_структура', 'стопановед', 'политическата_икономия', 'икономическа_наука', 'economy', 'политическа_икономика', 'икономическата_система', 'стопанска_наука', 'икономическата_наука', 'националната_икономика', 'икономически_системи', 'политикономист', 'иконо́мия', 'икономия', 'стопански_науки', 'икономики', 'реалната_икономика', 'икономика', 'икономическа_активност', 'икономическа_теория', 'политикономия', 'политически_икономика', 'икономическа_система', 'спестовност', 'икономисване', 'икономически', 'икономическата_теория', 'walden', 'спестяванията', 'икономическа', 'селската_икономика', 'пестеливост', 'стопанство', 'икономиката', 'политическа_икономия', 'уолдън', 'икономическите_системи', 'икономическо', 'икономикс'}
egg	{'цел_phasmatodea', 'цел_phasmida', 'osi', 'яйцеклетките', 'яйцеклетки', 'отворен_модел_за_връзка_между_мрежови_системи', 'семенници', 'egg', 'топки', 'глупости', 'мъди', 'phasmatodea', 'овален', 'пръчици', 'тестис', 'тестиси', 'яйце', 'ташак', 'кокоше_яйце', 'производство_на_яйца', 'osi_модел', 'гнида', 'овал', 'елиптични', 'слабини', 'модела_osi', 'phasmida', 'яйцеклетка', 'елипса', 'семенник', 'яйца', 'ballock', 'teste', 'тестисите'}
election	{'съперници', 'електоралната_политика', 'избори', 'демократично_избран', 'изборите', 'лист_на_изборите', 'и́збори', 'лист_избори', 'преизбиране', 'election', 'договор_за_патентно_коопериране', 'избор', 'изборния_процес'}
electron	{'електрони', 'negatron', 'electron', 'електрон'}
elegance	{'изи́сканост', 'красота', 'karlgeorg_hoefer', 'декоративни', 'елега́нтност', 'прелестен', 'елегантност', 'математически_красота', 'класическа_красота', 'математическа_елегантност'}
emotion	{'емоционалност', 'емоции', 'human_after_all', 'чу́вство', 'емоционалните', 'човешка_емоция', 'емо́ция', 'emotion', 'емоция', 'вълнение'}
emotionally	{'емоционалност', 'емоции', 'чу́вство', 'емоционалните', 'човешка_емоция', 'емо́ция', 'емоция', 'вълнение'}
engine	{'двигател_жп', 'мотор', 'жп_локомотив', 'локомотив_на_двигателя', 'двигатели', 'engine', 'двигател_видео_игра', 'локомотиви', 'компилатор_за_компютърни_игри', 'ray_alder', 'електровоз', 'motor', '3d_двигател', 'видео_игра_на_двигателя', 'двигател', 'локомотив', 'двигателя'}
english	{'león_bloy', 'американски_английски_език', 'english', 'американски_английски', 'en', 'american_english', 'английска_филология', 'английския_народ', 'английски', 'ейдън_инглиш', 'англичанка', 'ейден_инглиш', 'англичанин', 'англичани', 'английският_език', 'англи́йски', 'англича́нин', 'английски_език', 'англича́нка', 'англичаните', 'американски_език', 'английски_проучвания'}
event	{'съби́тие', 'слушател', 'удар', 'манипулатор_на_събитие', 'ефект', 'събитие', 'програмно_събитие', 'последица', 'случай', 'резултат', 'следствие', 'последствие', 'натискане_на_бутон'}
experiment	{'експерименти', 'експериментиране', 'експериментират', 'експериментална_наука', 'експериментирам', 'експерименталната_наука', 'експеримент', 'the_experiment', 'experiment', 'експериментален_метод', 'експериментални_изследвания', 'експерименталната_група', 'опит', 'научен_експеримент'}
extremely	{'изключително', 'крайно'}
eye	{'окото', 'средата', 'eyewall', 'oculus', 'око', 'очите', 'пъпка', 'център', 'окулус', 'очна_ябълка', 'eye', 'пъпки', 'the_eye', 'оптичен', 'ухо', 'окули', 'очи', 'зрителен_орган'}
fall	{'падане', 'падението_на_човека', 'падна', 'есен', 'упадък', 'полумрак', 'сумрак', 'астрономическия_полумрак', 'привечер', 'су́мрак', 'предаване', 'есента', 'evenfall', 'спадам', 'здрач', 'спадна', 'падам', 'нанадолнище', 'склон', 'намаля', 'слизащата', 'намалявам', 'е́сен', 'gloam', 'намаляват', 'след', 'па́дам', 'капитулация', 'crepuscle', 'залеза_и_изгрева', 'наклон', 'западане', 'natalia_lesz', 'надвечер', 'свечеряване', 'crepuscule', 'падат', 'падането_на_нощта', 'the_fall', 'падне'}
far	{'дале́ч', 'въоръжени_сили_на_куба', 'далеч', 'далечен', 'дале́че', 'отдалечен', 'дале́чен', 'интерахамве', 'far', 'армия_за_освобождение_на_руанда', 'бивши_въоръжените_сили', 'interahamwe', 'alir'}
fat	{'тлъстина́', 'мазнина', 'тлъстина', 'stypsis', 'липиди', 'adiposis', 'триглицерид', 'lipide', 'плодове', 'липид', 'мазнина́', 'пълен', 'тялото', 'мазнини', 'триацилглицерид', 'лой', 'minerality', 'таблица_за_разположението_на_файловете', 'мастната', 'пълнота', 'дебел', 'сало', 'fat', 'мастната_тъкан', 'наднормено_тегло', 'баланс', 'lipoid', 'glycerolipid', 'мастна_тъкан', 'fat32'}
father	{'църквата_отец', 'католически_свещеник', 'та́тко', 'отец', 'римски_католически_свещеник', 'създател', 'доктор_на_църквата', 'предприемачеството', 'бащата_на_църквата', 'предприемачество', 'отец-бог', 'сериен_предприемач', 'татко', 'мъжки_родител', 'за', 'баща́', 'отец_на_църквата', 'отци_на_църквата', 'предприемачи', 'тате', 'католически_свещеници', 'предприемачески', 'предприемаческия_дух', 'предприемач', 'съосновател', 'the_gift', 'свещеник', 'бог_отец', 'учител_на_църквата', 'предприемаческа_дейност', 'бог', 'begetter', 'родител', 'учители_на_църквата', 'биологичен_баща', 'родоначалник', 'father', 'баща', 'основател'}
fear	{'inside_out', 'отвътре_навън', 'мерилиън', 'шубе_ме_е', 'fear', 'опасение', 'безпокойство', 'страх', 'фиър', 'страхопочитание', 'уплаха', 'тревога', 'боязън', 'страхувам_се', 'плаша_се', 'благоговение', 'шубе', 'притеснение', 'боя_се', 'marillion', 'страхове', 'ужасявам_се', 'грижа', 'страхуват'}
feather	{'перушина', 'пера', 'barbule', 'оперение', 'перо̀', 'filoplume', 'перо'}
feeling	{'чувството_за_допир', 'чувства', 'чу́вство', 'тактилна_обратна_връзка', 'допир', 'докосване', 'соматосензорните', 'понятие', 'интуитивно_усещане', 'чувство', 'дух', 'усещане', 'усет', 'осеза́ние', 'тактилно_усещане', 'соматосензорните_система', 'впечатление', 'тон', 'емоция', 'усещане_при_допир'}
few	{'няколко', 'количество', 'малко'}
fight	{'боря́_се', 'противопостави', 'борба', 'бия_се', 'би́я_се', 'бори', 'въоръжена_борба', 'сражение', 'схватки', 'конкурентоспособността', 'борбата', 'бой', 'би́тка', 'сбиване', 'борба́', 'битки', 'сраже́ние', 'fight', 'бойна_подготовка', 'битка', 'конфликт', 'ангажимент'}
fingernail	{'нокът', 'нокти', 'ноктите', 'но́кът'}
fire	{'пожари', 'fervidness', 'пожа́р', 'tina_barrett', 'изга́рям', 'пожар', 'anarchy', 'нападка', 'камина', 'elp', 'леона_люис', 'уволнявам', 'събуждам', 'леона_луис', 'въодушевление', 'подстрекавам', 'предизвиквам', 'лиона_люис', 'пла́мък', 'освободя', 'стрелям', 'camp_rock_2:_the_final_jam', 'емерсън,_лейк_&_палмър', 'fire', 'емерсън,_лейк_енд_палмър', 'страст', 'ентусиазъм', 'освобождавам', 'fire/jericho', 'emerson,_lake_&_palmer', 'изстрелям', 'плам', 'пламък', 'голям_пожар', 'пламенен', 'уволня', "let's_cheers_to_this", 'kelis_was_here', 'атака', 'изстрелвам', 'жар', 'leona_lewis', 'heartbreak_on_hold', 'предизвикам', 'огън', 'emerson,_lake_and_palmer', 'провокирам', 'уволня́вам', 'усърдие', 'ревност', 'огнище'}
fish	{'дерек_уилям_дик_—_фиш', 'отиди_риба', 'риба', 'млада_змиорка', 'видове_риби', 'fish', 'ловя_риба', 'pisces', 'fingerling', 'рибки', 'гледай_си_работата', 'флуоресцентна_ин_ситу_хибридизация', 'фиш', 'дребна_рибка', 'рибка', 'риби', 'риби_рибите', 'меки_лъчи', 'храна_риба', 'ихтиофауна', 'pterygiophore', 'phish', 'дерек_уилям_дик'}
five	{'петица', 'файв', 'succeeder', 'hollywood_undead', 'пет', 'петима', 'отбор_по_баскетбол', 'sugarcult', 'five', 'малката_фийби', '5', 'achiever', 'числото_пет', 'cinque'}
float	{'числа_с_плаваща_запетая', 'понтон_лодка', 'публично_флоута', 'плаваща_запетая_аритметично', 'плувка', 'фрий-флоут', 'с_плаваща_запетайка', 'дрейфувам', 'фрий_флоут', 'понтон', 'въздушен_мехур', 'нося_се', 'аритметика_с_плаваща_запетая', 'css', 'сладолед_сода', 'ве́я', 'мазач_на_плувка', 'неконтролирано_декомпресия', 'ponton', 'плавам', 'операция_с_плаваща_запетая', 'float', 'каскадни_листа_със_стилове', 'неконтролираното_декомпресия', 'експлозивна_декомпресия', 'сладолед_плувка', 'bobfloat', 'плаваща_запетая', 'ду́хам', 'cascading_style_sheets', 'плавателен_мехур', 'swimbladder'}
flow	{'механиката_на_флуидите', 'хидравлично_налягане', 'обемния_поток', 'тека', 'менструация', 'young_money_entertainment', 'florent_mothe', 'dynamicist_течност', 'дебит', 'динамиката_на_флуидите', 'мрежата', 'течаща', 'скоростта_на_потока', 'хидравлични', 'менструацията', 'потока_мрежа', 'прото-рап', 'поток', 'рапиране', 'рап', 'постоянен_поток', 'хидравлика', 'хидродинамични', 'обемния_дебит', 'увеличаване_път', 'рапъри', 'рапър', 'emceeing', 'менструа́ция', 'gravity_recovery_and_interior_laboratory', 'течност_физика', 'мензис', 'ход', 'flow', 'механика_на_флуидите', 'рап_изпълнител', 'течение', 'хидравлично'}
flower	{'бамби', 'bambi', 'цветя', 'гакт_камуи', 'цъфвам', 'flower', 'цве́те', 'цъфтя', 'цъфтене', 'пъпки', 'цвете', 'гакт', 'gackt', 'набор_плодове', 'цвят', 'цъфтеж', 'epicuticular_восък', 'разцвет', 'цветове', 'play', 'relient_k'}
fly	{'бътерфлай', 'diptera', 'сиара', 'fly', 'хвръкна', 'dipterans', 'истинските_мухи', 'бътерфла́й', 'избягвам', 'двукрили', 'двукрили_насекоми', 'rainfly', 'бягам', 'лети_пред', 'цепка', 'палатка_клапа', 'мухи', 'лети_лист', 'муха', 'палатка_муха', 'литна', 'шлиц', 'лети', 'блесна́', 'хвърча', 'ciara', 'дюкян', 'летя', 'лети_топката'}
fog	{'мрак', 'прикрия', 'забуля', 'мъгла', 'забулвам', 'мъгла́', 'мъглявост', 'мъгла_земята', 'неяснота', 'обърканост', 'прикривам'}
food	{'ядене', 'kirby', 'хранителни_вещества', 'твърда_храна', 'хранителни_продукти', 'макронутриенти', 'храна́', 'храна_за_размисъл', 'интелектуалната_храна', 'храна', 'храни', 'хранително_вещество'}
foot	{'основа', 'метрична_крак', 'човешки_крак', 'пехотинец', 'ванта', 'база', 'шевна_машина', 'стъпало', 'пехотинци', 'пехотен_полк', 'пехота', 'фундамент', 'фут', 'шкотовата', 'метрична_единица', 'пада', 'mainsheet', 'mollusca', 'ходило', 'устройство_на_ветроходно_платно', 'шкот', 'крак', 'тип_mollusca', 'пес', 'животински_крак', 'шевни_машини', 'саван', 'молуски', 'безгръбначни_крак', 'молюски', 'времето_лист', 'мекотели', 'testaria', 'плащам', 'understructure', 'фута', 'подножието', 'метриката_фута', 'лист', 'мекотело'}
forest	{'дървовидна_структура', 'залесявам', 'гори', 'иглолистни_гори', 'дърво', 'корени_дърво', 'форе', 'лес', 'гора́', 'ворст', 'timberland', 'гората', 'forest', 'иглолистна_гора', 'нотингам_форест', 'гора', 'фк_нотингам_форест'}
four	{'succeeder', 'четирима', 'channel_4', 'tetractys', 'forth', 'четири', '4', 'planetary', 'малкия_джо', 'границата', 'four', 'четворка', 'кватернион', 'шест', 'quaternity', 'achiever', 'quatern', 'четворица', 'четири_място', 'четворки'}
freeze	{'замръзвам', 'freeze', 'спиране', 'мраз', 'bloodline', 'замразяване', 'измръзвам', 'замръзна', 'замразявам', 'jordin_sparks', 'замръзване', 'измръзна', 'виси', 'втвърдяване', 'freeez', 'todd_smith', 'прекъсване'}
fruit	{'семена_шушулка', 'fruit', 'stypsis', 'плод', 'плодове', 'баланс', 'тялото', 'minerality'}
full	{'напълнен', 'пълен-на-на-мун', 'препълненiпълен', 'сит', 'пълно_фазата_на_луната', 'нахранен', 'цялостен', 'напълно', 'цял', 'пълнолуние', 'пълен', 'пъ́лен', 'изцяло'}
garbage	{'withering_to_death.', 'боклук', 'отпадъци', 'гарбидж', 'метални_отпадъци', 'отпадък', 'отпадъци_въпрос', 'хранителни_отпадъци', 'отпадъчен_продукт', 'твърди_отпадъци', 'старо_желязо', 'отпадъчните_материали', 'отказвам', 'боклу́к', 'отпа́дък', 'garbage', 'твърди_битови_отпадъци', 'смет', 'битови_отпадъци', 'скрап'}
give	{'посвети', 'предам', 'предавам', 'проваля_се', 'разрушавам_се', 'отдавам', 'pet_your_friends', 'дар', 'хранят', 'връча', 'армаган', 'предоставяне', 'давам', 'сривам_се', 'подарък', 'допринасям', 'поднасям', 'проведе', 'отдам', 'поддам', 'руша_се', 'поднеса', 'дам', 'подавам', 'подарявам', 'подаря', 'срутвам_се', 'даде', 'посвещавам', 'отпускане', 'нахраня', 'нахранвам', 'храня', 'cold', 'срина_се', 'еластичност', 'гиве', 'има', 'провалям_се', 'връчвам', 'посветя', 'допринасят', 'да́вам', 'поддавам', 'подаръци', 'подам', 'the_giver', 'срутя_се'}
gold	{'алфа_софтуер', 'златна_плоча', 'сандя', 'жизнения_цикъл_на_софтуера', 'уона_уан', 'двойно_платинен', 'бета_тестер', 'етап_на_развитие', 'златен_медалист', 'атомен_номер_79', 'кехлибар', 'сребърен_диск', 'златен_сингъл', 'платинени', 'алфа_версия', 'родния_злато', 'gold', 'златен_медал', 'young_lust:_the_aerosmith_anthology', 'бета_версия', 'златен_олимпийски_медал', 'затворената_бета', 'кехлиба́р', 'златен_сертификат', 'платинен_диск', 'сертифициран_златен', 'издание_за_производство', 'софтуера_жизнения_цикъл_освобождаване', 'жила_злато', 'златни_медала', 'e175', 'версия_на_софтуера', 'златен_рекорд', 'мулти-платинени', 'златен_диск', 'алфа_тест', 'release_candidate', 'златен_албум', 'злато', 'бета_тест', 'бета_софтуер', 'the_heist', 'платинен_албум', 'тройна_платина', 'тройно_платинен', 'публична_бета_версия', 'платинен', 'затворена_бета', 'златен', 'au', 'златист', 'за_запис_на_музика_продажби_сертифициране', 'wanna_one', 'bobby_brown', 'предварително_алфа', 'позлата', 'отворен_бета', 'anthology'}
good	{'доброто_и_злото', 'good', 'опитен', 'добродетел', 'търговията_добър', 'стойност', 'достопочтен', 'доброта', 'стоки', 'икономическо_благо', 'добър', 'блага', 'напълно', 'ценност', 'етични_ценности', 'ценности', 'добрина', 'етичните_ценности', 'полезен', 'добро_и_зло', 'комодити', 'стока', 'добро', 'good_music', 'благост', 'добре', 'благо', 'идеал', 'ценностна_система', 'човешките_ценности', 'уважаем'}
grass	{'затревявам', 'eatage', 'гюнтер_вилхелм_grass', 'grass_gis', 'трева_семейство', 'poaceae', 'гюнтер_грас', 'sporobolus_caespitosus', 'семейство_graminaceae', 'graminoid', 'mary_jane', 'günter_grass', 'тревата', 'sess', 'класчета', 'трева', 'хашиш', 'nothing_can_stop_us', 'усещане', 'канабис', 'gramineae', 'зелена_богиня', 'житни', 'skylarking', 'семейство_gramineae', 'треви', 'стоунър', 'билка', 'семейство_poaceae', 'марихуана', 'graminaceae', 'фураж', 'supergrass'}
great	{'величие', 'голям', 'illustriousness', 'велик'}
green	{'позеленявам', 'парк', 'екологично_чисти', 'stypsis', 'парка', 'зелен_цвят', 'зелени', 'листни_зеленчуци', 'плодове', 'green', 'недоразвит', 'смарагд', 'зелена', 'природозащитници', 'екологична_осведоменост', 'зелен_зеленчук', 'опазването_на_природата', 'незрял', 'еколози_движение', 'жълто-зелен', 'природозащитник', 'зелено-жълти_на_цвят', 'зелено!', 'зеленото_движение', 'баланс', 'кели_зелено', 'уилям_green', 'agalev', 'недозрял', 'общ', 'тъмнозелен', 'жълтеникаво-зелено', 'лаборатория', 'екологичното_съзнание', 'jade', 'агалев', 'green_river', 'наивен', 'special_k', 'зелен', 'изумрудено', 'зелени_листни_зеленчуци', 'еколози', 'пускането_повърхност', 'зелено', 'котка_валиум', 'грах_зелен', 'листни_зелени_зеленчуци', 'тялото', 'groen!', 'общините', 'minerality', 'супер_c', 'зеленчуци', 'екологични_активисти', 'опазването_на_околната_среда', 'супер_киселина', 'зеле́н', 'зелени_зеленчуци', 'пътинг_грийн', 'мед_масло', 'камарата_на_общините', 'нефрит_зелено', 'екологична_активност', 'ловец_зелено', 'доверчив', 'зелени_политика', 'зеленина', 'тъмнозелен_цвят', 'шартрьоз', 'зелени!', 'feldgrau', 'william_green', 'тъмно_зелено'}
gun	{'gun', 'педала_газта', 'гън', 'наемен_убиец', 'пистолет_за_наем', 'огнестрелни_оръжия', 'gunslingers', 'грес_пистолет', 'огнестрелно_оръжие', 'стрелецът', 'обстрелвам', 'triggerman', 'стрелец', 'педала_на_газта', 'педал_за_газта', 'gunfighting', 'оръжеен_магазин', 'малки_рамо', 'louder_than_love', 'газ', 'тежко_оръжие', 'малки_оръжия', 'стрелково_оръжие', 'пушка', 'пистолет', 'conventional_weapons', 'убиец'}
guts	{'кура́ж', 'guts', 'храносмилателния_тракт', 'храносмилателната_тръба', 'теория_на_великото_обединение', 'moxie', 'червата', 'велико_обединение', 'смелост_—_храброст_—_мъжество', 'човешкия_стомашно-чревния_тракт', 'чревни', 'горните_отдели_на_стомашно-чревния_тракт', 'черва', 'храносмилателните_органи', 'чаркове', 'храносмилателен_система', 'хра́брост', 'вътрешностите', 'чревния_лумен', 'стомашно-чревния_тракт', 'стомашно-чревни', 'вътрешности', 'смелост', 'храносмилателния_канал', 'сме́лост', 'кураж', 'чревната_лигавица', 'courageousness', 'черво'}
hair	{"hair's-широчината", 'човешки_косъм', 'росер', 'hairsbreadth', 'косми_по_главата', 'човешка_коса', 'косми', 'космат', 'косъм', 'hair', 'окосмяване', 'коса', 'козина'}
hand	{'cordella', 'наддаване', 'горни_крайници', 'ка́рти', 'помощ', 'ръка_за_помощ', 'предам', 'hand', 'предавам', 'ръка', 'връча', 'почерк', 'работник', 'давам', 'мост_плейър', 'ръцете', 'поднасям', 'наемник', 'манус', 'горен_крайник', 'игра_на_карти', 'игри_с_карти', 'нает_човек', 'ръкопляскане', 'brakiri', 'поднеса', 'карти', 'дам', 'dilgar', 'подавам', 'ръка́', 'шепа', 'игра́_на_ка́рти', 'игра_с_карти', 'drazi', 'раздаване', 'аплодисменти', 'подаване_на_ръка_на_някого', 'ръце', 'връчвам', 'скрипт', 'ръкописен_текст', 'да́вам', 'подам', 'system_of_a_down', 'взятка'}
he	{'германий', 'hd_видео', 'хе́лий', 'ge', 'еврейски', 'г', 'иврит', 'he', 'хелий', 'ивритското', 'атомен_номер_32', 'суперфлуид_хелий', 'еврейски_език', 'hans_eworth', 'еврит', 'германиум', 'той', 'атомен_номер_2'}
head	{'преден', 'head', 'хидравлична_глава', 'работодател', 'хидравличен_градиент', 'предводител', 'водач', 'ръководя', 'устройство_на_ветроходно_платно', 'насрещен', 'водя', 'brian_welch', 'училището', 'брайън_уелч', 'нача́лник', 'новина', 'ръководител', 'вестникарска_статия', 'http', 'https', 'статия', 'психиката', 'статия_с_новини', 'chieftainship', 'директора', 'браян_уелч', 'глава', 'главата', 'води', 'http_заявка', 'шеф', 'нос', 'синур', 'ези', 'вожд', 'въпрос', 'престъпен_бос', 'отличен_играч', 'психика', 'лидер', 'кожа_на_барабан', 'ванта', 'манталитет', 'ръководи́тел', 'директор', 'оглавявам', 'pseudanthium', 'вестник_статия', 'даскал', 'hypertext_transfer_protocol', 'шкотовата', 'http_протокол', 'шкот', 'горен', 'мафиотски_бос', 'nous', 'саван', 'племенен_вожд', 'времето_лист', 'началник', 'френска_любов', 'отговарям', 'http/1.1', 'оглавя', 'главата_му', 'орален_секс', 'четене_/_запис_на_главата', 'главницата', 'dirty_mind', 'главатар', 'доведе_история', 'човешкия_ум', 'chieftaincy', 'извор', 'mainsheet', 'челен', 'директорка', 'главен_учител', 'мозък', 'ума', 'ум', 'лист', 'черепен'}
hear	{'чу́вам', 'чувам', 'cлух', 'защита_на_слуха', 'слухови_смисъл', 'човешкия_слух', 'чуя', 'слух', 'видим', 'смисъл_на_слуха', 'фонетична', 'слуховата_модалност', 'слу̀шам'}
heart	{'mindless_self_indulgence', 'сърдечна_камера', 'средата', 'есе́нция', '-същностно', 'philia', 'същност', 'сърцевина', 'човешкото_сърце', 'център', 'екстра́кт', 'есенции', 'съ̀щност', 'сърцето_и_душата', 'темперамент', 'обич', 'ядро', 'привързаност', 'ляво_сърце', 'купа', 'същина́', 'сърцето', 'свръхестествено', 'сърце', 'alexz_johnson', 'heart', 'човешко_сърце'}
heavy	{'те́жък', 'телохрани́тел', 'stypsis', 'тежката', 'непрозра́чен', 'team_fortress_2', 'тежки', 'д-р_хаус', 'heavy.com', 'плодове', 'heavy', 'баланс', 'бодигардове', 'тялото', 'бодигард', 'тежък', 'minerality'}
help	{'южнячки', 'като', 'помо́щник', 'the_help', 'помощ', 'служат', 'съдействие', 'онлайн_помощ', 'богослужение', 'помощник', 'помогне', 'помогна', 'по́мощ', 'помагам', 'асистент', 'полза', 'съде́йствие', 'хуманитарни_работници', 'help!', 'съдействам', 'хуманитарна_помощ', 'асисте́нт', 'облекчение_работник', 'подпомагам'}
here	{'here', 'тук', 'хера', 'hêra', 'тука'}
hit	{'удрям', 'база_хит', 'удар', 'сблъсъци', 'ударя_се', 'посещение', 'удрям_се', 'удари', 'у́дрям', 'улучвам', 'правя', 'сблъсък', 'вкара', 'достигне', 'удря', 'hit', 'ударя', 'hīt', 'бия'}
hold	{'трюм', 'браня', 'арест', 'отбранявам', 'изоставане_във_времето', 'отстоявам', 'подаване_притежава', 'лапи', 'ръкохватка', 'фермата', 'владея', 'спирам', 'важа', 'държи', 'съдебната_ареста', 'контролира', 'отстоя', 'headlock', 'ръкостискане', 'подпирам', 'проведе', 'представяне_притежава', 'katame_waza', 'складова_площ', 'товарното_отделение', 'защитя', 'товарното_пространство', 'задържат', 'защитавам', 'товар_на_палубата', 'резервирам', 'запазя', 'съдържа', 'борба_задръжте', 'даде', 'граплинг_задържане', 'съответствам', 'имам', 'поддържа', 'в_сила_съм', 'съдържам', 'дръжка', 'заемам', 'държа', 'има', 'запазвам', 'задържане', 'държа́', 'обуздавам', 'хармонирам', 'подкрепа', 'хватката_палмарно', 'поддържам', 'съответствувам', 'подпра', 'притежавам', 'съгласувам_се', 'съглася́вам_се', 'хващане', 'и́мам', 'побирам'}
horn	{'мотора_рог', 'рога', 'рупор', 'антена_рог', 'хорн', 'седлото_рог', 'френски_рога', 'horn', 'кола_рог', 'дръмбой', 'клаксон', 'превозно_средство_рог', 'корна', 'ловджийски_рог', 'тромпетистите', 'gaienhofen', 'хорна', 'тромпет', 'тромпетист', 'корнет', 'джаз_тромпетист', 'рог', 'валдхорна', 'автомобилни_рог'}
how	{'въпросително_местоимение', 'въпросителна_местоимение', 'как', 'въпросителна_местоимения', 'ко̀лко', 'hands_all_over', 'въпросителна_дума'}
hunt	{'търсене', 'ловци', 'лов_клуб', 'ловя́', 'william_holman_hunt', 'джеймс_хенри_лий_хънт', 'лий_хънт', 'ловец', 'холман_хънт', 'overhunting', 'лов', 'уилям_холман_хънт', 'ловът', 'hunt', 'ричард_морис_хънт', 'лов_на_пъдпъдъци', 'william_henry_hunt'}
hurting	{'болка', 'болезнено_усещане', 'остра_болка', 'боли', 'болка_сензация', 'болка_и_ноцицепция', 'страдание'}
husband	{'съпругче', 'съпру́г', 'женен_мъж', 'партньор', 'мъж', 'половинка', 'другар', 'женен_човек', 'съпруг'}
i	{'електрически_ток', 'кортежи', 'единство', 'ампера', 'едно', 'n-кортеж', 'мултипликативна_самоличност', 'nanoampere', 'í', 'и', 'атомен_номер_53', 'един', 'аз', 'конвенционалния_ток', 'ма', 'ампер', 'кортеж', 'близо_пред_unrounded_гласна', 'i', 'йод', 'ток', 'григорианския_година', 'асо', 'електричен_ток', 'пунктирана_и_dotless', 'i̇', '1', 'имагинерна_единица', 'шесторен', 'имагинерната_единица', 'изолевцин', 'iodin', 'ì', 'година', 'милиампери', 'милиампер'}
ice	{'ледена_пързалка', 'двигател_с_вътрешно_горене', 'c10h15n', 'авиокомпания_„емирейтс“', 'desoxyn', 'двигателя_на_колата', 'двг', 'метамфетамини', 'methedrine', 'двигатели_с_вътрешно_горене', 'deoxyephedrine', 'кристал_метамфетамин', 'емирейтс', 'shabu', 'методи', 'pervitin', 'айс_ла_фокс', 'бензинов_двигател', 'четиритактови_двигатели', 'ice_la_fox', 'глазура', 'метамфетамин_хидрохлорид', 'emirates', 'in_case_of_emergency', 'сладолед', 'мет', 'dextromethamphetamine', 'метамфетамин', 'лед', 'instituto_costarricense_де_electricidad', 'кристал_мет', 'в_случай_на_спешен', 'ice', 'интерсити_експрес', 'изкуствен_лед'}
if	{'текст_приключение_игра', 'условна_конструкция', 'stadium_arcadium', "château_d'ако", 'иф', 'коефициент_на_влиятелност', 'интерактивни_фантастика', 'if', 'несмесени', "chateau_d'ако", 'ако', 'съществен_фактор', 'условно', 'крепостта_иф', 'импакт_фактор', 'command.com', 'текстови_приключения', 'текст_приключение'}
ignorance	{'незна́ние', 'невежество_—_незнание_—_некомпетентност', 'авидя', 'невежество', 'неве́дение', 'ignorance', 'неве́жество', 'незнание'}
illness	{'болест', 'медицинско_състояние', 'заболявания', 'заболяване', 'заболеваемостта', 'болести', 'медицинско_заболяване', 'бо́лест', 'заболя́ване', 'медицински_състояния', 'неразположение', 'боледуване'}
