ability	{'capacitate', 'capacitatea', 'aptitudine', 'destoinicie', 'iscusință', 'abilitate', 'potențial', 'pricepere', 'aptitudini', 'putință', 'iscusință_abilitate'}
cut	{'montaj', 'neglija', 'taie', 'croi', 'decupa', 'rănire', 'arde', 'închide', 'subțiat', 'canal', '|se|_împuțina', 'bucată', 'micșora', 'tuns', '|se|_lungi', 'piesă', 'răni', 'dezlega', 'halcă', 'elimina', 'scurtare', 'parte', 'lăsa', 'rană_deschisă', '|se|_îndoi', 'înregistra', 'recolta', 'a_prescurta', 'emascula', 'realiza', 'tăia', 'lua', 'editor_de_film', 'loviturădebaseball', '|se|_tăia', 'hartan', 'înlătura', 'omite', '|se|_dilua', 'cut,_neamț', 'plagă', 'tăietură', 'emite', 'copia', '|se|_reduce', 'opri', 'incizie', 'ignorare', 'castrat', 'tăiere', 'ignora', 'emasculat', 'cut,_neamţ', 'erupe', 'melodie', 'decupaj', '[-i]_da', 'coti', 'a_tăia', 'cosit', 'bucatădecarne', 'învârti', 'cut', 'comuna_cut,_alba', 'cenzura', 'cenzori', 'jignire', 'cenzură', 'nesocoti', 'cenzurate', 'tăiat_de_carne', 'monteur', 'scurta', 'cut,_alba', 'jugăni', 'întoarce', 'scopi', 'rănind', 'piesa', 'executa', 'tratare_cu_răceală', 'reduce', 'face', 'întoarcebalonul', 'baseball_leagăn', 'prelucra', 'întoarcemingea', 'debleu', 'cenzura_presei', 'redus', 'vira', 'suspenda', 'vătămare', 'rană', 'săpa', 'croială', 'diviziune', '|se|_subția', 'lezare', 'tăiat', 'rana', 'ofensa', 'insulta', 'reducere', '[-i]_ieși', '[o]_lua', 'chiuli', 'absență', 'gradație', 'prescurta', 'ștergere', 'jugănit', 'scurtat', 'afișa', 'tăiate', 'îndoit', 'întrerupe', 'cenzurare', 'separa', 'editare_de_film', 'sterilizat', 'sări', 'castra', 'scoate', 'secera', 'tragechiulul', 'scopit', 'filmul_de_editare', 'scădea', 'deconecta', '[se]_tăia'}
damage	{'pagubă', 'juridică_a_prejudiciului', 'vătăma', 'avarie', 'rănire', 'prejudiciu', '[se]_agrava', 'preţ', '[se]_înrăutăți', 'daune', 'deteriorare', 'daună', 'damage', 'degenera', 'degradare', 'stricăciune', 'preț', 'desfigura', 'pagube', 'prețul', 'vătămare', 'cost', '[se]_deteriora', 'strica', 'pierderematerială', 'utilaje_accidentului'}
dance	{'danseze', 'dancé,_loire', 'dansatoare', 'post-disco', 'dansator', 'juca', 'dansuri', 'dansatori', 'dancé,_orne', 'muzicădedans', 'dans', 'oliver_heldens', 'țopăi', 'muzică_de_dans', 'dansul', 'dancé', 'petrecere_de_dans', 'joc', 'bal', 'dance', 'dance_music', 'muzică_dance', 'waterloo', 'dansa', 'muzicădansată', 'dănțui'}
dangerous	{'dangerous', "it's_hard", 'grav', 'amenințător', 'periculos', 'primejdios', 'riscant', 'serios'}
day	{'în_timpul_zilei', 'douăzeci_și_patru_oră_perioada', 'clarence_ziua', 'clarence_shepard_jr._ziua', 'timp_solar_mediu', 'zi_medie_solară', 'zisiderală', 'sideral_zile', 'ecuația_timpului', 'soare_mediu', '24deore', 'clarencesheparddayjr.', 'zi_solară', 'interval_de_24_de_ore', 'day', 'solară_zile', 'ziuă', 'zi_solara', 'clarenceday', 'douăzeci_și_patru_oră', 'ecuaţia_timpului', 'vreme', 'zi_siderala', 'zile', 'clarence_day', 'zi', 'ziua_solară_medie', 'timp_solar', 'epocă', 'timp', 'timp_civil', 'lungimea_zilei'}
deceive	{'înșela', 'ticăloșie', 'minți', 'păcăli', 'decepţie', 'decepție', 'înșelătoare', 'prosti', 'necinste', 'lipsa_de_onestitate', 'înșelăciune', 'falsitate', 'amăgi', 'minciună', 'dezonoare'}
dedication	{'abnegație', 'dedication', 'dedicare', 'devotament', 'închinare', 'devotamentul', 'dăruire', 'inaugurare', 'dedicație', 'angajament'}
deliberately	{'expres', 'în_mod_deliberat', 'intenționat_premeditat', 'dinadins', 'special', 'anume', 'cumpănit', 'înadins', 'intenționat', 'măsurat'}
delivery	{'furnizare', 'infrastructura_de_transport', 'livrare', 'livrare_la_domiciliu', 'obstetrical_de_livrare', 'transport', 'devoluțiune', 'eliberare', 'născare', 'poantă', 'durerile_facerii', 'fertil', 'legală_de_transfer', 'fel_de_a_vorbi', 'bancuri', 'înstrăinarea', 'trasporturi', 'transmisiune', 'industria_de_transport', 'delivery', 'băiat_de_livrare', 'salvare', 'procreare', 'aruncare', 'predare', 'aducere', 'glumeț', 'limbaj', 'glumă', 'scăpare', 'alienabil', 'glume', 'vaginale_naștere', 'naștere', 'muncă_și_livrare', 'nastere', 'mijlocdetransport', 'procreație', 'banc'}
dessert	{'vinurile_de_desert', 'desert', 'desert_vin', 'deserturi', 'afters', 'vin_de_desert'}
device	{'telefon_mobil', 'dispozitiv_mobil', 'mecanism', 'mobile_celulare', 'aparat', 'telefonie_mobilă', 'vicleșug', 'device', 'șiretlic', 'celular', 'hardware', 'maşină', 'mașină', 'config.sys', 'comunicații_mobile', 'telefonmobil', 'însemn', 'cellphone', 'procedeuartistic', 'telefoanele_celulare', 'truc', 'hardvare', 'șmecherie', 'telefon_celular', 'model', 'telefoane_mobile', 'mobil', 'calculatoare', 'dispozitiv', 'echipamente_de_capital', 'tertip', 'telefoncelular', 'mașini', 'sistem', 'celular_telefon', 'aparatură', 'aparataj', 'telefon', 'tehnică', 'mijloaceartistice', 'telefoane_celulare'}
die	{'sfârși', '[se]prăpădi', '[se]_strica', 'matrița', 'zar', 'pastilă_semiconductoare', 'murit', 'die', 'râvni', 'decedare', 'sucomba', 'cuțit', 'sucombare', 'muri', 'ștanța', 'pastilă', 'stingere', 'decese', 'zaruri_poliedrice', '[se]duce', 'die,_franţa', '|se|_prăpădi', '[se]_deregla', 'die,_drôme', 'mor', 'deces', 'poanson', 'pieire', '[se]sfârși', 'dispărea', 'moartea', 'dispariție', 'zaruri_încărcate', 'zaruri', 'moarte', 'înghițigutuia', '[se]stinge', '[se]_răsufla', 'răposa', 'deceda', 'die,_franța', '[se]_defecta', '|se|_pierde', '[o]_mierli', 'pieri', 'dacolțul'}
dig	{'excavație', 'glumă_răutăcioasă', 'săpat', 'împunsătură', 'săpătură', 'jibe', 'pricepe', 'arheologic_site-ul', 'excava', 'dig', 'osteni', '[se]_prinde', 'percepe', 'împunge', 'înțepătură', 'escava', 'săpare', 'trudi', 'săgeată', 'îmboldi', 'săpa', 'excavare', 'înțelege', 'sesiza'}
dinner	{'banchet', 'masa_de_prânz', 'masă_de_seară', 'tiffin', 'masăprincipală', 'ora_ceaiului', 'cina', 'dejun', 'nutreț', 'ceai', 'dineu', 'ceai_după-amiaza', 'cină', 'ceașcă_de_ceai', 'prânz', 'dejeuner'}
dirty	{'mizerabil', 'linie_cache', 'dirty', 'tipuri_de_sol', 'memorare_în_cache', 'cache', 'necurat', 'spurca', 'mârșav', 'sol', 'memorie_cheş', '_memorie_cache_cu_acces_aleatoriu', 'câinos', 'soluri', 'contaminat', 'dirrty', 'memoriecache', 'sordid', 'infectat', 'set-asociativ', 'pământ', 'murdar', 'memorie_cheș', 'nemuncit', 'josnic', 'murdărie', 'cache_l1', 'murdare', 'cache_miss', 'memoria_cache', 'urât', 'neloial', 'murdări', 'underworld', 'lut', 'nesportiv', 'mânji', 'rău', 'write-back', 'memorie_cache', 'mizerie'}
disease	{'morbus', 'afecțiune', 'boală', 'begowal', 'maladie', 'îmbolnăvire', 'afecțiune_mdicală', 'starepatologică', 'pleurezie', 'afecțiune_medicală', 'pleurita', 'morbidă', 'boli', 'rata_de_morbiditate', 'boala', 'tulburare_medicale', 'unwellness'}
dissolve	{'[se]_voala', '[se]_estompa', 'solvi', '[se]_dizolva', 'se_dizolvă', '[se]_topi', '[se]_diminua', 'dizolvă', '[se]_stinge', 'dezgheța', '[se]_atenua', 'slăbi', 'desființa', '[se]_rupe', 'dizolva'}
disturb	{'deranja', 'răvăși', 'zăpăci', 'jena', 'întrerupe', 'incomoda', 'stingheri'}
do	{'practica', 'omorî', 'suprima', 'fute', 'doctor_în_osteopatie', 'tao', 'efectua', 'a|-și|_executa', 'ト', 'petrecanie', 'benchetuială', '[se]_iubi', 'profesa', 'avearelațiisexuale', 'executa', 'face', 'soirée', 'izbândi', '도', '[se]_descurca', 'a|-și|_efectua', 'ceremonial', 'cauza', 'ut', 'a|-și|_face', 'stârni', 'face_sex', 'reuși', 'ucide', 'produce', 'pricinui', 'marshall_applewhite', '[se]_purta', 'chiolhan', 'do', 'petreceri', 'învigora', 'doctorînosteopatie', 'se_comporte', 'acoperi', 'exercita', 'petrecere', 'realiza', 'provoca', 'juca', 'cunoaște', 'doh', 'zaiafet', 'acționa', '[se]_comporta', 'facedragoste', 'ceremonie', '|se|_aranja', 'interpreta', 'presta', 'bairam', 'chef', '|se|_coafa', 'と', 'a|-și|_îndeplini', 'înflori', 'to', 'determina', '[se]_culca', 'omoare', 'complini'}
doctor	{'doctor_who', 'repara', 'medică', 'doctorand', 'chirurgi', 'doctoralbisericii', 'doctori_ai_bisericii', 'phd', 'drege', 'dr', 'doctorat_de_cercetare', 'doctoriță', 'chirurg', 'medici', 'doftor', 'dr.', 'îngriji', 'eliza', 'falsifica', 'trata', 'rude_boy', 'doctorate', 'doftorici', 'al_unsprezecelea_doctor', 'învățător_al_bisericii', 'doctorat', 'medical_officer', 'drd', 'doctorul', 'învăţător_al_bisericii', 'doctorat_mai_mare', 'doftori', 'medicul', 'operare_chirurg', 'doctori', 'doctor', 'doctor_al_bisericii', 'loïc_nottet', 'medic'}
dog	{'internă_de_câine', 'canis_lupus_familiaris', 'câini', 'câine', 'firedog', 'câinii', 'carne_de_câine', 'canids', 'canide', 'opritor', 'balcâz', 'hot_dog', 'familiaris', 'cățea', 'wienerwurst', 'ticălos', 'vâna', 'weenie', 'câine-de_fier', 'suport_pentru_bușteni', 'hotdog', 'femeie_cicălitoare', 'siguranță', 'câinele', 'detent', 'nemernic', 'frankfurter', 'canidae', 'a_urmări', 'fugi', 'canis_familiaris', 'duck_hunt', 'netrebnic', 'urmări', 'escroc', 'familiei_canidae', 'cârnat', 'piedică', 'caine'}
dressing	{'sos_pentru_salată', 'legat', 'rufe', 'dressing', 'aplicare', 'vestimentaţie', 'îmbrăcare', 'ușor_de_purtat', 'fertilizare', 'imbracat', 'industria_de_îmbrăcăminte', 'bandajare', 'pansament', 'umplutura', 'vestimentație', 'îmbrăcat', 'îmbrăcăminte', 'articol_de_imbracaminte', 'haină', 'medicale_pansament', 'strai', 'veșmânt', 'articole_de_îmbrăcăminte', 'salata', 'pentru_femei', 'echipare', 'tinuta', 'legare', 'pansare', 'prelucrare', 'haină_veșmânt_articol_de_îmbrăcăminte', 'umplutură', 'veşmânt', 'pansat', 'haine', 'bandajarea'}
drink	{'trage', 'închina', 'bautura', 'institutul_de_tehnologie_rochester', 'îmbăta', '[se]_cinsti', 'băutură', 'boozing', 'înghițire', 'rochester_institute_of_technology', 'potabil', 'băut', 'băuturi', 'toasta', 'lichidpotabil', 'bea', 'deglutiție', 'crapulence', 'tragelamăsea', 'sorbi', 'lil_jon'}
driver	{'camion_șofer', 'șoferprofesionist', 'șoferdecamion', 'camionagiu', 'camion_de_conducere', 'driver', 'camionagii', 'șoferul', 'conducător', 'mulțime', 'cowcatcher', 'împădurită', 'camionar', 'driver:_san_francisco', 'numărul_unu_din_lemn', 'șoferii_de_camioane', 'roată_motrice', 'osii_cuplate', 'pădure', 'silvă', 'conducere_camion', 'automobilist', 'curățătordelinie', 'conducător_auto', 'păduri_de_conifere', 'driver_de_imprimantă', 'conducator', 'drivere_de_dispozitiv', 'driver_de_dispozitiv', 'păduri', 'pilot', 'automobilistă', 'sofer', 'șofer', 'șofer_de_camion', 'wälder'}
dry	{'dry,_loiret', 'dry', 'astringență', 'echilibrul', 'usca', 'usuce', 'zvânta', 'seca', 'fructe', 'prohibiționiste', 'ironic', 'prohibiționist', 'zbici', 'stypsis', 'uscat', 'sec', 'minerality'}
dull	{'molâu', 'amortiza', 'plumburiu', 'mătui', 'neinteligent', 'mohorât', 'plictisitor', 'bont', 'plicticos', 'închis', 'neinteresant', 'înnegurat', 'stagnant', 'lent', 'placid', 'anost', 'prost', 'urât', 'șters', 'bonti', 'spălăcit', 'searbăd', 'păli', 'înțepeni', 'amorți', 'mocnit', 'tocit', 'indiferent', 'înfundat', 'toci', 'înăbușit', 'posomorât', 'încet', 'mat', 'stupid'}
dust	{'moloz', 'pekoe', 'babylon_5', 'împrăștia', 'presăra', 'colb', 'orange_pekoe', 'pulbere', 'a_prafui', 'înger_de_praf', 'fannings', 'desprăfui', 'resturi', 'fenciclidină', 'dust', 'fenciclidină_clorhidrat', 'risipi', 'ceai_chinezesc_de_calitate_superioară', 'scutura', 'praf'}
ear	{'auriculă', 'atenție', 'ara', 'urechile', 'urechea_umană', 'pinna', 'spic', 'pinnae', 'descompunere_urechea', 'pavilionul_urechii', 'nod', 'vârf', 'ureche', 'vârful', 'urecheexternă'}
earth	{'lumească_îngrijorare', 'preocuparelumească', 'planeta_albastră', 'legare__la_pământ', 'dragon_ball', 'terra', 'împământare', 'pamintul', 'sol', 'împământa', 'andromeda', 'brontitall', 'pamântul', 'uscatul', 'milliways', 'pământească_îngrijorare', 'terestră', 'pamânt', 'pămînt', 'solid_sol', 'pamant', 'terra_firma', 'krikkit', 'pământ', 'magrathea', 'țară', 'pământul', 'ace_combat', 'saiyan', 'earth', 'glob', 'planeta_pământ', 'lamuella', 'lumea_terestră', 'golgafrincham', 'lume', 'potențial_zero', 'globului', 'uscat'}
eat	{'mânca', 'dovedi', 'roade', 'luamasa', 'a_lua_o_masă', 'hrănire', 'consuma', 'îngrijora', 'frământa', '|se|_roade', 'a_lua_masa', 'mâncat', 'eat', 'hrăni', 'ataca', 'mănânce', 'mâncare'}
economy	{'sistemului_economic', 'sferă_economică', 'economisire', 'economie_politică', 'thriftiness', 'economic', 'cumpătare', 'rata_de_economisire', 'economiei', 'economie_politica', 'economia_rurală', 'economia', 'walden', 'sistem_economic', 'științe_economice', 'economia_reală', 'viață_economică', 'economie', 'economy', 'economist', 'chibzuială', 'știința_economiei', 'economist_politic', 'economice'}
egg	{'egg,_elveţia', 'ouă', 'oval', 'aruncacuouă', 'modelului_de_referinta_osi', 'ou_de_celule', 'fasmide', 'testicule', 'coaie', 'ovulul', 'teste', 'phasmida', 'modelul_iso/osi', 'ovul', 'phasmatodea', 'egg', 'eliptice', 'testicular', 'producția_de_ouă', 'modelului_osi', 'ouă_păsări', 'celulă_sexuală', 'setuptools', 'pentru_phasmatodea', 'boș', 'modelul_osi', 'coi', 'boașe', 'pentru_phasmida', 'ou', 'boașă', 'testicul', 'clive_brooks', 'celulele_ou', 'egg,_elveția', 'stiva_osi', 'ou_de_găină', 'ouă_pește', 'interconectare_sisteme_deschise', 'ballock', 'prostii', 'elipsă'}
election	{'votare', 'alegeri', 'elecțiune', 'realegere', 'realegerea', 'alegere', 'titlu_alegerilor', 'vot_popular', 'politica_electorale', 'elecție', 'election', 'sa', 'pct', 'ales_în_mod_democratic'}
electron	{'negatron', 'electron', 'raze_catodice', 'electroni'}
elegance	{'eleganta', 'frumusete', 'frumuseţe', 'beaut', 'eleganta_matematica', 'frumos', 'karlgeorg_hoefer', 'decorative', 'mândrețe', 'frumusete_clasica', 'eleganță', 'eleganţă', 'estetic', 'elegant', 'frumusețe', 'finețe', 'grație', 'splendoare'}
emotion	{'emoție', 'emoția_umană', 'emoţie', 'emotion', 'human_after_all'}
emotionally	{'emoție', 'emoția_umană', 'emoţie', 'emoțional', 'emoţional', 'emoționant'}
engine	{'motor_de_joc', 'feroviară_locomotiva', 'mașină', 'motoare', 'locomotiva_motor', 'motorului_feroviar', 'locomotiva', 'motor_de_joc_video', 'engine', 'motorul', 'motor_3d', 'locomotivă', 'mașinătermică', 'motor_grafic', 'locomotive', 'motor', 'ray_alder'}
english	{'leon_bloy', 'oamenii_english', 'engleză_sua', 'en', 'limba_engleza', 'english_language', 'english', 'engleză', 'englezii', 'engleza_britanică', 'limbă_engleză', 'în_limba_engleză', 'engleza_americană', 'englez', 'englezăamericană', 'englezi', 'englezoiacă', 'opt-out', 'limba_engleză', 'filologie_engleză', 'eng', 'lb._engleză', 'léon_bloy', 'engleza_nord-americană', 'studii_de_engleză', 'engleza', 'engleză_americană', 'american_limba'}
event	{'tasta_de_accident_vascular_cerebral', 'eveniment_program', 'întâmplare', 'apăsare_de_tastă', 'auditor', 'rutină_de_tratare_a_evenimentului', 'situație', 'caz', 'efect', 'rezultatul', 'event', 'consecință_urmare', 'fapt_istoric', 'eveniment', 'ascultător', 'urmare', 'manipulare_eveniment', 'tratare_a_evenimentului', 'cască', 'consecință', 'rezultat', 'efectul'}
experiment	{'experimentare', 'știința_experimentală', 'grupul_experimental', 'știință_experimentală', 'experimente', 'the_experiment', 'experimenta', 'experimenteze', 'experiment_științific', 'experimentale', 'încerca', 'încercare', 'experiment'}
extremely	{'în_mod_extrem', 'extrem'}
eye	{'centrul', 'privi', 'ochiul', 'centru', 'ochi_uman', 'oculus', 'mugur', 'eye', '[se]_uita', 'gaură', 'muguri', 'eyewall', 'optic', 'miez', 'ochi', 'ochii', 'oculi', 'privire', 'boboc', 'fiziologia_ochiului', 'eye,_suffolk', 'the_eye'}
fall	{'declivitate', '[se]_așterne', 'căderea_omului', 'crepuscul', 'așterne', 'alunecareînpăcat', 'evenfall', 'fall', 'înserare', '[se]_lăsa', 'apărea', 'scădere', 'natalia_lesz', 'reduce', 'micșora', 'cădea', 'căderea_nopții', 'coborâre', 'capitulare', 'amurgul_astronomic', 'depune', 'povârni', 'coborî', 'amurg', 'ieși', 'descrește', 'atribui', 'da', 'după', '|se|_pleca', 'lăsa', 'nightfall', '[se]_așeza', 'descreștere', '[se]_repezi', 'coborâș', 'regres', 'reveni', 'gloam', 'fimoștenit', 'înnoptare', 'pica', 'intra', 'căderea_serii', 'cădeaînpăcat', 'decădere', 'declin', 'venirea_nopții', 'așeza', 'toamnă', 'împuțina', 'cod_pin', 'predare', 'cădere', 'the_fall', 'incumba', 'scoborî', 'revărsa', 'scădea', 'curbei_descendente', 'căzătură', 'toamna', 'crepuscul_nautic'}
far	{'mult', 'îndepărtat', 'alir', 'interahamwe', 'fostele_forțelor_armate', 'departe', 'armatapentrueliberarearwandei', 'far', 'armata_pentru_eliberarea_rwandei'}
fat	{'gras', 'corpolență', 'adipos_țesut', 'grăsimi', 'glycerolipid', 'fructe', 'asociația_de_fotbal_din_thailanda', 'adiposis', 'file_allocation_table', 'fat32', 'țesut_adipos', 'grăsime', 'stypsis', 'osânză', 'asociaţia_de_fotbal_din_thailanda', 'adipos', 'îngrășa', 'tabel_de_alocare_a_fișierelor', 'astringență', 'fecund', 'echilibrul', 'fat_32', 'supragreutate', 'țesutadipos', 'supraponderalitate', 'țesutului_gras', 'fat', 'bogat', 'lipidă', 'lipidice', 'grasime_viscerala', 'lipide', 'minerality'}
father	{'creator', 'preot', 'begetter', 'tatăl', 'antreprenoriale', 'antreprenoriatul', 'antreprenori', 'taică', 'concepe', 'confident', 'naș', 'father', 'biserica_tatăl', 'antreprenor_in_serie', 'zămisli', 'antreprenor', 'the_gift', 'preot_romano-catolic', 'strămoș', 'antreprenoriala', 'face', 'procrea', 'tată', 'tatăl-dumnezeu', 'ctitor', 'făuritor', 'co-fondator', 'spiritului_antreprenorial', 'întemeietor', 'preot_catolic', 'fondator', 'dumnezeu_tatăl', 'părintealbisericii', 'părinte_al_bisericii', 'străbun', 'bărbat_mamă', 'antreprenoriat', 'preoții_catolici', 'părinte'}
fear	{'[se]_neliniști', 'întors_pe_dos', 'frică', 'teamă', 'teme', 'preocupare', 'respecta', 'inside_out', 'marillion', '|se|_teme', 'îngrijorare', 'venerație', 'venera', 'fear', 'frica', 'grijă', '[se]_îngrijora', 'spaimă', 'evlavie', 'temerile', '[se]_teme', 'stima'}
feather	{'pene', '[se]_îmbuca', 'pană', 'penaj', '[-i]_dapenele', 'filoplume', 'penaj_eclipsa', 'fulg', 'penele', 'tepi'}
feeling	{'impresia', 'spiritul', 'trăire', 'sentiment', 'senzațietactilă', 'senzație', 'somatosenzorial', 'intuitiv_sentiment', 'atingere_senzație', 'simț', 'sentimente', 'tactile', 'suflet', 'simțământ', 'simțire', 'sentimentul', 'feedback-ul_tactil', 'sistemul_somatosenzorial', 'ton', 'impresie', 'tactil_senzație', 'sentimental', 'atmosferă'}
few	{'cantitate', 'mărime', 'cantitatea', 'puțini', 'măsură', 'câtime'}
fight	{'luptă', '[se]_osteni', 'brooke_candy', 'luptă_bătaie', '[se]_război', '|se|_lupta', 'mecidebox', 'angajament_militar', 'angajament', '[se]_strădui', '[se]_bate', 'duceocampanie', '[se]_lupta', 'încăierare', 'batalie', 'ținepiept', 'armate_luptă', '[se]_sforța', '[se]_munci', 'opune', 'competitivității', 'promova', 'lupte', 'formare_luptă', 'lupta', '[se]_căzni', 'facepropagandă', '[se]_zbate', 'bătălie', '[se]_necăji', '[se]_opune', '[se]_împotrivi', 'fight', 'câmpul_de_luptă', '[se]_forța', '[se]_trudi', '[se]_sili', '[se]_chinui', 'spiritdeluptă', 'încăierări', '[se]_canoni', 'bătaie', 'se_bate', 'luptăarmată'}
fingernail	{'unghie', 'unghiedelamână', 'unghiile', 'unghia'}
fire	{'văpaie', 'a_destitui', 'foc', 'fire', 'emerson,_lake_&_palmer', 'alunga', 'incendiu', 'kelis_was_here', 'emerson_lake_and_palmer', 'anarchy', 'daafară', 'izgoni', 'fervoare', 'slobozi', 'descărca', "let's_cheers_to_this", 'emerson,_lake_and_palmer', 'în_flăcări', 'pasiune', 'heartbreak_on_hold', 'alimentacucombustibil', 'incendii', 'leona_lewis', 'a_concedia', 'arde', 'punepefoc', 'deștepta', '[se]_descărca', 'înflăcărare', 'alimentacucarburant', 'flacără', 'pară', 'a_revoca', 'fugări', 'tina_barrett', 'atac', 'a_demite', 'suscita', 'focul', 'fervidness', 'ardență', 'stârni', 'împușcare', 'deschidefocul', 'elibera', 'pârjol', 'goni', 'concedia', 'alimenta', 'ardoare', 'fire/jericho', 'tragere', 'conflagrație'}
fish	{'pești', 'peşte', 'phish', 'popa-prostu', 'pește', 'elver', 'go_fish', 'fish', 'pescui', 'caracudă', 'hrană_pentru_pești', 'ihtiofaunei', 'fry', 'pește_ca_aliment', 'pterygiophore', 'hibridizarea_fluorescentă_in_situ', 'alevin', 'pesti_pesti', 'pește_marin', 'anatomia_peștilor', 'pisces', 'raze_moi', 'peștișor', 'fluorescenta_in_hibridizare_situ', 'peşti', 'pesti', 'pește_mic'}
five	{'hollywood_undead', 'realizator', 'echipa_de_baschet', 'micul_phoebe', 'five', 'cinci', 'câștigător', 'bancnotă_de_cinci', 'învingător', 'cinq_survivants', 'cinci_zile', '5', 'sugarcult', 'v', 'succeeder', 'channel_five', 'echipădebaschet', 'un_grup_de_cinci_cărți_de_joc'}
float	{'swimbladder', 'vezica_înotătoare', 'netezi', 'număr_în_virgulă_mobilă', 'css', 'decompresie_necontrolată', 'caralegoric', 'înghețată_sodă', 'numere_în_virgulă_mobilă', 'fidus', 'cascading_style_sheets', 'ponton', 'plută', 'decompresie_explozivă', 'bobfloat', 'virgulă_mobilă', 'vezica_cu_aer', 'în_virgulă_mobilă', 'vezica_înot', 'înghețată_float', 'aritmetica_în_virgulă_mobilă', 'bășică_de_aer', 'car_alegoric', 'bobber', 'float', 'lăsasăplutească', 'vântura', 'în_virgulă_mobilă_număr', 'float_publice', 'sufla', 'pluti', 'plana', 'fipurtat', 'zbura', 'foi_de_stil_în_cascadă', 'barca_ponton', 'vezică_înotătoare', 'flotoare', 'înota_vezicii_urinare', 'îndrepta', 'beșica_înotătoare', 'plutitor', 'flotor_publică', 'dalaapă', 'free_float', 'float_parada', 'tencuitor_lui_float'}
flow	{'curgere', 'proto-rap', 'hidrodinamice', 'fizica_fluidelor', 'muzică_rap', 'young_money_entertainment', 'debitul', 'menstruație', 'mecanica_fluidelor', 'rețea_flux', 'rapperi', 'catamenia', 'cădea', 'curs', 'îneca', 'emceeing', 'raper', 'flow', 'veniciclul', 'hidraulice', 'rapping', 'rata_de_curgere', 'debit', 'artist_rap', 'hidraulică', 'revărsare', 'mecanicii_fluidelor', 'șuvoi', 'rapper', 'flux_constant', '[se]_așeza', 'mers', 'rețea', 'menstruatiei', 'șiroi', 'menstruaţie', 'hidraulic', '[se]_revărsa', 'presiunea_hidraulică', 'florent_mothe', 'manieră', 'curent', 'inunda', 'ciclumenstrual', 'dinamica_fluidelor', 'dinamicista_lichid', 'ciclu', 'debitul_volumetric', 'gravity_recovery_and_interior_laboratory', 'rap', 'curge', 'calea_de_sporire', 'debit_volumic_de_curgere', 'aveamenstruație', 'flux', 'fluxul', 'mecanicafluidelor', 'rapper-ul'}
flower	{'înflorire', 'mugurii', 'florale', 'gackt_kamui', 'flori', 'floare', 'sezonului_de_crestere', 'organele_de_inmultire_ale_unei_plante', 'eflorescență', 'set_de_fructe', 'relient_k', 'gackt', 'ceară_epicuticular', 'gackt_camui', 'play', 'tinerețe', 'ceara_epicuticular', 'flower', 'înflori', 'bambi'}
fly	{'acoperi_foaie', 'momeală', 'fluture', 'zbura_mingea', 'ciara', 'fugi', 'accident_vascular_cerebral_fluture', 'cort_clapeta', 'scăpa', 'goni', 'dipter', 'naviga', 'acoperi_fata', 'lua', 'pluti', 'fluture_accident_vascular_cerebral', 'musca', '[se]_împrăștia', 'rainfly', 'diptera', 'vaporiza', 'traversaînzbor', 'alerga', 'fermoar', '[se]_evapora', 'muscă', 'dipterans', 'diptere', 'muscăartificială', 'muste_reale', 'înscrie', 'marca', 'înălța', 'the_fly', 'plana', 'călătoricuavionul', '[se]_răspândi', 'muște', 'zbura', 'fly', 'treceînzbor', 'evada', 'trece', 'cort-fly', 'pilota'}
fog	{'ceață', 'încețoșa', 'fâstâceală', 'ceaţa', 'ceață_motiv', 'negură', 'ceața', 'buimăceală', 'zăpăceală', 'obscuritate', '10th_avenue_freakout', 'ascunde', 'năuceală', 'obscura', 'întuneca', 'pâclă', 'ceaţă', 'oculta'}
food	{'hrană', 'aliment', 'hranăspirituală', 'mancare', 'hrană_spirituală', 'macronutrienți', 'papă', 'mâncare', 'mâncarea', 'kirby', 'produse_alimentare', 'alimente', 'hrană_consistentă', 'intelectuală_alimentație', 'nutrienți'}
foot	{'infanteriști', 'suporta', 'maşina_de_cusut', 'understructure', 'școtă', 'mașina_de_cusut', 'ritm', 'picioare_metrice', 'picior', 'moluște', 'foaie', 'temei', 'suport', 'moluste', 'mașinădecusut', 'foot', 'şcotă', 'pada', 'giulgiu', 'vremea_foaie', 'moluşte', 'laba_piciorului', 'piciorul', 'animală_picior', 'infanterie', 'merge', 'încrengătura_moluște', 'mainsheet', 'mergepejos', 'mollusca', 'substructură', 'moluscă', 'păși', 'picior_metric', 'mașină_de_cusut', 'mașini_de_cusut', 'infanterist', 'fundație', 'labă', 'nevertebrate_picior', 'uman_picior', 'infanteria', 'membruinferior', 'pes', 'maşină_de_cusut', 'poalele', 'metric_unitate', 'metric_picior', 'bază', 'ft', 'fundament', 'temelie', 'ghem', 'scotă', 'phylummollusca'}
forest	{'arbore', 'pădure', 'codru', 'păduri', 'nottingham_forest', 'mulțime', 'wälder', 'nottingham_forest_f.c.', 'silvă', 'copac_rădăcini', 'păduri_de_conifere', 'împădurite', 'împăduri', 'nottingham_forest_football_club', 'copac', 'nottingham_forest_fc', 'împădurită', 'forest', 'timberland'}
