ability	{'aptitude', 'förmåga'}
damage	{'prissättning', 'vanställa', 'skada', 'scathe', 'damage', 'penetrationsprissättning', 'priser', 'juridisk_skada', 'utrustning_olyckan', 'priset', 'pris', 'försämra', 'skumningsprissättning', 'försämras', 'köpeskilling'}
dance	{'dance', 'klubbmusik', 'danser', 'oliver_heldens', 'dansande', 'dansa', 'dansare', 'danskurs', 'nathaniel_dance-holland', 'danserskor', 'showdans', 'post-disco', 'dancé,_orne', 'clubmusic', 'fbln5', 'dansinn', 'dans', 'waterloo', 'danserska', 'club_music', 'dansör', 'dansmusik', 'dance,_dance', 'dancé', 'danspartner', 'dansös', 'dancé,_loire'}
dangerous	{'riskabel', 'farliga', 'farligt', 'dangerous', 'tillbaka_till_livet', 'decemberadio', 'riskfylld', "it's_hard", 'farlig'}
day	{'day', 'tidsekvation', 'soltid', 'skenbar_soltid', 'clarence_dag', 'dagtid', 'dygnet', '24_timmarsperiod', '24_timmar', 'dygn', 'sant_soldygn', 'day,_cape', 'dygnscykel', 'clarence_day', 'clarence_shepard_day_jr', 'siderisk_dag', 'dagar', 'sol_dag', 'soldygn', 'medelsoldygn', 'dag', 'sideriska_dag', 'iltapäivä', 'dagen', '24-timmars_intervall', 'betyder_sol_dag', 'dagslängd_och'}
deceive	{'bluff', 'svek', 'bedra', 'bedrägeri', 'vilseledning', 'oärlighet'}
dedication	{'dedicera', 'dedikation', 'lojalitet', 'hängivenhet', 'dedication', 'dedicerad', 'engagemang'}
deliberately	{'medvetet', 'avsiktligt'}
delivery	{'persontransport', 'barnafödande', 'violaskämt', 'föda_barn', 'hemleverans', 'skämt', 'oförytterlig', 'sätt_att_tala', 'utanförskap', 'transport', 'lagenlig_överlåtelse', 'transportbranschen', 'samfärdsel', 'vaginal_förlossning', 'transportinfrastruktur', 'barns-börd', 'teckenblödning', 'född', 'leverans_pojke', 'föra', 'accouchement', 'befrielse', 'födsel', 'sätesbjudning', 'undsättning', 'rädda', 'jape', 'förlossning', 'födelse', 'födande', 'kast', 'segerhuva', 'tal', 'lurifax', 'skämtsam', 'förlossningar', 'barnafödsel', 'delivery', 'beräknad_partus', 'leverans', 'transportväsen', 'blade_the_series', 'tillgång', 'blade:_the_series', 'partus'}
dessert	{'dessertviner', 'efterrätt', 'afters', 'dessert', 'efterrätter', 'dessertvin', 'desserter'}
device	{'mobila_nät', 'yuppienalle', 'mobiltelefoner', 'trådlös_telefon', 'device', 'devve', 'kapital_utrustning', 'redskap', 'nicolai_reedtz', 'config.sys', 'ficktelefon', 'maskinvara', 'mobiltelefoni', 'apparat', 'mobiltelefon', 'maskin', 'juppinalle', 'mobila_cellulära', 'msc', 'mobiltjänster', 'mobiltelefon_utomlands', 'enhet', 'apparater', 'hårdvara', 'mobil', 'maskiner', 'mobil_kommunikation', 'nalle', 'mobilen', 'mobil_telefon', 'personlig_hårdvara', 'cellulära_kommunikationssystem'}
die	{'andou,_daisuke', 'kiselbricka', 'för_tidig_död', 'dai_andou', 'causa_mortis', 'avliden', 'laddade_tärningar', 'die', 'tärning', 'rollspelstärningar', 'åttasidig_tärning', 'fyrsidig_tärning', 'tärningsslag', '⚂', 'd20', 'daisuke_andou', 'dice', 't20', 'andou', 't6', 'döden', 't10', 'tärningsspel', 'död', 'avlidna', '⚀', 'dödsfall', 't8', '⚃', '⚄', 'avlidet', 'dör', 'mikrochips', 'rollspelstärning', 'ta_sönder', 'sexsidig_tärning', 'ha_sönder', 'mikrochip', 't12', 'dog', 'dö', 'tolvsidig_tärning', 'tiosidig_tärning', 'avlida', 'big', 'tärningar', 'tjugosidig_tärning', 'arrachart_airport', 'bortgång', '⚅', 'döda', '⚁', 'die,_drôme', 'avslagen', 'polyedriska_tärningar'}
dig	{'diqing_shangri-la_airport', 'hugg', 'gräva', '廸慶香格里拉機場', 'andré_dignimont', 'gibe', 'utgrävning', 'stick', 'gipp', 'schakta', 'díqìng_xiānggélǐlā_jīchǎng', 'dig', 'förstå', 'arkeologiska_platsen', 'デチェン・シャングリラ空港', '迪庆香格里拉机场'}
dinner	{'te', 'kvällsmat', 'lunch', 'supé', 'teatime', 'dinner', 'kvällsmåltid', 'tiffin', 'eftermiddagste', 'dejeuner', 'fika', 'middag'}
dirty	{'grumlig', 'l1_cache', 'snuskig', 'l3-cache', 'fult', 'smuts', 'cachelagring', 'jord', 'jordar', 'cache', 'minne_cache', 'cachad_kopia', 'skita_ner', 'cpu-cache', 'smutsigt', 'dirty', 'instruktion_cache', 'dirrty', 'nedsmutsade', 'solkig', 'mark', 'l2-cache', 'smutsig', 'datacache', 'buffertminne', 'osnygg', 'underworld', 'ful', 'fläcka', 'cache_miss', 'jorden', 'oren', 'smutsiga', 'ojuste', 'smutsen', 'skitig', 'cache_linje', 'cashad_sida', 'orena', 'lerkärl', 'smutsa_ner', 'cashad', 'osnyggt', 'instruktionscache', 'cacheminne'}
disease	{'sjuk', 'sjukdomar', 'sjuklighet', 'åkomma', 'tillstånd', 'sjukdom', 'medicinsk_störning', 'medicinskt_tillstånd', 'pleurit', 'naturalförlopp', 'medicinska_tillstånd', 'lungsäcksinflammation', 'morbid', 'sjukdomskänsla', 'begowal'}
dissolve	{'tina', 'lösa', 'upplösa', 'lös', 'smälta', 'crossfade', 'lösa_upp'}
disturb	{'uppröra'}
do	{'도', 'greja', 'mingel', 'doh', 'utföra', 'uppträda', 'firande', 'beter_sig', 'agera', 'bete_sig', 'dominique_van_hulst', 'fest-party', 'party', 'art4', 'marshall_herff_applewhite', 'mingla', 'lyckas', 'partaj', 'partiet', 'parter', 'mörda', 'kalaset', 'tao', 'fest', 'blomstra', 'assasinera', 'kalas', 'avliva', 'doktor_osteopati', 'förslå', 'ligga_med', 'do', 'uppföra_sig', 'rijpma_van_hulst,_dominique', 'fest/party', 'spela', 'avtjäna', 'gästabud', 'zwyck', 'svyck', 'rijpma_van_hulst', 'marshall_applewhite', 'orsaka', 'knulla', 'frodas', 'dräpa', 'applewhite', 'köra', 'dao', 'festlighet', 'döda', 'festa', 'göra', 'soirée', 'do-omskrivning', 'ha_sex'}
doctor	{'promovera', 'the_black_guardian', 'doktorsvärdighet', 'bensågare', 'politices_doktor', 'familjeläkare', 'läkare', 'dr.', 'doctor_communis_ecclesiae', 'reparera', 'promovering', 'dr_who', 'genesis_of_the_daleks', 'promotion', 'återställ', 'kliniska_blicken', 'doktorsgraden', 'kirurg', 'doktorsgrad', 'fiffla_med', 'husläkare', 'professionell_doktorsexamen', 'leg._läkare', 'doktor_who', 'rude_boy', 'läkar', 'opererande_kirurgen', 'doctor', 'medical_officer', 'legitimerad_läkare', 'läkaren', 'loïc_nottet', 'läkarexamen', 'dalek', 'doktorera', 'kirurger', 'doctor_ecclesiae', 'läkare_i_kyrkan', 'manipulera', 'rude_boys', 'dr', 'doktorstitel', 'högre_doktorsexamen', 'eliza', 'laga', 'doktorspromotion', 'pol.dr.', 'doktorsexamen', 'doktor', 'doktorn', 'leg._läkaren', 'doctorat', 'klinisk_blick', 'kyrkolärare', 'doctor_who', 'the_doctor', 'doktorspromovering'}
dog	{'andiron', 'varmkorv', 'hotdog', 'korv', 'bröd_med_korv', 'varm_korv', 'hot_dogs', 'weenie', 'tik', 'varmkorvar', 'frankfurter', 'förfölja', 'canidae', 'familiaris', 'canis_familiaris', 'canis_lupus_familiaris', 'eldhund', 'vovve', 'inhemska_hund', 'tamhundar', 'hundvalpar', 'korv_med_bröd', 'jycke', 'korv_och_bröd', 'nattkorv', 'tamhunden', 'duck_hunt', 'hund', 'hunden', 'hynda', 'spärr', 'jaga', 'hunddjur', 'människans_bästa_vän', 'hundkött', 'spärrhaken', 'trist_kvinna', 'hot_dog', 'hundvalp', 'familjen_canidae', 'hundhistoria', 'hundar', 'wienerkorv', 'knackkorv', 'hund-järn', 'antonio_angelo_del_sambro', 'tamhund', 'skurk', 'hundens_historia', 'hundavel'}
dressing	{'salladsdressing', 'klädindustrin', 'habiliment', 'klädnad', 'bärbar', 'lammfärs', 'blandfärs', 'älgfärs', 'kläd', 'klädesplagg', 'nötfärs', 'klädedräkt', 'fläskfärs', 'påklädning', 'förband', 'dam', 'klädsel', 'fyllning', 'plagg', 'påklädnad', 'köttfärs', 'bandage', 'medicinskt_förband', 'kläder'}
drink	{'svälja', "lil'_jon", 'sväljningsreflexen', 'sprit', 'skåla', 'deglutition', 'sväljningsreflex', 'alkohol', 'crapulence', 'sväljer', 'dricka', 'mette_tanzer', 'fylleri', 'boozing', 'lil_jon_&_the_east_side_boyz', 'blurra', 'drycker', 'sväljning', 'lil_jon', 'supa', 'dryck', 'drickbart', 'drink', 'spad'}
driver	{'örtrik_granskog', 'trä', 'drivhjul', 'chaufför', 'privatchaufför', 'tempererade_skogsmiljöer', 'bilist', 'kopplade_axeln', 'wälder', 'skog', 'skogar', 'kluster', 'yrkesförare', 'drivrutin', 'långtradarchaufför', 'skogsvegetation', 'skrivardrivrutin', 'åkarna', 'barrskog', 'kopplade_hjul', 'driver', 'timmer', 'tradarchaffis', 'virke', 'skogen', 'yrkeschaufför', 'förare', 'trucker', 'drivrutiner', 'barrskogar', 'truckkörning', 'skoglig', 'samling', 'föraren', 'pilot', 'plog', 'nummer_ett_trä', 'the_driver', 'lastbilschaufför', 'enhetsdrivrutin', 'kopplade_axlar', 'driver:_san_francisco', 'lastbilsförare'}
dry	{'dry,_loiret', 'kropp', 'mineralitet', 'balans', 'förbudspolitiken', 'uppehåll', 'dry', 'stypsis', 'torr', 'frukt', 'balansen', 'torra', 'torka', 'bouquet'}
dull	{'slö', 'stänga_av', 'oskarp', 'omtöcknad', 'dum', 'tråkig'}
dust	{'apelsin_pekoe', 'londo_mollari', 'dust', 'bråte', 'dammkorn', 'dammråtta', 'sprida_ut', 'fencyklidin', 'angel_dust', 'damm', 'debris', 'wet', 'pekoe', 'damma', 'skräp', 'ängladamm', 'fannings', 'stoft', 'skrot', 'fencyklidin_hydroklorid', 'beströ', 'orange_pekoe', 'babylon_5', 'spillror'}
ear	{'vaxpropp', 'öron', 'ax', 'myringit', 'det_mänskliga_örat', 'örat', 'brytpunkt', 'hörselgång', 'trumhinneinflammation', 'ploga', 'boundzound', 'trumhinna', 'mänskliga_örat', 'axfjäll', 'ytterörat', 'hörselgången', 'öronmussla', 'öra', 'pinnae', 'hörn', 'öronsjukdomar', 'öra_nedbrytning', 'vertex', 'ytteröra', 'plöja'}
earth	{'chaotix', 'skyddsjord', 'metal_sonic', 'terra_firma', 'jordklotet', 'lamuella', 'jordens_yta', 'earth', 'jordledning', 'drakkulornas_hemlighet', 'skyddsjordning', 'jord', 'jordning', 'son-gokus_bror', 'knuckles', 'golgafrincham', 'knuckles_the_echidna', 'världen', 'dragon_ball', 'jorda', 'tornets_mästare', 'vector_the_crocodile', 'magrathea', 'elektrisk_jord', 'monster_nummer_8', 'amy_rose', 'vanilla_the_rabbit', 'krikkit', 'miles_tails_prower', 'jordyta', 'terra', 'våran_planet', 'jordytan', 'brontitall', 'backe', 'milliways', '♁', 'pus', 'mark', 'son-gohan', 'jordiska_bekymmer', 'mighty_the_armadillo', 'jordklot', 'fast_mark', 'tails_prower', 'chaos_emeralds', 'cream_the_rabbit', 'jordens', 'espio_the_chameleon', 'jorden_i_science_fiction', 'charmy_bee', 'planeten_jorden', 'draken_shenlong', 'mephiles', 'blaze_the_cat', 'miles_prower', 'jordad', 'rouge_the_bat', 'marken', 'jordartsmetall', 'jordartsmetaller', 'landmassa', 'den_stora_turneringen', 'miles_"tails"_prower', 'jormangnetism', '⊕', 'jorden', 'tellus', 'ace_combat', 'torra_land', 'tapion', 'silver_the_hedgehog', 'saiyan', 'referensnivå', 'sonic_the_hedgehog', 'andromeda', 'världsliga_bekymmer', 'kame-sennis_kampskola', 'dragonball', 'cheese_the_chao', 'land', 'sol_3'}
eat	{'nära', 'yo_gabba_gabba!', 'mata', 'föda', 'utfodring', 'ätlig', 'äter', 'eat', 'mcl1', 'ätande', 'gnaga', 'äta'}
economy	{'socialekonomi', 'lokalekonomi', 'socialekonomisk', 'walden', 'ekonomi', 'landsekonomi', 'nationalekonomin', 'nationalekonomisk', 'politisk_ekonomi', 'sparkvoten', 'statsekonom', 'ekonomiska_systemet', 'landsbygdens_ekonomi', 'hushållning', 'ekonomin', 'statsekonomi', 'nationalekonomi', 'ekonomisk_vetenskap', 'besparing', 'socialekonom', 'sparande', 'ekonomiska', 'sparsamhet', 'ekonomisk_teori', 'statshushållning', 'global_ekonomi', 'politiska_ekonomin', 'skogsliv_vid_walden', 'ekonomisk', 'ekonomiskt_system', 'reala_ekonomin', 'eurozonens_ekonomi', 'nationalekonom', 'politisk_ekonom', 'ekonomiska_system', 'samhällsekonomi', 'världsekonomi', 'ekonomiskt', 'economy', 'ekonomier'}
egg	{'ballock', 'egg', 'osi-referensmodellen', 'oocyt', 'elliptiska', 'ägg', 'skitsnack', 'kokt_ägg', 'ovum', 'augustus_leopold_egg', 'elliptisk', 'osi-modell', 'balle', 'vandrande_pinne', 'osi-modellen', 'äggproduktion', 'fisk_ägg', 'spökskräckor', 'phasmida', 'dataram', 'testiklarna', 'ellipsens_ekvation', 'testikulär', 'testis', 'oval', 'äggläggning', 'pungkulor', 'testiklar', 'augustus_egg', 'delram', 'kula', 'pungkula', 'egg,_augustus', 'setuptools', 'phasmatodea', 'ellips', 'testikel', 'open_systems_interconnection-modell', 'för_phasmatodea', 'fågel_ägg', 'teste', 'äggcell', 'yumurta', 'kyckling_ägg', 'ägget', 'för_phasmida', 'egg,_vorarlberg', 'osi-modeller', 'äggceller'}
election	{'valprocessen', 'val', 'demokratiskt_valda', 'parlamentsval', 'valdagen', 'valet', 'valår', 'politiska_val', 'väljare', 'politiskt_val', 'utvalda', 'förordnande_om_val', 'val-politik', 'election', 'omval'}
electron	{'elektroner', 'elektron', 'electron', 'negatron'}
elegance	{'fägring', 'karlgeorg_hoefer', 'klassisk_skönhet', 'vacker', 'beaut', 'elegant', 'elegans', 'skönhet', 'matematisk_elegans', 'matematiska_skönhet', 'dekorativa', 'estetisk_kompetens', 'snygg'}
emotion	{'känslosam', 'känsla', 'mänskliga_känslor', 'affekt', 'emotionellt', 'emotion', 'känslo', 'känslorna', 'human_after_all', 'känslomässiga', 'stolt', 'känslor', 'emotionell', 'känsloliv'}
emotionally	{'känslosam', 'känsla', 'mänskliga_känslor', 'emotionellt', 'känslo', 'känslorna', 'känslomässiga', 'emotionell', 'stolt', 'känslor', 'affekt', 'känsloliv'}
engine	{'spelmotor', 'motorlok', '3d-motor', 'kraftmaskin', 'järnväg_motorn', 'motor', 'motorer', 'locomotiv', 'motorn', 'lok', 'lokomotiv', 'engine', 'ray_alder', 'videospel_motor', 'loktyp', 'lokomotiv_motor'}
english	{'english', 'engelskan', 'engelsman', 'engelskspråkig', 'nix-adresserat', 'léon_bloy', 'anglistik', 'bloy,_leon', 'aiden_english', 'engelsmän', 'engelsk_filologi', 'engelska_språket', 'engelsk_större', 'engelskspråkiga', 'anglist', 'am._eng.', 'välja_bort', 'engelsk_medelstora', 'amerikansk_engelska', 'engelska_studier', 'engelsk', 'english_language', 'engelska', 'amerikanska', 'engelsmännen', 'brittisk_engelska', 'iso_639:en', 'anglicist', 'engleska', 'bloy', 'eng.', 'amerikanska_språket', 'engelska_välden', 'uk-en', 'engelska_folket'}
event	{'händelse_evenemang', 'resultat', 'följd', 'händelsehanterare', 'elizabeth_bachinsky', 'tangenttryckning', 'resultatet', 'evenemang', 'effekt', 'händelsehantering', 'lur', 'konsekvens', 'verkan', 'följden', 'knapptryckning', 'tangentnedslag', 'lyssnare', 'fall', 'händelse', 'åhörare'}
experiment	{'experimentell', 'vetenskapliga_experiment', 'experiment', 'testa', 'utpröva', 'experimentell_vetenskap', 'experimentell_forskning', 'the_experiment', 'pröva', 'expriment', 'experimentera'}
extremely	{'oerhört', 'synnerligen', 'ytterst', 'extremt'}
eye	{'ögongloben', 'optiska', 'centrum', 'öga', 'ögat', 'european_youth_event', 'eyewall', 'okuli', 'higher_learning', 'mitt', 'livets_hårda_skola', 'åderhinna', 'sammansatta_ögon', 'åderhinnan', 'knopp', 'nålsöga', 'orkanens_öga', 'mitten', 'oculus', 'knoppar', 'ögonvrå', 'ögonglob', 'oculi', 'ögon', 'ögonen', 'optik', 'åderhinan', 'oxöga', 'eye', 'the_eye', 'knoppfjäll'}
fall	{'hösten', 'trilla', 'höstsäsongen', 'natalia_lesz', 'höstar', 'astronomiska_skymningen', 'kvällning', 'skymningen', 'gloam', 'höst', 'fallskador', 'gryning', 'crepuscle', 'minska', 'syndafall', 'senhöst', 'stjärnmörker', 'nightfall', 'love_me_like_you_do', 'syndafallet', 'nedåtgående', 'höstarna', 'pinne', 'höstsäsong', 'kapitulation', 'nautiska_skymningen', 'falla', 'fall', 'tussmörker', 'fallskada', 'sluttning', 'evenfall', 'crepuscule', 'nautisk_skymning', 'efter', 'the_fall', 'börd', 'skymning'}
far	{'interahamwe', 'långt', 'fjärran', 'exploateringstal', 'alir', 'tidigare_försvarsmakten', 'interahamwemilisen', 'far', 'armé_för_rwandas_befrielse', 'bort', 'avlägsen'}
fat	{'file_allocation_table', 'thailands_fotbollsförbund', 'fettvävnaden', 'fetter', 'adeps', 'tjock', 'fetma', 'rondör', 'fettväv', 'bouquet', 'fat1', 'fat32', 'fat12', 'fetthalt', 'mineralitet', 'övervikt', 'stypsis', 'lipoid', 'korpulens', 'lipoider', 'göda', 'adipös_vävnad', 'kropp', 'vfat', 'tjockis', 'glycerolipid', 'filallokeringstabell', 'kroppsfett', 'överviktig', 'frukt', 'balansen', 'djurfett', 'fat16', 'lipider', 'lipide', 'fett', 'fet', 'fetto', 'visceralt_fett', 'fettvävnad', 'lipid', 'överviktsparadoxen', 'balans', 'fat', 'torra', 'adiposis'}
father	{'fadern', 'fäder', 'seriell_entreprenör', 'manlig_förälder', 'kyrkofäderna', 'entreprenörsanda', 'avla', 'företagare', 'kristendomen:_kyrkofäderna', 'katolsk_präst', 'gud_fader', 'entreprenör', 'ökenfäderna', 'katolska_präster', 'far', 'kyrkofäder', 'farsa', 'präst', 'ökenfäder', 'kyrkofader', 'biologiska_far', 'the_gift', 'fader', 'entreprenörskap', 'katolska_prästerskapet', 'pappa', 'kyrkan_far', 'kyrkofadern', 'begetter', 'romersk-katolsk_präst', 'father', 'fader-gud', 'gud', 'confident', 'gud_fadern'}
fear	{'fear.', 'beundran', 'the_klinik', 'rädslor', 'marillion', 'bekymmer', 'rädas', 'skräck', 'akta_och_ära', 'fear', 'frukta', 'vördnad', 'fruktan', 'rädsla', 'klinik', 'inside_out', 'insidan_ut', 'befara', 'skräck_rädsla', 'oro', 'vörda'}
feather	{'konturfjädrar', 'plym', 'jak-15', 'eclipse_fjäderdräkt', 'fjäderdräkt', 'handtäckarna', 'övre_vingtäckare', 'hovskägg', 'flygfjädrar', 'jakovlev_jak-15', 'stjärttäckare', 'stjärtpenna', 'filoplume', 'fjädrar', 'fjäder', 'mariokart', 'handpenna', 'handpennor', 'plymasch', 'täckare', 'armpennor', 'fanstråle', 'vingpennor', 'bräm', 'vingtäckare', 'vingtäckarna', 'handtäckare', 'barbule', 'super_mario_kart', 'armpenna', 'bistråle', 'ludd', 'vingpenna', 'armtäckare'}
feeling	{'stämning', 'tonen', 'beröring_känsla', 'beröring', 'känsloupplevelse', 'känsligt', 'somatosensoriska_systemet', 'somatosensoriska', 'tro', 'intryck', 'anda', 'känsla', 'känslig', 'intuitiv_känsla', 'känslorna', 'känsel', 'sensation', 'taktil_återkoppling', 'känslor', 'taktil'}
few	{'få', 'kvantitet'}
fight	{'väpnad_strid', 'slagsmål', 'slåss', 'renkonterslag', 'kämpa', 'slaget_vid', 'bekämpa_utbildning', 'skärmytslingar', 'brooke_candy', 'strid', 'träffning', 'fight', 'renkonterstrid', 'konkurrenskraft', 'engagemang', 'handgemäng', 'motsätta', 'strida', 'fejd', 'militära_engagemang', 'slag', 'kamp', 'barslagsmål', 'konflikt'}
fingernail	{'naglar', 'nagel', 'nageln', 'fingernagel', 'spik', 'tånagel', 'lillfingernagel'}
fire	{'eld', 'fervidness', 'anarchy', 'emerson,_lake_and_palmer', 'brand_i_hemmet', 'camp_rock_2:_the_final_jam', 'flamma', 'avfyra', 'e.l.p', 'entlediga', 'bål', 'leona_lewis', 'signalprovanstalten', 'iver', 'eldstad', 'heartbreak_on_hold', 'provocera', 'brand', 'bränder', "let's_cheers_to_this", 'eldsvåda', 'flammande', 'elp', 'brinna', 'tina_barrett', 'fire/jericho', 'skjuta', 'innerlighet', 'kelis_was_here', 'brasa', 'kritik', 'glöd', 'chris_corchiani', 'fire', 'emerson,_lake_&_palmer', 'lewis', 'öppna_eld', 'upplösa', 'låga', 'avskeda', 'sparka', 'lewis,_leona', 'storbrand', 'elden', 'bränna', 'kase'}
fish	{'fisken', 'marina_fiskar', 'utdragning', 'phish', '♓', 'fiskarna', 'lista_över_pokertermer', 'fiskben', 'feta_fiskar', 'mjölke', 'fiska', 'pterygiophore', 'lista_över_pokeruttryck', 'longhanded', 'fiskarna_fiskar', 'yngel', 'fiskyngel', 'ichthyofauna', 'fingerling', 'fisk', 'fluorescens_in_situ_hybridisering', 'pokerjargong', 'fesk', 'checka', 'heads-up', 'bad_beat', 'fish', 'dragfjäder', 'all_in', 'fiskar', 'finns_i_sjön', 'fiskarnas_stjärntecken', 'pisces', 'all-in', 'pokeruttryck', 'pokertermer', 'matfisk', 'fluorescerande_in_situ-hybridisering', 'check', 'elver', 'sh3pxd2a', 'fet_fisk', 'go_fish', 'mager_fisk', 'main_event', 'fiskkött'}
five	{'pentad', '5', 'succeeder', 'channel_five', 'basket_team', 'aron_"deuce"_erlichman', 'cinque', 'five', 'ⅴ', 'lilla_phoebe', 'charlie_scene', 'channel_5', 'personlighetsenneagrammet', 'fem', '5ive', 'femma', 'hollywood_undead', 'basketlag', 'achiever', 'sugarcult'}
float	{'glass_float', 'flyttalslösning', 'floating-point_aritmetik', 'ponton', 'offentlig_flyta', 'putsbräden_float', 'blåsa', 'float', 'bobfloat', 'parad_flyta', 'glass_soda', 'flytlösning', 'flyttal', 'okontrollerad_dekompression', 'pontoner', 'swimbladder', 'stilmall', 'flyttalsaritmetik', 'cascading_style_sheet', 'flottör', 'tidsfönster', 'sväva', 'gas_blåsa', 'ponton_båt', 'flottören', 'free_float', 'floats', 'css', 'stilmallar', 'luftblåsa', 'cascading_style_sheets', 'flöte', 'explosiv_dekompression', 'bobber', 'flyta', 'flyttalsnummer', 'maskinepsilon', 'driva', 'sammanhängande_formatmallar', 'simblåsa'}
flow	{'mens', 'riktning', 'hydrauliskt', 'menstruera', 'flödeshastighet', 'rap', 'lingonveckan', 'vattenbyggnad', 'ha_menstruation', 'volymetriska_flödet', 'vattenbyggnadslära', 'ström', 'hydrauliska', 'fluidmekanik', 'flow_festival', 'menstruationen', 'flödesmekanik', 'hydralik', 'fluiddynamik', 'räp', 'rapping', 'florent_mothe', 'young_money_entertainment', 'rapmusik', 'hydraulisk', 'hydrodynamisk', 'utöka_sökvägen', 'hydraultryck', 'hyudralisk', 'menstruation', 'flöde_nätverk', 'tendens', 'rappande', 'strömningslära', 'vätskeflöde', 'nätverk', 'flödesdynamik', 'proto-rap', 'young_money', 'flöde', 'rappa', 'rinna', 'hydrauliksystem', 'strömningsmekanik', 'gravity_recovery_and_interior_laboratory', 'hydrodynamiska', 'hydraulik', 'rap_artist', 'menstruationsblödningar', 'flyter', 'strömning', 'flytande_fysik', 'flow', 'rappare', 'catamenia', 'hydraulsystem', 'reglering', 'flytande_dynamicist', 'emceeing'}
flower	{'växtsäsongen', 'bikrona', 'blomutveckling', 'camui_gackt', 'gacktjob', 'bambi', 'sepal', 'relient_k', 'blomster', 'you_kurosaki', '✿', 'stampe', 'play', 'blomfodret', 'fakta_om_blommor', 'gackt', 'blomma', 'knoppar', 'flower', 'ju-ken', 'gackt_camui', 'vindblomma', 'blomblad', '❁', 'epicuticular_vax', 'kalkblad', 'tepal', 'foderblad', 'camui,_gackt', 'blommor', 'hylle', '❀', 'storhetstid', 'hylleblad', 'petal', 'yukihiro_"chachamaru"_fujimura', 'kalk', 'kronblad', 'camui', 'blomning'}
fly	{'the_fly', 'fly,_vårgårda_kommun', 'ciara', 'gylf', 'tvåvingar', 'flyga', 'fly,_hammarland', 'flugan', 'ciara_princess_harris', 'sanna_flugor', 'fly', 'tvåvingade', 'fjärilssim', 'högboll', 'flyes', 'flugor', 'tält-fly', 'diptera', 'fjäril', 'wanessa', 'tvåvinge', 'tält_flik', 'vexillologisk_symbol', 'flyga_fram', 'rainfly', 'ciara_harris', 'fjärilsim', 'yttertält', 'fiav', 'fjäril_stroke', 'fluga', 'dipterans'}
fog	{'murk', 'zfpm1', 'töcken', 'skymma', 'mist', '10th_avenue_freakout', 'the_fog', 'dimma', 'mark_dimma', 'dis'}
food	{'macronutrient', 'föda', 'kirby', 'mat', 'king_dedede', 'närings', 'fast_föda', 'matos', 'mata', 'näringskälla', 'proviantering', 'moanda', 'stor-gitssjön', 'näringsämne', 'näringsämnen', 'matvaror', 'proviant', 'födoämne', 'intellektuell_näring', 'makronäringsämnen', 'tankeställare', 'nutrient', 'näring', 'förplägning', 'livsmedel', 'matvara', 'förplägnad', 'födoämnen', 'varm_måltid', 'maten', 'krubb'}
foot	{'betala', 'mollusk', 'metrisk_fot', 'skothornet', 'väder_ark', 'fotklanen', 'djur_fot', 'foot_clan', 'storskotet', 'feet', 'underkonstruktion', 'akterlik', 'pes', 'grund', 'foot_ninja', 'fotregemente', 'fundament', 'pada', 'mantel', 'vant', 'skothornen', 'infanterister', 'fotsula', 'infanteri', 'pressarfot', 'ft', 'fotfolket', 'mollusca', 'skota', 'fötterna', 'symaskiner', 'horn', 'svensk_fot', 'en_fot', 'grundläggning', 'kvadratfot', 'infanteriet', 'skothorn', 'symaskin', 'mänsklig_fot', 'lik', 'skot', 'blötdjuren', 'blötdjur', 'foot', 'metrisk_enhet', 'fötter', 'hålfoten', 'ryggradslösa_fot', 'infanterist', 'franska_synålar', 'fotfolk', 'phylum_mouusca', 'infanter', 'proceleusmatiker', 'fot', 'foten', 'husgrund', 'hålfot', 'tchibanga_airport', 'mollusker', 'tåvalken', 'engelsk_fot', 'metriska_fötter', 'ben', 'storskot', 'metriska_fot', 'versfot'}
forest	{'örtrik_granskog', 'rotat_träd', 'vorst', 'trä', 'träd', 'trädbevuxen', 'barrskogar', 'skoglig', 'gemeente_vorst', 'rotade_träd', 'tempererade_skogsmiljöer', 'samling', 'nottingham_forest', 'märkt_träd', 'wälder', 'skog', 'skogar', 'forest', 'commune_de_forest', 'skogsdunge', 'forest,_mississippi', 'kluster', 'skogsvegetation', 'barrskog', 'timberland', 'la_fouarêt', 'tempererad_skog', 'forest,_belgien', 'skogsmark', 'uppspännande_träd', 'timmer', 'virke', 'nottingham_forest_f.c.', 'nottingham_forest_fc', 'skogen'}
four	{'kvaternion', 'succeeder', 'tetractys', '➃', 'quaternion', 'fyra', 'planetary', 'iv', 'quatern', '❹', 'tetrad', 'ⅳ', 'personlighetsenneagrammet', 'little_joe', '4', 'fyra-plats', 'kvaternioner', 'four', 'four,_isère', 'ℍ', 'sex', 'forth', 'quaternity', 'achiever', 'channel_4', 'suburban_kids_with_biblical_names', 'gränsen', '➍'}
freeze	{'freeze', 'freeez', 'frost', 'frysa', 'frysa_in', 'baby_freeze', 'bloodline', 'todd_smith', 'freezes', 'v-kick', 'frysning', 'nike', 'jordin_sparks', 'anhalt', 'hänga'}
fruit	{'frökapsel', 'kropp', 'fruit', 'mineralitet', 'balans', 'stypsis', 'fruktblad', 'frukt', 'balansen', 'torra', 'frukter', 'frukten', 'bouquet'}
