ability	{'talent', 'sposobnost', 'zmožnost', 'sposobnosti', 'zmogljivost', 'nadarjenost', 'bistrost'}
dig	{'prijeti', 'delati', 'suniti', 'ríti', 'rugati', 'razuméti', 'dig', 'izkop', 'izkopati', 'prekopati', 'gročiti', 'arheološko_najdišče', 'podsmijeh', 'pojmiti', 'razumeti', 'aretirati', 'kopati', 'garati', 'zatopiti_se', 'kopanje', 'dojeti', 'roganje', 'zasmeh', 'vedeti', 'preiskovati', 'doumeti', 'eksploatacija', 'mučiti_se', 'andré_dignimont'}
dinner	{'tiffin', 'banket', 'hrana', 'južina', 'popoldanski_čaj', 'družabna_večerja', 'večerja', 'večerjo', 'čaj', 'teatime', 'obed', 'popoldanska_čajanka', 'dejeuner', 'kosilo'}
dirty	{'prst', 'predpomnilnika', 'dirrty', 'umazati', 'nečist', 'nečeden', 'zemlja', 'dirty', 'obscen', 'umazano', 'zemljo', 'glineni', 'l2_predpomnilnika', 'gnusen', 'l1_predpomnilnik', 'umazanijo', 'predpomnilnika_l3', 'predpomnjenje', 'umazan', 'onesnažiti', 'oblatiti', 'napisati-back', 'predpomnilnik', 'cpu_cache', 'set-asociativni', 'zamazan', 'underworld', 'začasni_pomnilnik', 'blaten'}
disease	{'obolevnost', 'bolnik', 'plevritis', 'obolenjem', 'begowal', 'bolezni', 'bolezen', 'zdravstveno_stanje', 'bolézen', 'obolenje', 'unwellness'}
dissolve	{'razpasti', 'odtaliti', 'stajati', 'topiti', 'prepričati_se', 'raztopiti', 'razpustiti', 'odtajati', 'raztopimo', 'otajati', 'staliti', 'odmrzniti', 'navzkrižno_pojemanje'}
disturb	{'motiti', 'prekiniti', 'razburjati', 'vznemiriti'}
do	{'postaviti', 'deluje', 'urediti', 'zgoditi', 'zadostovati', 'igrati', 'izvajati', 'storiti', 'zabava', 'cveteti', 'vršiti', 'vesti_se', 'žur', 'napraviti', 'opravljati', 'delovati', 'doktor_osteopatija', 'stranko', 'žuranje', 'služiti', 'rasti', 'postoriti', 'zadostiti', 'séksati', 'do', 'prakticirati', 'opraviti', 'obnašati_se', 'iti', 'pripetiti_se', 'bi', 'prosperirati', 'zadovoljiti', 'biti', 'soareja', 'razporediti', 'izvršiti', 'priti', 'fukati', 'počutiti_se', 'porivati', 'narediti', 'poznati', 'ubiti', 'povzroči', 'obnašajo', 'uriti', 'sprejem', 'vaditi', 'delati', 'izvrševati', 'povzročati', 'kavsati', 'ali', 'večati_se', 'izvesti', 'naredil', 'imeti', 'približati_se', 'znati', '도', 'zaklati', 'ustvariti', 'nastopati', 'seksati', 'voditi', 'jebati', 'svečanost', 'marshall_applewhite', 'uporabiti', 'izdelati', 'ljubiti', 'ubil', 'prihajati', 'občevati', 'odgovoriti', 'doh', 'ljubiti_se', 'ustrezati', 'zadoščati', 'spolno_občevati', 'izpeljati', 'pripadati', 'spati_z_nekom', 'vedeti', 'povzročiti', 'širokoustiti_se', 'uspevati'}
doctor	{'doktor_cerkve', 'zdravniki', 'doktorica', 'cerkveni_oče', 'strokovni_doktorat', 'restavrirati', 'cerkveni_učitelj', 'dr', 'doktoratov', 'dr.', 'rudie', 'doktorat', 'eliza', 'cerkveni_učitelji', 'zdravnik', 'rude_boy', 'doktorat_znanosti', 'loic_nottet', 'sawbones', 'seznam_cerkvenih_učiteljev', 'doktor', 'doktor_znanosti', 'doctorat', 'cekvena_učiteljica', 'deluje_kirurg', 'doktorant', 'popraviti', 'cerkvena_učiteljica', 'obnoviti', 'kirurg', 'kirurgi', 'vzpostaviti', 'zdravnica', 'loïc_nottet'}
dog	{'canis_lupus_familiaris', 'firedog', 'družina_canidae', 'hrenovke', 'pes', 'canids', 'hot_dog', 'familiaris', 'frump', 'hrenovka', 'wienerwurst', 'pawl', 'kljuko', 'weenie', 'domači_pes', 'položaj_stikala', 'hotdog', 'hulja', 'zasledovati', 'psi', 'goniti', 'antonio_angelo_del_sambro', 'poditi', 'canidae', 'pes_železo', 'canis_familiaris', 'duck_hunt', 'lopov', 'psa', 'preganjati', 'zatikalo', 'andiron', 'loviti'}
dressing	{'ženskih_oblačil', 'člen_oblačil', 'medicinskih_oblačenju', 'apretura', 'nadev', 'nosljivi', 'obvezovanje', 'obleke', 'povoj', 'obleko', 'oviljača', 'solatni_preliv', 'obleka', 'polnjenje', 'odevalo', 'preveza', 'habiliment', 'oblačilno_industrijo', 'oblačila', 'prevezovanje', 'oblačilo', 'gnojenje', 'obveza', 'oblačenje', 'povijanje'}
drink	{'vsrkati', 'deglutition', 'pijača', 'opijanje', 'pijačo', 'požirek', 'pitje', 'pitna', 'pijančevati', 'zastaviti', 'popiti', 'piti', 'pijančevanje', 'pijanstvo', 'crapulence', 'pijače', 'boozing', 'lil_jon', 'požiranje'}
driver	{'gonilnik_naprave', 'slap', 'kamiondžija', 'driver', 'chauffer', 'vezanih_osi', 'pogonskega_kolesa', 'cowcatcher', 'številka_ena_les', 'driver:_san_francisco', 'voznik_tovornjaka', 'tovornjakarjev', 'iglavci', 'gonilniki_naprav', 'struktura_gozda', 'tovornjakar', 'gozd', 'pilota', 'gozda', 'gonilnik', 'šofer', 'voznik', 'gozdu', 'gonilnik_tiskalnika', 'wälder'}
dry	{'izsušiti_se', 'prohibicionist', 'dry', 'suh', 'vinska_cvetica', 'ironičen', 'suho', 'súh', 'telo', 'prohibitionist', 'sadje', 'suha', 'stypsis', 'posuši', 'minerality'}
dull	{'nezanimiv', 'butast', 'glúp', 'sekanten', 'omamiti', 'omejen', 'počasen', 'top', 'mrzek', 'trapast', 'paralizirati', 'zagnusti_se', 'zoprn', 'len', 'mučen', 'naporen', 'utrudljiv', 'neprijeten', 'dolgočasen', 'prenasititi_se', 'neumen', 'bedast', 'mrtev'}
dust	{'razkropiti_se', 'angel_prahu', 'razširiti_se', 'prahu', 'fannings', 'razpršiti_se', 'raztresti', 'phencyclidine_klorid', 'odpadki', 'pekoe', 'babylon_5', 'razkropiti', 'prah', 'dust', 'orange_pekoe', 'phencyclidine', 'grušča', 'razbitina'}
ear	{'pozornost', 'sečišče', 'človeško_uho', 'posluh', 'pinna', 'demba_nabé', 'uho', 'pinnae', 'ušesa', 'stičišče', 'dotikališče', 'presečišče', 'klas', 'uhelj', 'prebodišče'}
earth	{'zemeljska_skrb', 'zêmlja', 'zemlje', 'posvetna_skrb', 'zemlja', 'svetu', 'modri_planet', 'zemljo', 'kopnina', 'terra_firma', 'ozemljitev', 'krikkit', '♁', 'zgradba_zemlje', 'površje', 'dežela', 'ace_combat', 'saiyan', 'earth', 'posvetne_skrbi', 'trdna_tla', 'lamuella', 'magratheo', 'golgafrincham', 'svet', 'zemljišče', 'skrb_za_tuzemeljsko_življenje', 'brontitall', 'dragonball', 'andrómeda', 'ozemljiti', 'milliways', 'kopno', '⊕'}
eat	{'young_m.a', 'izprazniti', 'rjaveti', 'jedilnico', 'hraniti', 'prehranjevanje', 'eat', 'porabiti', 'izčrpati', 'hranjenje', 'jesti', 'razjedati', 'jedo'}
economy	{'gospodarsko', 'varčnost', 'stopnjo_prihrankov', 'politična_ekonomija', 'prihranek', 'gospodarskih_sistemov', 'realno_gospodarstvo', 'gospodarnost', 'nacionalnega_gospodarstva', 'stopnjo_varčevanja', 'varčevanje', 'politične_ekonomije', 'walden', 'gospodarstva', 'ekonomičnost', 'ekonomija', 'ekonomska_znanost', 'prihranki', 'economy', 'ekonomika', 'politični_ekonomist', 'štednja', 'gospodarski_sistem', 'gospodarstvo', 'varčevanja'}
egg	{'jajc', 'iso_model', 'jajčeca', 'oval', 'omrežni_nivoji', 'modo', 'jajčece', 'posnemalci', 'testisov', 'pakrog', 'osi_model', 'open_systems_interconnection', 'iso/osi_referenčni_model', 'jajčne_celice', 'testis', 'sranje', 'da_phasmatodea', 'jajčna_celica', 'ovalna', 'mala_polos', 'modela_osi', 'elipsa', 'elipse', 'jajce', 'augustus_egg', 'teste', 'phasmida', 'ballock', 'proizvodnje_jajc', 'ptičje_jajce', 'ovoid', 'velika_polos', 'model_osi', 'jajca', 'paličnjaki', 'phasmatodea', 'egg', 'omrežni_nivo', 'moda', 'da_phasmida'}
election	{'sklep_o_izvolitvi', 'volitev', 'volilni_politiki', 'izbor', 'ponovni_izvolitvi', 'ponovno_izvolitev', 'volitve', 'izbira', 'election', 'demokratično_izvoljeni', 'glasovanje'}
electron	{'negatron', 'elektron', 'electron', 'masa_elektrona', 'elektronov'}
elegance	{'lepotica', 'eleganco', 'matematične_lepote', 'matematično_eleganco', 'lepotec', 'lepota', 'klasične_lepote', 'karlgeorg_hoefer', 'elegance', 'eleganca', 'klasično_lepoto', 'elegantno'}
emotion	{'emocija', 'čustvo', 'čustveno', 'čustev', 'čustva', 'človeških_čustev', 'maverick_sabre', 'emotion', 'human_after_all'}
emotionally	{'čustveno', 'emocija', 'čustvo', 'čustev', 'čustva', 'človeških_čustev'}
engine	{'stroj', 'orožje', 'motorja', 'pogonski_stroj', 'lokomotive', 'lokomotiva', 'železniške_lokomotive', 'igralni_pogon', 'lokomotiva_motor', 'engine', 'železniška_lokomotiva', '3d_motor', 'pogon_iger', 'motor', 'ray_alder', 'motorja_video_iger'}
english	{'leon_bloy', 'anglež', 'angleži', 'anglistika', 'carl_schurz_english', 'angleškem_jeziku', 'angléž', 'aiden_english', 'angléški', 'english', 'angléžinja', 'ameriška_angleščina', 'ameriški_jezik', 'angleški_jezik', 'angleščini', 'anglist', 'angleščina', 'amerikanščina', 'britanska_angleščina', 'opt-out', 'anglistka', 'ameriški_angleščini', 'angleščino', 'angleški', 'angležev'}
event	{'prireditev', 'dogodkovno_programiranje', 'keystroke', 'event_loop', 'primer', 'učinek', 'dogodkovna_zanka', 'konsekvenca', 'slušatelj', 'poslušalec', 'primeru', 'upravljanje_z_dogodki', 'vpliv', 'dogodkovno_vodeno_programiranje', 'tega_izhaja', 'dogodek', 'event_driven', 'slučaj', 'ključni_kap', 'dogodkovno_orientirano_programiranje', 'izid', 'posledica', 'programski_dogodek', 'event_driven_programming', 'elizabeth_bachinsky', 'event_handler', 'rutina_za_obravnavo_dogodkov', 'event_handling', 'rezultat'}
experiment	{'eksperiment', 'eksperimentalne_raziskave', 'eksperimentalne_znanosti', 'poizkus', 'the_experiment', 'znanstveni_eksperiment', 'preskus', 'eksperimentiranje', 'čoln_na_konjski_pogon', 'preizkušanje', 'poskus', 'experiment'}
extremely	{'nadvse', 'visoko', 'nenavadno', 'zelo', 'čezmerno', 'skrajno'}
eye	{'oko', 'srce', 'očesno_jabolko', 'optika', 'mišico', 'sredina', 'človeško_oko', 'uho', 'zrklo', 'sredini', 'sestavljene_oči', 'pogled', 'oculus', 'center', 'oči', 'optičnih', 'eye', 'osrčje', 'središče', 'eyewall', 'jedro', 'gledati', 'the_eye'}
fall	{'pin', 'zniževati_se', 'astronomskega_somraka', 'po', 'evenfall', 'fall', 'mraku', 'poleči_se', 'spustiti_se', 'natalia_lesz', 'viseti', 'padanja', 'vrniti', 'predaja', 'pojemati', 'uplahniti', 'približati_se', 'spadati', 'dogovoriti_se', 'strmina', 'preiti', 'gloaming', 'soditi', 'navtični_mrak', 'padec', 'morati', 'zmanjša', 'jesensko', 'znižati_se', 'zmanjšati', 'polmrak', 'upadati', 'crepuscule', 'strmino', 'nightfall', 'pasti', 'obesiti', 'jesen', 'prihajati', 'odločiti_se', 'zgoditi_se', 'gloam', 'spuščati_se', 'biti', 'ponižati_se', 'jeseni', 'priti', 'prenesti', 'pade', 'izgubljati_se', 'očistiti_se', 'fall_of_man', 'propad', 'crepuscle', 'jesén', 'the_fall', 'kapitulacija', 'mrak', 'padati', 'somrak', 'manjšati', 'manjšati_se'}
far	{'daleč', 'vojska_za_osvoboditev_ruande', 'prejšnji_vojska', 'alir', 'dáleč', 'oddaljen', 'far', 'interahamwe'}
fat	{'trebušne_maščobe', 'maščoba', 'mast', 'produktiven', 'maščoben', 'lipid', 'suho', 'fat32', 'debelušnost', 'stypsis', 'lipidi', 'spitati', 'pitati', 'vinska_cvetica', 'prekomerno_telesno_težo', 'debel', 'ploden', 'životnost', 'maščobna_olja', 'sadje', 'fat', 'lipoid', 'debelost', 'maščobnega', 'bogat', 'maščobno_tkivo', 'opitati', 'telesne_maščobe', 'udebeliti', 'odebeliti', 'tolst', 'obogatiti', 'maščobe', 'glycerolipid', 'debeliti', 'obogateti', 'maščobnega_tkiva', 'tolstost', 'ugojenost', 'maščevje', 'lipidov', 'masten', 'telo', 'zrediti', 'lipide', 'minerality'}
father	{'cerkev_oče', 'biološki_oče', 'begetter', 'podjetništvo', 'cerkveni_očetje', 'cerkveni_oče', 'katoliških_duhovnikov', 'spočeti', 'mafijski_šef', 'idejni_utemeljitelj', 'katoliški_duhovnik', 'podjetniki', 'soustanovitelj', 'the_gift', 'očka', 'ploditi', 'duhovnik', 'duhovniško', 'oče', 'moški_staršev', 'ustanovitelj', 'podjetnik', 'oče_cerkve', 'ata', 'zaploditi', 'rimskokatoliški_duhovnik', 'zaroditi', 'podjetniške_miselnosti', 'oče-bog', 'prednik', 'serijski_podjetnik', 'father', 'pobudnik'}
fear	{'fear', 'vrvez_v_moji_glavi', 'bojazen', 'čaščenje', 'bati', 'častiti', 'bati_se', 'spoštovati', 'inside_out', 'clinton_"fear"_loomis', 'strah', 'strahospoštovanje', 'marillion', 'skrb', 'zaskrbljenost'}
feather	{'perja', 'operjenost', 'perje', 'filoplume', 'perje_mrk', 'pero', 'operiti', 'jakovljev_jak-15', 'jakovljev_jak-17', 'barbule'}
feeling	{'občutenje', 'duh', 'občutek_za_dotik', 'vzdušje', 'taktilno_občutek', 'čutenje', 'intuitivni_občutek', 'občutek', 'mišljenje', 'mnenje', 'otip', 'predstava', 'somatosenzoricnih', 'občutki', 'vtis', 'čustvo', 'taktika_feedback', 'ton', 'somatosenzorični_sistem', 'okus', 'dotik'}
few	{'količina', 'nekaj', 'kvantiteta'}
fight	{'biti_se', 'bojno_usposabljanje', 'bitka', 'boj_proti', 'oponirati', 'prepir', 'boriti', 'dvoboj', 'borbenost', 'bojevati_se', 'boj', 'fight', 'spopad', 'konkurenčnost', 'pretep', 'braniti', 'bojevati', 'boriti_se', 'ugovarjati', 'spopadih', 'bojevnik', 'nasprotovati', 'oborožen_boj', 'mučiti_se'}
fingernail	{'nohtom', 'nohti', 'noht'}
fire	{'fire', 'anarchy', 'razvneti', 'ogenj', 'kelis_was_here', 'plamen', 'odpustiti', 'izvabiti', 'vzbuditi', 'prižgati', 'ognjeni_zubelj', 'zažgati', 'vnema', "let's_cheers_to_this", 'gorečnost', 'prižgati_se', 'zbuditi', 'heartbreak_on_hold', 'napad', 'ognjevitost', 'dvigniti', 'obuditi', 'leona_lewis', 'požar', 'ustreliti', 'streljanje', 'končati', 'fervency', 'izzvati', 'goreti', 'tina_barrett', 'chris_corchiani', 'fervidness', 'žar', 'navdušiti_se', 'gorečih', 'pekel', 'fire/jericho', 'streljati', 'prebuditi'}
fish	{'hrana_rib', 'mehko_ray', 'ribe', 'phish', 'elver', 'go_fish', 'fish', 'fluorescentna_in_situ_hibridizacija', 'fingerling', 'morskih_rib', 'pterygiophore', 'rib', 'fluorescenčna_in_situ_hibridizacija', 'ichthyofauna', 'pojdi_fish', 'ribariti', 'pisces', 'ribe_so_ribe', 'loviti_ribe', 'riba', 'jasper_fish'}
five	{'košarkarski_ekipi', 'malo_phoebe', 'hollywood_undead', 'število_pet', 'uspešnež', 'peterček', 'eneagram', 'achiever', '5', 'peterica', 'pet', 'succeeder', 'cinque', 'pentad', 'five', 'pét', 'petica', 'sugarcult'}
float	{'plovec', 'swimbladder', 'sladoled_float', 'števila_s_plavajočo_vejico', 'prekrivni_slog', 'css', 'zračni_mehur', 'število_s_plavajočo_vejico', 'sladoled_soda', 'float', 'pihati', 'plavati_mehurja', 'seznami_slogov', 'cascading_style_sheets', 'parade_float', 'eksplozivno_dekompresijo', 'cascading_style_sheet', 'prekrivni_slogi', 'lebdeti', 'ponton', 'bobfloat', 'plava', 'plavajočo_vejico_aritmetično', 'pontona_čoln', 'fasade_v_obtoku', 'plutača', 'plavajočo_vejico', 'plavati', 'pontona', 'plinski_mehur', 'plavajoča_vejica', 'plavajoč'}
flow	{'proto-rap', 'kretati_se', 'hidravlike', 'mesečna_perioda', 'rap_umetnika', 'young_money_entertainment', 'menstruacija', 'pretok', 'menstruacije', 'číšča', 'obesiti', 'viseti', 'prostorninski_pretok', 'catamenia', 'dinamike_tekočin', 'mesečno_perilo', 'pritok', 'mehanike_tekočin', 'volumski_tok', 'emceeing', 'raper', 'potek', 'hidravlično', 'flow', 'tekočine_dynamicist', 'menstruacijo', 'scensko', 'tečenje', 'pasti', 'mehanika_tekočin', 'hidravlika', 'prostorninski_tok', 'zanos', 'tok', 'rapper', 'biti', 'povečuje_poti', 'teči', 'florent_mothe', 'mesečna_čišča', 'volumski_pretok', 'teče', 'gravity_recovery_and_interior_laboratory', 'rap', 'raperji', 'držati_se'}
flower	{'cvetovi', 'cveteti', 'gackt', 'cvetenje', 'nizu_sadja', 'relient_k', 'cvetje', 'cvetlični', 'razcvet', 'zenit', 'brsti', 'cvetenja', 'roža', 'cvesti', 'višek', 'cvet', 'play', 'epikutikularnega_voska', 'flower', 'rastni_sezoni', 'bambi'}
fly	{'šotor-fly', 'letak', 'bežati', 'dipterans', 'delfin', 'prevažati_z_letalom', 'letenje_žogo', 'zbežati', 'prave_muhe', 'ciara', 'dvokrilci', 'izginiti', 'uiti', 'muhe', 'muho', 'pilotirati', 'letenje_spredaj', 'metulj_kap', 'šotor_loputo', 'wanessa', 'fly', 'metulj', 'uteči', 'muha', 'rainfly', 'pobegniti', 'diptera', 'ogniti_se', 'delfin_-_plavanje', 'leteti', 'miniti'}
fog	{'pooblačiti', 'zbegati', 'razlog_za_meglo', 'mrak', 'zamegliti', 'meglenost', 'zbeganost', '10th_avenue_freakout', 'potemniti', 'zatemniti', 'zamegljenost', 'meglica', 'megla'}
food	{'hranilo', 'jed', 'intelektualna_hrana', 'trdna_hrana', 'prehrana', 'hrana', 'hranilna_snov', 'hranil', 'kirby', 'trdno_živilo', 'makrohranil', 'hrana_za_možgane', 'živilskih_proizvodov'}
foot	{'mainsheet', 'understructure', 'živalsko_stopalo', 'infanterija', 'mollusca', 'vznožju', 'pehotnega_polka', 'pehotnih_vojakov', 'čevelj', 'vznožje', 'metri_noge', 'clew', 'metrični_stopal', 'pešadija', 'deblo_mollusca', 'okončina_nevretenčarjev', 'pehota', 'pehotna_enota', 'mehkužci', 'mrtvaški_prt', 'noga', 'temelj', 'pes', 'šivalni_stroj', 'nogo', 'stopalo', 'foot', 'živalska_noga', 'pada', 'pehotno_bojevanje', 'metrični_enota', 'nevretenčarjih_nogo', 'vremenska_stanja', 'ft', 'človeška_noga', 'pešačenje', 'šivalne_stroje', 'stopica', 'ekstremiteta_nevretenčarjev', 'dno'}
forest	{'pogozditi', 'gozd', 'gozd_zmernega_pasu', 'nottingham_forest', 'forest/vorst', 'log', 'iglavci', 'wälder', 'nottingham_forest_f.c.', 'les', 'drevo', 'slap', 'gozda', 'gozdu', 'nottingham_forest_football_club', 'nottingham_forest_fc', 'struktura_gozda', 'forest', 'hosta', 'timberland'}
four	{'kvaternion', 'tetractys', 'forth', 'kvaterna', 'channel_4', 'quaternion', 'planetary', 'mali_joe', '6', 'uspešnež', 'quaternions', 'achiever', 'štiri', 'four', 'quatern', 'mejo', 'tetrad', 'kvaternioni', 'succeeder', 'število_4', 'quaternity', 'četvorica', '4_na_kraju_samem,', '4', 'eneagram'}
freeze	{'visi', 'jordin_sparks', 'zamrzovanje', 'zmrzovanje', 'zamrznitev', 'zmrznjenje', 'strjevanje', 'postanek', 'zaledeneti', 'mraz', 'todd_smith', 'imobilizirati', 'freeez', 'freeze', 'zmrzal', 'pozeba', 'oledeneti', 'bloodline', 'slana', 'zmrzniti', 'zamrzniti', 'prekiniti'}
fruit	{'stypsis', 'sad', 'semena_stroka', 'donos', 'fruit', 'plod', 'telo', 'vinska_cvetica', 'sadje', 'obroditi', 'minerality', 'suho', 'sadež'}
full	{'celoti', 'razvijati_se', 'popoln', 'cel', 'celoten', 'širok', 'dober', 'polno-of-the-moon', 'celotna_lunino_meno', 'sit', 'poln', 'popolnoma', 'povečati_se', 'polna_luna'}
garbage	{'odpadek', 'odpadki', 'bones', 'smet', 'odpadne_snovi', 'živilski_odpadki', 'gospodinjskih_odpadkov', 'garbage', 'withering_to_death.', 'kovinski_odpadki', 'komunalnih_odpadkov', 'gospodinjski_odpadki', 'odpadni_material', 'ostanki', 'odpadkov', 'zavrnejo', 'smeti', 'odpadna_snov'}
give	{'zagotoviti', 'springiness', 'dal', 'podati', 'pokloniti', 'postrojiti_se', 'ponesrečiti_se', 'nameniti', 'iti', 'razpočiti_se', 'z', 'poslabšati_se', 'da', 'posvetiti_se', 'posvetiti', 'ocenjevati', 'prispevati', 'odreči_se', 'predstaviti', 'prožnost', 'oceniti', 'pustiti', 'dajati', 'izplačati_se', 'predati', 'izročiti', 'žrtvovati', 'nuditi', 'podeliti', 'podariti', 'posvečati_se', 'razbiti_se', 'darila', 'cold', 'povzročiti', 'darilo', 'darovati', 'biti', 'odpreti', 'posvečati', 'ločiti_se', 'obdarovati', 'vdati_se', 'vročiti', 'dovoliti', 'povedati', 'plačati', 'doseči', 'uporabiti', 'nakloniti', 'elastičnost', 'prinesti', 'podvreči_se', 'pet_your_friends', 'prinašati', 'dati', 'ustanoviti', 'zrušiti_se', 'vsebovati', 'storiti', 'oditi', 'the_giver', 'zapustiti', 'ugotoviti', 'nahraniti', 'obdariti', 'dopustiti', 'imeti'}
gold	{'platinasto_ploščo', 'alfa_preskus', 'au', 'gabriel_ríos', 'prodaja_snemanje_glasbe_certificiranje', 'alfa_različica', 'bobby_brown', 'lode_zlata', 'anthology', 'izdati', 'programje_alfa', 'gold', 'platinastih', 'srebrno_ploščo', 'dvojno_platinasto_naklado', 'zlato_certifikacijo', 'bogastvo', 'beta_programske_opreme', 'zlata_olimpijska_medalja', 'zlata_medalja', 'različica_rtm', 'beta_tester', 'zlato_ploščo', 'pozlačen', 'zlat', 'atomsko_število_79', 'različica_alfa', 'zlato', 'zlata_kolajna', 'trojno_platinasto_naklado', 'olimpijsko_zlato_medaljo', 'jantarna_barva', 'the_heist', 'programska_izdaja', 'young_lust:_the_aerosmith_anthology', 'zlato_medaljo', 'xau', 'beta_testiranje', 'zlate_medalje', 'fazi_razvoja'}
good	{'dóber', 'ročen', 'blago', 'good_music', 'poln', 'pravi', 'blaga', 'prikladen', 'krepost', 'nepokvarjen', 'izdelki', 'spreten', 'zdràv', 'etičnih_vrednot', 'rutiniran', 'dobroto', 'vrednota', 'resen', 'dober', 'učinkovit', 'zdravilen', 'prijaznost', 'roba', 'zdrav', 'vrednosti', 'koristen', 'človeških_vrednot', 'proizvod', 'pokončen', 'dobrodejen', 'zanesljiv', 'izkušen', 'blagovnimi_dobro', 'izurjen', 'popolnoma', 'dobro', 'vešč', 'thomas_sword_good', 'popoln', 'etične_vrednote', 'verziran', 'vrednost', 'good', 'zrel', 'temeljito', 'varen', 'dobrota'}
grass	{'marihuane', 'gunter_grass', 'poaceae', 'gunter_grass_wilhelm', 'družinski_poaceae', 'špicelj', 'trava', 'sess', 'supergrass', 'denuncirati', 'družine_gramineae', 'izdati', 'gramineae', 'ovaditi', 'graminaceae', 'günter_grass', 'stoner', 'spikelets', 'konoplje', 'grass_gis', 'indijska_konoplja', 'nothing_can_stop_us', 'marihuana', 'trave', 'mary_jane', 'graminoid', 'trav', 'skylarking', 'eatage', 'zelena_boginja', 'sporobolus_caespitosus', 'krma', 'sens', 'trava_družina', 'živinska_krma', 'družinski_graminaceae', 'gandža'}
great	{'ugleden', 'po_modi', 'pomemben', 'eleganten', 'veličino', 'veličastnost', 'nenavaden', 'prvovrsten', 'sijajen', 'velika', 'v_drugem', 'velik', 'prima', 'noseča', 'illustriousness'}
green	{'nezrel', 'viridity', 'svežost', 'zelenice', 'park', 'vert', 'commons', 'green', 'zelena_politika', 'zelene_politike', 'neizkušenost', 'skupno', 'draga_nafta', 'zelenkast', 'suho', 'dajanje_površine', 'zelenilo', 'stypsis', 'artičoka', 'smaragdna_barva', 'super_kislina', 'zeleno_gibanje', 'okoljevarstveniki', 'nedozorel', 'okoljska_aktivistka', 'grah_zelena', 'polaganje_zelen', 'green_river', 'listnato_zelenjavo', 'minerality', 'zelenicah', 'okoljska_ozaveščenost', 'zelene_zelenjave', 'zelena', 'temno_zelena', 'žad_zelena', 'smaragdno', 'mačka_valium', 'zelenkasto_rumene_barve', 'okolju_prijaznih', 'svežina', 'telo', 'listnata_zelenjava', 'vinska_cvetica', 'zelen', 'william_green', 'lahkoveren', 'sadje', 'chartreuse', 'povrtnina', 'jade', 'zelena_barva', 'k_posebni', 'okoljskega_aktivizma', 'varstvo_narave', 'mlad', 'steklenička_zelena', 'feldgrau', 'zelenjava', 'okolju_prijaznejši', 'okoljske_ozaveščenosti', 'listnate_zelenjave', 'super_c', 'rumeno_zelena', 'kelly_green'}
gun	{'najeti_morilec', 'strelno_orožje', 'pištolo', 'revolveraš', 'hitman', 'gunfighting', 'najel_pištolo', 'pedal_za_plin', 'pištola', 'pištola_za_najem', 'trgovini_pištolo', 'mast-gun', 'ognjeno_orožje', 'gunslinger', 'majhno_roko', 'louder_than_love', 'triggerman', 'pedal_plin', 'gunslingers', 'strel', 'morilec', 'top', 'topništvo', 'artilerija', 'gun', 'conventional_weapons', 'težkega_orožja', 'zadeti_človeka', 'mazalna_tlačilka'}
guts	{'hrabrost', 'drznost', 'moxie', 'črevesje', 'črevesju', 'braveness', 'smelost', 'pogum', 'prebavne_cevi', 'drobovine', 'hrbtenica', 'prebavnega_trakta', 'prebavila', 'prebavni_trakt', 'v_prebavnem_traktu', 'drobovje', 'gi_trakta', 'courageousness', 'prebavil', 'črevo', 'bolezni_prebavil', 'črevesja', 'odločnost', 'velika_teorija_poenotenja', 'prebavni_kanal', 'teorija_velikega_poenotenja', 'guts', 'korajža', 'črevesni_sluznici'}
hair	{'las', 'haircloth', 'dlake', 'mišja_dlaka', 'dlaka', 'hair', 'lasje', 'dlačje', 'hairsbreadth', 'kosmato', "hair's-širina"}
hand	{'podati', 'igre_s_kartami', 'iti', 'z', 'šapa', 'dajati', 'predati', 'izročiti', 'scenarij', 'najel_roko', 'podariti', 'ralf_hand', 'kartanje', 'biti', 'kvartanje', 'rokah', 'system_of_a_down', 'cordella', 'roke', 'mornar', 'igralec_bridža', 'igra_s_kartami', 'vročiti', 'hand', 'doseči', 'igralec_most', 'najel_človeka', 'stran', 'pisava', 'pomoč', 'roko', 'dati', 'kazalec', 'dlan', 'strani', 'brakiri', 'pomoč_roko', 'karte', 'manus', 'najeti_delavec', 'roka', 'dilgar', 'pest', 'rokopis', 'thomas_hand', 'drazi', 'taca', 'velik_aplavz', 'kartice'}
he	{'hebrejski_jezik', 'helij', 'ґ', 'hans_eworth', 'superfluidnosti_helija', 'germanij', 'helija', 'hebrejsko', 'on', 'hd_video', 'ge', 'helij/utekočinjen,_komprimiran', 'atomsko_število_2', 'atomsko_število_32', 'г', 'hebrejščina', 'he', 'ѓ', 'video_visoke_ločljivosti', 'jevrejski'}
