ability	{'zdolność', 'uzdolnienie'}
delivery	{'rzut', 'dostawy_do_domu', 'areszt', 'sposób_mówienia', 'zbywalne', 'ratunek', 'żartobliwy', 'środek_lokomocji', 'poród_fizjologiczny', 'urodziny', 'delivery', 'przywóz', 'wikipedysta:rymon_lipinska/ii_okres_porodu', 'żartować', 'alienacji', 'poród', 'podaż', 'poród_u_człowieka', 'porodu', 'żartem', 'chłopiec_dostawy', 'położnicza_dostawy', 'transport', 'nośnik', 'uratować', 'branży_transportowej', 'infrastruktury_transportowej', 'rozrodczym', 'dostawa', 'przynosząc', 'przywózka', 'wieku', 'dowcip', 'uwolnienie', 'sposoby_odklejania_się_łożyska', 'dowóz', 'dostawa_do_domu', 'urodzenie', 'dostawy', 'poród_naturalny', 'kawał', 'prawnego_przeniesienia', 'prawo_podaży', 'żart', 'dowcipy', 'transportu', 'narodziny', 'środek_transportu', 'transport_pasażerski'}
dessert	{'wino_deserowe', 'deserów', 'desery', 'afters', 'deser', 'win_deserowych'}
device	{'config.sys', 'sprzęt', 'convent', 'nicolai_reedtz', 'urządzenie', 'hardware', 'maszyn', 'telefonów_komórkowych', 'device', 'komórkowe', 'mobile', 'sprzęt_komputerowy', 'maszyna', 'telefony_komórkowe', 'urządzenia', 'urządzenie_komputerowe', 'komórkowy', 'narzędzie', 'maszyny', 'urządzenie_techniczne', 'osobistego_sprzętu_komputerowego', 'sprzętu_komputerowego', 'telefon_komórkowy', 'komórka', 'telefon'}
die	{'śmierć_przedwczesna', 'zgon', 'umrzeć', 'kości_do_gry', 'odejście', 'skonanie', 'umarcie', 'martwota', 'zgony', 'gry_w_kości', 'śmierci', 'matryca', 'kość_do_gry', 'śmierć_fizyczna', 'kości', 'śmierć', 'zmarcie', 'kość', 'port_lotniczy_antsiranana', 'kostka_do_gry', 'exitus_letalis', 'śmierć_biologiczna', 'polyhedral_kości', 'śmierć_człowieka', 'załadowanych_kości', 'martwość', 'zmarł', 'die', 'kostka', 'zginąć'}
dig	{'przytyk', 'zrozumieć', 'pojąć', 'ryć', 'przymówka', 'wykopalisko', 'wykopaliska', 'przycinek', 'rozumieć', 'kopanie', 'pojmować', 'wykopywać', 'zgodzić_się', 'być_świadomym_znaczenia', 'kopać', 'dig', 'archeologiczne', 'kpina', 'kuksnięcie'}
dinner	{'obiad', 'fajf', 'dejeuner', 'teatime', 'kolacja', 'tiffin', 'lunch', "five_o'clock", 'kolację', 'lancz', 'podwieczorku', 'wieczerza', 'przyjęcie', 'filiżanka_herbata', 'podwieczorek', 'bankiet'}
dirty	{'pamięć_podręczna', 'pamięć_podręczna_procesora', 'ziemia', 'zabrudzony', 'grunt', 'l-1_cache', 'dirty', 'podłoże', 'buforowane', 'dirrty', 'l2', 'cache_l3', 'underworld', 'brudu', 'l-2_cache', 'haniebny', 'gleby', 'pamięci_podręcznej', 'brud', 'pamięci_podręcznej_danych', 'gleba', 'cache', 'brudzić', 'cache_l1', 'skalać', 'cache_procesora', 'cache_l2', 'l-3_cache', 'pamięć_cache', 'buforowanie', 'set-asocjacyjna', 'zabrudzonych', 'bufor', 'brudne_sprawy', 'pamięci_podręcznej_instrukcji', 'brudny', 'bufor_ram', 'write-back'}
disease	{'schorzenie', 'choroba_somatyczna', 'niedyspozycja', 'schorzeniu', 'niemoc', 'zapalenie_opłucnej', 'dolegliwość', 'niedomaganie', 'przypadłość', 'begowal', 'unwellness', 'syndrom', 'choroby_somatyczne', 'choroba', 'zachorowalność', 'niedomoga', 'choroby', 'choroba_umysłowa', 'chorób', 'chorobliwą', 'zachorowanie', 'patologia'}
dissolve	{'topić', 'rozmrażać', 'roztapiać', 'rozpuszczać', 'rozpuszczać_się', 'rozmrozić', 'roztopić', 'płynne_przechodzenie', 'rozpuścić'}
disturb	set()
do	{'도', 'zachować_się', 'zabić', 'zachowywać', 'biesiada', 'uprawiać_seks', 'działać', 'impreza', 'doktor_osteopathy', 'balanga', 'zachowywać_się', 'tao', 'przyjęcie', 'wieczorze', 'jebać', 'marshall_applewhite', 'dao', 'pieprzyć', 'disease_ontology', 'pierdolić', 'grać', 'partię', 'dobić', 'c', 'występować', 'dać_radę', 'zrobi', 'do', 'wykonać', 'ruchać', 'zabijać', 'to', 'zrobić', 'zabawa', 'udać_się', 'doh', 'bankiet'}
doctor	{'lekarka', 'doktor', 'władcy_czasu', 'lekarz_medycyny', 'jedenasty_doktor', 'studium_doktorskie', 'rude_boy', 'doktor_nauk_technicznych', 'lekarzy', 'pierwszy_doktor', 'dochtór', 'medyk', 'eleventh_doctor', 'specjalności_lekarskie', 'loïc_nottet', 'studia_doktorskie', 'piąty_doktor', 'doctorat', 'operator', 'doktorat', 'naprawiać', 'ninth_doctor', 'doctorwho', 'medical_officer', 'ph.d.', 'studia_doktoranckie', 'rudeboys', 'studia_trzeciego_stopnia', 'dr', 'rudeboy', 'rude_boys', 'dochtor', 'doktor_wojny', 'doctor_who', 'doktorzy_kościoła', 'eliza', 'doktor_kto', 'chirurg', 'phd', 'drugi_doktor', 'doktor_kościoła', 'awaryjny_hologram_medyczny', 'dziewiąty_doktor', 'zabawa_w_doktora', 'second_doctor', 'studia_iii_stopnia', 'doctor', 'third_doctor', 'doktorów_kościoła', 'doctor_of_philosophy', 'trzeci_doktor', 'doktor_who', 'doktor_medycyny', 'lekarz_specjalista', 'lekarz', 'first_doctor', 'doktór', 'dr_who'}
dog	{'andiron', 'pierun', 'tropić', 'skurczybyk', 'bydlak', 'rodzina_canidae', 'duck_hunt', 'richard_keller', 'łajdak', 'isaac_kleiner', 'parówka', 'zapadka', 'adrian_shephard', 'lista_postaci_ze_świata_half-life', 'canis_familiaris', 'barney_calhoun', 'wienerwurst', 'bydlę', 'doktor_breen', 'g-man', 'dog', 'eli_vance', 'ojciec_grigori', 'udomowienie_psa', 'koczkodan', 'gnać', 'gonić', 'pies_domowy', 'judith_mossman', 'firedog', 'krajowego,_pies', 'ścigać', 'familiaris', 'psie_mięso', 'psy_na_znaczkach_pocztowych', 'psowate', 'śledzić', 'psowatych', 'father_grigori', 'dog-iron', 'pieron', 'wallace_breen', 'weenie', 'hot_dog', 'samoblokujący', 'pies', 'canis_lupus_familiaris', 'canidae', 'arne_magnusson', 'hotdog', 'doktor_rosenberg', 'psa', 'hot-dog', 'psa_domowego'}
dressing	{'odzieży', 'zdatny_do_noszenia', 'wdziewanie', 'materiał_opatrunkowy', 'opatrunku', 'przemysłu_odzieżowego', 'szata', 'odzież', 'ubiór', 'farsz', 'konfekcja', 'odzieży_damskiej', 'odzienie', 'opatrunek_medyczny', 'sos_sałatkowy', 'wkładanie', 'dressing', 'ubranie', 'bandażowanie', 'zakładanie', 'faszerowanie', 'opatrunek', 'nakładanie', 'strój', 'ubrania', 'opatrywanie', 'spongostan', 'ubieranie', 'habiliment', 'plaster', 'użyźnianie', 'ciuch'}
drink	{'alkoholizować_się', "lil'_jon", 'the_east_side_boyz', 'łykanie', 'popijawa', 'przepić', 'napój', 'picie', 'napoje', 'deglutition', 'drinka', 'połykanie', "lil'_jon_&_the_eastside_boyz", 'rit', 'golić', 'east_side_boyz', 'tankować', 'przełykanie', 'pijaństwo', 'połykania', 'pitny', 'lil_jon', 'podpijać', 'rochester_institute_of_technology', 'grzać', 'pitna', 'lil_jon_&_the_east_side_boyz', 'przepijać', 'ciągnąć', 'the_eastside_boyz', 'eastside_boyz', 'trunki', 'odpić_zapijać', 'picia', 'crapulence', 'napojów', 'pić', 'lil_jon_&_the_eastside_boyz', 'chlać'}
driver	{'lasy', 'driver:_the_recruit', 'zalesiona', 'piętra_lasu', 'driver:_sennyuu!_car_chase_daisakusen', 'sterownik', 'sterownik_drukarki', 'kierowca_ciężarówki', 'szoferem', 'wälder', 'kompleks_leśny', 'szofer', 'kierowca_wyścigowy', 'driver:_san_francisco', 'chauffer', 'trucker', 'pilota', 'kierowców_ciężarówek', 'kierowca_rajdowy', 'lesie', 'kierowca', 'traker', 'biocenoza_leśna', 'numer_jeden_drewno', 'cowcatcher', 'kierujący', 'jazdy_koło', 'driver:_you_are_the_wheelman', 'sterownik_sprzętowy', 'kół_napędowych', 'las', 'sterownik_urządzenia', 'driver', 'jazdy_ciężarówek', 'kierowców', 'sterowniki_urządzeń'}
dry	{'prohibicji', 'prohibicjonista', 'owoców', 'oschły', 'ironiczny', 'ciała', 'suchy', 'osuszać', 'suche', 'dry', 'mineralności', 'wyschnięcia', 'bukiet', 'tamowanie_krwi'}
dull	{'nieinteresujący', 'otępiały', 'tępogłowy', 'pochmurny', 'szary', 'nieinteligentny', 'chmurny', 'nudny', 'niezajmujący', 'tępy', 'głupi_durny_tępy_tępogłowy_zakuty_durnowaty'}
dust	{'babilon_5', 'pył_kosmiczny', 'pył_meteorowy', 'pyłu', 'orange_pekoe', 'fannings', 'gruz_budowlany', 'pekoe', 'chlorowodorek_fencyklidyna', 'proch_i_pył', 'anielski_pył', 'kurz', 'rumowisko', 'proch', 'babylon_5', 'fencyklidyna', 'kurzu', 'pył', 'angel_dust', 'gruz', 'pył_gwiezdny', 'dust'}
ear	{'ucho_zewnętrzne', 'narząd_słuchu', 'małżowiny_uszne', 'orać', 'rozkładu_ucha', 'pinnae', 'auricula', 'vertex', 'ucha', 'małżowina', 'małżowina_uszna', 'uszy', 'kłos', 'wierzchołek', 'ludzkiego_ucha', 'ucho', 'pinna', 'węzeł'}
earth	{'świata', 'sonic_the_hedgehog', 'świecie', 'uziemienie', 'ziemia', '⊕', 'kraina', 'suchy_ląd', 'płaszcz_zewnętrzny', 'ziemi', 'dragon_ball', 'terra', 'lamuella', 'gogeta', 'krajobraz', 'earth', 'firma_terra', 'kraj', 'golgafrincham', 'matka_ziemia', '♁', 'uziemienie_ochronne', 'światowy_koncern', 'guardian_unit_of_nations', 'uziemić', 'świat', 'stały_grunt', 'padół', 'kula_ziemska', 'saiyan', 'krikkit', 'ace_combat', 'błękitna_planeta', 'uziemienia', 'magrathea', 'gun', 'jinzoningen_18', 'okolica', 'brontitall', 'glob', 'gaja', 'andromeda', 'niebieska_planeta', 'trzecia_planeta_od_słońca', 'ląd', 'teren', 'milliways', 'strony', 'ziemskie_obawy'}
eat	{'konsumowanie', 'posilanie_się', 'konsumpcja', 'jedzenie', 'pożywianie_się', 'zjadanie', 'spożywanie', 'jeść', 'karmić', 'yo_gabba_gabba!', 'odżywianie', 'eat'}
economy	{'teoria_gospodarcza', 'ekonomii', 'nauki_ekonomiczne', 'ekonomika', 'ekonomicznie', 'ekonomia', 'ekonomista', 'economy', 'gospodarki_narodowej', 'ekonomii_politycznej', 'ekonomia_polityczna', 'oszczędzanie', 'system_gospodarczy', 'gospodarki_wiejskiej', 'systemów_ekonomicznych', 'stopy_oszczędności', 'walden', 'gospodarka', 'system_ekonomiczny', 'typ_gospodarki', 'gospodarki', 'oszczędności', 'oszczędność', 'ekonomiczność'}
egg	{'elipsa', 'open_systems_interconnection', 'produkcji_jaj', 'ballock', 'bzdury', 'jądra', 'mimośród_liniowy', 'teste', 'komórki_jajowe', 'jajo', 'bimboły', 'gonada_męska', 'jaja', 'elipsy', 'jajko_sadzone', 'iso/osi', 'phasmida', 'warstwa_transportowa', 'egg', 'model_osi', 'owal', 'aby_phasmida', 'jajo_faszerowane', 'warstwa_fizyczna', 'eliptycznych', 'straszyki', 'warstwa_sieciowa', 'testis', 'warstwa_sesji', 'phasmatodea', 'pasta_jajeczna', 'modelu_osi', 'warstwa_aplikacji', 'jąder', 'jajco', 'jajeczko', 'jajko_kiszone', 'owalny', 'patyczak', 'aby_phasmatodea', 'jaje', 'komórka_jajowa', 'jajko', 'modelu_odniesienia_osi', 'patyczaki', 'jądro', 'jajka', 'warstwa_prezentacji'}
election	{'elekcja', 'wybory', 'obieranie', 'election', 'układ_pct', 'układ_o_współpracy_patentowej', 'wybór', 'wybieranie', 'hak_se_wui', 'nakaz_wyborach', 'wybór_mafii', 'polityki_wyborczej', 'wyborów', 'reelekcję', 'procesu_wyborczego'}
electron	{'promieniowanie_katodowe', 'elektronów', 'promienie_katodowe', 'electron', 'elektron', 'negaton', 'elektrony', 'elektronowy', 'negatron'}
elegance	{'elegancki', 'piękno_w_matematyce', 'dystynkcja', 'karlgeorg_hoefer', 'wykwint', 'wyszukaność', 'sznyt', 'dekoracyjne', 'matematycznej_elegancji', 'matematyczne_piękno', 'wytworność', 'szykowność', 'matematyka_a_estetyka', 'piękno_i_matematyka', 'elegancja', 'szyk', 'klasycznego_piękna', 'coś_ślicznego', 'wykwintność', 'matematycznego_piękna', 'piękno', 'piękno_matematyki', 'elegancji'}
emotion	{'human_after_all', 'uczucie', 'procesy_emocjonalne', 'maverick_sabre', 'emocja', 'odczucie', 'human_after_all:_remixes', 'stan_emocjonalny', 'ludzkich_emocji', 'emocji', 'emotion', 'emocje'}
emotionally	{'uczucie', 'procesy_emocjonalne', 'emocja', 'odczucie', 'stan_emocjonalny', 'ludzkich_emocji', 'emocji', 'emocje'}
engine	{'silniki', 'lokomotyw', 'silnik', 'aparat', 'lokomotywa_kolejowa', 'silnika_kolejowym', 'silnik_3d', 'silnik_gry', 'silnik_oprogramowania', 'silnik_gier', 'silnika_gry_wideo', 'machina_wojenna', 'silnika', 'engine', 'silników', 'lokomotywa', 'motor', 'ray_alder', 'silnik_lokomotywy'}
english	{'anglistyka', 'léon_bloy', 'aiden_english', 'j._ang.', 'strefa_d', 'opt-out', 'pole_d', 'filologii_angielskiej', 'marie_joseph_cain_marchenoir', 'marie_marchenoir', 'anglików', 'american_english', 'matt_rehwoldt', 'english', 'amerykańska_odmiana_języka_angielskiego', 'amerykańskim_angielskim', 'angielka', 'anglistyki', 'matthew_rehwoldt', 'angielszczyzna_amerykańska', 'anglik', 'british_english', 'polski', 'amerykański_angielski', 'język_angielski', 'język_amerykański', 'język_angielski_amerykański', 'brytyjska_odmiana_języka_angielskiego', 'leon_bloy', 'brytyjski_angielski', 'angielszczyzna', 'w_angielskim', 'angielski', 'anglicy', 'filologia_angielska', 'amerykański', 'ang.', 'język_angielski_brytyjski'}
event	{'wydarzenie', 'implikacja', 'konsekwencją', 'obsługa_zdarzeń', 'oddziaływanie', 'przypadku', 'naciśnięcie_klawisza', 'impreza', 'wypadek', 'słuchaczka', 'kolejka_zdarzeń', 'zdarzenie_czasoprzestrzenne', 'historia', 'rezultat', 'rezulatat', 'efekt', 'obsługi_zdarzeń', 'zdarzenia', 'wynik', 'zdarzenie_programu', 'klawiszy', 'przypadek', 'pokłosie', 'następstwo', 'słuchacz', 'zdarzenie', 'zdarzenie_losowe', 'konsekwencja'}
experiment	{'doświadczenie', 'badania_empiryczne', 'eksperymentów', 'badanie_eksperymentalne', 'badanie_interwencyjne', 'eksperymentalnej_nauki', 'experiment', 'doświadczenie_losowe', 'eksperymentować', 'eksperyment', 'the_experiment', 'przeprowadzać_doświadczenie', 'test', 'badania_interwencyjne', 'eksperymentu'}
extremely	{'bardzo'}
eye	{'oko_cyklonu', 'części_mięśnia', 'okręg_wyborczy_eye', 'studenci', 'centrum', 'the_eye', 'pąki', 'oko_proste', 'okulus', 'eyewall', 'oculus', 'eye', 'bud', 'oka', 'kąt_oczny', 'optyczny', 'gałka_oczna', 'oczy', 'pąk', 'pączek', 'oko'}
fall	{'jesienią', 'appoggiatura', 'crepuscule', 'zmierzch', 'padnięcie', 'pochyłość', 'gloam', 'upadku_człowieka', 'upadać', 'polegnąć', 'spadnięcie', 'spaść', 'upadku', 'spadać', 'paść', 'żeglarskiego_zmierzchu', 'zmierzch_żeglarski', 'polec', 'przewrócić_się', 'believe', 'the_fall', 'upadek_człowieka', 'malejących', 'kapitulacja', 'natalia_lesz', 'zmrok', 'upaść', 'pin', 'fall', 'zmierzch_astronomiczny', 'przednutka_długa', 'zmierzchu', 'upadnięcie', 'zmniejszyć', 'upadek', 'evenfall', 'wchodzą', 'magia_uczuć', 'poddawać_się', 'padać', 'crepuscle', 'jesień'}
far	{'kubańskie_siły_powietrzne', 'oddalony', 'daleko', 'intensywność_zabudowy', 'byli_siły_zbrojne', 'interahamwe', 'armia_na_rzecz_wyzwolenia_ruandy', 'wskaźnik_intensywności_zabudowy', 'daleki', 'odległy', 'port_lotniczy_fargo-hector', 'stosunek_powierzchni_podłogi', 'alir', 'far'}
fat	{'tłuszcz', 'wydajny', 'owoców', 'tkanki_tłuszczowej', 'fat', 'glycerolipid', 'tablica_alokacji_plików', 'ciała', 'tabela_alokacji_plików', 'lipoid', 'tamowanie_krwi', 'gruby', 'tłuszczowiec', 'lipide', 'nadwaga', 'spasły', 'czadyjskie_siły_powietrzne', 'tłustość', 'tłuszcze', 'tusza', 'file_allocation_table', 'tkanka_tłuszczowa', 'lipid', 'fat32', 'mineralności', 'tłusty', 'tłuszczowce', 'lipidy', 'lipidów', 'produktywny', 'tłuszczowej', 'bukiet', 'otyłość', 'tłuszczu'}
father	{'ojciec-bóg', 'współzałożyciel', 'przedsiębiorców', 'ojca', 'ksiądz_katolicki', 'ducha_przedsiębiorczości', 'biologicznym_ojcem', 'bóg_żydów', 'przedsiębiorczości', 'begetter', 'ojcostwo', 'mężczyzna_rodzic', 'na', 'bóg', 'przedsiębiorca', 'the_gift', 'don', 'father', 'pisarze_wczesnochrześcijańscy', 'założyciel', 'seryjny_przedsiębiorca', 'tatuś', 'confident', 'duch_przedsiębiorczości', 'rodziciel', 'tata', 'praojciec', 'ojcowie_kościoła', 'tato', 'pan_bóg', 'bóg_ojciec', 'katolickiego_kapłaństwa', 'przedsiębiorczość', 'ojciec_kościoła', 'pisarze_starochrześcijańscy', 'księży_katolickich', 'ojciec'}
fear	{'rewerencja', 'w_głowie_się_nie_mieści', 'marillion', 'przyjmować', 'czuć', 'lęk', 'strach', 'niepokój', 'lękać_się', 'bojaźń', 'trwoga', 'niepokoić_się', 'czuć_niepokój', 'inside_out', 'bać_się', 'fear', 'groza', 'lęków'}
feather	{'filoplume', 'promyk', 'pierze', 'jak-15', 'jak-17', 'pióro', 'pióra_ptaków', 'pióra', 'super_mario_kart', 'upierzenie', 'stosina'}
feeling	{'intuicyjne_uczucie', 'doznanie', 'pojęcia', 'uczucia', 'uczucie', 'poczucie', 'odczucie', 'namacalne_odczucie', 'wrażenie', 'wrażenia_dotykowe', 'dotyk'}
few	{'mało', 'ilość', 'ilości', 'wielkość'}
fight	{'walka_zbrojna', 'nawalanka', 'mordobicie', 'bójka', 'rozpierducha', 'konkurencyjność', 'bijatyka', 'walczyć', 'rozróba', 'bójki', 'walka', 'bitwa', 'walki', 'batalia', 'zaangażowanie', 'przewalanka', 'rękoczyny', 'starcie', 'bitka', 'bój', 'zaangażowania_wojskowego', 'rozróbka', 'fight', 'konflikt', 'szkolenie_bojowe', 'bić_się', 'potyczek', 'walczący', 'łomotanina'}
fingernail	{'paznokciami', 'pazur', 'paznokieć', 'paznokcie', 'paznokci', 'unguis'}
fire	{'fire/jericho', 'bicie', 'wystrzeliwanie', 'przygrzewanie', 'ogień_liga_sprawiedliwych', 'viestikoelaitos', 'tina_barrett', 'pukanie', 'żar', 'łupanie', 'anarchy', 'wygarnianie', 'the_best_kept_secret', 'spalić', 'emerson,_lake_and_palmer', 'zwalniać', 'fervidness', 'wypalanie', 'ognistość', 'tłuczenie', 'płomień', 'leona_lewis', 'pożar', 'walenie', 'dogrzewanie', 'watra', 'vkoel', 'emerson,_lake_&_palmer', 'wzbudzić', 'wylewać', 'kropienie', 'płomienie', 'boys_meet_u', 'elp', "let's_cheers_to_this", 'rąbanie', 'wzbudzać', 'gorliwość', 'płomienisty', 'kelis_was_here', 'palić', 'płonąć', 'fire_/_jericho', 'strzelanie', 'fire', 'heartbreak_on_hold', 'ogień', 'zwolnić', 'wylać'}
fish	{'miękkiej_ray', 'derek_dick', 'narybku', 'go_fish', 'ryb', 'ryby_ryby', 'pterygiophore', 'pisces', 'ryby', 'ichtiofauny', 'fish_food', 'mięso_ryby', 'ryb_morskich', 'ryby_jadalne', 'fingerling', 'ryba', 'fluorescencyjna_hybrydyzacja_in_situ', 'ryba_konsumpcyjna', 'fish', 'ryby_tabeli', 'ryby_konsumpcyjne', 'anatomia_ryb', 'zarybek', 'fluorescencyjnej_hybrydyzacji_in_situ', 'derek_william_dick', 'narybek', 'łowić_ryby', 'phish', 'elver'}
five	{'zespół_koszykówki', 'mała_phoebe', 'pięć', 'cinque', 'succeeder', 'channel_five', 'sugarcult', '5', 'five', 'channel_5', 'pentada', 'achiever', 'sugar', 'hollywood_undead', 'v', 'enneagram', 'piątka', '5ive'}
float	{'css3', 'ponton', 'liczb_zmiennoprzecinkowych', 'swimbladder', 'pęcherzyk', 'dąć', 'liczby_zmiennopozycyjne', 'pęcherz_pływać', 'css_2', 'pływak', 'publicznym_obrocie', 'cascading_style_sheet', 'bobber', 'pływać_pęcherz', 'pływaków', 'wybuchowej_dekompresji', 'pływaka', 'free_float', 'real', 'zmiennoprzecinkowy', 'zmiennoprzecinkowych', 'łodzi_pontonowych', 'arytmetyki_zmiennoprzecinkowej', 'liczba_zmiennoprzecinkowa', 'long_double', 'css', 'ice-cream_soda', 'wiać', 'css2', 'liczby_zmiennoprzecinkowe', 'kaskadowe_arkusze_stylów', 'pławik', 'cascading_style_sheets', 'pęcherz_pławny', 'bobfloat', 'css_1', 'typ_zmiennoprzecinkowy', 'lody_pływak', 'public_float', 'akcjonariat_rozproszony', 'pływak_jest_gipsiarski', 'dmuchać', 'float', 'spławik'}
flow	{'mechaniki_płynów', 'przepływu_objętościowego', 'okres', 'florent_mothe', 'young_money_entertainment', 'rapować', 'krwawienie_miesiączkowe', 'menstruacja', 'hydromechanika', 'miesiączki', 'strumyczek', 'sieci_przepływu', 'rapper', 'hydrauliki', 'mechanika_płynów', 'raper', 'sieć_przepływowa', 'hydraulicznie', 'cykl_jajnikowy', 'szybkość_przepływu', 'raperów', 'dynamika_płynów', 'fizyki_płynów', 'miesiączka', 'rap', 'hydrodynamika', 'płynący', 'ciśnienia_hydraulicznego', 'strumień_objętości', 'dynamicist_płyn', 'przepływu', 'catamenia', 'hydraulika', 'mechanika_ośrodków_ciagłych', 'period', 'przepływ', 'flow', 'miesiączkować', 'równanie_naviera-stokesa', 'emceeing', 'pójście', 'dynamiki_płynów', 'gravity_recovery_and_interior_laboratory', 'artysta_rap', 'sieci', 'proto-rap', 'grail', 'popłynięcie'}
flower	{'kwitnienia', 'epicuticular_wosku', 'bambi', 'kwiaty', 'zbiorze_owoców', 'gackt', 'kwitnąć', 'pąki', 'kwitnienie', 'okres_kwitnienia', 'kwiat', 'relient_k', 'szczyt', 'flower', 'play'}
fly	{'rozporek', 'uciec', 'ciara', 'motyl_skok', 'błystka_wahadłowa', 'skoku_motyl', 'muchówek', 'prawdziwych_linii', 'rainfly', 'latać_arkusza', 'wahadłówka', 'mucha', 'namiot-fly', 'ciara_princess_harris', 'umknąć', 'lot_piłki', 'styl_motylkowy', 'diptera', 'umykać', 'dwuskrzydłe', 'muchy', 'motylek', 'namiotu', 'delfin', 'muchówki', 'latać_przód', 'fly', 'zbiec', 'latać', 'uciekać'}
fog	{'przyćmienie', 'schować', 'mgła', '10th_avenue_freakout', 'ukryć', 'mrok', 'zaćmienie'}
food	{'food', 'składniki_odżywcze', 'produkt_spożywczy', 'składnik_odżywczy', 'żywności', 'port_lotniczy_moanda', 'intelektualnej_pokarm', 'jedzenie', 'żywność', 'substancje_odżywcze', 'makroskładników', 'pożywienie', 'składnik_pokarmowy', 'jadło', 'do_myślenia', 'substancja_odżywcza', 'strawa', 'pokarm', 'kirby', 'stały_pokarm'}
foot	{'miarowy_jednostka', 'stopa', 'ludzka_stopa', 'ft', 'maszyny_do_szycia', 'pułk_piechoty', 'clew', 'płetwa', 'stopa_zwierzę', 'understructure', 'arkusz_pogoda', 'pada', 'maszyna_szwalnicza', 'gromada_mollusca', 'szot', 'port_lotniczy_tchibanga', 'mollusca', 'stopa_angielska', 'maszyn_do_szycia', 'podnóża', 'stóp', 'wanta', 'arkusz', 'roboty_fundamentowe', 'maszyna_do_szycia', 'bulić', 'pes', 'bezkręgowców_stopę', 'mięczaków', 'fundament', 'piechoty', 'miarowy_foot', 'mainsheet', 'piechur', 'piechurów', 'całun', 'stopy', 'róg_szotowy', 'mięczaki', 'mięczak', 'stopa_rytmiczna', 'foot', 'lik_dolny', 'piechota', 'kości_stopy', 'cubic_feet_per_minute'}
forest	{'nottingham_forest_football_club', 'zakorzenione_drzewo', 'korzeń_drzewa', 'nottingham_forest', 'las', 'piętra_lasu', 'nottingham_forest_f.c._w_europejskich_pucharach', 'zalesiona', 'drzewa', 'nottingham_forest_f.c.', 'lesie', 'drzewo', 'lasek', 'forest', 'timberland', 'obszar_leśny_strefy_umiarkowanej', 'wälder', 'biocenoza_leśna', 'dendryt', 'vorst', 'liść_drzewa', 'lasy', 'nffc', 'kompleks_leśny', 'lesisty_teren'}
four	{'czwórka', 'night_changes', 'tetraktys', 'achiever', 'tetrad', 'planetary', 'kwaternionów', 'kwaterniony', 'four', 'forth', '4', 'enneagram', 'linia_4', 'cztery', 'channel_four', 'little_joe', 'quaternity', 'succeeder', 'czterech', 'cztero-spot', 'kwaternion', 'linia_4_metra_w_nowym_jorku', 'tetractys', 'sześć', 'quatern', 'channel_4', 'granicy'}
freeze	{'freeze', 'zamarzać', 'krzepnięcie', 'lodowacenie', 'zmartwienie', 'znieruchomienie', 'freeez', 'bloodline', 'zmarznięcie', 'todd_smith', 'zamrażanie', 'zamarcie', 'zawieszenie_się_komputera', 'zawieszenie_komputera', 'mróz', 'ziąb', 'zamrozić', 'zimnica', 'zastygnięcie', 'zobacz_więcej', 'jordin_sparks', 'marznąć', 'zakrzepnięcie'}
fruit	{'strąków_nasion', 'fruit', 'owoców', 'owoc', 'ciała', 'mineralności', 'owoce', 'efekt', 'tamowanie_krwi', 'wynik', 'rezultat', 'bukiet'}
full	{'pełnia', 'pełni', 'pełni_księżyca', 'pełny', 'napełniony', 'wypełniony', 'syty', 'cały', 'pełnia_księżyca', 'pełna-of-the-moon', 'pełna_faza_księżyca', 'pełen', 'równy'}
garbage	{'odpady_żywnościowe', 'odpady_komunalne', 'skrawki', 'garbage', 'odpadów_stałych', 'odpad', 'odmawiać', 'marnować_sprawę', 'odpadem', 'odpady', 'szrot', 'odpadów_komunalnych', 'odpadów_domowych', 'złomu', 'złom', 'odpady_metalowe', 'śmieci', 'odpadów', 'withering_to_death.', 'odpady_z_gospodarstw_domowych', 'odrzuty'}
give	{'sprężystość', 'nakarmić', 'poświęcić', 'the_giver', 'prezent', 'dar', 'przekazać', 'cold', 'powodować', 'wręczać', 'prezenty', 'dawać', 'wywoływać', 'dawca_pamięci', 'prężność', 'podarunek', 'poświęcenie', 'dać', 'pet_your_friends'}
