ability	{'evne', 'aptitude'}
driver	{'the_driver', 'yrkessjåførfag', 'driver_driverfil', 'enhetsdrivere', 'sjåfør', 'drivhjulene', 'driver-serien', 'tre', 'sjåføren', 'chauffer', 'driver_spillene', 'driver:_san_francisco', 'trucker', 'enhetsdriver', 'kombinert_hjul', 'barskog', 'skriverdriver', 'yrkessjåfør', 'cowcatcher', 'nummer_én_wood', 'pilot', 'kombinert_aksler', 'kombinert_aksel', 'bilist', 'truckers', 'fører', 'lastebilsjåfør', 'truckkjøring', 'skogen', 'driveren', 'drivhjul', 'driver', 'driver_serien', 'lastebilsjåfører', 'skog'}
dry	{'balanse', 'minerality', 'frukt', 'tørke', 'tørr', 'stypsis', 'prohibitionist', 'kroppen', 'dry'}
dull	{'dum', 'dempe', 'slå_av', 'sløv'}
dust	{'fencyklidin', 'pcp', 'strø', 'orange_pekoe', 'steinsprut', 'englestøv', 'babylon_5', 'fannings', 'pekoe', 'engel_støv', 'fenycyklidin', 'støv', 'phencyclidine', 'rusk', 'støvet', 'phencyclidine_hydrochloride', 'fensyklidin', 'dust'}
ear	{'toppunktet', 'ytterør', 'hjørne', 'øremuslingen', 'øre', 'pinnae', 'ører', 'toppunkt', 'ytterøret', 'menneskelige_øret', 'øre_dekomponering', 'aks', 'øret', 'ytterpunkt', 'pinna'}
earth	{'sonic', 'majin_buu-sagaen', 'sonic_the_hedgehog', 'fast_grunn', 'den_blå_planeten', 'majin_buu_saga', 'dragon_ball', 'death_egg', 'bakken', 'jordiske_bekymring', 'lamuella', 'jorden', 'tellus', 'jord', 'earth', 'jordens_historie', 'tørt_land', 'landmasse', 'jordkloden', 'land', 'jordklode', 'golgafrincham', 'jording', '♁', 'terra_firma', 'son_gokū-sagaen', 'verden', 'landjord', '🌍', 'andrómeda', 'saiyan', 'krikkit', 'ace_combat', 'son-gohan', 'magrathea', 'son_gohan', 'elektrisk_jord', 'dragonball', 'brontitall', 'jorda', 'jorde', 'verdslig_bekymring', 'milliways', 'jordklode_klode', 'bakke', 'kamehame-ha'}
eat	{'fôring', 'ete', 'eat', 'mate_fôre', 'spise', 'servering'}
economy	{'økonomiske_system', 'politisk_økonomi', 'forretningsvitenskap', 'besparelse', 'landbruksøkonomien', 'sosialøkonomi', 'økonomisk_system', 'økonomisk', 'nasjonaløkonomisk', 'nasjonaløkonomien', 'økonomier', 'spareraten', 'economy', 'realøkonomien', 'økonomisk_aktivitet', 'økonomiske_systemet', 'politisk_økonom', 'økonomer', 'nasjonaløkonomi', 'økonomi', 'statsøkonomi', 'økonomifaget', 'økonomisk_vitenskap', 'økonomien', 'nasjonaløkonom', 'økonomikk', 'økonomisering', 'økonomiske', 'sparsommelighet', 'walden', 'samfunnsfag_og_økonomi', 'samfunnsøkonomi', 'thriftiness', 'sparing', 'økonomiske_systemer', 'samfunn_og_økonomi'}
egg	{'ballock', 'testiklene', 'for_phasmida', 'ellipse', 'eggform', 'teste', 'ovum', 'testis', 'eggene', 'phasmatodea', 'testikkel', 'burfrie_egg', 'eggcelle', 'hardkokt_egg', 'testicular', 'fugleegg', 'spøkelsesinsekter', 'osi_referansemodell', 'osi_modellen', 'testikler', 'ball', 'egget', 'eggformet', 'fisk_egg', 'elliptisk', 'buregg', 'osi-modellen', 'oval', 'kylling_egg', 'phasmida', 'eggceller', 'eggproduksjon', 'elliptiske', 'pokker', 'fugl_egg', 'egg', 'for_phasmatodea'}
election	{'demokratisk_valgte', 'utvalgte', 'stevningen_av_valget', 'valget', 'election', 'presidentvalg', 'gjenvalg', 'valg', 'valgprosessen', 'kommune-_og_stortingsvalg', 'valg_politikk'}
electron	{'elektronene', 'electron', 'elektron', 'elektroner', 'elektronet', 'negatron'}
elegance	{'dekorative', 'eleganse', 'skjønnhet', 'karlgeorg_hoefer', 'matematiske_skjønnhet', 'beaut', 'klassisk_skjønnhet', 'matematisk_eleganse', 'elegant'}
emotion	{'human_after_all', 'følelser', 'følelse', 'følelse_emosjon', 'emosjonell', 'emosjon', 'følelsesmessige', 'føling', 'kjensle', 'emosjonelle', 'følelsene', 'menneskelige_følelser', 'emotion', 'sinnsstemning', 'kjensler', 'fornemmelse', 'føle'}
emotionally	{'kjensler', 'emosjonelle', 'følelsene', 'kjensle', 'følelser', 'følelse', 'følelse_emosjon', 'emosjonell', 'emosjon', 'følelsesmessige', 'menneskelige_følelser', 'emosjonelt', 'føling', 'sinnsstemning', 'fornemmelse', 'føle'}
engine	{'spillmotor', 'video_spillmotor', 'gamle_lokomotiv', 'jernbane_lokomotiv', 'lokomotiv', 'jernbane_motor', 'spellmotor', 'lokomotivmotor', 'maskin', 'programvare_motor', 'motoren', 'engine', 'lokk', 'jernbane_motoren', 'motor', 'ray_alder', 'motorer', '3d-motor', 'lokomotiver', 'damplokomotiv'}
english	{'engelsk', 'léon_bloy', 'engelsk_filologi', 'ameng', 'bre', 'opt-out', 'engelskspråklige', 'amerikansk_amerikansk-engelsk', 'engelskmann', 'american_english', 'eng.', 'english', 'engelsk_mennesker', 'amerikansk_språk', 'amerikanskengelsk', 'engelsk_medium', 'en-gb', 'engelskmenn', 'breng', 'amerikansk-engelsk', 'engelskspråklig', 'engelsk_språk', 'amerikansk', 'britisk_engelsk', 'ame', 'engelske_språk', 'engelsk_store', 'britisk-engelsk', 'amerikansk_engelsk', 'det_engelske_språk', 'engelsk_studier'}
event	{'programpost', 'event', 'resultat', 'endelige_utfallet', 'programhendelse', 'lytter', 'lytteren', 'øretelefon', 'hører', 'hendelse', 'tastetrykk', 'hendelsesbehandling', 'følge', 'tilfelle', 'hendelse_begivenhet', 'hendelseshåndterer', 'arrangement', 'hendelsen', 'effekt'}
experiment	{'utprøve', 'eksperimenter', 'eksperiment', 'the_experiment', 'eksperimentelle_gruppen', 'vitenskapelig_eksperiment', 'eksperimentell', 'eksperimentell_forskning', 'eksperimentelle', 'eksperimentell_vitenskap', 'experiment', 'eksperimentering', 'eksperimentere'}
extremely	{'svært', 'ekstremt'}
eye	{'blomsterknopp', 'the_eye', 'øyner', 'sentrum', 'optikk', 'knopp', 'øye', 'planteknopp', 'sammensatte_øyne', 'midt', 'eyewall', 'oculus', 'eye', 'øyet', 'midten', 'øyets_linse', 'knopper', 'rød_refleks', 'orkanøye', 'øyne', 'øynene', 'oculi'}
fall	{'gloaming', 'nautisk_skumring', 'declivity', 'crepuscule', 'høsten', 'syndefallet', 'the_fall', 'crepuscle', 'nightfall', 'etterår', 'tussmørke', 'gloam', 'natalia_lesz', 'overgivelse', 'syndefall', 'fall', 'astronomisk_skumring', 'høst', 'avta', 'syndefallsmyten', 'haust', 'fall_of_man', 'evenfall', 'skumring', 'falt', 'pin', 'downslope', 'falle'}
far	{'langt_borte', 'gulvareal_ratio', 'fatal_accident_rate', 'army_for_frigjøring_av_rwanda', 'langt', 'fjern', 'interahamwe', 'tidligere_forsvaret', 'alir', 'far'}
fat	{'fettvev', 'lipider', 'fettvevet', 'balanse', 'kroppsfett', 'fat', 'glycerolipid', 'visceralt_fett', 'lipoid', 'corpulence', 'fet', 'adiposis', 'lipide', 'fedme', 'overvekt', 'flerumettet_fett', 'file_allocation_table', 'tørr', 'filtildelingstabell', 'lipid', 'minerality', 'fat32', 'fett', 'stypsis', 'fettstoff', 'kroppen', 'frukt', 'feitt'}
father	{'herren_gud', 'pappa', 'vårherre', 'begetter', 'en_katolsk_prest', 'entreprenørskap', 'katolske_prester', 'far-gud', 'presteviet', 'co-grunnlegger', 'fatter', 'the_gift', 'gründer_tankesett', 'mannlig_forelder', 'kirkefaderen', 'father', 'gud_fader', 'far', 'katolsk_prest', 'entreprenører', 'katolske_presteskapet', 'biologiske_far', 'kirkefedrene', 'father_of_the_church', 'kirkefader', 'fedre', 'kirken_far', 'seriell_entreprenør', 'entreprenør', 'prest', 'fader', 'kirkefedre', 'gründer', 'kirkefar'}
fear	{'marillion', 'redsel', 'frykt', 'angst', 'skrekk', 'innsiden_ut', 'frykte', 'bekymring', 'inside_out', 'ærefrykt', 'fear'}
feather	{'fjørdrakt', 'tertialer', 'filoplume', 'fjør', 'håndsvingfjær', 'tertialfjær', 'flygefjær', 'armsvingfjær', 'fjærdrakt', 'skulderdekkfjær', 'primærfjær', 'fuglefjær', 'yak-15', 'super_mario_kart', 'øredekkere', 'yakovlev_yak-15', 'beheng', 'yak-17', 'tertiærfjær', 'eclipse_fjærdrakt', 'jakovlev_jak-17', 'armdekkere', 'fjær', 'jakovlev_jak-15', 'yakovlev_yak-17', 'barbule'}
feeling	{'følelser', 'fornemmelse', 'intuitiv_følelse', 'taktil', 'taktil_tilbakemelding', 'inntrykk', 'følsom', 'føling', 'taktil_følelse', 'følelsen', 'tone', 'ånd', 'somatosensoriske_system', 'følelse', 'somatosensoriske', 'berøring_sensasjon', 'taktil_feedback', 'berøring'}
few	{'antall', 'få', 'fåtall', 'kvantitet', 'mengde'}
fight	{'slag', 'kamptrening', 'væpnet_kamp', 'motsette_seg', 'kjempe', 'militære_engasjement', 'konkurranseevne', 'kamper', 'engasjement', 'slåss', 'fight', 'kamp', 'trefninger', 'konflikt', 'slagsmål'}
fingernail	{'negler', 'negl', 'tånegler', 'spiker', 'fingernegl_negl', 'fingernegl'}
fire	{'framkalle', 'brenne', 'fire/jericho', 'eld', 'utføre', 'viestikoelaitos', 'tina_barrett', 'inderlighet', 'angrep', 'glød', 'conflagration', 'bål', 'brann', 'anarchy', 'avfyre', 'kamin', 'emerson,_lake_and_palmer', 'skyte', 'avskjedige', 'fervidness', 'camp_rock_2:_the_final_jam', 'emerson_lake_and_palmer', 'si_opp', 'leona_lewis', 'branner', 'gjøre', 'bevirke', 'emerson,_lake_&_palmer', 'flamme', 'inferno', 'sparke', 'elp', "let's_cheers_to_this", 'signalprovanstalten', 'glødebrann', 'gi_sparken', 'ilden', 'kelis_was_here', 'ildebrann', 'åpen_ild', 'fire', 'heartbreak_on_hold', 'ild', 'flammende', 'ulmebrann', 'peis'}
fish	{'phish', 'bukfinne', 'fiskene', 'fettfinne', 'fiskers_anatomi', 'fluorescens_in_situ_hybridisering', 'go_fish', 'fiskene_fishes', 'fisks_anatomi', 'hopp_i_havet', 'myk_ray', 'myk_stråle', 'marin_fisk', 'spord', 'matfisk', 'fiskekjøtt', 'pterygiophore', 'fiskearter', 'pisces', 'fisken', 'fingerling', 'fiskens_anatomi', 'fiskeanatomi', 'brystfinne', 'fish', 'fluorescerende_in_situ_hybridisering', 'derek_william_dick', 'yngel', 'fisk', 'ichthyofauna', 'fiske', 'elver'}
five	{'litt_phoebe', 'cinque', 'succeeder', 'pentad', 'sugarcult', '5', 'enneagram', 'five', 'achiever', 'enneagrammet', 'hollywood_undead', 'basketballag', 'femtall', 'basketball_team', 'fem', '5ive', 'femmer'}
float	{'iskrem_brus', 'ukontrollert_dekompresjon', 'ponton', 'eksplosiv_dekompresjon', 'dupp', 'flyttall', 'swimbladder', 'stilark', 'flyttallsytelse', 'iskrem_float', '.css', 'flyttall_aritmetikk', 'pongtong_flytebrygge', 'pongtong', 'fri_flyt', 'flottør', 'flyte', 'flytpunkt', 'luft_blæren', 'gassblæren', 'cascading_style_sheets', 'svømmeblæren', 'stilsett', 'svømmeblære', 'flåte', 'bobber', 'bobfloat', 'flottører', 'public_float', 'flyttallsytelse_aritmetikk', 'pontoon_båt', 'parade_flyte', 'pontong', 'flyter', 'gjennomgripende_stilark', 'float', 'plasterer_er_float'}
flow	{'strømningshastighet', 'fluidfysikk', 'fluid_fysikk', 'rapping', 'florent_mothe', 'young_money_entertainment', 'strøm', 'rap_artist', 'væskemekanikk', 'hydraulisk_trykk', 'strømme', 'menstruerende', 'rappere', 'volumetrisk_strømningshastighet', 'mens', 'hydrodynamisk', 'mensensmerter', 'fluidmekanikk', 'rapper', 'mensen', 'augmenting_banen', 'volumetriske_strømningshastighet', 'menstruasjonssyklus', 'hydrauliske', 'nettverk', 'menstruasjon', 'flyt', 'hydraulisk', 'rap', 'strømningshastigheten', 'rapmusikk', 'menstruasjonsblod', 'volumetriske_strømning', 'fluiddynamikk', 'catamenia', 'væskedynamikk', 'flow', 'væske_dynamicist', 'hydraulikk', 'rap-artister', 'emceeing', 'gravity_recovery_and_interior_laboratory', 'flom', 'jevn_flyt', 'proto-rap', 'flyter', 'flyt-nettverk'}
flower	{'knopper', 'vekstsesongen', 'heyday', 'bambi', 'epicuticular_voks', 'gackt', 'floral', 'blomster', 'blomst', 'blomstring', 'relient_k', 'frukt_sett', 'flower', 'play'}
fly	{'fluer', 'ciara', 'tovinger', 'butterfly', 'fly_foran', 'glidelås', 'rainfly', 'telt_klaff', 'buksesmekk', 'sanne_fluer', 'fluen', 'diptera', 'telt-fly', 'gylf', 'ciara_harris', 'fly_ark', 'toving', 'toving_tovinge', 'tovinge', 'fly_ball', 'fly', 'flue', 'dipterans'}
fog	{'skodderegn', 'skodde', 'bakken_tåke', 'murk', 'skjule', 'gjemme', 'tåke'}
food	{'mat_for_tanken', 'næringsstoffer', 'næring', 'kaabii', 'føde', 'intellektuell_næring', 'naturalia', 'kost', 'næringsmiddel', 'næringstoffer', 'macronutrient', 'fòr', 'mat', 'fast_føde', 'matvarer', 'næringsmidler', 'næringsstoff', 'fôr', 'kirby', 'for', 'matvare', 'makronæringsstoffer'}
foot	{'infanterister', 'foten', 'fotsoldat', 'metriske_føtter', 'fot', 'ft', 'infanterist', 'romersk_fot', 'infanteri_regiment', 'metriske_foten', 'pes', 'symaskiner', 'ark', 'fundament', 'lik', 'lett_infanteri', 'bløtdyr', 'mollusk', 'clew', 'virvelløse_foten', 'fotsystemet', 'understructure', 'betale', 'phylum_mollusca', 'arket', 'føttene', 'pada', 'storseiltrimmeren', 'dyr_foten', 'infanteri', 'vær_ark', 'foot', 'fots', 'metriske_enhet', 'infanteriet', 'menneskelig_fot', 'vrist', 'vant', 'symaskin', 'liksvøpet', 'mollusca'}
forest	{'skog', 'nottingham_forest_fc', 'skogen', 'forest', 'nottingham_forest', 'timberland', 'temperet_skogområde', 'skogområde', 'nottingham_forest_f.c.', 'tre', 'barskog', 'driver'}
four	{'fjerde', 'quaternions', 'achiever', 'tetrad', 'planetary', 'quaternion', 'four', 'forth', '4', 'grensen', 'enneagram', 'little_joe', 'quaternity', 'succeeder', 'seks', 'fire', 'linje_4', 'tetractys', 'quatern', 'channel_4', 'fire-spot', 'enneagrammet'}
freeze	{'freeze', 'djupfrysing', 'freeez', 'bloodline', 'frost', 'frost_kulde', 'todd_smith', 'jordin_sparks', 'dypfrysing', 'frysing', 'henge', 'fryse'}
fruit	{'frø_pod', 'fruktdyrking', 'fruit', 'balanse', 'tørr', 'minerality', 'stypsis', 'kroppen', 'frukt', 'frukten'}
full	{'full-of-the-moon', 'vid', 'fullmåne', 'hel', 'fullt', 'månesyke', 'full', 'fulle_månefasen', 'mett'}
garbage	{'kommunalt_avfall', 'garbage', 'matavfall', 'renovasjon', 'avfall_saken', 'søppel', 'metallavfall', 'utklipp', 'avfallsprodukt', 'avfallshåndtering', 'biowaste', 'spillprodukt', 'skrap', 'skrapjern', 'avfall', 'forsøpling', 'husholdningsavfall', 'avfallsstoff', 'avfallsmateriale', 'avfallets_historie', 'withering_to_death.', 'boss', 'nekte'}
give	{'holde', 'bryte_sammen', 'forære', 'gis_bort', 'springiness', 'the_giver', 'cold', 'ofre', 'multiplisere', 'tildeling', 'gi', 'overrekke', 'betale', 'gave', 'har', 'gaver', 'overlate', 'presang', 'bidra', 'skjenke', 'gi_etter', 'mate', 'vie', 'pet_your_friends'}
gold	{'aurum', 'beta-programvare', 'platina-plate', 'gull', 'platina-sertifisering', 'silver_plate', 'trippel_platina', 'gyllen', 'pre-alpha', 'community_technology_preview', 'lukket_beta', 'diamond_rekord', 'cream_gold', 'platinaplate', 'offentlig_beta', 'gull_singel', 'alfaversjon', 'the_heist', 'beta_test', 'gull_plate', 'gold', 'betaversjon', 'gull-sertifisering', 'platina', 'produksjonsstart', 'atomnummer_79', 'gult', 'platina_posten', 'ravgult', 'multi-platina', 'alpha_programvare', 'slippe_på_markedet', 'diamantplate', 'alpha_test', 'xau', 'innfødte_gull', 'gullvinner', 'anthology', 'dobbel_platina', 'gullmedalje', 'gull-medalje', 'software_utgivelsen_livssyklus', 'gullplate', 'betatester', 'sølvplate', 'lode_gull', 'bobby_brown', 'gullmedaljer', 'programvaren_livssyklus', 'sertifisert_gull', 'release_candidate', 'åpen_beta', 'young_lust:_the_aerosmith_anthology', 'gull_album', 'utviklingsstadiet', 'olympiske_gullmedalje', 'salgstrofeer_i_musikkbransjen', 'musikk_innspilling_salg_sertifisering', 'wanna_one', 'platina_album'}
good	{'godt', 'good', 'etiske_verdier', 'verdi', 'gode', 'handelsvare', 'menneskelige_verdier', 'god', 'råvarer', 'varen', 'betydning', 'økonomisk_gode', 'vare', 'verden', 'bra', 'good_music', 'handelsvarer', 'godt_og_ondt', 'rett', 'varer', 'godhet', 'handle_god', 'sunn', 'grundig'}
grass	{'marijuana', 'pot', 'gunter_grass', 'tjall', 'hasjisj', 'spikelets', 'familien_graminaceae', 'graminoid', 'familien_gramineae', 'grass_gis', 'beite', 'mary_jane', 'cannabis', 'gressvekst', 'hasj', 'stoner', 'gress', 'skylarking', 'urt', 'supergrass', 'sens', 'gress_gras', 'gramineae', 'gress-familien', 'grasfamilien', 'gras', 'familien_poaceae', 'grass', 'günther_grass', 'poaceae_–_gressfamilien', 'poaceae', 'sporobolus_caespitosus', 'günter_grass', 'marihuana', 'fôr', 'graminaceae', 'nothing_can_stop_us', 'sess', 'gunter_wilhelm_grass', 'gressfamilien', 'green_goddess', 'eatage'}
great	{'stor', 'storhet', 'illustriousness'}
green	{'vert', 'flaske_grønn', 'groen!', 'grønne_politikk', 'ert_grønn', 'rifle_grønn', "d'agalev", 'jade_grønn', 'cat_valium', 'tørr', 'green_river', 'bladrike_grønnsaker', 'brunswick_grønn', 'miljøvennlige', 'spesielle_k', 'miljøaktivister', 'groen', 'miljøproblemer', 'umoden', 'jeger_grønn', 'miljøvern', 'green', 'grønne_bladrike_grønnsaker', 'greener', 'william_green', 'bladgrønnsak', 'viridity', 'commons', 'parken', 'park', 'miljøaktivist', 'jade', 'green_hadde', 'miljøbevegelsen', 'kelly_grønn', 'kroppen', 'felles', 'blad_grønnsak', 'allmenningen', 'super_syre', 'balanse', 'bladgrønnsaker', 'sette_overflaten', 'grønne_bevegelsen', 'miljøbevissthet', 'frukt', 'miljøvennlig', 'agalev', 'puttinggreenen', 'smaragd', 'gul_grønn', 'honning_olje', 'leafy_grønne_grønnsaker', 'grøn', 'grønne_grønnsaker', 'putting_green', 'gulgrønn', 'feldgrau', 'grønn_ideologi', 'william_grønn', 'minerality', 'miljøvernere', 'grønnaktig_gul', 'miljømessig_vennligere', 'grønt', 'mørk_grønn', 'super_c', 'stypsis', 'grønn', 'chartreuse'}
gun	{'gunslingers', 'triggerman', 'skjote', 'gun', 'pistol', 'revolvermannen', 'tunge_våpen', 'gunfighting', 'gasspedal', 'håndvåpen', 'skyte', 'louder_than_love', 'pistol_butikk', 'grease-gun', 'våpen', 'gun_for_hire', 'hitman', 'liten_arm', 'små_arm', 'skytter', 'skytevåpen', 'hyret_pistol', 'gasspedalen', 'leiemorder', 'conventional_weapons'}
guts	{'fordøyelsesorganer', 'gastrointestinaltraktus', 'mot', 'innvoller', 'fordøyelsessystem', 'moxie', 'courageousness', 'fordøyelseskanalen', 'tarmen', 'tarmer', 'gastrointestinal', 'guts', 'mot_tapperhet', 'øvre_mage-tarmkanalen', 'tarm', 'gastrointestinale', 'enteric', 'tarmslimhinnen', 'mage-tarmsystemet', 'tykktarm', 'fordøyelsessystemet_tube', 'innards', 'intestinal', 'mage-tarmkanalen', 'tapperhet', 'braveness', 'intestinal_lumen'}
hair	{"hair's-bredde", 'hårete', 'hair', 'hår_på_hodet', 'hårstrå', 'nesehår', 'hårvekst', 'hår', 'menneskehår', 'hairsbreadth', 'hårtips', 'haircloth'}
hand	{'håndskrift', 'script', 'hendene', 'hånden', 'manus', 'handskrift_håndskrift', 'bridge-spiller', 'hånd', 'kortspell', 'overrekke', 'overlate', 'hand', 'hånda', 'gi', 'skjenke', 'cordella', 'applaus', 'drazi', 'kortspill_kortspell', 'the_hand', 'system_of_a_down', 'hyret_mann', 'leiekar', 'dilgar', 'handa', 'hand_hånd', 'kortspill', 'kort', 'brakiri', 'hender', 'hjelpende_hånd'}
he	{'hebraisk', 'high_definition_video', 'helium-4', 'atomnummer_2', 'helium', 'germanium', 'hans_eworth', 'moderne_hebraisk', 'г', 'hd-video', 'hebreisk_språk', 'hebraisk_språk', 'he', 'ge', 'heliumballong', 'hebraiske', 'high-definition_video', 'hebr.', 'superflytende_helium', 'hans_ewouts', 'atomnummer_32', 'han', 'עברית', 'עִבְרִית'}
head	{'headspring', 'ball', 'skalle', 'skoleledelse', 'chieftainship', 'storseiltrimmeren', 'http', 'dirty_mind', 'lik', 'sjefsskurken', 'roe', 'mental_innhold', 'oral_sex', 'psyke', 'odde_nes', 'hydraulisk_hode', 'skotske_klanen_sjef', 'deep_troath', 'sinn', 'sinnet', 'ark', 'odde_landtunge', 'odde_landtunge_nes', 'korg', 'byll', 'hodet', 'pseudanthium', 'vær_ark', 'liksvøpet', 'brian_welch', 'fellatio', 'direktør', 'høvding', 'tidsskrift', 'nøtt', 'nous', 'rfc_2616', 'spørsmålet', 'avisartikkel', 'top_dog', 'nyhetsartikkel', 'leder-', 'lærerinne', 'artikkel', 'føre_historien', 'head', 'nes', 'leder', 'kurv', 'første', 'cephalon', 'chieftaincy', 'hode-', 'skum', 'skolemester', 'hyper_text_transfer_protocol', 'hypertext_transfer_protocol', 'knoll', 'oralsex', 'rfc_1945', 'bær', 'munnsex', 'al_snow', 'cunnilingus', 'menneskelige_sinn', 'trommeskinn', 'kasse', 'odde_landtunge_nes_tange', 'frøken', 'hydraulisk_gradient', 'stammehøvding', 'clew', 'knopp', 'odde_nes_tange_forberg', 'http-forespørsel', 'cephalica', 'lederskikkelse', 'karakter', 'arket', 'odde', 'rektor', 'odden', 'hoved-', 'odde_nes_tange', 'autocunnilingus', 'sjef', 'skoleleder', 'http/1.1', 'mafiabossen', 'overhode', 'lede', 'hode', 'lese_/_skrive-hodet', 'bøtte', 'kriminalitet_sjefen', 'vant'}
hear	{'høyrsle', 'hørselssans', 'hørselssystem', 'passe_på', 'lytte', 'høre', 'aural', 'menneskelig_hørsel', 'auditiv_modalitet', 'hørselvern', 'følelse_av_å_høre', 'se', 'høyrsel', 'huske', 'hørsel', 'auditiv_sans', 'lære', 'oppdage', 'finne_ut'}
heart	{'hjertemuskel', '❤', 'hjerte_og_sjel', 'hengivenhet', 'the_force_behind_the_power', 'venstre_hjerte', 'hvor_mange_liter_blod_pumper_hjertet_i_minuttet', 'menneskelige_hjertet', 'nitty-gritty', 'substans', 'essensen', 'alexz_johnson', 'midten', 'midt', 'hjertet', 'hjertekammeret', 'essenser', 'mindless_self_indulgence', 'mettle', 'sentrum', 'hjertekammer', 'philia', 'hjerte', 'heart', 'hjerter'}
heavy	{'tunge', 'balanse', 'heavy', 'tørr', 'frukt', 'livvakt', 'minerality', 'livvakter', 'staten_vs_radric_davis', 'heavy.com', 'ledsager', 'team_fortress_2', 'tung', 'kroppen', 'stypsis'}
help	{'hjelpearbeider', 'hjelpe_til', 'bistå', 'styrk', 'hjelpearbeidet', 'succor', 'hjelpearbeid', 'humanitær_bistand', 'assistere', 'hjelpemiddel', 'barnepiken', 'help!', 'the_help', 'benytte', 'help', 'lettelse_arbeidstaker', 'ministration', 'humanitær_hjelp', 'hjelp', 'medhjelpar', 'assistanse', 'hjelpe', 'elektronisk_hjelp', 'assistent', 'hjelpearbeidere', 'medhjelper', 'bistand', 'hjelper'}
here	{'here', 'hit_hitover', 'hera', 'her'}
hit	{'sammenstøt', 'hīt', 'kollisjoner', 'treffe', 'treffer', 'kollisjon', 'streik', 'trykket', 'ramme', 'angrep', 'ankommer', 'rammet', 'base_hit', 'nå', 'slå', 'truffet', 'scorer', 'kollidere', 'traff', 'hit', 'treff', 'heet'}
hold	{'headlock', 'hauld', 'palmar_grep', 'opprettholde', 'inneholde', 'være_enige_om', 'håndtak_hendel_hank', 'tilbakeholdelse', 'bestille', 'håndtak_hendel', 'fermata', 'et_mønster', 'lasterom', 'lagringsområde', 'bagasjerommet', 'vente', 'innsending_holder', 'vent', 'gjelder', 'clutcher', 'grep', 'stoppe', 'varetekt', 'hold', 'anholde', 'lasterommet', 'kontrollere', 'bære', 'tidsforsinkelse', 'politiets_varetekt', 'støtter', 'holde', 'fermate', 'støtte', 'gi', 'reservere', 'bryting_hold', 'håndtak', 'katame-waza', 'grappling_hold', 'håndtere', 'forsinkelse', 'ha', 'lastedekk', 'har'}
horn	{'valthorn', 'saddle_horn', 'hornantenne', 'horn', 'sykkel_horn', 'kornett', 'bil_horn', 'trompetist', 'dau_moc', 'waldhorn', 'valdhorn', 'jakt_horn', 'trompetister', 'signalhorn', 'dyrehorn', 'motor_horn', 'munnharpe', 'french_horn', 'gaienhofen', 'trompet', 'jazz_trompetist', 'fransk_horn', 'dấu_móc', 'trompeten', 'franske_horn', 'trompeter', 'kjøretøy_horn', 'bilhorn'}
how	{'hands_all_over', 'hvordan', 'spørrende_pronomen', 'spørrende_ord'}
hunt	{'veide', 'søk_leting', 'veiding', 'richard_morris_hunt', 'jakten', 'leigh_hunt', 'holman_hunt', 'søk', 'jakt', 'overhunting', 'jakting', 'hunt_club', 'jakte', 'jegere', 'james_henry_leigh_hunt', 'vaktel_jakt', 'jagten', 'william_holman_hunt', 'william_henry_hunt'}
hurting	{'akutt_smerte', 'fysisk_smerte', 'smerte', 'smertefull_følelse', 'smerte_sensasjon', 'sårer'}
husband	{'bedre_halvdel', 'mann', 'partner', 'husbond', 'hubby', 'gubbe', 'ektefelle', 'bevare', 'gift_mann', 'ektemann', 'gift_person'}
i	{'n-tuppel', 'i-aksent', 'iodin', 'elektriske_strømmer', 'millampere', 'en', 'nanoampere', 'イ', 'et', 'strøm', 'imaginære_enhet', 'multiplikativ_identitet', 'tupler', 'gregorianske_året', 'i̇', 'isoleucine', 'iod', 'én', 'uno_dei_tanti', 'konvensjonelle_strøm', 'år', 'milliampere', 'imaginær_enhet', 'èn', 'い', 'elektrisk_strøm', 'í', 'sextuple', 'ma', 'ett', 'isoleucin', 'atomnummer_53', 'trang_fremre_urunda_vokal', 'enhet', 'i_med_og_uten_prikk', 'trang_fremre_urundet_vokal', 'i', 'tuppel', 'ì', 'strøm_strømstyrke', 'a,_ampere', 'prikkete_og_dotless_jeg', '1', 'centiampere', 'tett_foran_unrounded_vokal', 'ampere', 'ess', 'i_uten_prikk', 'jod', 'и'}
ice	{'deoxyephedrine', 'pervitin', 'dextromethamphetamine', 'emirates_airlines', 'c10h15n', 'emirates', 'forbrenningsmotorer', 'u.s._immigration_and_customs_enforcement', 'i_nødstilfeller', 'fly_emirates', 'skøytebane', 'intern_forbrenningsmotor', 'meth', 'emirates_airline', 'instituto_costarricense_de_electricidad', 'metamfetamin', 'ice_la_fox', 'is_høsting', 'intercityexpress', 'crystal_meth', 'forbrenningsmotor', 'methedrine', 'metamfetamin_hydroklorid', 'methamphetamines', 'immigration_and_customs_enforcement', 'shabu', 'forbrenningsmotoren', 'frosting', 'is_iskrem', 'islegge', 'émirates', 'forbrenningsmotor_kjøretøy', 'kunstig_is', 'is', 'krystall_metamfetamin', 'glasur', 'en_skøytebane', 'bilmotor', 'intercontinentalexchange', 'desoxyn', 'intern_forbrennningsmotor', 'in_case_of_emergency', 'intercontinental_exchange'}
