ability	{'alkalmasság', 'képesség'}
electron	{'elektronok', 'amitron', 'béta-részecske', 'elektron', 'electron', 'negatron'}
elegance	{'elegancia', 'szép', 'szépség', 'klasszikus_szépség', 'matematikai_szépség', 'elegáns', 'matematikai_elegancia', 'karlgeorg_hoefer', 'gyönyörû', 'dekoratív'}
emotion	{'érzelem', 'human_after_all', 'érzés', 'érzelmek', 'érzelmi', 'maverick_sabre', 'emotion'}
emotionally	{'érzelem', 'érzelmek', 'érzés', 'érzelmi'}
engine	{'videojáték_motort', 'ray_alder', 'grafikus_motor', 'mozdony', 'motor', 'vasúti_mozdony', 'szoftvermotor', 'engine', 'szoftver_motor', 'motorok', 'vasúti_motor', 'mozdonyok', 'játék_motorja', 'videojáték_motor', 'videojáték-motor'}
english	{'angol_nép', 'amerikai_angol_nyelv', 'angol_tanulmányok', 'american_nyelv', 'angolok', 'opt-out', 'brit_angol', 'léon_bloy', 'angol_filológia', 'angol_szakos', 'anglista', 'angol_nyelv', 'angolul', 'angliai', 'anglisztika', 'angol_nyelvű', 'brit_angol_nyelv', 'amerikai_angol', 'angol', 'english'}
event	{'gombnyomás', 'okozat', 'gomb_megnyomásával', 'eseménykezelő', 'fülhallgató', 'hallgató', 'végeredmény', 'következménye', 'esetben', 'következmény', 'programesemény', 'hatás', 'esemény', 'eset', 'esemény_kezelése', 'rendezvény'}
experiment	{'kísérletek', 'kísérleti_tudomány', 'kipróbál', 'kísérleti_csoport', 'the_experiment', 'kísérletezés', 'a_kísérlet', 'experiment', 'tudományos_kísérlet', 'kísérlet', 'kísérleti', 'kísérleti_kutatás'}
extremely	{'rendkívül'}
eye	{'the_eye', 'rügyek', 'eyewall', 'oculus', 'közepén', 'szemgolyó', 'szem', 'rügy', 'eye', 'a_szem', 'oculi', 'szemlencse', 'optikai'}
fall	{'esthajnal', 'fényszóródás', 'lanka', 'őszi', 'szürkület', 'alkonyat', 'alkonyatkor', 'pin', 'csillagászati_szürkület', 'fall', 'gloam', 'alkony', 'crépuscule', 'pirkadat', 'bűneset', 'fall_of_man', 'virradat', 'crepuscle', 'ősz', 'hajózási_szürkület', 'esik', 'őszén', 'ősszel', 'félhomály', 'the_fall', 'a_zuhanás', 'zuhanás', 'pirkadás', 'natalia_lesz', 'az_ember_bukása', 'leszálló', 'appoggiatura', 'evenfall', 'előke'}
far	{'távol', 'korábbi_fegyveres_erők', 'sokkal', 'alir', 'kubai_légierő', 'interahamwe', 'far', 'kuba_hadereje', 'messze', 'hadsereg_a_ruanda_felszabadításáért', 'alapterület_arány'}
fat	{'zsírok', 'adiposis', 'fat32', 'fájlallokációs_tábla', 'száraz', 'test', 'zsír', 'transz-zsír', 'zsigeri_zsír', 'lipidek', 'fat', 'szteatocita', 'mineralitás', 'steatocyta', 'kövérség', 'adipocyta', 'fat_32', 'gyümölcs-és', 'zsírszövet', 'thaiföldi_labdarúgó-szövetség', 'kövér', 'stypsis', 'fat_16', 'adipocita', 'lipid', 'lipoid', 'what’s_that_noise', 'zsírsejt', 'glicerolipid', 'file_allocation_table', 'gyümölcs', 'túlsúlyos', 'túlsúly', 'fat16', 'testzsír', 'testesség'}
father	{'apja', 'hímivarú_szülő', 'papság', 'begetter', 'vállalkozás', 'nagyobb_rendek', 'katolikus_papság', 'soros_vállalkozó', 'katolikus_papok', 'katolikus_pap', 'father_of_the_church', 'pap', 'egyházatya', 'vállalkozó', 'kisebb_rendek', 'apa', 'the_gift', 'papi_szentség', 'vállalkozói_szellem', 'atyaisten', 'atya', 'papi_rend', 'father', 'kisebb_rend', 'vállalkozói', 'egyházi_rend', 'római_katolikus_pap', 'vállalkozói_tevékenység', 'atya-isten', 'vállalkozók', 'biológiai_apja', 'egyház_apa', 'egyházatyák', 'társ-alapítója', 'confident', 'nagyobb_rend'}
fear	{'agymanók', 'retteg', 'inside_out', 'áhitat', 'félelem', 'marillion', 'rettegés', 'fél', 'ijedtség', 'félni', 'fear'}
feather	{'toll', 'jak-17', 'jak–17', 'filoplume', 'jak–15', 'tollazat', 'barbule', 'jak-15', 'madártoll', 'eclipse_tollazat'}
feeling	{'tapintás-érzet', 'érzékelés', 'szomatoszenzoros', 'tapintható', 'benyomást', 'együttérző', 'szomatoszenzoros_rendszer', 'érzelem', 'hang', 'a_tapintás', 'érzés', 'tapintást', 'szellem', 'érzések', 'érző', 'tapintható_érzés', 'fogalma', 'intuitív_érzés'}
few	{'kevés', 'mennyiség'}
fight	{'engedélyezi', 'verekszik', 'csatározások', 'harcok', 'versenyképesség', 'harcolni', 'harcoló', 'harcol', 'fight', 'ütközet', 'ütközés', 'katonai_szerepvállalás', 'harcot', 'harci', 'harc', 'csata', 'harci_képzés', 'fegyveres_harc', 'konfliktus'}
fingernail	{'körmök', 'köröm'}
fire	{"let's_cheers_to_this", 'láng', 'éget', 'elp', 'kirúg', 'tűzeset', 'kelis_was_here', 'tina_barrett', 'emerson,_lake_and_palmer', 'emerson_lake_and_palmer', 'leona_louise_lewis', 'buzgóság', 'tűz', 'emerson,_lake_&_palmer', 'lángoló', 'fire/jericho', 'fervidness', 'eléget', 'anarchy', 'tűzvész', 'leona_lewis', 'tűz_van', 'heartbreak_on_hold', 'fire'}
fish	{'fiatal_angolna', 'halak', 'halàszni', 'megsütjük', 'halászik', 'go_fish', 'úszós_halak', 'puha_ray', 'phish', 'fluoreszcens_in_situ_hibridizáció', 'hal', 'halfauna', 'friendly_interactive_shell', 'pisces', 'halszálka', 'élelmiszer-hal', 'halak_a_halak', 'tengeri_halak', 'fish', 'pterygiophore', 'fingerling', 'jasper_fish'}
five	{'kis_phoebe', 'ötös', 'ötnapos_időjárási_időszak', 'five', 'enneagramma', 'öt', '5', 'tanul', 'totál_szívás', 'kosárlabda_csapat', 'tökös_ötös', 'hollywood_undead', 'cinque', 'sugarcult', 'kosárlabda_csapata', 'succeeder', '5ive'}
float	{'lebegőpontos_számok', 'lebeg', 'fúj', 'float', 'lebegőpontos_aritmetika', 'cascading_style_sheets', 'úszóhólyag', 'ellenőrizetlen_dekompressziós', 'állami_float', 'úszók', 'bobfloat', 'css3', 'lebegőpontos', 'lebegőpontos_számábrázolás', 'ponton', 'egymásra_épülő_stíluslapok', 'közkézhányad', 'vakoló_a_float', 'stíluslap', 'úszó', 'úszik', 'lebegőpontos_szám', 'jégkrém_float', 'gáz_hólyag', 'jégkrém_szóda', 'lebegőpontos_aritmetikai', 'css', 'swimbladder'}
flow	{'emceeing', 'áram', 'hatásfokozó_utat', 'folyadék_dynamicist', 'catamenia', 'áramlási_sebesség', 'florent_mothe', 'kopogó', 'hidrodinamikai', 'rapper', 'folyó', 'folyadék_dinamika', 'hidraulikus', 'menstruál', 'térfogatáram', 'folyadékok_és_gázok_mechanikája', 'flow-élmény', 'áramlástan', 'hidrodinamika', 'rappelés', 'áramlását', 'áramlás', 'áramlási_hálózat', 'hidraulikus_nyomás', 'gravity_recovery_and_interior_laboratory', 'térfogati_áramlási_sebesség', 'egyenletes_áramlás', 'hidraulikusan', 'young_money_entertainment', 'hidraulika', 'flow', 'folyadék_mechanika', 'rapperek', 'rap', 'áramlástani', 'proto-rap', 'grail', 'menstruáció', 'rap_művész', 'rapping', 'folyadék_fizika'}
flower	{'terméskötődés', 'a', 'csúcspont', 'virág', 'relient_k', 'bambi', 'rügyek', 'gackt', 'play', 'flower', 'virágok', 'virágokat', 'flos', 'virágzás', 'epicuticular_viasz', 'virágzik', 'virágos'}
fly	{'fly_lap', 'kétszárnyúak', 'dipterans', 'fly_ball', 'wanessa', 'diptera', 'sátor-fly', 'ciara', 'legyek', 'repül', 'pillangó', 'repülni', 'fly_elöl', 'menekül', 'pillangóúszás', 'true_legyek', 'a_légy', 'repít', 'rainfly', 'sátorlapot', 'fly', 'légy'}
fog	{'10th_avenue_freakout', 'talajmenti_köd', 'a_köd', 'köd'}
food	{'étel', 'élelmiszerek', 'élelmiszeripari_termékek', 'ennivaló', 'szilárd_élelmiszert', 'étek', 'szellemi_táplálékot', 'tápanyag', 'élelem', 'kirby', 'tápanyagok', 'elgondolkodtató', 'makrotápanyag'}
foot	{'gyalogezred', 'ft', 'metrikus_mértékegység', 'időjárás_lap', 'gyalogos', 'metrikus_láb', 'láb', 'mollusca', 'pada', 'versláb', 'lábánál', 'lepel', 'fővitorlát', 'gyalogság', 'lábfej', 'foot', 'pes', 'alapítvány', 'varrógép', 'állati_láb', 'törzs_mollusca', 'gerinctelen_láb', 'puhatestűek', 'puhatestű', 'gombolyag', 'emberi_láb', 'understructure'}
forest	{'erdei', 'forest', 'erdő', 'gyökeres_fa', 'fa', 'erdők', 'erdős', 'rengeteg', 'liget', 'wälder', 'nottingham_forest_football_club', 'nottingham_forest_fc', 'erdőben', 'nottingham_forest', 'fagráf', 'erdőség', 'nottingham_forest_f.c.', 'vorst', 'mérsékeltövi_erdős_terület', 'erdővidék', 'tűlevelű_erdők'}
four	{'planetary', 'iv', 'négy', 'quaternions', 'enneagramma', 'four,_isère', 'tanul', 'tetractys', 'channel_4', 'four', 'kvaterniók', 'négy_részből_álló', 'succeeder', '4', 'tetrád', 'kis_joe', 'négyes', 'négy_helyszínen', 'quaternity', 'forth', 'hat', 'quatern'}
freeze	{'freeez', 'fagy', 'bloodline', 'freeze', 'lefagy', 'todd_smith', 'jordin_sparks', 'fagyasztó', 'fagyasztás'}
fruit	{'stypsis', 'kaszat', 'száraz', 'test', 'áltermés', 'gyümölcs-és', 'fruit', 'vetőmag_pod', 'mineralitás', 'gyümölcs', 'termés', 'gyümölcsök'}
full	{'holdtölte', 'tele', 'telihold', 'teljesen', 'teljes_a_holdfázis', 'full-of-the-moon'}
garbage	{'élelmiszer-hulladék', 'szemét', 'háztartási_hulladék', 'szemetet', 'hulladékok', 'szilárd_hulladék', 'withering_to_death.', 'ócskavas', 'települési_hulladék', 'vendégkönyv_bejegyzés', 'garbage', 'lom', 'törmelék', 'hulladék_termék', 'fémhulladék', 'hulladék_anyag', 'települési_szilárd_hulladék', 'élelmiszerhulladék', 'hulladék'}
give	{'ajándékot', 'van', 'the_giver', 'ajándékokat', 'rugalmasság', 'etetni', 'ajándékoz', 'az_emlékek_őre', 'ajándék', 'ajándékok', 'pet_your_friends', 'cold', 'ad', 'hogy'}
gold	{'aranyérmes', 'béta_verzió', 'bétaváltozat', 'szoftver_életciklusa', 'háromszoros_platina', 'olimpiai_aranyérmet', 'platina_lemez', 'a_szoftverfejlesztés_fázisai', 'alfaverzió', 'multi-platina', 'platina_rekord', 'nyilvános_béta', 'szoftver_kiadása', 'nyílt_béta', 'béta_teszt', 'a_szoftverkiadás_életciklusa', 'aurum', 'fejlesztési_szakaszban', 'bétateszt', 'aranyérem', 'ezüst_lemez', 'dupla_platina', 'arany_album', 'alfa_verzió', 'young_lust:_the_aerosmith_anthology', 'aranyfüst', 'the_heist', 'zárt_béta', 'bétaverzió', 'arany_rekordot', 'au', 'e175', 'aranyérmet', 'bobby_brown', 'arany', 'platina_album', 'alpha_test', 'lode_arany', 'atomszám_79', 'gold', 'szoftverkiadás_életciklusa', 'termésarany', 'release_candidate', 'alpha_verzió', '4955_gold', 'béta_szoftver', 'platina', 'kiad', 'aranylemez', 'anthology', 'wanna_one', 'pre-alpha', 'zenei_felvételek_országok_szerinti_minősítési_küszöbszámai', 'alpha_szoftver', 'arany_egyetlen', 'sandhja', 'beta_teszt', 'rtm_verzió', 'natív_arany', 'arany_lemez'}
good	{'cikkek', 'jó', 'etikai_értékek', 'gazdasági_jó', 'libellé', 'áru', 'jószág', 'áruk', 'teljesen', 'jól', 'emberi_értékek', 'becsületes', 'szűkösség', 'érték', 'jelentőség', 'fontosság', 'jóság', 'good_music', 'árucikk', 'kereskedelem_jó', 'javak', 'good'}
grass	{'sens', 'sess', 'családi_gramineae', 'graminoid', 'gyógyfű', 'mary_jane', 'kannabisz', 'család_poaceae', 'fűféle', 'marihuána', 'graminaceae', 'skylarking', 'takarmány', 'sporobolus_caespitosus', 'fű_család', 'supergrass', 'zöld_istennő', 'gunter_grass', 'füvek', 'fűfélék', 'poaceae', 'kalászkák', 'günter_grass', 'gyógynövény', 'gunter_wilhelm_grass', 'pázsitfüvek', 'nothing_can_stop_us', 'fű', 'grass_gis', 'családi_graminaceae', 'pázsitfűfélék', 'stoner', 'eatage', 'perjefélék', 'mariska', 'marihuánát', 'gramineae'}
great	{'nagyság', 'illustriousness', 'nagy', 'nagyságát'}
green	{'száraz', 'zöld_növényi', 'chartreuse', 'zöldes', 'méz_olaj', 'vert', 'mineralitás', 'zöldessárga', 'super-sav', 'ökologizmus', 'borsó_zöld', 'környezetbarát', 'william_green', 'green', 'zöld_vált', 'cat_valium', 'stypsis', 'hiszékeny', 'leveles_zöldség', 'speciális_k', 'környezetvédő_mozgalom', 'sárgászöld', 'puska_zöld', 'zöldség', 'közös', 'green_river', 'a_közvagyon', 'üzembe_felület', 'sárga,_zöld,', 'bottle_green', 'környezetvédelem', 'gyümölcs', 'környezet_megóvása', 'zöld_leveles_zöldség', 'brunswick_zöld', 'zöldek', 'zöldít', 'environmentalizmus', 'vadász_zöld', 'test', 'környezeti_tudatosság', 'környezetvédelmi_aktivisták', 'kelly_zöld', 'putting_green', 'commons', 'sötétzöld', 'smaragd', 'park', 'super_c', 'gyümölcs-és', 'leveles_zöldségek', 'feldgrau', 'zöldpolitika', 'jade_zöld', 'környezetvédők', 'zöld_politika', 'környezetbarát_jelölés', 'jáde', 'zöldesség', 'környezetvédelmi_aktivista', 'környezeti_aktivizmus', 'golfpálya_lyuk_körüli_pázsitja', 'zöld_mozgalom', 'zöld'}
gun	{'gázpedál', 'gunfighter', 'bérgyilkos', 'gunfighting', 'puska', 'pisztoly_bérlés', 'kis_kar', 'lőfegyverek', 'fegyvert', 'zsír-gun', 'gunslingers', 'hitman', 'gépfegyver', 'harcos', 'kun', 'nehéz_fegyver', 'tűzfegyver', 'triggerman', 'kézi_lőfegyverekkel', 'hit_man', 'kis-kar', 'fegyver_bolt', 'bérelt_fegyvert', 'lőfegyver', 'conventional_weapons', 'louder_than_love', 'gun'}
guts	{'gyomor-bél_rendszer', 'bélcsatorna', 'zsigerek', 'global_guts', 'courageousness', 'emésztőrendszer', 'moxie', 'emésztési_cső', 'emésztőszervek', 'gyomor-és_bélrendszeri', 'tápcsatorna', 'emberi_gyomor-bél_traktusban', 'bél', 'bátorság', 'bélnyálkahártya', 'tápcsatornára', 'belek', 'gi_traktus', 'guts', 'gyomor-bél_traktus'}
hair	{"hair's-szélesség", 'haja', 'hairsbreadth', 'szita', 'emberi_haj', 'szőr', 'haj', 'fej_haj', 'szőrös', 'szőrszálakat', 'hair'}
hand	{'thomas_hand', 'kézírás', 'kéz', 'bérelt_ember', 'dilgarokkal', 'kézfej', 'cordella', 'hand', 'kezét', 'kártyajáték', 'kártyák', 'brakiri', 'kezében', 'béres', 'script', 'manus', 'híd_játékos', 'brakiri_krona', 'ad', 'drazi', 'segítő_kéz', 'system_of_a_down'}
he	{'ivrit', 'héberül', 'ivritül', 'hélium', 'zsidó_nyelv', 'héber', 'héber_nyelv', 'atom_száma_2', 'ivrit_nyelv', 'ge', 'hd_videó', 'г', 'germánium', 'hans_eworth', 'szuperfolyékony_hélium', 'high_definition_videó', 'helium', 'nagy_felbontású_videó', 'e939', 'he', 'ő', 'atomszám_32'}
head	{'igazgató', 'vezető', 'dobbőr', 'mentális_tartalom', 'vezér', 'al_snow', 'pseudanthium', 'igazgatónő', 'fejét', 'chieftaincy', 'bűncselekmény_lord', 'vezetni', 'maffiavezért', 'dirty_mind', 'lepel', 'feji', 'fővitorlát', 'hír', 'kérdés', 'nagykutya', 'vezetője', 'head', 'orális_szex', 'fellatio', 'terel', 'hypertext_transfer_protocol', 'vezet', 'fej', 'psziché', 'újságcikk', 'nous', 'bűncselekmény_főnök', 'felláció', 'tanárnő', 'kormányoz', 'cikk', 'igazgatója', 'http/1.1', 'hidraulikus_gradiens', 'író_/_olvasó_fej', 'iskolaigazgató', 'ész', 'http', 'folyóiratcikk', 'szopás', 'tanító', 'időjárás_lap', 'forrás', 'iskola_igazgatója', 'elme', 'skót_klán_főnöke', 'emberi_elme', 'hegyfok', 'értelem', 'fejenként', '69-es_pozíció', 'törzsfőnök', 'kalauzol', 'főnök', 'fő', 'chieftainship', 'gombolyag', 'maffia_főnök', 'brian_welch', 'http_kérés', 'irányít', 'vezet_történet', 'hidraulikus_fej'}
hear	{'hallásvédelem', 'figyelj', 'hallgat', 'hallani', 'hangzásbeli', 'figyel', 'hallási_modalitás', 'hallás', 'emberi_hallás', 'hallásérzék', 'hall', 'hallása'}
heart	{'heart', 'pericardialis_folyadék', 'szív', 'mindless_self_indulgence', 'közepén', 'kivonat', 'raw_like_sushi', 'vérmérséklet', 'alexz_johnson', 'a_vérfarkas', 'szeretet', 'szív_kamra', 'tetves-kavicsos', 'odaát', 'lynz', 'lényeg', 'szív_és_lélek', 'cor', 'cordis', 'emberi_szív_anatómiája', 'emberi_szív', 'eszencia', 'philia', 'jobbra_szív'}
heavy	{'stypsis', 'doktor_house', 'testőre', 'gyümölcs', 'heavy.com', 'száraz', 'test', 'nehéz', 'testőr', 'testőrök', 'az_állam_vs_radric_davis', 'heavy', 'testőrsége', 'mineralitás', 'doktor_house_1._évad', 'gyümölcs-és', 'team_fortress_2'}
help	{'the_help', 'segíteni', 'csi:_new_york-i_helyszínelők', 'help!', 'súgó', 'támogatás_munkavállaló', 'segéd', 'segítség', 'a_segítség', 'megkönnyebbülés_munkavállaló', 'helyettes', 'online_súgó', 'igénybe', 'humanitáriánus_segély', 'szolgálat', 'szolgálnak', 'megkönnyebbülés_munka', 'help', 'segít', 'támogatás', 'asszisztens', 'segítse'}
here	{'here', 'hera', 'héra', 'itt', 'ide'}
hit	{'üti', 'találat', 'pontszám', 'ütközések', 'elérje', 'elér', 'gólt', 'ütközés', 'ütő', 'sztrájk', 'hít', 'üt', 'bázis_hit', 'hit', 'öl'}
hold	{'birtokol', 'van', 'fenntart', 'kézszorítás', 'tartsa', 'fogantyú', 'tart', 'tároló', 'fermata', 'fogvatartás', 'rakodótér', 'katame-waza', 'raktérben', 'hold', 'csomagtér', 'küzdenek_hold', 'fül', 'nyél', 'lekötelez', 'rendőrségi_őrizetben', 'időeltolódás', 'tengelykapcsolók', 'egyetért', 'fejzár', 'alkalmazni', 'bír', 'késés', 'ellenőrizzék', 'tartásba', 'birkózás_tartsa', 'tartalmaz', 'fogó', 'markolat'}
horn	{'horni_járás', 'horn', 'francia_kürt', 'autóduda', 'jármű_kürt', 'szarv', 'kürt_antenna', 'francia_horn', 'duda', 'vadászat_kürt', 'trombitások', 'trombita', 'nyereg_kürt', 'kerékpár_kürt', 'motor_kürt', 'személygépkocsi_kürt', 'kornett', 'gaienhofen', 'kürt', 'trombitás', 'doromb', 'jazz_trombitás'}
how	{'hands_all_over', 'kérdő_névmások', 'julia_beatrice_how', 'kérdő_névmás', 'milyen', 'how', 'kérdő_szó'}
hunt	{'vadászat_club', 'richard_morris_hunt', 'vadászik', 'william_holman_hunt', 'fürj_vadászat', 'henry_james_leigh_hunt-', 'vadászat', 'william_holman_hunt-', 'hunt', 'vadászok', 'overhunting', 'holman_hunt-', 'a_vadászat', 'leigh_hunt-', 'keresés', 'william_henry_hunt'}
hurting	{'fájdalmas_érzés', 'fájdalom', 'fájdalomérzet', 'a_fájdalom', 'fáj', 'akut_fájdalom'}
husband	{'férj', 'partner', 'társ', 'házas_ember', 'nős_férfi', 'jobbik_fele', 'husband', 'házastárs'}
i	{'iodine', 'áram', 'jelenlegi', 'ma', 'mine', 'rendezett_n-es', 'tuple', '1', 'pont_nélküli_i', 'ibolyó', 'ász', 'imaginárius_szám', 'rendezett_szám_n-es', 'nanoampere', 'ile', 'elektromos_energia', 'i̇', 'selected_ambient_works_85-92', 'elektromos_áram', 'imaginárius_egység', 'pontos_i', 'pont_nélküli_és_pontos_i', 'egység', 'n-est', 'pontozott_i', 'a', 'hagyományos_áram', 'atomszám_53', 'jód', 'multiplikatív_identitás', 'villamos_áram', 'év', 'hármas', 'hatszoros', 'képzeletbeli_egység', 'i', 'képzetes_egység', 'izoleucin', 'szoros_első_unrounded_magánhangzó', 'amper', 'ì', 'egy', 'török_i', 'joule-törvény', 'selected_ambient_works_85–92', 'и', 'iblany', 'í'}
ice	{'c10h15n', 'ice', 'műjégpálya', 'speed', 'szpíd', 'deoxyephedrine', 'pervitin', 'meth', 'dextromethamphetamine', 'autó_motorja', 'belsőégésű_motor', 'jég_betakarítás', 'intercity-express', 'emirates', 'fagylalt', 'metamfetamin-hidroklorid', 'methamphetamine', 'instituto_de_costarricense_electricidad', 'belső_égésű_motorral_felszerelt', 'jégcsarnok', 'jégpálya', 'crystal_meth', 'desoxyn', 'in_case_of_emergency', 'metamfetamin', 'shabu', 'a_jég', 'glazúr', 'met', 'belső_égésű_motorok', 'robbanómotor', 'benzinmeghajtású_motor', 'belső_égésű_motor', 'jég', 'mesterséges_jég', 'faith_erin_hicks', 'methedrine', 'jegesedés', 'vészhelyzet_esetén', 'ice_la_fox', 'kristály_metamfetamin'}
if	{'stadium_arcadium', "château_d'if", "chateau_d'if", 'intrinsic_faktor', 'interaktív_fiction', 'ha…', 'command.com', 'if', 'ha', 'kevertek', 'if-then-else', 'föltételes_utasítás', 'if_vára', 'impakt_faktor', '(if)', 'szöveges_kalandjáték', 'szöveges_kalandjátékok', 'feltételes_utasítás', 'ha...', 'feltételes'}
ignorance	{'avidjá', 'tudatlanság', 'ignorance', 'avidya'}
illness	{'unwellness', 'megbetegedési_aránya', 'kór', 'betegségek', 'betegség', 'morbid'}
impress	{'sajtó_bandák', 'sajtó-banda', 'impresszum', 'nyomja_meg_a_bandák', 'erőszakos_toborzás'}
in	{'az_indiai_köztársaság', 'bharat', 'elem', 'inch', 'india', 'col', 'indiai_köztársaság', 'indiana', 'hoosier_állam', 'republic_of_india', 'atomszám_49', 'hüvelyk', 'भारत_गणराज्य', 'in', 'indium', 'tagság'}
invention	{'találmányok', 'újdonságművelés', 'technológiai_innováció', 'innovatív', 'találmány', 'feltalálók', 'feltalálni', 'újítások', 'invenció', 'feltalálás', 'újítás', 'innováció'}
investigation	{'kutatás', 'tudományos_kutatás', 'vizsgálat', 'kutatási_módszerek', 'vizsgálóbíró', 'kutatók'}
invisible	{'metaanyag', 'taylor_swift', 'sound_of_white_noise', 'láthatatlanság', 'floored', 'elevate', 'holy_diver', 'lehetetlen_fizika', 'dream_evil', 'szintes', 'evilized', 'invisible', 'láthatatlan'}
job	{'job,_puy-de-dôme', 'alkalmazás', 'üzlet', 'szakma', 'előzetes_birkózó', 'munkaviszony', 'házimunka', 'teendő', 'munka_világában', 'üresedés', 'beosztás', 'feladat', 'elfoglaltság', 'állás', 'foglalkoztat', 'job', 'gond', 'napi_munkát', 'foglakoztatottság', 'jób_könyve', 'munkát', 'sorban_a_munka', 'személyzet', 'foglalkoztatás', 'munka', 'baj', 'probléma', 'foglalkozás'}
jungle	{'jungle', 'oldschool_dzsungel', 'out_of_the_blue', 'dzsungel', 'oldschool_jungle', 'shine_a_little_love', 'hobo_tábor'}
key	{'fürtözetlen_index', 'kartográfia', 'samara', 'titkos_kulcs', 'adatbázis-index', 'térképészek', 'elsődleges_kulcs', 'zárókő', 'francis_scott_key', 'kriptográfiai_kulcs', 'beállításkulcs', 'másodlagos_kulcs', 'titkos_kód', 'homokzátony', 'fekete', 'florida_kulcs', 'kulcsot', 'inkiness', 'kartográfiai', 'térképészet', 'titkosításokat', 'térképészeti', 'grafikon', 'cayes', 'zátony', 'index', 'térképkészítés', 'egyezéskód', 'lepedék', 'azonosító_kulcs', 'adriaen_thomasz_key', 'titkosítási_kulcs', 'térképész', 'kulcs', 'tonalitás', 'gombot_gyümölcs', 'titkosírás', 'billentyű', 'tárgymutató', 'szabaddobás_sáv', 'diagram', 'térképezés', 'hangnem', 'egyedi_kulcs', 'key', 'tonális_zene', 'transzponálás', 'titkosító_gép', 'willem_key', 'hangfaj', 'adatbázis_index', 'cays'}
kill	{'gyilkol', 'halála', 'halál', 'the_kill', 'halott', 'halálozások', 'meghalt', 'gyilkos', 'üzembe_halálra', 'megöl', 'öl', 'kill'}
kindness	{'kindness', 'a_kedvesség_világnapja', 'kedvesség', 'megbocsátás'}
king	{'rex', 'üzleti_mágnás', 'billie_jean_king', 'királynő', 'mogul', 'császárság', 'king_ov_hell', 'gyáros', 'monarchikus', 'reverend_horton_heat', 'fűrészáru_báró', 'charles_bird_king', 'b._b._king', 'big_üzletember', 'parlamentáris_monarchia', 'világ-verő', 'uralkodók', 'iparosok', 'szuverén', 'mágnás', 'george_king', 'iparmágnás', 'koronás_fej', 'monarchia', 'billie_jean_moffitt', 'b.b._king', 'king', 'king.com', 'billie_jean_king-moffitt', 'bb_king', 'riley_b._king-', 'mágnások', 'férfi_uralkodó', 'üzleti_vezető', 'király', 'uralkodó', 'riley_king', 'martin_luther_king_jr.', 'monarchiák', 'alkotmányos_monarchia', 'martin_luther_king', 'hajózási_mágnás', 'felső_vezetői', 'királyság'}
knee	{'térd_sztrájk', 'térd', 'térdsérülés', 'articulatio_genus', 'genu', 'fojtogat', 'térdízület', 'emberi_térd', 'térdizület'}
know	{'ismeretek', 'megkúr', 'megbasz', 'dug', 'kognitív_folyamatok', 'noesis', 'baszik', 'ismeret', 'megtapasztalják', 'kognitív_funkció', 'kognitív_képességek', 'ismer', 'tudás', 'gondolkodás', 'kognitív_feldolgozás', 'megismerés', 'kognitív', 'kúr', 'kognitív_képesség', 'megdug'}
lady	{'boldogasszony', 'asszonyom', 'bmv', 'szent_mária', 'cím', 'műsor', 'szűzanya', 'úri_hölgy', 'boldogságos_szent_szűz', 'szent_szűz', 'dame', 'the_lady', 'the_virgin', 'segítő_szűzanya', 'titulus', 'formája_cím', 'hölgyek', 'szűz_mária', 'címe_tisztelet', 'beata_maria_virgo', 'susi_és_tekergő', 'a_devil_may_cry_szereplőinek_listája', 'babba_mária', 'mary', 'nemesasszony', 'hölgy', 'lady', 'főrangú_nő', 'stílus'}
lake	{'lake', 'tavak', 'pigmentek', 'efemer_tó', 'tó', 'időszakos_tó', 'mulandó_tó', 'édesvízi_tó', 'renegátok', 'természetes_tava', 'pigment'}
land	{'szuverén_állam', 'feudális_domain', 'mexikó_szövetségi_államai', 'mexikói_állam', 'res_publica', 'land', 'din_land', 'deklaratív_elmélet_államiság', 'országok', 'német_szövetségi_államok', 'partra_jogosultja', 'birtok', 'mexikó_államai', 'szilárd_talajon', 'szuverén_államok', 'mozdíthatatlan', 'birtok_ház', 'politikai_társadalom', 'kirakodott_ingatlan', 'ingatlan', 'mexikó_tagállamai', 'országban', 'telek', 'az_ingatlan', 'föld', 'vidéki_birtok', 'talaj', 'hazai', 'uradalom', 'leszáll', 'birodalmában', 'politikai_test', 'nemzetek', 'hold', 'németország_tartományai', 'hektár', 'edwin_h._land', 'edwin_herbert_land', 'földterület', 'ingatlanjog', 'kormányzati', 'földtörvény', 'állam', 'landol', 'terra_firma', 'nemzet', 'szárazföld', 'ország', 'terület', 'tartomány'}
laugh	{'hecc', 'nevetés', 'tréfát', 'élc', 'tréfa', 'tréfás', 'vicc', 'viccek', 'nevetni', 'poén'}
