ability	{'capacidad', 'poder', 'habilidad', 'ingenio', 'talento', 'aptitud'}
dangerous	{'tremendo', 'grave', 'arriesgado', 'dangerous', 'decemberadio', 'riesgoso', 'severo', 'peligrosa', 'terrible', 'serio', 'aventurado', 'peligroso', "it's_hard"}
day	{'aeropuerto_internacional_james_m._cox', 'tiempo_solar', 'diurnas', 'james_m._cox_international_airport', 'veinticuatro_horas_período', 'aeropuerto_internacional_james_m._cox-dayton', 'james_m._cox_dayton_international_airport', 'duración_del_día', 'día_solar', 'veinticuatro_horas', 'jornada', 'aeropuerto_municipal_james_m._cox-dayton', 'aeropuerto_municipal_de_dayton', 'hora_solar', 'kday', 'clarence_shepart_day_jr', 'día_de_sol', 'día', 'día_solar_medio', 'dias', 'aeropuerto_internacional_de_dayton', 'james_m._cox-dayton_municipal_airport', 'day', 'día_sideral', 'clarence_day', 'durante_el_día', 'tiempo_solar_aparente', 'dia', '24-horas_intervalo', 'clarence_shepard_day_jr.', 'dayton_international_airport', 'días'}
deceive	{'fraude', 'tergiversación', 'burlar', 'hacer_trampa', 'impostura', 'decepción', 'subterfugio', 'bribonada', 'engañar', 'bellaquería', 'truhanería', 'engañosa', 'deshonestidad', 'confundir', 'mentira', 'engaño'}
dedication	{'dedicacion', 'dedication', 'entrega', 'compromiso', 'dedicación', 'epístola_dedicatoria', 'consagración', 'devoción', 'dedicatoria'}
deliberately	{'deliberadamente', 'adrede', 'a_propósito', 'expresamente', 'intencionadamente', 'intencionalmente'}
delivery	{'parto', 'parto_natural', 'enajenación', 'jocoso', 'alumbramiento', 'parto_humano', 'salvamento', 'transportacion', 'oferta', 'locomocion', 'nacimiento', 'chistes', 'paricion', 'transporte', 'multipara', 'jocosa', 'chiste_verde', 'parto_vaginal', 'multípara', 'chanza', 'chiste', 'trayendo', 'parturienta', 'cesión_legal', 'blade:_la_serie', 'oferentes', 'transportar', 'entrega', 'suministro', 'alienación', 'transportación', 'industria_del_transporte', 'remisión', 'lanzamiento', 'traspaso_legal', 'chascarrillo', 'blade_la_serie', 'parturición', 'transporte_de_pasajeros', 'primipara', 'librea', 'alienable', 'gracia', 'distribución', 'dilatacion', 'reparto_a_domicilio', 'primípara', 'enajenacion', 'rescate', 'parto_obstétrico', 'enajenable', 'reparto', 'salvación', 'manera_de_hablar', 'transferencia_legal', 'medio_de_transporte', 'industria_transporte', 'broma', 'maternidad', 'dilatación', 'rescatar', 'ocurrencia', 'transportes', 'medio', 'preservación', 'delivery', 'chistoso', 'blade_-_la_serie', 'entrega_a_domicilio', 'parición', 'embarazo', 'parir', 'liberación', 'parturiente', 'puja', 'jocosidad', 'infraestructura_de_transporte', 'dar_a_luz'}
dessert	{'postre', 'dulce', 'rapadura', 'vinos_de_postre', 'vino_de_postre', 'vino_dulce', 'postres', 'postre_vino'}
device	{'equipo_informatico', 'máquinas', 'maquinaria', 'ardid', 'comunicaciones_móviles', 'teléfono_móvil_móvil', 'hardware', 'maquina', 'config_sys', 'movil', 'artefacto', 'soporte_físico', 'implemento', 'equipo_informático', 'hardware_informático', 'telefono_movil', 'comunicación_celular', 'equipo', 'móvil', 'equipo_de_computación', 'teléfonos_celulares', 'telefonía_celular', 'aditamento', 'telefono_móvil', 'aparato', 'device', 'config.sys', 'truco', 'hard-ware', 'maquinas', 'teléfono_movil', 'teléfonos_móviles', 'recurso', 'hard_ware', 'artilugio', 'artimaña', 'dispositivo', 'teléfono_móvil', 'mecanismo', 'estratagema', 'soporte_fisico', 'máquina', 'celular', 'telefono_celular', 'hardware_informatico', 'teléfono_celular', 'teléfono_celular_celular'}
die	{'fallecido', 'finar', 'averiarse', 'defunción', 'dado_trucado', 'disfunto', 'dejar_de_existir', 'palmar', 'salir', 'morirse', 'muerte', 'cuño', 'muerte_y_agonía', 'expiración', '⚁', 'estropearse', 'pararse', 'desaparición', 'entregar_el_alma', 'muriendo', 'acudir', 'expirar', 'fallecimiento', 'salir_de_este_mundo', 'muertos', 'caducar', 'fenecer', 'pastilla', 'matar', 'romper', 'morirse_por', 'perder_la_vida', 'dados_cargados', 'muelto', 'finado', 'defuncion', 'fallar', 'die', 'caer_muerto', 'perecer', 'muerte_prematura', 'diñar', 'morir', 'vencer', 'dado', 'fallecimientos', 'asfixiarse', '⚄', 'mortal', 'matando', 'estirar_la_pata', 'fallecer', 'asfixiar', 'obito', 'muerte_natural', 'estrangular', 'deceso', 'dados', 'cadaveres', 'espichar', 'descomponer', 'juegos_de_dados', 'juego_de_dados', 'pasar', '⚅', '⚀', 'óbito', 'exhalar_el_último_suspiro', 'ir', '⚂', 'croar', 'tránsito', 'defunciones', 'irse_al_otro_barrio', 'dados_poliédricos', '⚃', 'muere', 'colgar_los_guayos', 'troquel', 'éxitus', 'matado', 'falleciendo', 'dañarse', 'sucumbir', 'murió', 'pasar_a_mejor_vida'}
dig	{'aferrar', 'andré_dignimont', 'trabajar_duro', 'picar', 'escarnio', 'dig', 'excavación', 'hincar', 'atropellar', 'aguijonear', 'golpear', 'pinchar', 'collective_soul_rabbit_-', 'captar', 'aprehender', 'afanarse', 'fatigarse', 'dicterio', 'cuchillada', 'rehilete', 'burla', 'mofa', 'andre_dignimont', 'entender', 'collective_soul_-_rabbit_-', 'sitio_arqueológico', 'rabbit', 'pulla', 'collective_soul_rabbit', 'excavar', 'collective_soul', 'comprender', 'ahondar', 'puñalada', 'sarcasmo', 'apuñalar', 'cavar'}
dinner	{'merienda', 'taza_de_té', 'tiffin', 'dejeuner', 'onces', 'té_vespertino', 'colación', 'cena', 'cenar', 'hora_del_té', 'almorzar', 'high_tea', 'lonche', 'hora_del_te', 'la_hora_del_té', 'té', 'refrigerio', 'banquete', 'comida', 'almuerzo', 'té_de_la_tarde'}
dirty	{'caché_l2', 'los_suelos', 'asociativa_en_conjunto', 'línea_de_caché', 'write-back', 'sucio', 'manchar', 'suelos', 'suelo', 'caché', 'memoria_cache', 'tierra', 'sucia', 'perfil_edáfico', 'memoria_caché', 'almacenamiento_en_caché', 'antideportivo', 'contaminante', 'infectado', 'obscenamente', 'contaminada', 'underworld', 'antememoria', 'caché_de_instrucciones', 'cache', 'caché_de_cpu', 'caché_en_ram', 'dirty', 'caché_l3', 'contaminado', 'cache_de_pista', 'emporcar', 'sucias', 'dirrty', 'cache_de_cpu', 'caché_l1', 'inmundo', 'descolorido', 'suciedad', 'ensuciar', 'enmugrecer', 'negro', 'sórdido'}
disease	{'afección_médica', 'entidad_nosológica', 'trastorno', 'enfermedades', 'enfermo', 'afeccion_medica', 'tasa_de_morbilidad', 'afección', 'afeccion', 'enfermedad', 'cuadro_clinico', 'condición_médica', 'padecimiento', 'morbilidad', 'pleuritis', 'entidad_nosologica', 'patógena', 'morbosa', 'pleuresia', 'enfermos', 'patogena', 'malestar', 'begowal', 'peste', 'condicion_medica', 'mal', 'pleuresía', 'dolencia', 'cornetafilia', 'patología', 'condiciones_médicas'}
dissolve	{'diluirse', 'deshacerse', 'deshacer', 'fundido', 'descongelar', 'derretir', 'diluir', 'fundir', 'disolverse', 'derretirse', 'romper', 'desleírse', 'encadenado', 'fundirse', 'proscribir', 'disolver'}
disturb	{'afligir', 'incomodar', 'perturbar', 'remover', 'desordenar', 'alterar', 'molestar', 'abrumar', 'tocar', 'agitar', 'interrumpir', 'manosear', 'mover', 'excitar', 'disturbar', 'descomponer'}
do	{'pachanga', 'arreglar', 'portarse', 'celebración', 'servir', 'recitar', 'atusar', 'ど', 'entrenar', 'cepillarse', 'tocar', 'tao', 'producir', 'acabar', 'salir', 'hacer', 'comportar', 'marcar', 'tener_sexo', 'do', 'reyerta', 'provocar', 'culear', 'correr', 'cumplir', 'encantar', 'peinar_con_estilo', 'obrar', 'viajar', 'tirarse', 'ド', 'chingar', 'disease_ontology', 'crear', 'hacer_el_amor', 'festividad', 'causar', 'portar', 'marshall_applewhite', 'art4', 'montárselo', 'practicar', 'matar', 'representar', 'ver', 'comportarse', 'juerga', 'velada', 'garchar', 'fiesta', 'alguacil_lcf', 'pichar', 'acostarse', 'crecer', 'interpretar', 'jugar', 'cardar', 'andar', 'follarse', '도', 'peinar', 'to', 'formar', 'abatir', 'liquidar', 'tirar', 'comprtarse', 'joder', 'follar', 'saber', 'carrete', 'doh', 'coger', 'jalar', 'bastar', 'dormir', 'escenificar', 'llevar_a_cabo', 'doctor_en_osteopatía', 'arreglárselas', 'asesinar', 'prosperar', 'vergar', 'manejar', 'conocer', 'dào', 'cachar', 'arreglarse_el_pelo', 'と', 'protagonizar', 'ocasionar', 'aderezar', 'reventón', 'ir', 'ejecutar', 'declamar', 'actuar', 'ﾄ', 'confeccionar', 'ejercer', 'ontología_de_enfermedades', 'copular', 'guateque', 'solemnidad', 'lograr', 'ト', 'conseguir', 'fiestas', 'medrar', 'realizar', 'sobrellevar', 'desenvolverse', 'ceremonia_pública', 'florecer'}
doctor	{'estudiante_de_medicina', 'tratar', 'arreglar', 'doctoral', 'tercer_doctor', 'dr_who', 'cirujano', 'doctor_guerrero', 'médico_especialista', 'doctorados', 'jugar_al_doctor', 'doctora', 'medico', 'doctor_en_filosofia', 'holograma_medico_de_emergencia', 'restaurar', 'dm', 'decimo_doctor', 'dr.', 'licenciado_en_medicina', 'sexto_doctor', 'quinto_doctor', 'licenciado_en_medicina_y_cirugía', 'broken/ph._d.', 'doctor_de_la_iglesia', 'doctorado', 'el_doctor_guerrero', 'ph_d', 'ph_d.', 'restituir', 'zurujano', 'doctorado_de_investigación', 'oficial_médico', 'john_smith', 'cirujano_operar', 'loïc_nottet', 'décimo_doctor', 'ph._d.', 'título_de_doctor', 'war_doctor', 'doctorándose', 'doctor_en_medicina', 'examen_oral_del_doctorado', 'rude_boy', 'doctorado_superior', 'doctor', 'doctor_en_filosofía', 'médica', 'doctorar', 'medica', 'medicos', 'matasanos', 'primer_doctor', 'segundo_doctor', 'componer', 'médicos', 'doctor_misterio', 'cirujanos', 'médico_cirujano', 'jugar_a_los_médicos', 'atender', 'quirurgo', 'día_internacional_del_médico', 'phd', 'doceavo_doctor', 'undecimo_doctor', 'recomponer', 'titulo_de_doctor', 'el_doctor', 'holograma_médico_de_emergencia', 'septimo_doctor', 'doctorado_profesional', 'grado_de_doctor', 'licenciado_en_medicina_y_cirugia', 'especialista', 'facultativo', 'eliza', 'cuarto_doctor', 'médico', 'dr', 'séptimo_doctor', 'duodecimo_doctor', 'octavo_doctor', 'noveno_doctor', 'doctores_de_la_iglesia', 'doctor_de_la_guerra', 'doctor_who', 'reparar', 'duodécimo_doctor', 'dr._who', 'undécimo_doctor', 'ph.d', 'phd.', 'adulterar', 'cirujana', 'onceavo_doctor', 'doc', 'dra.'}
dog	{'canidae', 'hotdog', 'superpancho', 'c._lupus_familiaris', 'morillos', 'adefesio', 'canino', 'matraca', 'mujer_desaliñada', 'perra', 'perro_domestico', 'frankfurt', 'trinquete', 'perros_en_la_mitologia_china', 'seguir', 'canido', 'kaegogi', 'el_perro', 'canis_familiaris', 'firedog', 'andiron', 'sepandar_kamvar', 'canidos', 'cánido', 'gaegogi', 'sándwich_de_salchicha', 'morillo', 'perritos_calientes', 'truhán', 'pillo', 'cánidos', 'panhu', 'wienerwurst', 'canis_lupus_familiaris', 'callo', 'canis_lupus_sp._familiaris', 'espantajo', 'obesidad_en_perros', 'fiador', 'salchicha_de_frankfurt', 'salchicha', 'can', 'perro_caliente', 'signo_del_perro', 'hot_dog', 'duck_hunt', 'familiaris', 'jocho', 'retén', 'perros_en_la_mitología_china', 'granuja', 'weenie', 'dog', 'sandwich_de_salchicha', 'perrito_caliente', 'perro_de_hierro', 'carne_de_perro', 'súper_pancho', 'perros', 'sinvergüenza', 'familia_canidae', 'shukos', 'canalla', 'rastrear', 'perro_doméstico', 'perro', 'perseguir', "psycho's_path", 'perros_calientes', 'hot-dog', 'super_pancho'}
dressing	{'uniforme_visitante', 'indumentaria', 'vinagreta', 'arreglo', 'fertilización', 'confección_de_prendas_de_vestir', 'apósito', 'apparel', 'atavío', 'vestimenta', 'vestimentas', 'vestuario', 'usable', 'ropa_de_mujer', 'indumentarias', 'atuendo', 'apósito_médico', 'prenda', 'ropas', 'historia_del_vestido', 'vendaje', 'abono', 'uniforme_titular', 'aliño', 'vestidura', 'vestiduras', 'habiliment', 'relleno', 'prendas_de_vestir', 'traje', 'vestirse', 'pavo_relleno', 'aposito', 'atuendos', 'vestidos', 'ropa', 'fecundación', 'prenda_de_vestir', 'vestido', 'uniforme_tercero'}
drink	{'beber', 'saludar', 'trago', 'deglutir', 'proceso_de_deglucion', 'tomar_unas_copas', 'crápula', 'proceso_de_deglución', 'tomar', 'lil_jon', 'bebidas', 'bebible', "lil'_jon_&_the_east_side_boyz", 'deglución', 'engullición', 'bebestible', 'emborrachamiento', 'deglucion', "lil'_jon", 'potable', 'copa', 'lil’_jon', 'the_east_side_boyz', 'engullicion', 'fabricación_de_bebidas', 'bebida', 'engullir', 'tragar', 'emborracharse', 'soplar', 'prometer', 'brindar'}
driver	{'boscosa', 'número_uno_de_la_madera', 'controladores_de_dispositivo', 'chófer', 'controlador_de_dispositivo', 'driver:_the_recruit', 'ruedas_motrices', 'arboledo', 'cochero', 'controlador', 'quitapiedras', 'impacto_ambiental_potencial_del_manejo_de_bosques_naturales', 'conductor_de_camiones', 'chofer', 'manejador', 'arbolado', 'driver', 'drivers', 'controladores_de_dispositivos', 'palo_número_uno', 'forestal', 'camionero', 'device_driver', 'controlador_de_software', 'driver:_san_francisco', 'conductora', 'nemoral', 'algaba', 'piloto', 'controlador_de_impresora', 'controladores', 'ruedas_acopladas', 'selva', 'floresta', 'rueda_motriz', 'driver_de_dispositivo', 'driver_5', 'bosque', 'cowcatcher', 'manejador_de_dispositivo', 'wälder', 'saga_driver', 'trailero', 'arboledos', 'ejes_acoplados', 'bosques', 'camionera', 'driver:_el_desafío', 'conducción_camiones', 'troquero', 'bosques_de_coníferas', 'camioneros', 'controlador_de_dispositivos', 'conductores_de_camiones', 'conductor', 'arbolados', 'transportista', 'choferesa', 'motorista', 'eje_acoplado', 'driver_the_recruit'}
dry	{'enjugar', 'cuerpo', 'buqué', 'irónico', 'abstemio', 'astringencia', 'sin_leche', 'seque', 'dry', 'frutas', 'buquet', 'mineralidad', 'seco', 'secar', 'equilibrio', 'stypsis', 'bouqué', 'bouque', 'secarse', 'prohibicionista'}
dull	{'arromar', 'embotar', 'corto', 'no_inteligentes', 'romo', 'tedioso', 'estúpida', 'gris', 'soso', 'menso', 'poco_inteligente', 'atemperar', 'latoso', 'idiota', 'cargante', 'desactivar_el_sonido', 'obtuso', 'imbécil', 'apocado', 'torpe', 'desafilar', 'sordo', 'deslucir', 'bobo', 'silenciar', 'apagado', 'desafilado', 'despuntar', 'lento', 'aburrido', 'pasmado', 'gilí_pendejo', 'monótono', 'agobiante', 'embotarse', 'estúpido', 'embotado', 'tonto', 'ininteligente', 'adormecer', 'plomizo', 'deslustrar', 'amortiguar', 'pesado', 'apagar_el_sonido', 'taciturno'}
dust	{'derribo', 'fannings', 'naranja_pekoe', 'ruinas', 'difuminar', 'limpiar', 'sooraya_qadir', 'resto', 'pekoe', 'esparcir', 'rociar', 'detrito', 'desempolvar', 'píldora_de_la_paz', 'orange_pekoe', 'escombros', 'basura', 'polvo_de_ángel', 'cascote', 'escombro', 'babylon_5', 'hierba_mala', '1-(1-fenilciclohexil)piperidina', 'restos', 'dust', 'pekoe_orange', 'polvo_de_angel', 'fenilciclohexilpiperidina', 'arena', 'clorhidrato_de_fenciclidina', 'polvo', 'cachureo', 'dispersar', 'salpicar', 'fenciclidina', 'detritus', 'pcp'}
ear	{'pabellon_auditivo', 'demba_nabé', 'oídos', 'vertice', 'órgano_vestíbulo_coclear', 'pabellon_auricular', 'pabellones_auriculares', 'pabellón_auditivo', 'oído', 'espiga', 'pinnas', 'oído_humano', 'arar', 'oido', 'vértice', 'orejas', 'aparato_auditivo', 'oido_humano', 'demba_nabe', 'organo_vestibulo_coclear', 'órgano_vestibulo_coclear', 'organo_vestíbulo_coclear', 'ear', 'pabellón_auricular', 'descomposición_del_oído', 'oreja', 'aurícula', 'pinna'}
earth	{'regimen_de_neutro', 'tercer_planeta', 'territorio', 'krikkit', 'alubia_magica', 'dragon_ball:_kai', 'dragonball_z', 'esquema_de_conexión_a_tierra', 'bola_de_dragón', 'super_vegetto', 'tierra', 'magrathea', 'tierra/saga_de_la_fundación', 'tn-c-s', 'planeta', 'tierra,_la_pelicula_de_nuestro_planeta', 'globo', 'el_globo', 'planeta_azul', 'hilo_de_tierra', 'andrómeda', 'andromeda', 'puesta_a_tierra', 'terreno', 'la_tierra', 'dragon_ball_z', 'tierra,_la_película_de_nuestro_planeta', 'bola_de_dragón_z', 'conexión_a_tierra', 'zemlya', 'sol_3', 'sol_iii', 'alubia_mágica', 'sonic_the_hedgehog', 'terra', 'este_planeta', 'tierra_firme', 'tierra_saga_de_la_fundacion', 'lamuella', 'masa', 'las_bolas_de_dragón', 'tierra/saga_de_la_fundacion', 'dragon-ball', 'esquemas_de_conexión_a_tierra', 'globo_terráqueo', 'dbz', 'preocupación_mundana', 'tierra_sólida', 'preocupación_terrenal', 'país', 'las_bolas_de_dragon', 'tierra_la_película_de_nuestro_planeta', 'alubias_magicas', 'tierra,_la', 'bola_de_dragon', 'alubias_mágicas', 'tierra_seca', 'dragon_ball_kai', 'suelo', 'brontitall', 'toma_de_tierra', 'de_tierra_firme,', 'planeta_tierra', 'patria', 'ace_combat', 'bola_de_drac', 'nuestro_planeta', 'dragon_ball', 'saiyan', 'tierra_saga_de_la_fundación', 'conectar_a_tierra', 'régimen_de_neutro', 'globo_terrestre', '⊕', 'el_mundo', 'mundo', 'toma_a_tierra', 'tierra_la_pelicula_de_nuestro_planeta', 'gaia', 'madre_tierra', '♁', 'dragonball', 'golgafrincham', 'earth', 'elemento_tierra', 'dragon_ball_z_kai', 'tierra_eléctrica', 'milliways', 'el_planeta', 'bola_de_dragon_z'}
eat	{'alimentario', 'comestibilidad', 'alimentar', 'consumir', 'jamarse', 'mcl1', 'yo_gabba_gabba!', 'disminuir', 'alimentarse', 'alimenticio', 'dar_de_comer', 'alimentacion', 'eat', 'herrumbrar', 'alimentación', 'allimentación', 'comer', 'aherrumbrar', 'corroer', 'mermar', 'comerse', 'ingerir', 'oxidar', 'reducir', 'reconcomer', 'comida', 'jamar', 'alimental', 'desgastar', 'nutrición', 'agotar'}
economy	{'recurso_economico', 'económicos', 'actividad_económica', 'tasa_de_ahorro', 'sistemas_económicos', 'economista_político', 'ahorro', 'economistas', 'económicas', 'economia', 'ahorrar', 'ciencia_económica', 'walden', 'economia_politica', 'economicos', 'sistema_economico_mundial', 'ahorrativo', 'grado_en_economía', 'sistema_económico_mundial', 'economía_política', 'grado_en_economia', 'economía_nacional', 'ciencia_economica', 'ahorrado', 'economicas', 'ahorro_nacional', 'ahorramiento', 'económicamente', 'economia_política', 'económica', 'economico', 'recurso_económico', 'economía_rural', 'económico', 'sistema_economico', 'economía', 'economías', 'economista', 'economica', 'economy', 'sistemas_economicos', 'recursos_económicos', 'ahorros', 'sistema_económico', 'ciencias_economicas', 'ciencias_económicas', 'ahorrador', 'economía_real'}
egg	{'cojones', 'testicular', 'óvalos', 'pelotas', 'capa_de_aplicacion', 'cojón', 'producción_de_huevos', 'óvalo', 'para_phasmatodea', 'modelo_de_interconexión_de_sistemas_abiertos', 'capa_8', 'ovulos', 'eliptico', 'testículo', 'osi', 'unidades_de_datos_en_el_modelo_osi', 'bollocks', 'augustus_leopold_egg', 'oval', 'ovalado', 'huevos', 'gonada_masculina', 'bola', 'para_phasmida', 'teste', 'insectos_palo', 'eliptica', 'cojon', 'fásmidos', 'huevo_de_gallina', 'ovalos', 'pelota', 'elíptico', 'testículos', 'rebozar', 'ovocelula', 'gameto_femenino', 'bolas', 'elíptica', 'gónada', 'fasmatodeo', 'modelo_de_interconexion_de_sistemas_abiertos', 'insecto_palo', 'interconexión_de_sistema_abierto', 'testiculos', 'palote', 'nivel_de_presentacion', 'ovulo', 'phasmatodea', 'dídimo', 'egg', 'fasmidos', 'ovalo', 'setuptools', 'phasmida', 'ovalados', 'modelo_osi', 'huevos_de_aves', 'modelo_referencia_osi', 'curva_elíptica', 'gónada_masculina', 'iso/osi_reference_model', 'ovocélula', 'huevo', 'ballock', 'fásmido', 'testiculo', 'fasmidóptero', 'bicho_palo', 'curva_eliptica', 'elipse', 'turma', 'ovales', 'elípticas', 'óvulos', 'óvulo', 'augustus_egg'}
election	{'elecciones_libres', 'elección', 'jornada_electoral', 'recurso_de_elección', 'tratado_de_cooperación_en_materia_de_patentes', 'eleccionario', 'elección_popular', 'reelección', 'elecciones_políticas', 'electoral', 'tratado_de_cooperacion_en_materia_de_patentes', 'democráticamente_electo', 'elegidos', 'election', 'eleccion_popular', 'política_electoral', 'eleccion', 'selección', 'elecciones', 'voto_popular', 'comicios_electorales', 'sistema_electivo', 'proceso_electoral', 'elecciones_generales'}
electron	{'amc_electron', 'electron', 'amitron', 'electrón', 'electrónica', 'subcapa_electrónica', 'electrones', 'negatrón', 'electróns', 'amc_amitron'}
elegance	{'elegancia_matemática', 'cachet', 'decorativo', 'belleza_clásica', 'hermoso', 'belleza', 'belleza_interior', 'elegancia', 'belleza_matemática', 'elegante', 'karlgeorg_hoefer', 'beaut', 'hermosura', 'elegantes', 'belleza_matematica'}
emotion	{'bandai_visual', 'emotivo', 'human_after_all', 'emoción', 'emotion', 'afecto', 'emocion', 'emociones', 'emocionante', 'anexo:premio_grammy_mejor_álbum_dance/electrónico', 'bandai_entertainment', 'maverick_sabre', 'emociones_humanas', 'emocional', 'emotiva'}
emotionally	{'emotiva', 'emocionalmente', 'afecto', 'emocional', 'emociones', 'emocionante', 'emociones_humanas', 'emotivo', 'emocion', 'emoción'}
engine	{'game_engine', 'motor_de_videojuegos', 'ray_alder', 'motor_ferrocarril', 'locomotora', 'engine', 'locomotoras', 'motor_de_videojuego', 'motor_software', 'motor_3d', 'maquina_de_tren', 'motor_de_software', 'motor_gráfico', 'motor_de_juego', 'motor_grafico', 'motor', 'máquina', 'motores', 'locomotora_motor', 'motores_de_videojuego', 'motor_térmico', 'motriz', 'ferrocarril_locomotora', 'máquina_de_tren'}
english	{'importante_inglés', 'anglofono', 'be', 'en-gb', 'acento_de_boston', 'americano', 'aiden_english', 'ingl.', 'lengua_inglés', 'english:_an_autumn_in_london', 'anglófono', 'ingles_de_los_estados_unidenses', 'matt_rehwoldt', 'léon_bloy', 'lengua_ingles', 'inglés_norteamericano', 'ingles_británico', 'carl_schurz_english', 'león_bloy', 'bre', 'carl_s._english', 'lengua_inglesa', 'ingles_moderno', 'ingles_de_los_estados_unidos', 'inglés_de_los_estados_unidenses', 'inglés', 'pueblo_ingles', 'inglesa', 'filologia_inglesa', 'ame', 'angloparlante', 'inglés_moderno', 'pueblo_inglés', 'ingleses', 'estudios_de_inglés', 'inglés_de_los_estados_unidos', 'leon_bloy', 'anexo:glosario_de_términos_de_billar', 'inglés_americano', 'inglés_de_estados_unidos', 'anglohablante', 'anglofona', 'ingles_britanico', 'idioma_ingles', 'ingles_estadounidense', 'anexo:glosario_de_billar', 'idioma_inglés', 'en', 'el_idioma_ingles', 'los_ingleses', 'ingles_americano', 'lenguaje_americano', 'inglés_británico', 'inglés_estadounidense', 'en-us', 'inglés_medio', 'ingles_de_estados_unidos', 'ingles', 'letras_inglesas', 'inglés_del_reino_unido', 'anglófona', 'opt-out', 'inglés_britanico', 'english', 'grado_en_estudios_ingleses', 'filología_inglesa', 'filología_inglés', 'english_language', 'estudios_ingleses', 'american_english', 'ee.uu_inglés'}
event	{'pulsación_de_tecla', 'incidente', 'suceso_historico', 'evento_estadistico', 'evento_aleatorio', 'evento_de_programa', 'oyente', 'hecho', 'suceso_estadistico', 'acontecimientos', 'suceso_histórico', 'sucesos_aleatorios', 'fuente_de_sucesos_aleatorio', 'evento', 'evento_histórico', 'historia_de_los_acontecimientos', 'evento_historico', 'suceso_aleatorio', 'resultado', 'suceso_estadístico', 'historia_evenemencial', 'evento_estadístico', 'auditor', 'golpe_de_teclado', 'efecto', 'evento_probabilístico', 'consecuencia', 'acontecimiento', 'manejo_de_eventos', 'hecho_historico', 'acaecimiento', 'controlador_de_eventos', 'suceso', 'auricular', 'escuchador', 'corta_duración', 'hechos_históricos', 'hechos_historicos', 'suceso_espacio-temporal', 'hecho_histórico', 'caso', 'ocasión', 'corta_duracion', 'evento_probabilistico', 'suceso_espaciotemporal'}
experiment	{'experimento_científico', 'experimentos', 'investigación_experimental', 'verificación', 'ensayar', 'exerimentar', 'ensayo', 'test', 'probatura', 'experimental', 'experimento_aleatorio', 'experiment', 'tentativa', 'experimento', 'probar', 'the_experiment', 'prueba', 'experimentación', 'experimentar', 'ciencia_experimental', 'grupo_experimental'}
extremely	{'extremadamente_sumamente', 'altamente', 'extremadamente', 'sumamente', 'elevadamente', 'extremamente', 'muy'}
eye	{'el_ojo', 'higher_learning', 'globo_ocular', 'yema', 'óptico', 'ojos_compuestos', 'oculus', 'the_eye', 'oculi', 'visiones', 'eye_film_institute_netherlands', 'ojo', 'pared_del_ojo', 'the_eye_el_ojo', 'ojo_del_huracán', 'ojo_del_huracan', 'centro', 'organo_de_la_visión', 'ojo_del_ciclon', 'eye', 'the_eye_2', 'globos_oculares', 'óptica', 'the_eye_-_el_ojo', 'yemas', 'cogollo', 'corazón', 'jian_gui', 'ojos', 'vista', 'brotes', 'oculo', 'organo_de_la_vision', 'medio', 'gin_gwai', 'órgano_de_la_vision', 'el_ojo_del_mal', 'ojear', 'ojo_del_ciclón', 'óculo', 'mirar', 'órgano_de_la_visión'}
fall	{'precipitar', 'otoños', 'otoñal', 'otoño', 'brillar', 'pecado_capital', 'tocar', 'despeño', 'otono', 'salir', 'anochecer', 'lubricán', 'recaer', 'caída_del_hombre', 'ocaso', 'sucumbir', 'asentarse', 'the_fall', 'crepuscle', 'menguar', 'anochecido', 'ruina', 'retornar', 'crepúsculo_náutico', 'reducirse', 'otonal', 'universe', 'rendición_condicional', 'baja', 'the_fall:_el_sueño_de_alexandria', 'believe', 'caida_del_hombre', 'iluminar', 'apoyatura', 'corresponder', 'mermar', 'rendición', 'fall', 'bajada', 'crepuscular', 'caerse', 'the_fall._el_sueno_de_alexandria', 'pin', 'descenso', 'disminuir', 'appoggiatura', 'crepúsculo', 'encontrarse', 'declinación', 'caer', 'otonos', 'the_fall_el_sueño_de_alexandria', 'pertenecer', 'nightfall', 'declividad', 'evenfall', 'fracasar', 'crepúsculo_astronómico', 'atardecer', 'pendiente', 'natalia_lesz', 'otoñada', 'resbalarse', 'perdición', 'gloam', 'apoyadura', 'anochecida', 'caída', 'crepusculo', 'declive', 'crepuscule', 'the_fall_el_sueno_de_alexandria', 'acumularse', 'el_sueño_de_alexandria', 'bajón', 'inclinación', 'the_fall:_el_sueno_de_alexandria', 'desmoronarse', 'estar', 'bajar', 'descender', 'reincorporar', 'rendicion', 'consumirse', 'atardecida', 'cuesta_abajo', 'capitulación', 'the_fall._el_sueño_de_alexandria', 'acrecentar'}
far	{'ejército_para_la_liberación_de_ruanda', 'far', 'alejado', 'aeropuerto_internacional_hector', 'fuerzas_armadas_revolucionarias', 'índice_de_edificabilidad', 'ex_fuerzas_armadas', 'lejano', 'remoto', 'fatal_accident_rate', 'distante', 'interahamwe', 'aeropuerto_de_fargo', 'interhamwe', 'derecho', 'lejana', 'lejos', 'fuerzas_armadas_revolucionarias_de_cuba', 'edificabilidad', 'indice_de_edificabilidad', 'allunyat', 'alir', 'kfar'}
