ability	{'la_capacitat', 'aptitud', 'poder', 'habilitat', 'capacitat', 'enginy'}
device	{'mobile', 'mecanisme', 'telèfons_mòbils', 'device', 'recurs', 'telèfon_cel·lular', 'comunicació_cel_·_lular', 'història_del_telèfon_mòbil', 'maquinari_informàtic', 'internet_mòbil', 'història_de_la_telefonia_mòbil', 'truc', 'config.sys', 'equip', 'maquinària', 'mòbil', 'dispositiu', "maquinari_d'ordinador", 'màqeuina', 'maquinari', 'màquina', 'telèfon_mòbil', 'comunicacions_mòbils', 'hardware', 'aparell', 'telefonia_cel_·_lular', 'maquinaris', 'màquines'}
die	{'avariar-se', 'defuncions', 'acudir', 'asfixiar', 'donats', 'dau', 'die', 'daus_polièdrics', 'defunció', 'morir', 'finar', 'daus', 'dia', 'dinyar-la', 'daus_carregats', 'decés', 'morir-se', 'espatllar-se', 'traspàs', 'traspassament', 'òbit', 'estrangular', 'diá', 'parar-se', 'va_morir', 'desaparició', 'caducar', 'perir', 'expirar', 'mort', 'palmar', 'fallar', 'mort_prematura'}
dig	{'excavar', 'dicteri', 'entendre', 'escarni', 'befa', 'excavació', 'punyalada', 'escarn', 'mofa', 'pulla', 'picar', 'sarcasme', 'burla', 'dig', 'lloc_arqueològic', 'cavar', 'ganivetada', 'comprendre', 'punxar', 'aferrar'}
dinner	{'te', 'berenar', 'sopar', 'dinada', 'tiffin', "l'hora_del_te", 'déjeuner', 'dinar', 'hora_del_te', 'te_de_la_tarda'}
dirty	{'dirty', 'embrutar-se', 'write-back', 'dirrty', 'sòls', 'immund', 'memòria_cache', 'emmagatzematge_a_la_memòria_cau', 'cache', 'emporcar-se', 'sòl', 'embrutir', 'memòria_cau_de_dades', 'memòria_cau_l2', 'ensutzar', 'caché', 'brut', 'línia_de_memòria_cau', 'memòria_cau', 'acidòfila', 'terra', 'sol', 'terreny', 'underworld', 'cau', 'embrutar', 'memòria_cau_l1', 'enllardar-se', 'brutícia', 'pastifejar', 'contaminant', 'associativa_en_conjunt', 'brutes', 'tacar', 'sollar', 'empastifar'}
disease	{'afecció', 'malalt', 'pleuresia', 'malestar', 'condició_mèdica', 'pleuritis', 'taxa_de_morbiditat', 'begowal', 'malalties', 'morbositat', 'malaltia', 'morbosa', 'patologies', 'tel·lurisme', 'patologia', 'condicions_mèdiques'}
dissolve	{'desfer', "fondre's", 'desfer-se', 'diluir-se', 'descongelar', 'dirimir', 'dissoldre', 'diluir', 'desgelar', 'fosa', 'trencar', 'desglaçar', 'fondre'}
disturb	{'pertorbar', 'alterar', 'incomodar', 'descompondre', 'sollevar', 'afligir', 'molestar', 'remoure', 'excitar', 'amoïnar', 'interrompre', 'agitar', 'destorbar'}
do	{'fotre', 'crear', 'ontologia_de_malalties', 'to', 'servir', 'jugar', 'tocar', 'veure', 'entrenar', 'executar', 'solemnitat', 'dao', 'festa', "sortir-se'n", 'acomplir', 'arreglar', 'festa_popular', 'arranjar', 'funcionar', 'realitzar', 'ド', 'sarau', 'actuar', 'encantar', 'follar', 'dào', 'exercir', 'circuit', 'cardar', 'assassinar', 'matar', 'vetllada', 'saber', 'marshall_applewhite', 'empolainar-se', 'ocasionar', 'endiumenjar-se', 'fer', 'fer_un_clau', 'provocar', 'tirar-se', 'ど', 'doh', 'comportar', 'tao', 'empolistrar-se', 'créixer', 'festes', "fer_l'amor", '도', 'fotre_un_clau', 'confeccionar', 'representar', 'obrar', 'doctor_en_osteopatia', 'bastar', 'portar-se', 'formar', 'festivitat', 'dur_a_cap', 'dur_a_terme', 'dō', 'causar', 'cerimònia_pública', 'と', 'practicar', 'do', 'comportar-se', 'ト', 'portar', 'ﾄ', 'prosperar', 'interpretar'}
doctor	{'guaridor', 'atendre', 'adobar', 'novè_doctor', 'rudeboy', 'metge', 'cirurgià', 'cirurgians', 'restituir', 'metgessa_especialista', 'ph.d.', 'facultatiu', 'doctora', 'dra.', "doctora_de_l'església", 'eliza', 'arreglar', 'dr', 'el_doctor', 'doctor_who', 'cirurgià_operar', 'dr._who', 'rude-boys', 'doctor_en_medicina', 'metjastres', 'doctorats', 'loïc_nottet', 'metgessa', 'cirurgià_cirurgiana', 'doctorand', 'doctorat', 'quart_doctor', 'doctorat_professional', "doctor_de_l'església", 'phd', 'doctor_guerra', 'primer_doctor', 'apariar', 'reparar', 'desè_doctor', 'metge_especialista', 'rude_boy', "doctors_de_l'església", 'dr.', 'especialista', 'dr_who', 'dotzè_doctor', 'doctor_of_philosophy', 'doctor', 'vuitè_doctor', 'grau_de_doctor', 'oficial_metge', 'doctorat_de_recerca', 'metges', 'doctor_guerrer', 'doc', 'el_doctor_who', 'onzè_doctor', 'doctorat_superior'}
dog	{'hot-dog', 'cus', 'gos', 'dona_desaliñada', 'guàrdia', 'salsitxa', 'cànids', 'seguir_la_pista', 'cànid', 'penques', 'canis_familiaris', 'dog', 'morillo', 'canis_domesticus', 'gos_domèstic', 'gossos', 'gos_de_ferro', 'entrepans_de_salsitxa_de_frankfurt', 'baldó', 'seguir', 'pillet', 'familiaris', 'murri', 'fiador', 'canis_lupus_familiaris', 'frankfurt', 'barrut', 'firedog', 'perseguir', 'família_canidae', 'pestell', 'canis_canis', 'canidae', 'hot_dog', 'entrepà_de_salsitxa_de_frankfurt', 'capfoguer', 'wienerwurst', 'duck_hunt', 'rastrejar', 'carn_de_gos', 'gossa', 'canalla', 'trinquet', 'gossos_calents', 'cans', 'ca', 'salsitxa_de_frankfurt', 'empaitar', 'balda', 'cutxo', 'weenie', 'andiron'}
dressing	{'habiliment', 'roba', 'apòsit_metge', 'peces_de_vestir', 'amaniment', 'fertilització', 'indumentària', 'embenat', 'farcir', 'vestit', 'farcit', 'farcida', 'vinagreta', 'usable', 'embenatge', 'apòsit', 'farsa', 'farciment', 'roba_de_dona', 'farcides', 'peça_de_vestir', 'vestimenta'}
drink	{'glop', 'potable', 'deglució', 'prendre', 'emborrachamiento', 'empassar', 'beguda', 'brindar_per', 'bevèrria', "prendre's", 'engoliment', 'deglutició', 'beure', 'saludar', 'cràpula', 'copa', 'begudes', 'proposar_un_brindis'}
driver	{'forestal', 'el_conductor', 'camioner', 'driver', 'driver_5', 'forest', 'controlador_de_programari', 'camionera', 'conductor_de_camions', 'fusta', 'xòfer', 'programa_de_control', 'controlador', 'boscos', 'rodes_acoblades', 'selva', 'rascle_davanter', 'conductor', 'llevapedres', 'rodes_motrius', 'boscoses', 'forestals', 'xofer', 'cowcatcher', 'conducció_camions', "controlador_d'impressora", 'número_u_de_la_fusta', 'pilot', 'boscos_de_coníferes', 'motorista', 'reserva_forestal', 'fusta_número_u', 'wälder', 'conductora', 'drivers', 'controlador_de_dispositiu', 'bosc', 'cotxer', 'roda_motriu', 'the_driver', 'eix_acoblat', 'eixos_acoblats', 'programa_controlador', 'camioners', 'driver:_san_francisco'}
dry	{'secar', 'irònic', 'eixugar-se', 'assecar-se', 'assecar', 'astrigència', 'stypsis', 'prohibicionista', 'cos', 'eixut', 'fruites', 'sec', 'dry', 'mineralitat', 'eixugar', "s'assequi", 'equilibri'}
dull	{'gamarús', 'pesat', 'toix', 'estúpid', 'trencar-se', 'pallús', 'inintel·ligent', 'curt', 'obtús', 'deslluir', 'carregós', 'aturat', 'sord', 'desllustrar', 'deslluir-se', 'adormir', 'romejar', 'apocat', 'esmussar', 'bèstia', 'taciturn', 'gris', 'avorrit', 'apagat', 'rom', 'esmussar-se', 'molest', 'tediós', 'monòton', 'plomís', 'espuntar', 'temperar', 'lent', 'despuntar', 'empipador', 'moderar', 'apagar'}
dust	{'pols', 'escampar', 'pekoe', 'escatxicar', 'fenciclidina', 'enderroc', 'ruixar', 'píndola_de_la_pau', 'detritus', 'difuminar', 'partícules_de_pols', 'fannings', 'espolsar', 'babylon_5', 'terregam', 'runes', 'fenilciclohexilpiperidina', 'pekoe_orange', 'terregall', "pols_d'àngel", "pols_d'angel", 'taronja_pekoe', 'runam', 'enderrocs', 'runa', 'esquitxar', 'clorhidrat_de_fenciclidina', 'orange_pekoe', 'dispersar', 'espargir', 'pcp', 'dust', 'desferra'}
ear	{'orelles', 'vèrtexs', 'òtic', 'vèrtex', 'aurícula', 'vértex', 'pavelló_auditiu', 'entòtiques', 'espiga', 'pavellons_auriculars', "pavelló_de_l'orella", 'antitragus', 'orella', 'oïda', 'òtiques', "descomposició_de_l'oïda", 'oïda_humana', 'pinnes', 'entòtic', 'pavelló_auricular'}
earth	{'món', 'fil_de_terra', 'línia_de_terra', 'boles_de_drac', 'zemlya', 'magrathea', 'preocupació_terrenal', 'preocupació_mundana', 'lamuella', 'terra_elèctrica', 'zemlia', 'terrestre', 'sòl', 'dragon_ball', 'planeta_terra', 'massa_de_la_terra', 'brontitall', 'gaia', 'el_món', 'terra', 'terra_seca', 'bola_de_drac', 'golgafrincham', 'globus_terraqüi', 'dragon_ball_z', 'earth', 'sol_3', 'terra_ferma', 'milliways', 'saiyan', 'de_terra_ferma,', 'terra_sòlida', 'bola_de_drac_z', 'ace_combat', 'presa_de_terra', 'andromeda', 'krikkit'}
eat	{'desgastar', 'cruspir-se', 'eat', 'jalar', 'reduir', 'minvar', 'rovellar', 'alimentació', 'corroir', 'menjar-se', 'alimentar', 'disminuir', 'nutrició', 'consumir', 'esgotar', 'comestibilitat', 'nodriment', 'alimentari', 'ingerir', 'menjar', 'exhaurir'}
economy	{'econòmica', 'walden,_or,_life_in_the_woods', 'economia_rural', 'economia_política', 'estalvi', "taxa_d'estalvi", 'activitat_econòmica', 'economia_nacional', 'economista_polític', 'economistes', 'walden', 'econòmicament', 'economia_clàssica', 'economy', 'econòmiques', 'economia_real', 'sistema_econòmic', 'estalvis', 'model_econòmic', 'economies', 'sistemes_econòmics', 'ciències_econòmiques', 'economista', 'econòmic', 'economia', 'ciència_econòmica', 'walden,_o_la_vida_als_boscos', 'econòmics'}
egg	{'bollocks', 'insectes_bastó', 'insecte_bastó', 'el·líptic', 'ovalada', 'oòcit', 'ou', 'osi', 'oval', 'el•lipse', 'testicular', 'dídim', 'ous_durs', 'eŀlipse', 'per_phasmatodea', 'ovocèl·lula', 'fàsmid', 'fàsmids', 'el·lipse', 'oòcits', 'alimentació_insecte_bastó', 'phasmida', 'setuptools', 'fasmatodeus', 'el·lipses', 'teste', 'òvul', "producció_d'ous", 'l’òvul', 'ous', 'òvuls', "ous_d'aus", 'testicle', 'per_phasmida', 'fasmatodeu', 'pilotes', 'gònada', 'testicles', 'ballock', 'egg', 'lipse', 'ovul', 'ovòcit', 'ovalat', 'turma', 'collons', 'insecte_fulla', 'model_osi', 'colló', 'fasmòpter', 'oosfera', 'el.lipse', 'el·líptiques', 'insectes_fulla', 'phasmatodea', 'model_referència_osi'}
election	{'elegits', 'eleccions_presidencials', 'reelecció', 'eleccions_lliures', "recurs_d'elecció", 'elecció', 'electoral', 'procés_electoral', 'comicis', 'eleccions_municipals', 'eleccions', 'vot_popular', 'democràticament_electe', 'election', 'política_electoral'}
electron	{'electró_celibatari', 'negatrón', 'electrònica', 'electrons', 'electró', 'electron'}
elegance	{'elegància', 'bellesa', 'elegant', 'decoratiu', 'bellesa_matemàtica', 'elegància_matemàtica', 'beaut', 'karlgeorg_hoefer', 'bellesa_clàssica'}
emotion	{'emotion', 'emocional', 'emocions_humanes', 'estat_emocional', 'human_after_all', 'emocions', 'emoció'}
emotionally	{'emocional', 'emocions_humanes', 'estat_emocional', 'emocionalment', 'emocions', 'emoció'}
engine	{"motor_d'avió", 'motor_ferrocarril', 'locomotora_elèctrica', 'motor_de_videojoc', 'motor_de_programari', 'motors_de_videojocs', 'motor_3d', "motor_d'aviació", 'locomotora_dièsel-elèctrica', 'motor_de_jocs', 'motor_tèrmic', 'motor_de_gràfics_en_3d', 'locomotores', 'locomotora_motor', 'motors', 'motor_de_videojocs', 'engine', 'ferrocarril_locomotora', 'motor_de_joc', 'motor_aeronàutic', "motor_d'aeronau", 'game_engine', 'ray_alder', 'motor', 'locomotora'}
english	{'idioma_anglès', 'english', 'filologia_anglès', 'eua_anglès', "estudis_d'anglès", 'llengua_anglesa', 'els_anglesos', 'anglès_americà', 'anglesa', 'anglòfon', 'anglès_mitjà', 'anglès_britànic', 'idioma_anglés', 'anglès_dels_estats_units', 'léon_bloy', 'estudis_anglesos', 'anglesos', 'anglès_estatunidenc', 'filologia_anglesa', 'anglès', 'americà', 'llenguatge_americà', 'anglés', 'anglès_anglés', 'angleses', 'british_english', 'important_anglès', 'en', 'opt-out'}
event	{'succés', 'conseqüència', 'ocasió', 'oient', 'esdeveniment', 'auditor', 'efecte', 'oïdor', 'cas', 'esdeveniment_de_programa', 'incidència', 'resultat', "controlador_d'esdeveniments", 'cop_de_teclat', 'esdeveniments', 'pulsació_de_tecla', 'esdeveniment_planificat'}
experiment	{'experiments', 'experiments_i_esdeveniments_aleatoris', 'prova', 'experiment', 'experiment_científic', 'assaig', 'provar', 'espai_mostral', 'experimentar', 'experimental', 'fenomen_aleatori', 'grup_experimental', 'verificació', 'investigació_experimental', 'ciència_experimental', 'the_experiment', 'mètode_experimental', 'test', 'provatura', 'experimentació', 'experiment_aleatori'}
extremely	{'extremadament', 'molt'}
eye	{'centre', 'oculus', "l'ull", 'ull', "segment_anterior_de_l'ull", 'fer_una_ullada', 'ull_de_bou', 'globus_ocular', 'borrons', 'òcul', 'òptica', 'llambregar', 'poncella', 'òptic', 'segment_posterior', 'vòrtex_de_cicló', 'mirar', 'ulls', 'borró', 'eye', "segment_posterior_de_l'ull", 'the_eye', 'cavitat_ocular', 'ulls_compostos', 'segment_anterior', 'gemma', 'oculi', "funcionament_de_l'ull", 'brots', "paret_de_l'ull", 'cor', 'vista', 'mig', 'ull_del_cicló'}
fall	{'santamiquelada', 'atenuar', 'estar', 'perdició', 'tocar', 'declivi', 'darerevera', 'baixant', 'declividad', 'descendir', 'disminuir', 'caure', 'rebaixar', 'remetre', 'descendiment', 'gloam', 'retornar', 'minorar', 'tardor', 'ruïna', 'baixada', "primavera_d'hivern", 'inclinació', 'capitulació', 'santmiquelada', "primavera_de_l'hivern", 'tardavera', 'the_fall', 'natalia_lesz', 'rost', 'alba', 'mitigar', 'vespre', 'autumne', 'declinació', 'caiguda', 'fall', 'appoggiatura', 'descens', 'reduir', 'capvespre', 'baixa', 'tardorada', 'evenfall', 'crepuscles', 'davallar', 'esmorteir', 'pertocar', 'brillar', 'rerevera', 'reincorporar', 'crepuscle_vespertí', 'costa_avall', 'believe', 'crepuscle_civil', 'crepuscle', 'crepuscle_astronòmic', "caiguda_de_l'home", 'crepuscle_nàutic', 'crepuscule'}
far	{'ex_forces_armades', 'remot', 'molt', 'llunyà', 'allunyat', 'fins', "relació_d'àrea_de_pis", 'forces_armades_revolucionàries_de_cuba', 'far', 'distant', 'lluny', 'interahamwe', "exèrcit_per_a_l'alliberament_de_rwanda", 'alir'}
fat	{'adipós', 'grassor', 'engreixar-se', 'greix_visceral', 'engreixar', 'stypsis', 'adiposis', 'fruites', 'lipíd', 'sec', 'lípids', 'fat', 'greix', 'mineralitat', "taula_d'assignació_d'arxius", 'lípid', 'teixit_gras', 'greixos', 'corpulència', 'carnositat', 'fat32', 'equilibri', 'teixit_adipós', 'lipídic', 'sobrepès', 'lipoide', 'lipídica', 'lipide', 'glicerolípid', 'greix_corporal', 'file_allocation_table', 'carnós', "taula_d'assignació_de_fitxers", 'astrigència', 'glicerolípido', 'encebar-se', 'encebar', 'adiposi', 'lipid', 'saginar', 'cos', 'gras'}
father	{'emprenedoria', 'déu_pare', 'sacerdot', 'esperit_empresarial', "pares_de_l'església", 'pare', 'avantpassat', "pares_de_l'església_catòlica", 'mossèn', 'cofundador', 'paternitat', 'sacerdots_catòlics', 'pare_déu', 'engendrar', 'papa', 'sacerdoci_catòlic', 'fundador', 'mentalitat_emprenedora', 'pare_biològic', "pare_de_l'església", 'emprenedor_en_sèrie', 'generar', 'the_gift', 'sacerdot_catòlic', 'prevere', 'empresarial', 'empresaris', 'empresari', 'engendrador', 'papà', 'father', 'progenitor_masculí', 'pares', 'déu'}
fear	{'inside_out', 'esglai', 'respecte', 'venerar', 'temença', 'del_revés', 'veneració', 'preocupació', 'fear', 'por', 'tenir_por_de', 'reverir', 'la_por', 'paüra', 'ensurt', 'témer', 'inquietud', 'la_paura', 'basarda', 'marillion', 'agent_ocult', 'reverenciar', 'reverència', 'tenir_por', 'espant', 'temor', 'terror'}
feather	{'super_mario_kart', 'bárbula', 'plomes', 'pluma', 'semiploma', 'riu_feather', 'plomissol', 'ploma', 'calat', 'plomatge_eclipsi', 'plomatge', 'filoplume', 'ploma_de_contorn', 'emplomallar'}
feeling	{'idea', 'percepció_tàctil', 'somatosensorial', 'esperit', 'entranyes', 'creença', 'sentiment', 'retroalimentació_tàctil', 'sensació_tàctil', 'tàctil', 'sentiments', 'emoció', 'sentiment_intuïtiu', 'sensació', 'sistema_somatosensorial', 'impressió', 'to', 'sentit_del_tacte', 'tacte'}
few	{'pocs', 'quantitat'}
fight	{'compromís', 'escaramusses', 'lluita', 'batallar', 'contesa', 'defensar-se', 'barallar', 'conflicte', 'batalla', 'brega', 'baralles', 'lluitar', 'oposar', 'baralla', 'competitivitat', 'entrenament_de_combat', 'combat_armat', 'batalles', 'acció', 'fight', 'barallar-se', 'pugnar', 'combat'}
fingernail	{'llit_unguial', 'ungles', 'ungla'}
fire	{'fervidness', 'descarregar', 'disparar', 'tina_barrett', 'incendiar', 'cremar', 'anarchy', 'fogar', 'atac', 'fer_fora', 'flamejant', 'despertar', 'estimular', 'diu', 'incendi', 'acomiadar', 'flama', 'brusar', 'fervor', 'fire', 'evocar', 'enfornar', 'amazon_kindle_fire', 'suscitar', 'fire/jericho', 'fer_foc', 'destituir', 'ardor', 'despedir', 'emerson,_lake_&_palmer', 'excitar', 'conflagració', 'fogositat', 'llar', "let's_cheers_to_this", 'foc', 'foguera', 'kelis_was_here', 'leona_lewis', 'causar', 'moure', 'kindle_fire', 'flamarada', 'llar_de_foc', 'heartbreak_on_hold', 'proveir_de_combustible', 'cremar-se', 'incitar', 'incendis'}
fish	{'peixos', 'pterigióforo', 'peix', 'peixos_marins', 'angules', 'pescar', 'hibridació_in_situ_per_fluorescència', 'hibridació_fluorescent_in_situ', 'hibridació_in_situ_fluorescent', 'peixos_els_peixos', 'fish', 'pisces', 'ictiofauna', 'aleví', 'piscis', 'aliment_per_a_peixos', 'go_fish', 'alevins', 'phish'}
five	{'succeeder', 'enneagrama', 'hollywood_undead', 'equip_de_bàsquet', 'quintet', 'five', 'poc_phoebe', 'quint', '5', 'v', 'cinque', 'pentad', 'cinquè', 'sugarcult', 'achiever', 'guanyador', 'cinc', 'èxit', 'equip_de_basquetbol', 'tim_pagnotta'}
float	{'cascading_style_sheet', 'gelat_de_flotador', 'nadadera', 'flotador_públic', 'bufar', 'css_3', 'descompressió_ràpida', 'flotador', 'bufeta_de_gas', 'descompressió_lenta', 'aritmètica_de_punt_flotant', 'nedar', 'ponton', 'float', 'punt_flotant', 'gelat_de_soda', 'descompressió_gradual', 'vaixell_pontó', 'aritmètica_de_coma_flotant', 'capital_flotant', "fulls_d'estil_en_cascada", 'pontó', 'flotar', 'css3', 'nombres_de_punt_flotant', 'coma_flotant', 'css', 'descompressió_controlada', 'surar', "full_d'estil_en_cascada", 'guixer_flotador', 'bufeta_natatòria', 'flotadors', 'nombre_de_punt_flotant', 'descompressió_descontrolada', 'bobfloat', 'cascading_style_sheets', 'descompressió_explosiva', 'boia', 'desfilada_de_carrosses', 'suro'}
flow	{'taxa_de_flux_volumètric', 'pressió_hidràulica', 'acceleració_convectiva', 'grail_b', 'menstruar', 'florent_mothe', 'dinàmica_dels_fluids', 'flux', 'mecànica_de_fluids', 'regla', 'flux_constant', 'caure', 'rap', 'hidràulica', 'emceeing', 'hidràulic', 'mecànica_dels_fluids', 'dinamicista_fluid', 'brollar', 'menstruació', 'grail', 'menstruo', 'menstruacions', 'rapers', "trajectòria_d'augment", 'dinàmica_de_fluids', 'riu', 'psicologia_del_flux', 'curs', 'taxa_de_flux', 'cicles_menstruals', 'young_money_entertainment', 'hidràulicament', 'xarxa_flux', 'raper', 'fluix_menstrual', 'manar', 'psicología_del_flux', 'flux_volumètric', 'catamenia', 'grail_a', 'torrent', 'alimentar', 'créixer', 'mecànica_dels_fluïds', 'xarxa_de_flux', 'proto-rap', 'rajar', 'fluix', 'córrer', 'gravity_recovery_and_interior_laboratory', 'física_de_fluids', 'fluir', 'corrent', 'xarxa', 'flow', 'menstru', 'velocitat_de_flux'}
flower	{'bambi', 'gackt', 'cera_epicuticular', 'flors', 'flower', 'apogeu', 'floració', 'temporada_de_creixement', 'flor', 'acíclica', 'play', 'florals', 'brots', 'florir', 'relient_k', 'auge', 'pruïna', 'acíclic'}
fly	{'escapar', 'eixerit', 'espavilat', 'fly', 'diptera', 'papallona', 'papallona_carrera', 'pilotar', 'botiga_solapa', 'mosques', 'mosques_veritables', 'navegar', 'la_mosca', 'rainfly', 'wanessa', 'símbol_vexil·lològic', 'evadir', 'travessar', 'estil_papallona', 'evadir-se', 'volar', "botiga_d'exclusió_aèria", "anar-se'n", 'bragueta', 'escapolir-se', 'mosca', 'tocar_el_dos', 'dípters', 'riu_fly', 'símbol_vexil.lològic', 'desaparèixer', 'fly_ball', 'símbol_vexiŀlològic', 'fugir', 'ciara', 'volar_davant', 'símbol_vexil•lològic', 'dípter', 'volar_full'}
fog	{'10th_avenue_freakout', 'boira', 'foscor', 'boira_de_superfície', 'atordiment', 'boira_gebradora', 'ennuvolar-se', 'emboirar-se', 'broma', 'niebla', 'estupefacció', 'boirassa'}
food	{'aliment', 'sustent', 'kirby', 'nutrient', 'productes_alimentaris', 'aliments', 'roda_dels_aliments', 'aliment_intel_·_lectual', 'aliments_sòlids', 'macronutrients', "roda_d'aliments", 'aliment_per_al_pensament', 'nutrients', 'tipus_de_nutrients', 'menjar', "tipus_d'aliments", 'macronutrient'}
foot	{'mol_·_luscs', 'invertebrats_peu', 'obenc', 'escota_de_major', 'pes', 'fonaments', 'escota', 'la_màquina_de_cosir', 'ft', 'mol•lusc', 'màquina_de_cosir', 'mollusca', 'peus_mètrics', 'fonamentacio', 'base', 'problemes_a_la_fonamentació', 'molusc', 'pota', 'clima_full', 'mollusc', 'mol·luscos', 'fonamentació', 'potes', 'peu_humà', "puny_d'escota", 'peu_mètric', 'fonament', 'infanteria_activa', 'peu', 'da', 'coberta', 'moŀlusc', 'fundació', 'infanteria', 'mol·luscs', 'orsa', 'màquines_de_cosir', 'foot', "soldats_d'infanteria", 'phylum_mollusca', 'understructure', 'mol·lusc', 'peus', 'infanteria_de_reserva', "regiment_d'infanteria", 'unitat_mètrica', 'full', 'peülla', 'mol.lusc'}
forest	{'boscos_de_coníferes', 'forestal', 'forest', 'reserva_forestal', 'arbre', 'wälder', 'nottingham_forest_fc', 'fusta', 'nottingham_forest_football_club', 'arbreda', 'boscos', 'selva', 'bosc', 'repoblar', 'boscoses', 'nottingham_forest_f.c.', 'forestals', 'timberland', 'nottingham_forest', 'arborar', 'arboreda', 'vorst'}
four	{'ruta_4_del_metro_de_nova_york', 'succeeder', 'enneagrama', 'iv', 'sis', 'channel_4', 'tetractys', 'forth', 'cuaternio', 'tetraktys', 'quaternari', 'tètrada', '4', 'planetary', 'quaternions_de_hamilton', 'four', 'quatre-punt', 'límit', 'quaternió', 'little_joe', 'quaternions', 'achiever', 'quatern', 'guanyador', 'quartet', 'quaternitat', 'cuaternión', 'quatre', 'èxit'}
freeze	{'freeze', 'forjar', 'solidificació', 'glaçar', 'suspendre', 'congelar', 'freeez', 'gelar', 'glaçar-se', 'fargar', 'solidificat', 'alto', 'glaçada', 'bloodline', 'congelació', 'gebre', 'gelar-se', 'jordin_sparks', 'gelada', 'blocar', 'todd_smith', 'congelar-se'}
fruit	{'fruit', 'stypsis', 'cos', 'fruits', 'fruites', 'loculicida', 'sec', 'fruita_carnosa', 'fruita', 'policàrpic', 'carnós', 'producció', 'septicida', 'polisperm', 'astrigència', 'beina_de_la_llavor', 'monosperm', 'monocàrpic', 'mineralitat', 'equilibri'}
full	{'sencer', 'completament', 'ampli', 'ple', 'tip', 'complet', 'total', 'absolut', 'ple_de_la_lluna', 'perfecte', 'plenament', 'lluna_plena', 'repleta', 'ample', 'full-of-the-moon', 'créixer', 'fase_de_la_lluna_plena', 'pleniluni'}
garbage	{'ferralla', 'residus', 'sobres', 'withering_to_death.', 'ferregada', 'residu_sòlid_urbà', 'deixalla', 'escombraries', 'residus_domèstics', 'residu', 'residus_sòlids', "deixalles_d'origen", "residus_d'aliments", 'deixalles', 'residus_de_productes', 'residus_sòlids_urbans', 'ximpleria', 'sobralles', 'rebuig', 'rsu', 'brutícia', 'residu_alimentari', 'material_de_rebuig', 'residus_municipals', 'rebutjar', 'garbage', 'residu_sòlid', 'residus_urbans', 'fotesa'}
give	{'dedicar-se', 'sacrificar-se', 'apropar', 'pet_your_friends', 'regals', 'comunicar', 'atorgar', 'transmetre', 'acostar', 'entregar', 'presentar', 'regal', 'traspassar', 'deixar', 'generar', 'obsequiar', 'aproximar', 'adjudicar', 'propinar', 'sacrificar', 'desplomar', 'fer', 'dispensar', 'produir', 'elasticitat', 'present', 'donar', 'alimentar', 'cold', 'passar', 'contribuir', 'regalar', 'conferir', 'proporcionar', 'consagrar-se', 'obsequi', 'causar', 'consagrar', 'cedir', 'sustentar', 'dedicar', 'concedir', 'lliurar', 'permetre', 'the_giver', 'aportar'}
gold	{'triple_platí', 'versió_final', 'fases_de_desenvolupament_del_software', 'beta_oberta', 'multi-platí', 'prova_beta', 'or_de_veta', 'or_natiu', 'provador_beta', 'alfa_programari', 'disc_platí', "medalla_d'or_olímpica", 'versió_beta', 'versió_de_programari_de_cicle_de_vida', 'disc_de_plata', 'gold', 'daurada', 'platí', 'young_lust:_the_aerosmith_anthology', 'auri', 'fases_del_desenvolupament_de_programari', 'beta_pública', 'ambre', 'certificat_de_vendes_discogràfiques', 'etapa_de_desenvolupament', 'versió_alfa', 'alfa_test', 'disc_de_platí', 'certificats_musicals', 'fases_de_desenvolupament_del_programari', 'programari_alfa', 'nombre_atòmic_79', 'daurat', 'doble_platí', "disc_d'or", 'certificat_or', "certificació_d'or", 'cicle_de_vida_del_programari', 'the_heist', 'or', 'cicle_vida_del_programari', 'número_atòmic_79', 'cicle_de_vida_del_programari_alliberament', 'shooting_star', 'beta', 'software_alfa', 'programari_beta', 'pre-alpha', "medalles_d'or", "medalla_d'or", 'beta_tancada', 'beta_test', 'certificació_platí', 'wanna_one', 'sandhja', 'versió_candidata', 'bobby_brown', 'cicle_de_vida_i_difusió_del_programari', "medallista_d'or", 'anthology'}
good	{'manyós', 'respectable', 'bé', 'utilitat', 'bona_comerç', 'completament', 'just', 'ideal', 'béns_de_consum', 'proper', 'be_econòmic', 'gènere', 'bo', 'bens_de_consum', 'beneficiós', 'hàbil', 'expert', 'idoni', 'bondat', 'bé_i_el_mal', 'valor', 'valors_humans', 'destre', 'benefici', 'béns', 'commodity', 'commodities', 'estimat', 'article', 'traçut', 'good', 'complet', 'recte', 'bé_de_consum', 'bé_econòmic', 'honorable', 'good_music', 'mercaderia', 'interès', 'sa', 'honrat', 'libellé', 'béns_materials', 'mercaderies', 'valors_ètics', 'enginyós'}
