ability	{'yetenek', 'yeteneği'}
egg	{'testisler', 'ballock', 'erbezi', 'phasmida', 'husye', 'taşşak', 'haya', 'erbezleri', 'osi_referans_modeli', 'top', 'teste', 'yumurta_üretimi', 'yumurta_hücresi', 'osi-modell', 'eliptik', 'ovum', 'sipariş_phasmida', 'elips', 'yumurta_hücreleri', 'phasmatodea_takımı', 'egg', 'taşak', 'osi_referans_modeli̇_özet', 'er_bezi', 'yumurta', 'tavuk_yumurta', 'yumurtacık', 'kuş_yumurta', 'phasmatodea', 'açık_sistem_bağlantıları', 'testis', 'dış_merkezliği', 'tavuksal_fırlatgaç', 'oval', 'osi_modeli'}
election	{'saylav', 'election', 'seçim_emri', 'seçim', 'demokratik_yollardan_seçilen', 'seçmen', 'seçim_yargısı', 'yeniden_seçilmeyi', 'yeniden_seçim', 'seçimler'}
electron	{'eksicik', 'elektronlar', 'elektron', 'electron', 'negatron'}
elegance	{'güzellik', 'dekoratif', 'karlgeorg_hoefer', 'nadide_şey', 'klasik_güzellik', 'güzel', 'zarif'}
emotion	{'human_after_all', 'duygusal', 'duygular', 'duygu', 'emotion', 'his'}
emotionally	{'duygular', 'duygu', 'duygusal', 'his'}
engine	{'ray_alder', 'motorlar', 'motor', 'otomobil_motorları', 'oyun_motorları', 'lokomotifler', 'lokomotif', 'video_oyun_motoru', 'engine', 'yazılım_altyapısı', 'demiryolu_lokomotif', 'motor_silindiri', 'binek_araçlarında_güç_üretim_teknolojisi', 'demiryolu_altyapısı', 'yazılım_motoru', 'yazılım_temeli', 'oyun_motoru', 'otomobil_motoru', '3d_motoru'}
english	{'i̇ngilizce_dili', 'english_language', 'ingilizce_insanlar', 'amerikan_i̇ngilizcesi', 'opt-out', 'ingiliz_filolojisi', 'ingiliz_orta', 'ingiliz', 'iso_639:en', 'abd_i̇ngilizcesi', 'i̇ngiliz', 'ingiliz_etütleri', 'amerikan_ingilizcesi', 'basit_i̇ngilizce', 'león_bloy', 'iso_639:eng', 'i̇ngilizce', 'ingilizce_orta', 'amerikan_dili', 'i̇ngilizler', 'i̇ng.', 'i̇ngiliz_i̇ngilizcesi', 'ingilizce_dil', 'ingilizce', 'ingilizler', 'amerikanca', 'aiden_english', 'english'}
event	{'tuşlara_basma', 'etki', 'olay_işleme', 'olay_işleyicisi', 'sonucu', 'dinleyici', 'akıbet', 'vaka', 'etkinlik', 'tuş', 'hadise', 'program_olayı', 'kulaklık', 'etkisi', 'netice', 'sonuç', 'olay'}
experiment	{'deneysel_bilimin', 'deneysel', 'deney_grubu', 'deney', 'the_experiment', 'deneme', 'bilimsel_deney', 'deneysel_araştırma', 'experiment', 'tecrübe'}
extremely	{'derece'}
eye	{'avrupa_gençlik_etkinliği', 'göz_sinirleri', 'tomurcuk', 'göz_merceği', 'hollanda_film_müzesi', 'göz', 'the_eye', 'eyewall', 'bileşik_gözleri', 'oculus', 'tomurcukları', 'optik', 'eye', 'oküli', 'göz_küresi', 'göz_yuvan'}
fall	{'düşer', 'alaca_karanlık', 'gloam', 'believe', 'love_me_like_you_do', 'crepuscle', 'crepuscule', 'bayır', 'akşam_vakti', 'düşüş', 'sonbaharında', 'the_fall', 'downslope', 'düşmek', 'yaprakdökümü', 'yağmak', 'düşme', 'twilight', 'akşam_karanlığı', 'sonbahar', 'natalia_lesz', 'son_bahar', 'tan', 'alacakaranlık', 'tuş', 'astronomik_tan', 'güz', 'evenfall'}
far	{'küba_devrimci_silahlı_kuvvetleri', 'ruanda_kurtuluş_ordusu', 'taban_alanı_katsayısı', 'çok', 'ırak', 'eski_silahlı_kuvvetler', 'taban_alanı_oranı', 'alir', 'interahamwe', 'far', 'uzak'}
fat	{'adipoz', 'yağ', 'vücut_yağ', 'meyve', 'fat32', 'lipit', 'yağlı_doku', 'adipöz_doku', 'vücut', 'yaglar', 'adipoz_doku', 'fat', 'şişmanlık', 'denge', 'dosya_yerleşim_tablosu', 'dosya_ayırma_tablosu', 'yağlar', 'lipitler', 'yağ_doku', 'tayland_futbol_federasyonu', 'lipide', 'stypsis', 'viseral_yağ', 'fat12', 'lipid', 'yağdoku', 'lipoid', 'kilolu', 'adipozis', 'minerality', 'yağ_dokusu', 'glycerolipid', 'kuru', 'fat16', 'lipit_özellikleri'}
father	{"i̇slam'da_tanrı", 'girişimci', "kilisesi'nden_peder", 'tanrı', 'baba-tanrı', 'girişimcilik_taşındı', 'peder', 'seri_girişimci', 'katolik_rahip', 'babası', 'baba_tanrı', 'kilise_babası', 'baba', 'the_gift', 'rahiplik', 'biyolojik_babası', 'girişimci_zihniyet', 'katolik_rahipler', 'ata', 'girişimciler', 'father', 'erkek_ebeveyn', 'rahip', 'kurucularından', 'girişimcilik', 'kilise_baba', 'katolik_rahiplik', 'confident'}
fear	{'korkmak', 'ürkmek', 'la_paura', 'inside_out', 'endişe', 'saygı_duymak', 'marillion', 'korku', 'huşu', 'ters_yüz', 'fear'}
feather	{'tüy', 'hysteria', 'tüyler', 'barbule', 'filoplume', 'radyus', 'tüyleri'}
feeling	{'dokunma_hissi', 'dokunsal_geribildirim', 'dokunma_duyusu', 'duyarlı', 'somatosensoriyel_sistemi', 'duygu', 'ruhu', 'his', 'dokunsal', 'somatosensoriyel', 'hassas', 'sesi', 'duygular', 'sezgisel_hissi', 'dokunma', 'izlenim', 'hissetme', 'duygusal'}
few	{'miktar', 'az', 'birkaç'}
fight	{'nişan', 'karşı', 'mücadele', 'çatışmalar', 'fight', 'savaş', 'dövüşmek', 'rekabet', 'müsademe', 'dramatik_anlaşmazlık', 'savaşmak', 'muharebe', 'silahlı_mücadele', 'kavga_etmek', 'kavga', 'çatışma', 'askeri_nişan', 'harp', 'boğuşmak', 'çakışma'}
fingernail	{'tırnak'}
fire	{"let's_cheers_to_this", 'fin_i̇stihbarat_araştırma_kurumu', 'gayret', 'tina_ann_barrett', 'yangın_felâketi', 'elp', 'yakmak', 'kelis_was_here', 'tina_barrett', 'yangın', 'emerson_lake_and_palmer', 'sepetlemek', 'ateş', 'ateşin_icadı', 'yanan', 'emerson,_lake_&_palmer', 'fire/jericho', 'fervidness', 'anarchy', 'yangınlar', 'kıvılcım', 'leona_lewis', 'od', 'alev', 'yanmak', 'ateşin_bulunması', 'heartbreak_on_hold', 'fire'}
fish	{'balýk', 'balıklar_suda_nasıl_yaşar', 'yavru', 'balık_balıklar', 'deniz_balıkları', 'go_fish', '♓', 'phish', 'balık_eti', 'balıklar', 'balik', 'balık_burcu', 'balık_yakalamak', 'yüzgeçli', 'ichthyofauna', 'elver', 'pisces', 'gıda_balık', 'balıg', 'balık', 'küçük_balık', 'fish', 'pterygiophore', 'tablo_balık_edilir', 'balık_avlamak'}
five	{'five', '５', 'beş', 'hollywood_undead', 'basketbol_takımı', 'başarılı_kimse', '➎', 'beşlik', 'succeeder', '❺', '➄', 'penc', 'panj', '5', 'sugarcult', '⑤', 'küçük_phoebe'}
float	{'basamaklı_biçim_sayfaları', 'kontrolsüz_dekompresyon', 'stil_şablonları', 'kayan_noktalı_sayı', 'duba_tekne', 'mesane_yüzmek', 'float', 'css', 'hava_kesesi', 'cascading_style_sheets', 'bobfloat', 'pontoon', 'yüzmek', 'üflemek', 'basamaklı_biçem_sayfaları', 'dondurma_soda', 'patlayıcı_dekompresyon', 'bobber', 'yüzen', 'tombaz', 'kayan_noktalı_sayılar', 'kayan_nokta', 'basamaklı_stil_şablonları', 'ponton', 'kamu_şamandıra', 'css_-_cascading_style_sheets', 'duba', 'dondurma_şamandıra', 'gaz_mesane', 'esmek', 'kayan', 'işinin_şamandıra', 'şamandıra', 'geçişli_stil_sayfaları', 'swimbladder'}
flow	{'rap_sanatçısı', 'emceeing', 'hidrolik_ana_bilim_dalı', 'aybaşı', 'menstürasyon', 'akarsu_debisi', 'akışkan_fiziği', 'menstrüasyon', 'catamenia', 'florent_mothe', 'ağ', 'rapper', 'akış_hızı', 'artırmada_yolu', 'rap_müzik', 'ağ_akışı', 'akış', 'hidrodinamik', 'âdet_kanaması', 'rapçi', 'akışkan_hareketi', 'âdet_dönemi', 'repçi', 'regl', 'sıvı_dinamikçiye', 'akışkanlar_dinamiği', 'hayız', 'rapçiler', 'hidrolik', 'akan', 'menstural_siklus', 'akışkan_dinamiği', 'hidrolik_anabilim_dalı', 'gravity_recovery_and_interior_laboratory', 'rep', 'akış_kuramı', 'menstruasyon', 'adet', 'hidrolik_mühendisi', 'aybaşı_kanaması', 'akışı', 'debi', 'young_money_entertainment', 'hacimsel_debi', 'akışkanlar_mekaniği', 'akım', 'flow', 'hacimsel_akış', 'ritmik_şiir', 'rap', 'proto-rap', 'hidrolik_basınç', 'âdet', 'akış_ağı', 'adet_kanaması', 'mensturasyon', 'sıvı_mekaniği'}
flower	{'✿', 'çiçekleri', 'relient_k', 'bambi', 'gackt', 'çiçek', 'play', 'flower', 'çiçekler', 'tomurcukları', 'çiçeği', 'epikutikula', 'doruk', 'bahar', 'çiçeklenmek', 'çiçeklenme', 'büyüme_mevsimi'}
fly	{'i̇ki_kanatlılar', 'sineğin_başkalaşımı', 'ciara_harris', 'top_uçmak', 'kelebek', 'uçmak', 'diptera', 'ciara', 'çadır-fly', 'sinek', 'kelebekleme_yüzme', 'ön_uçmak', 'sinekler', 'kelebek_stili_yüzme', 'çift_kanatlılar', 'çadırın', 'çiftkanatlılar', 'gerçek_sinekler', 'seyahat_etmek', 'rainfly', 'gitmek', 'iç_kapak_kâğıdı', 'kelebek_inme', 'fly'}
fog	{'kasvet', 'sis', '10th_avenue_freakout', 'duman'}
food	{'azık', 'macronutrients', 'katı_gıda', 'yiyecek', 'gıda_ürünleri', 'aş', 'gıda', 'gıdalar', 'besinler', 'besin', 'kirby', 'yemek', 'düşünce_için_yiyecek', 'yiyecekler', 'yemekler', 'fikrî_gıdayı', 'makrobesin'}
foot	{'feet', 'piyade', 'piyade_alayı', 'ft', 'fut', 'pada', 'mollusca', 'insan_ayağı', 'mekanize_piyade', 'dikiş_makineleri', 'piyade_birlik', 'hayvan_ayak', 'clew', 'fit', 'hava_sac', 'yumuşakçalar', 'kefen', 'foot', 'ıskotanın', 'pes', 'filum_mollusca', 'ayak', 'yumuşakça', 'temel', 'dikiş_makinesi', 'dibinde', 'metrik_birim', 'vezne_ayak', 'ayak_omurgasız', 'understructure'}
forest	{'ormanlar', 'nottingham_forest_fc', 'ormanın_faydaları', 'forest', 'ağaç', 'orman', 'nottingham_forest', 'ormanda', 'ormanlık', 'ormanda_yaşayan', 'nottingham_forest_f.c.', 'iğne_yapraklı_orman', 'ormanlık_arazi', 'orman_formasyonu', 'galeri_ormanı', 'orman_çeşitleri'}
four	{'planetary', '４', 'little_joe', 'dört-nokta', '➃', 'altı', 'sınır', 'tetractys', '④', 'channel_4', '❹', 'four', 'başarılı_kimse', 'dört', '➍', 'succeeder', 'dördey', '4', 'quaternity', 'kuaterniyonlar', 'night_changes', 'dörtlü', 'forth', 'kuaterniyon', 'dört:_bir_uyumsuz_koleksiyon_kitabı', 'quatern'}
freeze	{'bloodline', 'dondurma', 'donmak', 'soğuk', 'donma', 'freeez', 'don', 'freeze', 'todd_smith', 'jordin_sparks'}
fruit	{'meyvelerin_özellikleri', 'stypsis', 'meyve', 'vücut', 'meyva', 'meyveler', 'fruit', 'minerality', 'denge', 'abbe_may', 'kuru', 'yemiş'}
full	{'ayın_tam_faz', 'dolu', 'tok', 'full-of-the-moon', 'dolunay', 'tam'}
garbage	{'atık', 'atıkların', 'kırıntı', 'withering_to_death.', 'atık_madde', 'katı_atık', 'atıklar', 'hurda_demir', 'çöp', 'garbage', 'evsel_atık', 'süprüntü', 'madde_atık', 'yemek_atıkları', 'hurda'}
give	{'var', 'adamak', 'yaylanma', 'hediyeler', 'beslemek', 'the_giver', 'ödemek', 'feda', 'hediye', 'vermek', 'pet_your_friends', 'cold', 'give'}
gold	{'atom_numarası_79', 'olimpiyat_altın_madalya', 'altın_rengi', 'ön-alfa', 'platin_albüm', 'üçlü_platin', 'halka_açık_beta', 'altın', 'platin_plak', 'altın_madalyalı', 'altın_albüm', 'au', 'beta_yazılım', 'müzik_kayıt_satış_belgesi', 'yazılım_sürümü_yaşam_döngüsü', 'altın_plak', 'üretici_sürümü', 'alfa_yazılımı', 'altun', 'nabit_altın', 'young_lust:_the_aerosmith_anthology', 'beta_testi', 'the_heist', 'beta_tester', 'yazılım_yaşam_döngüsü', 'altunî', 'altın_sertifika', 'multi-platin', 'açık_beta', 'çift_platin', 'albüm_satış_sertifikası', 'kehribar_rengi', 'barisford_brown', 'platin', 'bobby_brown', 'alfa_sürümü', 'sürüm_adayı', 'altın_madalya', 'alfa_testi', 'gold', 'elmas_rekor', 'geliştirme_aşamasında', 'platin_sertifika', 'robert_barisford_brown', 'platin_disk', 'kapalı_beta', 'lode_altın', 'anthology', 'yayın', 'sarı', 'wanna_one', 'beta_sürümü', 'altın_tek', 'altın_disk', 'altuni', 'sandhja', 'altın_sarısı'}
good	{'kıymet_ehemmiyet', 'etik_değerleri', 'önem', 'good_music', 'meta', 'mamul', 'libellé', 'i̇yi_ve_kötü', 'emtia', 'mal', 'iyilik', 'etik_değerler_ve', 'değer', 'iyi_ticaret', 'g.o.o.d._music', 'iyice', 'ekonomik', 'iyi', 'good'}
grass	{'graminoid', 'kenevir', 'sensemillia', 'marihuana', 'yeşil_tanrıça', 'graminaceae', 'supergrass', 'cannabis_sativa', 'gannavuri', 'poaceae', 'günter_grass', 'çim_aile', 'otlatma', 'grass_gis', 'buğdaygiller', 'esrar', 'ot', 'sens', 'sess', 'çim', 'yeşil_yemler', 'sensimilla', 'mary_jane', 'marijuana', 'skylarking', 'sporobolus_caespitosus', 'aile_graminaceae', 'canabis', 'sinsemilla', 'aile_gramineae', 'gunter_wilhelm_çim', 'kanabis', 'spikelets', 'aile_poaceae', 'çimen', 'nothing_can_stop_us', 'otlar', 'ganja', 'stoner', 'graminae', 'eatage', 'yem', 'gramineae'}
great	{'büyük', 'illustriousness', 'büyüklük'}
green	{'meyve', 'yeşilimsi', 'yeşillendirmek', 'chartreuse', 'yeşillik', 'çevreciler', 'yeşilimsi_sarı', 'jade', 'süper_asit', 'bezelye_yeşil', 'vert', 'çevrecilik', 'sarımsı_yeşil', 'yaprak_sebze', 'william_green', 'green', 'kedi_valium', 'avcı_yeşil', 'zümrüt', 'sarı_yeşil', 'stypsis', 'naif', 'yeşil_sebzeler', 'özel_k', 'yeşil_hareket', 'yeşim_yeşil', 'süper_c', 'green_river', 'chartreuse_rengi', 'yeşil', 'brunswick_yeşil', 'çevre_aktivistleri', 'yeşilci', 'yapraklı_sebze', 'yeşim', 'koyu_yeşil', 'yeşil_siyaset', 'kelly_yeşil', 'ortak', 'putting_green', 'commons', 'vücut', 'saf', 'bal_yağı', 'green_irmağı', 'denge', 'çevre_aktivisti', 'yüzeye_koyarak', 'çevre_koruma', 'yeşil_sebze', 'feldgrau', 'yeşil_koyarak', 'yeşil_yapraklı_sebze', 'tüfek_yeşil', 'minerality', 'yapraklı_sebzeler', 'çevre_dostu', 'kuru', 'yeşilimtırak'}
gun	{'ateşli_silah', 'gunfighting', 'adam_vurdu', 'gres_tabancası', 'silahşör', 'ateşli_silahlar', 'küçük_silah', 'kiralık_silah', 'hitman', 'gaz_pedalı', 'tetikçi', 'silah', "japonya'nın_ilçeleri", 'küçük_kol', 'silah_dükkanı', 'louder_than_love', 'silahşor', 'ağır_silah', 'silâhlı_soyguncu', 'conventional_weapons', 'gun'}
guts	{'barsak', 'sindirim_sistemi', 'sindirim_organları', 'büyük_birleşik_teorisi', 'moxie', 'bağırsaklar', 'bağırsak', 'gi', 'cesaret', 'mide-bağırsak', 'braveness', 'büyük_birleşim_kuramı', 'iç_organlar', 'sindirim_borusu', 'cesur', 'yüreklilik', 'bağırsakları', 'cesurluk', 'enterik', 'gastro-intestinal', 'gastrointestinal_sistemden', 'gastrointestinal_sistem', 'guts', 'gastrointestinal'}
hair	{'saç_dökülmesi', "hair's-genişliği", 'saç', 'hairsbreadth', 'bırak_güneş_içeri_girsin', 'tüy', 'kıl', 'ayva_tüyü', 'saç_folikülü', 'saç_rengi', 'kafa_saç', 'kıllar', 'saç_bakımı', 'keçe', 'hair'}
hand	{'kiralık_adamı', 'el_yazısı', 'kart_oyunu', 'işe_el', 'vermek', 'cordella', 'i̇skambil', 'hand', 'elinde', 'kart_oyunları', 'kartları', 'dilgar', 'hat', 'i̇skambil_oyunları', 'brakiri', 'kâğıt_oyunu', 'manus', 'yardım_eli', 'i̇skambil_oyunu', 'system_of_a_down', 'el', 'drazi', 'iskambil_destesiyle_oynanan_oyunlar', 'briç_oyuncusu'}
he	{'ה', 'yahudi_dili', 'i̇branice_dili', 'o', 'high_definition_video', 'helyum', 'i̇branîce', 'ge', 'ibranice', 'atom_numarası_32', 'г', 'i̇branice', 'germanyum', 'yüksek_tanımlı_video', 'süperakıskan_helyum', 'hd_video', 'i̇brânice', 'hans_eworth', 'helium', 'i̇branca', 'he', 'atom_numarası_2', "i̇brani'ce", 'עברית'}
head	{'köprü_aktarım_protokolü', '404_error', 'kafası_okuma_/_yazma', 'makale', 'emaret', 'oral_seks', 'başkanı', 'pseudanthium', 'kişi', 'hidrolik_eğim', 'klan_şefi', 'burun', 'oral_ilişki', 'okul_müdürü', 'dirty_mind', 'kefen', 'zihin', 'şef', 'head', 'baş_öğretmen', 'hypertext_transfer_protocol', 'nous', 'request/response', 'kumicho', 'http/1.1', 'kafa-', 'başöğretmen', 'baba', 'gazete_makalesi', 'şefliği', '80._port', 'headspring', 'kabile_şefi', 'çıkıntı', 'http', 'sefalik', 'köprü_metni_aktarım_protokolü', 'öğretmen', 'yönetmen', 'müdür', 'mafya_patronu', 'hidrolik_kafa', 'patron', 'clew', 'baş_dahil', 'hava_sac', 'suç_patronu', 'hikaye_yol', 'ıskotanın', 'http_yöntemi', 'soru', 'amir', 'iskoç_klan_şefi', 'suç_lordu', 'hipermetin_aktarım_protokol', 'brian_"head"_welch', 'müdire', 'oral_sex', 'davul_derisi', 'baş', 'başını', 'kabile_reisi', 'brian_welch', 'http_isteği', 'kafa', 'haber', 'galip'}
hear	{'işitme', 'işitsel', 'işitsel_anlamda', 'işitsel_modalite', 'işitmek', 'dinlemek', 'işitim', 'işitme_yetisi', 'görmek', 'duyma', 'i̇şitme', 'keşfetmek', 'işitme_duyusu', 'duymak'}
heart	{'heart', 'duygulanmak', 'meyil', 'hırs', 'asıl_mesele', 'canı_gönülden', 'supernatural', 'mindless_self_indulgence', 'sağ_kalp', 'şefkat', 'kalb', 'alexz_johnson', 'esansları', '❤', 'sevgi', 'duygusal_yakınlık', 'özet', 'kalp', 'özü', 'sol_kalp', '❥', 'ana_fikir', 'yürek', 'çocuk_kalbi', 'i̇ç_göçlerin_sonuçları', 'philia', 'öz', 'eğilim', 'kardiyak'}
heavy	{'mann_co.', 'stypsis', 'ağır', 'radric_davis_vs_devlet', 'meyve', 'heavy.com', 'özlük_muhafızı', 'vücut', 'heavy', 'fedai', 'saxton_hale', 'minerality', 'denge', 'tf_2', 'yakın_koruma', 'kuru', 'koruma', 'tf2', 'team_fortress_2'}
help	{'imdat', 'the_help', 'yardımcı_olamaz', 'ministration', 'yardım_çalışmaları', 'yardım', 'yaramak', 'yardım_etmek', 'help!', 'duyguların_rengi', 'muavin', 'çevrimiçi_yardım', 'yardımcı', 'yardım_görevlisi', 'yardımcı_olmak', 'insani_yardım', 'help', 'asistan', 'servis_yapmak'}
here	{'burada', 'hera', 'buraya', 'burası', 'here', 'bura', 'işte'}
hit	{'ziyaret', 'varmak', 'vurma_içerir', 'vuruldu', 'grev', 'ulaşmak', 'isabet', 'çarpışma', 'baz_hit', 'hit', 'darp', 'vurdu', 'çarpışmalar', 'hit_ilçesi', 'puan', 'hīt', 'vurmak'}
hold	{'var', 'tutmak', 'alıkoyma', 'kargo_alanı', 'vermek', 'fermata', 'korumak', 'kargo_güverte', 'ayırtmak', 'katame-waza', 'geçerli', 'kulp', 'depolama_alanı', 'sap', 'durmak', 'kontrol', 'pençe', 'holding_desen', 'sahip_olmak', 'rezerve_etmek', 'adli_gözaltına', 'zaman_farkı', 'kargo', 'gözaltı', 'gözaltına_alınmak', 'işlemek', 'boyunduruk', 'katılmak', 'gözaltına', 'bildirmek', 'tutuş', 'alıkonma', 'tutun_güreş'}
horn	{'borazan', 'bisiklet_boynuz', 'horn', 'korna', 'fransız_boynuzları', 'caz_trompetçisi', 'horn_anten', 'boynuz', 'motor_boynuz', 'fransız_boynuz', 'kornet', 'otomobil_boynuz', 'gaienhofen', 'cornet', 'araba_korna', 'eyer_boynuz', 'trompetçi', 'araç_korna', 'korno', 'trompet'}
how	{'hands_all_over', 'nice', 'nasıl', 'soru_sözcük', 'zamirleriyle', 'soru_zamiri'}
hunt	{'holman_hunt', 'richard_morris_hunt', 'av', 'james_henry_leigh_hunt', 'william_holman_hunt', 'avlanma', 'avcılar', 'avı_kulübü', 'jagten', 'avlamak', 'avcılık', 'av_hayvanları', 'leigh_hunt', 'hunt', 'onur_savaşı', 'arama', 'the_hunt', 'bıldırcın_av', 'william_henry_hunt'}
hurting	{'akut_ağrı', 'ağrı_hissi', 'acı_hissi', 'ağrı', 'zarar'}
husband	{'karı', 'zevç', 'hayat_arkadaşı', 'ortak', 'evli_bir_adam', 'evli_kişi', 'korumak', 'özenle_kullanmak', 'eş', 'koca'}
i	{'①', '➊', 'ma', 'n-tuple', '1', 'altı_misli', 'i_sayısı', 'noktalı_ve_dotless_ben', 'akım_şiddeti', 'cereyan', 'miliamper', 'nanoampere', '➀', '❶', '〡', 'i̇', 'geleneksel_akım', 'и', 'birlik', 'elektrik_akımı', 'izolösin', 'iyot', 'i̇_sayısı', 'momo', 'başlığın', 'a', 'tiz_aksanlı_i', '⒤', 'ı', 'i̇zolösin', 'iodin', 'i', 'atom_numarası_53', 'elektriksel_akım', 'akan_elektirik', 'akım', 'as', 'bir', 'i̇yot', '㎀', 'elektrik_akımları', 'amper', 'ì', 'elektrik_akımını', '１', 'í'}
ice	{'buz_pateni_pisti', 'c10h15n', 'ice', 'buz', 'in_case_of_emergency', 'kristal_metamfetamin', 'metamfetamin', 'shabu', 'ic_motoru', 'deoxyephedrine', 'amerika_birleşik_devletleri_göçmenlik_ve_gümrük_muhafaza', 'pervitin', 'buz_pisti', 'met', 'meth', 'dextromethamphetamine', 'instituto_costarricense_de_electricidad', 'i̇çten_yanmalı_motor', 'içten_yanmalı_motor', 'içten_yanmalı_motor_araç', 'fly_emirates', 'acil_durumunda', 'kristal_meth', 'metamfetamin_hidroklorür', 'intercityexpress', 'emirates', 'emirates_airlens', 'abd_göçmenlik_ve_gümrük_muhafaza', 'methamphetamine', 'methedrine', 'i̇çten_yanmalı_motorlar', 'ice_la_fox', 'buz_hasat', 'yapay_buz', 'desoxyn', 'emirates_havayolları', 'buzlu_yüz'}
if	{'command.com', 'intrinsik_faktör', 'if', 'unmixed', 'i̇ntrinsik_faktör', 'eğer', 'koşullu', 'etki_faktörü', 'sampo_group', 'adam_olmak', 'if-then-else', 'metin_macera_oyunu', 'imfact', 'stadium_arcadium', 'if—', 'karışmamış', 'metin_macera', '(if)', 'interaktif_kurgu'}
ignorance	{'bilgisizlik', 'cehalet', 'ignorance'}
illness	{'marazi', 'hastalık', 'tıbbi_durumdur', 'maraza', 'sağlık_sorunu', 'marazlık', 'huzursuzluk', 'hastalıklar', 'maraz', 'morbidite_oranı', 'sayrılık'}
impress	{'basın_çeteler', 'etkilemek', 'impressment', 'basın-çete'}
in	{'hindistan', '-dan', '-ten', 'hindistan_cumhuriyeti', '-den', 'üyelik', 'wadsyaname', 'hindis\xadtan', 'öge', 'indiyum', 'indium', 'bharat', '-tan', 'eleman', 'i̇nch', 'i̇nç', 'india', 'i̇ndiana,_abd', 'indiana', 'atom_numarası_49', 'i̇ndiyum', 'i̇ndiana', 'hoosier_devlet', 'öğe', 'in', 'inç'}
invention	{'i̇novatif', 'i̇cad', 'icat', 'buluş', 'mucit', 'yenileşim', 'i̇navasyon', 'yenileşme', 'yeni_değerleri_oluşturmak', 'yenilikler', 'yenilik', 'i̇cat', 'mucid', 'i̇novasyon', 'yenilikçi', 'yeni_değerler_oluşturmak', 'i̇nnovasyon', 'teknolojik_yenilik', 'mucitler'}
investigation	{'akademik_araştırma', 'tahkikat', 'soruşturma', 'araştırma_yöntemleri', 'araştırma', 'araştırmacılar'}
invisible	{'görünmez', 'taylor_swift', 'sound_of_white_noise', 'görünmezlik', 'görünmeyen', 'elevate', 'katlı', 'holy_diver', 'dream_evil', 'evilized', 'invisible'}
job	{'çalışma', 'hz._eyyüp', 'vazife', 'sıkıcı_iş', "nabi_ayoub'un", 'sorun', 'iş_hat', 'personel', 'peygamber_eyüp', 'eyub_kitabı', 'iş', 'eyub', 'istihdam', 'sözleşmeli_işçi', 'iş_kitabı', 'job', 'eyyub_peygamber', 'eyyub', 'eyyûb', 'meslek', 'eyüp_kitabı', 'görev', 'i̇stihdam', 'kullanmak', 'eyüp', 'eyyüb', 'problem', 'işverenler', 'ön_güreşçi', 'yapılacak_iş'}
jungle	{'jungle', 'out_of_the_blue', 'hobo_kamp', 'cengel', 'shine_a_little_love', 'inna', 'orman', 'cangıl', 'oldschool_orman'}
key	{'haritacı', 'eşleşme_kodu', 'haritacılık', 'samara', 'anahtar', 'gizli_kodu', 'kümelenmemiş_dizin', 'tonalite', 'mapmaking', 'florida_tuşu', 'gizli_anahtar', 'benzersiz_anahtar', 'francis_scott_key', 'siyahlık', 'alternatif_anahtar', 'karalık', 'kartoğrafya', 'cay', 'tuş', 'tuşuna_meyve', 'harita_bilimi', 'grafik', 'akçaağaç_tohumu', 'cayes', 'gizli_kod', 'açar', 'kartografi', 'veritabanı_dizini', 'dizin', 'veritabanı_kütüğü', 'şifreleme_anahtarı', 'kartografya', 'açkı', 'serbest_atış_lane', 'key', 'siyah', 'kara', 'kartograf', 'birincil_anahtar', 'willem_key', 'kartografik', 'haritabilim', 'teşhis_anahtarı', 'mürekkeplilik', 'cays'}
kill	{'death', 'merhum', 'vefat', 'ölüm', 'erken_ölüm', 'öldü', 'the_kill', 'ölme', 'öldürmek', 'öldürme', 'kill'}
kindness	{'forgivingness'}
king	{'monarşiler', 'büyük_işadamı', 'kraliyet', 'billie_jean_king', 'b._b._kral', 'iş_lideri', 'padişah', 'papaz', 'iş_adamı', 'king_ov_hell', 'monarşi', 'şah', 'reverend_horton_heat', 'charles_bird_king', 'monarşist', 'b._b._king', 'hükümdar', 'patronu', 'üst_düzey_yönetici', 'hükümdarlar', 'dünya_rekoru', 'george_king', 'tom_cato_visnes', 'regnant', 'b.b._king', 'king', 'king.com', 'kodaman', '♚', 'martin_luther_king_jr', 'sanayici', 'monark', 'erkek_hükümdar', 'kereste_baronu', 'monarşik', 'billie_jean_moffitt_kral', 'riley_b_king', 'kral', 'egemen', 'martin_luther_king', 'baş_taç', 'b.b.king'}
knee	{'ortak_bastırmak', 'insan_diz', 'diz_grev', 'genu', 'diz_eklemi', 'articulatio_cins', 'diz', 'boğmak'}
know	{'sikişmek', 'bilgi_ile_ilgili_atasözleri', 'noesis', 'bilişsel', 'bilişsel_işleme', 'bilişsel_yetenekleri', 'bilişler', 'bilim', 'bilişsellik', 'deneyim_başardık', 'kaymak', 'koymak', 'tanımak', 'halletmek', 'seks_yapmak', 'biliş', 'sikmek', 'becermek', 'bilgi', 'sokmak', 'marifet', 'bilmek', 'yatmış_olmak', 'düzmek', 'bilgi_yönetim_kuramı', 'bilişsel_süreçleri'}
