ability	{'aptitude', 'schopnost', 'talent'}
dressing	{'nádivkou', 'oblečení', 'bandážování', 'oblek', 'článek_oblečení', 'šaty', 'nadívání', 'ucházející', 'obvazový', 'zálivka', 'oděvy', 'šat', 'oplodnění', 'odívání', 'oděv', 'nadívačka', 'oblékání', 'dámskou', 'ošacení', 'obvaz'}
drink	{'pitný', 'polykání', 'polykací', 'kocovina', 'chlastání', 'nápojů', 'nápoj', 'drink', 'lil_jon', 'pití', 'jonathan_mortimer', 'deglutice', 'pít', 'hlt', 'lok', 'polknutí', 'nápoje'}
driver	{'nákladních_aut', 'truckerů', 'řidičem', 'driver:_san_francisco', 'dřevo', 'řidič_kamionu', 'lese', 'wälder', 'řidička', 'řízení_nákladních_aut', 'ovladač', 'ovladač_zařízení', 'řidič', 'pilot', 'lesa', 'ovladač_tiskárny', 'motorista', 'číslo_jedna_dřevo', 'driver', 'les', 'jízdě,_kolečka', 'jehličnatého_lesa', 'cowcatcher', 'trucker', 'lesy', 'ovladače_zařízení', 'šofér', 'chauffer'}
dry	{'stypsis', 'dry', 'suchý', 'prohibitionist', 'suché', 'tělo', 'mineralitou', 'ovoce', 'vyschnout'}
dull	{'hloupý', 'tupý'}
dust	{'b5', 'fannings', 'babylon_5', 'uklidňující_hydrochlorid', 'pekoe', 'uklidňující', 'fencyklidin', 'prach', 'sutiny', 'prachu', 'dust', 'orange_pekoe', 'trosky', 'suť', 'angel_dust', 'prašnost'}
ear	{'boltec', 'bod_uchycení', 'lidské_ucho', 'pinnae', 'vnější_ucho', 'boltce', 'roh', 'sluchové_ústrojí', 'uši', 'auricula', 'ušní_boltec', 'ušní_rozklad', 'klas', 'vrchol', 'vnitřní_ucho', 'cíp', 'ucho', 'pinna', 'labyrint'}
earth	{'♁', '⊕', 'zeměkoule', 'modrá_planeta', 'uzemnit', 'brontitall', 'uzemění', 'planeta_země', 'ace_combat', 'uzemnění', 'země', 'světa', 'golgafrincham', 'andromeda_stoupající', 'pevná_zem', 'sol_3', 'terra', 'lamuella', 'krikkit', 'earth', 'sol_iii', 'pozemský_obavy', 'sonic_the_hedgehog', 'světské_obavy', 'terra_firma', 'zelená_planeta', 'saiyan', 'zemi', 'gaia', 'třetí_planeta_sluneční_soustavy', 'pozemek', 'magrathea', 'suché_půdy', 'dragon_ball', 'dragonball_z', 'světě', 'zemské_těleso', 'třetí_planeta', 'andromeda', 'vznik_země', 'milliways'}
eat	{'příjem_potravy', 'eat', 'stravování', 'krmení', 'pozření', 'jezení', 'krmit', 'pangbornovo_letiště', 'konzumace', 'jíst', 'jídlo', 'jedení', 'jísti'}
economy	{'ekonomických_systémů', 'politické_ekonomii', 'ekonomika', 'politická_ekonomie', 'economy', 'národní_hospodářství', 'hospodárnost', 'walden_čili_život_v_lesích', 'ekonomiky', 'politické_ekonomie', 'ekonomie', 'walden_aneb_život_v_lesích', 'ekonomický_sektor', 'walden', 'ekonomicky', 'úspornost', 'walden_či_život_v_lesích', 'hospodářské_činnosti', 'míru_úspor', 'ekonomický_systém', 'ekonomický_subjekt', 'ekonomické', 'politický_ekonom', 'úspory', 'hospodářský_systém', 'spoření_a_úspory', 'ekonomické_vědy', 'hospodářství_venkova', 'ekonom', 'spoření', 'hospodářství', 'národního_hospodářství', 'úspora', 'reálnou_ekonomiku'}
egg	{'vajíčka', 'egg', 'koule', 'excentricita', 'hlavní_poloosa', 'pakobylky', 'iso_7498', 'elipsa', 'aby_phasmatodea', 'číselná_výstřednost', 'oologie', 'rybí_vejce', 'ovum', 'varlata', 'produkci_vajec', 'vajíčko', 'bordel', 'teste', 'elipsy', 'vaječné_buňky', 'model_osi', 'numerická_excentricita', 'pakobylka', 'strašilka', 'eliptické', 'strašilky', 'referenční_model_iso/osi', 'varle', 'iso/osi', 'phasmida', 'ptačí_vejce', 'aby_phasmida', 'vejce', 'slepičí_vejce', 'testikulární', 'modelu_osi', 'testes', 'ballock', 'testis', 'vedlejší_poloosa', 'ovogeneze', 'ovál', 'osi_model', 'egg_&_egli', 'oogeneze', 'phasmatodea'}
election	{'přímé_volby', 'soudní_příkaz_voleb', 'volič', 'volební_politiky', 'znovuzvolení', 'volební', 'volebního_procesu', 'lidovým_hlasováním', 'přímá_volba', 'election', 'volby', 'demokraticky_zvoleného', 'volba', 'elektorát'}
electron	{'elektronové', 'e-', 'electron', 'e', 'elektrony', '-e', 'negatron', 'elektron', 'částice_beta'}
elegance	{'krása', 'krasavice', 'dekorativní', 'matematické_krásy', 'karlgeorg_hoefer', 'klasické_krásy', 'elegantní', 'elegance', 'matematickou_eleganci'}
emotion	{'emoce', 'emocionální', 'lidské_emoce', 'emocí', 'cit', 'human_after_all', 'emocionální_chování', 'emotion'}
emotionally	{'emoce', 'emocionální', 'lidské_emoce', 'emocí', 'emocionální_chování', 'cit'}
engine	{'lokomotivy', 'motorem_videohry', '3d_engine', 'engine', 'motory', 'modul', 'železničního_motorem', 'motor', 'železniční_motoru', 'herní_engine', 'softwarový_engine', 'lokomotiva_engine', 'ray_alder', 'motoru', 'lokomotiva', 'software_motor'}
english	{'english', 'studium_angličtiny', 'americká_angličtina', 'léon_bloy', 'anglické_filologie', 'anglický', 'anglicky', 'anglistka', 'us_english', 'anglický_jazyk', 'angličtina', 'american_jazyk', 'angličanka', 'angličan', '1:54', 'spelování', 'angličani', 'anglický_major', 'opt-out', 'angličané', 'americké_angličtině', 'anglista', 'anglistika', 'britská_angličtina', 'anglický_střední'}
event	{'jistý_jev', 'elementární_jev', 'akce', 'klávesy', 'stisknutí_klávesy', 'výsledkem', 'sluchátko', 'případ', 'následek', 'jevové_pole', 'obslužná_rutina_události', 'úplný_systém_jevů', 'efekt', 'jevový_prostor', 'nemožný_jev', 'vliv', 'případě', 'událost', 'posluchač', 'zpracování_událostí', 'stisk_klávesy', 'jev', 'důsledek', 'účinek', 'závěr', 'eventualita', 'náhodný_jev', 'výsledek', 'neslučitelné_jevy', 'události'}
experiment	{'pokus', 'experimentu', 'experimentální', 'experimentování', 'experiment', 'vědecký_experiment', 'the_experiment', 'experimenty', 'experimentální_výzkum', 'vědeckého_experimentu', 'experimentální_skupiny', 'lokomotiva_experiment', 'seznam_slavných_experimentů', 'experimentovat', 'experimentální_vědy'}
extremely	{'extrémně', 'velmi'}
eye	{'eyewall', 'opaion', 'pupen', 'oči', 'okulus', 'oculi', 'pupeny', 'bud', 'optický', 'okem', 'složené_oči', 'the_eye', 'oculus', 'oční_bulva', 'eye', 'oko', 'zrakové_ústrojí'}
fall	{'astronomická_noc', 'úsvit', 'soumrak', 'padnout', 'natalia_lesz', 'the_fall', 'astronomický_soumrak', 'pádu_člověka', 'občanský_soumrak', 'mořského_soumraku', 'fall', 'crepuscule', 'pádu', 'pokles', 'příchod_noci', 'sestupu', 'pin', 'setmění', 'gloam', 'snížit', 'padat', 'crepuscle', 'evenfall', 'soumraku', 'milostné_vzplanutí', 'podzim', 'svažování'}
far	{'alir', 'far', 'armáda_pro_osvobození_rwandy', 'daleko', 'interahamwe', 'daleký', 'bývalých_ozbrojených_sil', 'podlahová_plocha_poměr'}
fat	{'fat12', 'tučný', 'tuk', 'lipoidní', 'nadváha', 'glycerolipid', 'tukové_tkáně', 'lipidy', 'tukové_vazivo', 'viscerálního_tuku', 'fat32', 'adiposis', 'suché', 'tělo', 'korpulence', 'ovoce', 'fat', 'tuku', 'vfat', 'tukové', 'rostlinný_tuk', 'fat16', 'stypsis', 'tloušťka', 'file_allocation_table', 'tuková_tkáň', 'tuky', 'systém_souborů_fat32', 'tělesného_tuku', 'systém_souborů_fat', 'mineralitou', 'lipide', 'rostlinné_tuky', 'lipid', 'lipidů'}
father	{'podnikatelské', 'entrepreneurialism', 'otec-bůh', 'begetter', 'father', 'církevní_otec', 'církevní_otcové', 'podnikání', 'the_gift', 'biologický_otec', 'kostel_otec', 'bůh_otec', 'podnikatelské_myšlení', 'otec', 'taťka', 'spoluzakladatel', 'svatí_otcové', 'římskokatolický_kněz', 'katolický_kněz', 'otec_církve', 'otcové_církve', 'podnikatelé', 'kněze', 'církevní_otci', 'kněz', 'katolických_kněží', 'sériový_podnikatel', 'tatínek', 'podnikatel', 'táta', 'ot', 'fotr', 'mužský_rodič'}
fear	{'inside_out', 'v_hlavě', 'obavy', 'bát', 'bát_se', 'mít_hrůzu', 'zhrozit_se', 'děsit_se', 'strach', 'acrofobie', 'hrozit_se', 'fear', 'milenec_nebo_vrah', 'marillion', 'v_hlave', 'maškara'}
feather	{'opeření', 'jak-15', 'jak-17', 'jak-21', 'brk', 'jakovlev_jak-17', 'peří', 'jakovlev_jak-15', 'pero', 'péro', 'krycí_peří', 'peří_zatmění', 'pírko', 'filoplume', 'barbule'}
feeling	{'pocity', 'somatosensory', 'hmatové', 'cit', 'hmatovou_zpětnou_vazbu', 'smysl_pro_dotek', 'intuitivní_pocit', 'dojem', 'tón', 'ducha', 'pocit', 'somatosensory_systému', 'taktilní_vjem', 'touch_pocit'}
few	{'množství', 'málo'}
fight	{'zapojení', 'konkurenceschopnost', 'bojovat', 'fight', 'zápasit', 'bojového_výcviku', 'ozbrojeného_boje', 'bitvy', 'bitva', 'bojovník', 'bojování', 'proti', 'konflikt', 'potyčky', 'zápas', 'boj', 'bít_se'}
fingernail	{'nehty', 'nehet'}
fire	{'emerson_lake_and_palmer', 'plameny', 'fire/jericho', 'fáze_požáru', 'fire', 'oheň', 'požáry', 'leona_lewisová', 'upálit', 'elp', 'camp_rock_2:_the_final_jam', 'fervidness', 'hořet', 'žár', 'emerson,_lake_and_palmer', 'třídy_požárů', 'vyhodit', 'anarchy', 'heartbreak_on_hold', 'amazon_kindle_fire', 'leona_lewis', 'kindle_fire', 'požár', 'planoucí', 'kelis_was_here', 'plamen', 'tina_barrett', 'propustit', 'třída_požáru', 'emerson,_lake_&_palmer', 'pálit', "let's_cheers_to_this"}
fish	{'mořských_ryb', 'go_fish', 'ryby', 'friendly_interactive_shell', 'fish', 'ryb', 'pisces', 'seznam_pokerových_výrazů', 'ryby_jsou_ryby', 'fingerling', 'ryby_a_rybovití_obratlovci', 'elver', 'fluorescenční_in_situ_hybridizace', 'plůdek', 'phish', 'potravinové_ryby', 'měkký_paprsek', 'ryba', 'rybařit', 'pterygiophore', 'kvarteto', 'pokerové_výrazy', 'rybovití_obratlovci', 'ploutvovci', 'ichtyofauny'}
five	{'succeeder', 'eneagram', 'pět', '⑤', '❺', '➄', 'sugarcult', 'enneagram', 'v', 'five', '➎', '5', 'cinque', 'ⅴ', 'hollywood_undead', 'basketbalový_tým', 'pětka', 'da_kurlzz', 'pětice', 'malý_phoebe', 'něčeho_dosáhl'}
float	{'plovoucí_desetinná_čárka', 'plováky', 'tabulky_kaskádových_stylů', 'vzduchový_měchýř', 'css', 'plovoucí_řádová_čárka', 'plynový_měchýř', 'veřejnou_plováku', 'css_styly', 'kaskádové_styly', 's_plovoucí_desetinnou_čárkou_čísla', 'ice-cream_soda', 'číslo_s_plovoucí_čárkou', 'ponton', 'free_float', 'cascading_style_sheets', 'float', 'štukatér_je_float', 'vanout', 'bobfloat', 'aritmetika', 'plovák', 'air_močového_měchýře', 'šablony_stylů_css', 'zavodňování-aritmetika_bodu', 'pohyblivá_řádová_čárka', 'explozivní_dekomprese', 'číslo_s_plovoucí_desetinnou_čárkou', 'plavat', 'foukat', 'plovací_měchýř', 'bobber', 'veřejné_plováku', 'floating-point', 'ice-cream_float', 'barvy_css', 'plout', 'swimbladder', 'vát', 'plavat_močový_měchýř'}
flow	{'síť', 'mechanika_tekutin', 'zlepšující_cesty', 'toku', 'měsíčky', 'gravity_recovery_and_interior_laboratory', 'průtok', 'proto-rap', 'rapperů', 'hydraulické', 'nestacionární_proudění', 'rap', 'objemový_průtok', 'průtoku', 'ustálené_proudění', 'tok_v_síti', 'objemový_tok', 'toky_v_sítích', 'hydrodynamické', 'tekoucí', 'mcing', 'stacionární_proudění', 'hydraulika', 'emceeing', 'young_money_entertainment', 'old_school_hip_hop', 'menstruovat', 'menstruace', 'maximální_tok', 'čmýra', 'proudová_trubice', 'hranová_kapacita', 'mechanika_kapalin_a_plynů', 'raper', 'rapping', 'rapper', 'proudnice', 'proudové_vlákno', 'vrcholová_kapacita', 'rapový_umělec', 'proudění', 'tok', 'hydraulicky', 'menses', 'rapování', 'neustálené_proudění', 'grail', 'rapu', 'hydraulický_tlak', 'hydrauliky', 'mechaniky_tekutin', 'tekutina_dynamicist', 'maximální_tok_v_síti', 'proudění_tekutin', 'proudová_čára', 'florent_mothe', 'menzes', 'flow', 'catamenia'}
flower	{'flower/satan_is_boring', 'květu', 'bambi', 'pupeny', 'relient_k', 'vegetačního_období', 'květinové', 'květina', 'flower', 'květy', 'rozkvět', 'gackt', 'květ', 'play', 'kvést', 'květiny', 'kvetení'}
fly	{'motýlek', 'musė', 'ciara', 'skutečné_mouchy', 'stanu', 'utéct_utéci', 'vexilologické_názvosloví', 'kanton', 'delfín', 'moucha', 'rainfly', 'poklopec', 'dvoukřídlí', 'podívejte_se_přední', 'utíkat', 'butterfly_zdvih', 'diptera', 'podívejte_se_míč', 'mouchy', 'ciara_princess_harris', 'hms_fly', 'motýl', 'podívejte_se_list', 'dipterans', 'létat', 'fly', 'stan-fly'}
fog	{'murk', 'mlze', 'mlha', '10th_avenue_freakout'}
food	{'k_zamyšlení', 'potrava', 'pevnou_stravu', 'makronutrientů', 'potravina', 'potraviny', 'lidská_potrava', 'kirby', 'potravinářských_výrobků', 'živina', 'jídlo', 'makroživin', 'živin', 'intelektuální_výživa', 'živiny'}
foot	{'pěšáků', 'mollusca', 'metrické_nohy', 'malakofauna', 'stopa', 'pěchota', 'list', 'zadní_končetina', 'lidská_noha', 'infantérie', 'pěšák', 'metrické_jednotky', 'ft', 'základy', 'noha', 'spodek', 'pada', 'základna', 'chodidlo', 'kmen_mollusca', 'základový_pas', 'bezobratlý_nohy', 'feet', 'vývoj_měkkýšů', 'železniční_spodek', 'understructure', 'infanterie', 'úpatí', 'pěší_pluk', 'pěchoty', 'nohy', 'formace_pěchoty', 'měkkýši', 'metrických_noh', 'zatáhnout', 'metrum', 'zvířat_foot', 'foot', 'mainsheet', 'měkkýš', 'měkkýšů', 'šicí_stroj', 'clew', 'šlapací_šicí_stroj', 'počasí_list', 'šicí_stroje', 'pes', 'spodní_stavba'}
forest	{'nottingham_forest', 'nottingham_forest_f.c.', 'nottingham_forest_fc', 'les_pásma_mírného', 'doménová_struktura', 'kořenový_strom', 'stromová_struktura', 'lesa', 'dřevo', 'lese', 'zálesí', 'wälder', 'forest', 'jehličnatého_lesa', 'les', 'lesy', 'timberland', 'strom', 'zakořeněný_strom'}
four	{'eneagram', '➃', 'čtverka', 'malý_joe', 'four', 'šest', 'quaternity', 'planetary', 'hranici', '4', 'quatern', 'enneagram', 'tetractys', 'bleeker_ridge', '❹', 'ℍ', 'čtyři_místě', 'channel_four', 'ⅳ', 'iiii', 'succeeder', 'čtyřka', 'čtveřice', 'channel_4', 'čtyři', 'forth', 'iv', '④', '➍', 'tetrad', 'něčeho_dosáhl', 'kvaternion', 'tetraktys'}
freeze	{'mrznout', 'mrznutí', 'tuhnutí', 'jordin_sparks', 'freeze', 'zmrazení', 'freeez', 'mráz', 'zmrznout', 'bloodline', 'mrazivý', 'aleš_kněžínek', 'todd_smith'}
fruit	{'stypsis', 'semen_lusku', 'fructus', 'suché', 'tělo', 'plod', 'fruit', 'mineralitou', 'ovoce'}
full	{'plný', 'plně', 'zasycený', 'full-of-the-moon', 'celý', 'úplňku', 'úplněk', 'plná_fáze_měsíce', 'pln', 'nasycený', 'sytý'}
garbage	{'zápisy', 'odpady_kovové', 'reprezentativní_vzorek_odpadu', 'šrot', 'odpadní_látky', 'odmítnout', 'withering_to_death.', 'odpad', 'komunálního_odpadu', 'kovový_šrot', 'domovního_odpadu', 'odpadků', 'komunální_odpad', 'garbage', 'odpadky', 'železný_šrot', 'odpady_domovní', 'zbytkový_komunální_odpad', 'potravinového_odpadu', 'odpady'}
give	{'zasvětit', 'podat', 'darovat', 'cold', 'the_giver', 'mají', 'by', 'pružnost', 'dárce', 'pet_your_friends', 'dávat', 'dárek', 'obětovat', 'aby', 'vynést', 'dát', 'dar', 'dárky', 'věnovat'}
gold	{'silver_disk', 'beta_verze', 'the_heist', 'zlatý', 'multi-platinové', 'kvalifikované_zlato', 'young_lust:_the_aerosmith_anthology', 'gold', 'platinové_album', 'certifikace_prodeje_na_hudebních_trzích', 'lode_zlato', 'zlatá_medaile', 'open_beta', 'zlatou_desku', 'zlatých_medailí', 'abba_gold_-_greatest_hits', 'wanna_one', 'trojitá_platina', 'alfa_testu', 'vydaná_verze', 'zlato', 'beta_verzi', 'the_velvet_underground_story', 'release_to_manufacturing', 'anthology', 'testování_beta_verze', 'platinovou_desku', 'moonlighting:_the_anthology', 'the_island_years', 'pre-alfa', 'alfa_verze', 'platina', 'alpha_software', 'bobby_brown', 'nativní_zlato', 'dvojitá_platina', 'zlatého_medaili', 'e_175', 'sonicflood', 'atomové_číslo_79', 'release_candidate', 'životním_cyklu_softwaru', 'beta_software', 'zlatou_certifikaci', 'platinovou_certifikaci', 'shooting_star', 'abba_gold', 'aurum', 'zlatou_medaili', 'zlatá_barva', 'beta_test', 'olympijskou_zlatou_medaili', 'beta_tester'}
good	{'obratný', 'etické_hodnoty', 'důkladně', 'lidských_hodnot', 'zdravý', 'good_music', 'libellé', 'etických_hodnot', 'dovedný', 'zručný', 'komodit', 'dobře', 'komodita', 'good', 'dobré_skutky', 'obchodu_dobrý', 'šikovný', 'dobrý_skutek', 'dobro', 'hodnota', 'zboží', 'hodnoty', 'dobrý', 'statek'}
grass	{'marijuana', 'bylina', 'marihuany', 'píce', 'rodina_gramineae', 'mary_jane', 'skunk', 'tráva_rodina', 'sess', 'pícniny', 'supergrass', 'stoner', 'günter_wilhelm_grass', 'pícnina', 'skylarking', 'poaceae', 'gudr', 'traviny', 'zelí', 'lipnicovité', 'gunter_grass', 'sporobolus_caespitosus', 'travička', 'gunter_grass_wilhelm', 'eatage', 'trav', 'günter_wilhelm_graß', 'joint', 'gramineae', 'graminae', 'marihuana', 'hulení', 'skéro', 'grass_gis', 'zelená_bohyně', 'klásky', 'tráva', 'kůra', 'rodina_poaceae', 'graminoid', 'ganja', 'mariuhana', 'zeleninka', 'konopí', 'špek', 'sens', 'günter_grass', 'graminaceae', 'rodina_graminaceae', 'nothing_can_stop_us', 'trávy', 'travina'}
great	{'illustriousness', 'velikosti', 'velký'}
green	{'commons', 'žlutá_zelená', 'bude_zelená', 'listnatém_zeleniny', 'ekologický_aktivista', 'green', 'puška_zelené', 'smaragdově', 'lahvově_zelená', 'jamkoviště', 'tělo', 'feldgrau', 'jade', 'problémů_životního_prostředí', 'společný', 'naivní', 'zelenina_listová', 'tmavě_zelená', 'stypsis', 'ekologických_aktivistů', 'enviromentalismus', 'zeleň', 'mineralitou', 'zelená_barva', 'ekologické_hnutí', 'brunswick_zelené', 'vert', 'ekologové', 'listová_zelenina', 'zelenkavá', 'chartreuse', 'občina', 'zelené', 'olej_medu', 'green_river', 'zelené_listové_zeleniny', 'environmentalistka', 'cat_valium', 'zelené_politiky', 'enviromentalizmus', 'zvláštní_k', 'nezralý', 'zelená_politika', 'žlutozelená', 'zelené_zeleniny', 'kelly_green', 'suché', 'ekologicky_šetrné', 'super_kyselina', 'ovoce', 'parku', 'zelená', 'william_green', 'zelenina', 'povědomí_o_životním_prostředí', 'park', 'ochraně_životního_prostředí', 'zelenavý', 'šetrnější_k_životnímu_prostředí', 'uvedení_povrchu', 'environmentalismus', 'hrášková_zeleň', 'environmentalista', 'putting_green', 'důvěřivý', 'ekologismus', 'listové_zeleniny', 'super_c', 'zelený', 'environmentálního_hnutí', 'zeleno-žluté'}
gun	{'palné_zbraně', 'puška', 'zbraň', 'gun', 'střelná_zbraň', 'gunfighting', 'pistolník', 'plynový_pedál', 'hitman', 'obchodě_se_zbraněmi', 'pistolníků', 'plynového_pedálu', 'pistolníci', 'louder_than_love', 'najal_zbraň', 'triggerman', 'hit_muže', 'pistole_k_pronájmu', 'zbraně', 'palná_zbraň', 'conventional_weapons', 'těžká_zbraň', 'tuk-gun', 'malé_rameno'}
guts	{'pylorické_výběžky', 'zažívací_trakt', 'trávicí_trakt', 'kuráž', 'statečnost', 'lidská_trávicí_soustava', 'teorie_velkého_sjednocení', 'trávicího_systému', 'střevní_sliznici', 'střev', 'gi_traktu', 'odvaha', 'střeva', 'trávicí_soustava_člověka', 'grand_unification_theory', 'gastro-střevní', 'grand_unified_theory', 'lidském_zažívacím_traktu', 'trávicí_soustava', 'gastrointestinální', 'gastrointestinální_trakt', 'nebojácnost', 'trávicího_ústrojí', 'vnitřnosti', 'střevního_lumen', 'trávicího_traktu', 'střevo', 'horní_části_gastrointestinálního_traktu', 'střevní', 'guts', 'hrdinství', 'moxie', 'zažívacího_traktu', 'trávicí_trakt_člověka', 'courageousness', 'trávicí_trubice', 'odvahu', 'gastrointestinálního_traktu', 'lidský_trávicí_trakt', 'střevní_trakt'}
hair	{'látka_z_velbloudí_srsti', "hair's-šířka", 'ochlupení', 'srst', 'hairsbreadth', 'chlupatý', 'vlasy', 'chlup', 'hair'}
hand	{'podat', 'skriptu', 'most_hráč', 'dlaně', 'darovat', 'pomocnou_ruku', 'ruce', 'hand', 'rasy_v_seriálu_babylon_5', 'ruka', 'dilgar', 'dlaň', 'karetní_hry', 'manus', 'dávat', 'nádeník', 'roberta', 'dát', 'hra_v_karty', 'system_of_a_down', 'cordella', 'civilizace_v_seriálu_babylon_5', 'najal_muž', 'karty', 'brakiri', 'rukou', 'karetní_hra', 'rukopis', 'karbanictví'}
he	{'hans_eworth', 'helium', 'hd_video', 'ge', 'helia', 'hebrejský_jazyk', 'g', 'г', 'hélium', 'atomové_číslo_2', 'e_939', 'high-definition_video', 'hebraic', 'eka-silicium', 'germanium', 'ivrit', 'atomové_číslo_32', 'superfluid_hélia', 'on', 'hebrejština', 'he', 'hej', 'ה'}
head	{'čtecí_/_zapisovací_hlavou', 'lidské_mysli', 'počasí_list', 'lidská_hlava', 'list', 'hlavu', 'publicistický_styl', 'kůže_natažená_na_buben', 'dirty_mind', 'http://', 'téma', 'učitel', 'psychika', 'nous', 'ředitelka', 'mysli', 'článek', 'hlavy', 'head', 'zpravodajský_článek', 'chieftaincy', 'hlava', 'http_požadavku', 'vedoucí_mistr', 'šéf', 'hyper_text_transfer_protocol', 'ředitel', 'pseudanthium', 'provést', 'orál', 'direktor', 'náčelník', 'metoda_http', 'požadavek_http', 'cephalic', 'článek_v_časopise', 'drumhead', 'novinový_článek', 'mafiánský_boss', 'mysl', 'kmenový_náčelník', 'protokol_http', 'vůdce', 'http/1.1', 'brian_welch', 'hydraulického_gradientu', 'bubnové_hlavy', 'carpetmuncher', 'http', 'pramen', 'hlavní', 'duševní_obsah', 'náčelnictví', 'vést', 'nús', 'ředitel_školy', 'psyché', 'direktorka', 'vést_příběh', 'generální_ředitel', 'směřovat', 'mainsheet', 'otázka', 'cunnilingtus', 'brian_head_welch', 'hydraulický_spád', 'ostroh', 'brian_phillip_welch', 'mys', 'clew', 'novinky_ze_světa', 'zločin_pán', 'hypertext_transfer_protocol', 'top_dog', 'orální_sex'}
hear	{'ochrana_sluchu', 'sluch', 'slyšet', 'sluchové_modality', 'mezinárodní_letiště_el-aríš', 'poslechnout', 'auditivní', 'sluchové_smysl', 'objevit', 'poslouchat', 'lidského_sluchu', 'fonetické'}
heart	{'srdce_komory', 'lidské_srdce', 'mindless_self_indulgence', 'cuore', 'podstata', 'levého_srdce', '❦', '♥', 'srdce', 'edmondo_de_amicis', 'filia', 'odvaha', 'srdce_v_heraldice', 'srdeční', '❧', 'esence', 'srdce_a_duše', 'esencí', '♡', 'heart', '❤', 'alexz_johnson', 'srdce_člověka', 'pravé_srdce', 'náklonnost', 'natvrdlý-kostrbatý', 'philia', 'srdeční_komory', 'srdeční_komora', 'bytnost', '❥'}
heavy	{'tělesný_strážce', 'heavy', 'sokratovská_metoda', 'jed', 'zátěž', 'occamova_břitva', 'tělesná_stráž', 'anamnéza', 'osobní_strážce', 'suché', 'tělo', 'jeptiška', 'láska_bolí', 'sportovní_medicína', 'ovoce', 'věrnost', 'tf2', 'stát_vs_radric_davis', 'heavy.com', 'prokletý', 'nečekaná_pravda', 'mateřství', 'stypsis', 'těžký', 'team_fortress_2', 'bodyguard', 'nová_generace', 'nechat_zemřít', 'tf_2', 'absťák', 'děti', 'mineralitou', 'dr._house', 'sebeovládání', 'líbánky', 'zákon_mafie', 'team_fortress'}
help	{'asistentka', 'slouží', 'nápověda', 'pomůže', 'podávat', 'help!', 'pomocnice', 'humanitární_pomoci', 'asistovat', 'pomoc_humanitární', 'asistent', 'servírovat', 'přisluhování', 'humanitární_pomoc', 'asistence', 'pomoc', 'využít', 'humanitárních_pracovníků', 'pomáhat', 'pomáhali', 'pomoci', 'the_help', 'pomoc_v_nouzi', 'pomocník', 'pomoct', 'humanitární_pracovník', 'napomáhat'}
here	{'sem', 'héra', 'tu', 'místo', 'toto', 'tady', 'hera', 'zde', 'here'}
hit	{'hīt', 'uhodit', 'volání', 'bodovat', 'skóre', 'hit', 'skórovat', 'praštit', 'base_hit', 'kolize', 'trhák', 'udeřit', 'dosáhnout', 'bít'}
hold	{'shodovat_souhlasit', 'spáry', 'koruna', 'zápas_držet', 'držadlo', 'zápasnický_chvat', 'podporovat', 'mají', 'násadka', 'zavazadlového_prostoru', 'fermata', 'podpalubí', 'odkládací_prostor', 'mít', 'vazba', 'policejní_vazbě', 'zadržení', 'časová_prodleva', 'zpoždění', 'katame_waza', 'utahovák_hlavového_složení', 'nákladový_prostor', 'katame-waza', 'deklarovat', 'obsahovat', 'kontrolovat', 'držet', 'rukojeť', 'předložení_drží', 'soudní_vazby', 'vyčkávací_obrazec', 'násada', 'shodovat', 'stisk_ruky', 'nákladní_paluba', 'zadržet'}
horn	{'kornet', 'horn', 'lovecký_roh', 'trubači', 'trupka', 'roh', 'horna', 'francouzské_rohy', 'sedla', 'brumle', 'trumpetista', 'jazzový_trumpetista', 'motor_roh', 'okres_horn', 'gaienhofen', 'trubka', 'francouzský_roh', 'vozidla_roh', 'automobilový_klakson', 'lesní_roh', 'klakson', 'trumpeta'}
how	{'tázací_zájmena', 'hau', 'jak', 'tázací_zájmeno', 'tázací_slovo', 'howgh', 'hands_all_over', 'how'}
hunt	{'richard_morris_hunt', 'hledání', 'hon', 'overhunting', 'william_holman_hunt', 'william_henry_hunt', 'hon_klub', 'lovec', 'lov', 'james_henry_leigh_hunt', 'lovit', 'leigh_hunt', 'holman_hunt', 'honba', 'hunt', 'lov_křepelek', 'jagten'}
hurting	{'bolestivé_pocity', 'bolesti', 'vnímání_bolesti', 'bolí', 'bolest', 'akutní_bolesti'}
husband	{'ženatý_člověk', 'ženatý_muž', 'manžela', 'lepší_polovička', 'muž', 'manžílek', 'partner', 'choť', 'manželka', 'husband', 'manžel'}
