ability	{'kapacitet', 'evne', 'aptitude'}
dry	{'stypsis', 'mineralitet', 'tørre', 'dry', 'balance', 'tør', 'krop', 'bouquet', 'forbudspolitik', 'frugt'}
dull	{'dum', 'sløv'}
dust	{'phencyclidin', 'murbrokker', 'i_landets_hjerte', 'dust', 'phencyclidin_hydrochlorid', 'fencyklidin', 'vragrester', 'englestøv', 'pekoe', 'babylon_5', 'orange_pekoe', 'pcp', 'strø', 'fannings', 'støv'}
ear	{'pinnae', 'spicatum', 'toppunktet', 'småaks', 'otologi', 'aks', 'knudepunkt', 'øre', 'otology', 'ører', 'spicatus', 'mellemøre', 'spicata', 'pinna', 'øret', 'lyttebøf', 'boundzound', 'menneskelige_øre', 'ørelæge', 'øre_nedbrydning', 'hørebøf'}
earth	{'⊕', 'jordklode', 'jorde', 'andrómeda', 'earth', 'verdslige_bekymring', 'klode', 'elektrisk_jord', 'jord', 'sonic_the_hedgehog_spil', 'ace_combat', 'landjord', 'jordingselektrode', 'jordoverfladen', 'dragon_ball_gt', 'brontitall', 'jordkloden', 'tierra_-_jord,_vin_og_kærlighed', 'jordoverflade', 'super_saiyajin_3', 'dragon_ball', 'golgafrincham', 'terra_firma', 'jordforbindelse', 'tellus', 'landmasse', 'krikkit', 'jordmasse', 'jordart', 'sonic_the_hedgehog-spil', 'jordkugle', 'tør_jord', 'milliways', 'jordisk_bekymring', 'fast_grund', 'saiyan', 'magrathea', 'verden', 'jordforbinde', 'lamuella', 'jordelektrode', 'landjorden', 'jorden', 'jordens_opbygning', 'land', 'terra', 'kloden'}
eat	{'fortære', 'fodring', 'fodre', 'eat', 'æde', 'plage', 'spisning', 'spise'}
economy	{'økonomisk_teori', 'statsøkonomi', 'walden', 'sparsommelighed', 'økonomier', 'politisk_økonom', 'økonomisk_videnskab', 'økonomien', 'økonomi', 'socialøkonomi', 'nationaløkonomi', 'økonomiske_system', 'økonomien_landdistrikterne', 'besparelse', 'opsparing', 'nationaløkonom', 'landdistrikternes_økonomi', 'national_økonomi', 'nationaløkonomisk', 'statsøkonom', 'økonomiske', 'økonomiske_systemer', 'økonomisk', 'economy', 'politisk_økonomi', 'realøkonomien', 'økonomisk_system', 'socialøkonom', 'økonomiske_aktivitet'}
egg	{'osi-modellen', 'nosse', 'æggehvide', 'testis', 'osi-referencemodellen', 'egg', 'phasmida', 'setuptools', 'klunker', 'yumurta', 'hønseæg', 'ballock', 'fisk_æg', 'ellipse', 'testikel', 'elliptisk', 'data-link-laget', 'æg', 'ægcelle', 'ægceller', 'ovum', 'elliptiske', 'for_phasmatodea', 'ægproduktion', 'oval', 'nosser', 'for_phasmida', 'carausius_morosus', 'vandrende_pinde', 'vandrende_pind', 'teste', 'phasmatodea', 'testikler', 'testiklerne', 'osi-model', 'fugleæg', 'ægget'}
election	{'genvalg', 'vælge', 'fredsvalg', 'præsidentvalg', 'valget', 'politisk_valg', 'udvalgte', 'valgpolitik', 'stævning_af_valg', 'election', 'demokratisk_valgte', 'valgprocessen', 'valg'}
electron	{'antielektron', 'electron', 'elektron', 'negatron', 'elektroner'}
elegance	{'skønhed', 'elegant', 'skønhedsidealer', 'elegance', 'dekorativ', 'matematisk_skønhed', 'klassisk_skønhed', 'matematiske_skønhed', 'skønheds_idealer', 'det_skønne', 'matematisk_elegance', 'dekorative', 'smuk', 'karlgeorg_hoefer', 'mesterstykke'}
emotion	{'føling', 'følelse', 'emotion', 'human_after_all', 'maverick_sabre', 'følelsesmæssige', 'sindsstemning', 'emotioner', 'menneskelige_følelser', 'følelser', 'fornemmelse'}
emotionally	{'føling', 'følelse', 'emotion', 'følelsesmæssige', 'sindsstemning', 'emotioner', 'menneskelige_følelser', 'følelser', 'fornemmelse'}
engine	{'motoren', 'spil_motor', 'grafikmotor', 'maskine', 'bilmotor', 'lokomotiver', 'motorer', 'ray_alder', 'kraftmaskine', 'lokomotiv', 'game_engine', 'software-engine', 'program', 'engine', 'spilmotor', 'software_motor', 'lokomotiv_motor', 'motor', '3d_motor', 'video_game_engine', 'låg', 'jernbanelokomotiv', 'jernbane_motor'}
english	{'englændere', 'american_sprog', 'engelske_undersøgelser', 'amerikansk-engelsk', 'engelske_folk', 'aiden_english', 'engelsksprogede', 'leon_bloy', 'anglistik', 'engelsk_major', 'engelsksproged', 'eng', 'english', 'engelsk_filologi', 'amerikansk_engelsk', 'det_engelske_sprog', 'en.', 'eng.', 'englænderinde', 'amerikansk', 'engelsk_sprog', 'engelsk', 'engelsk_medium', 'léon_bloy', 'opt-out', 'en', 'englænder', 'engelske', 'britisk_engelsk'}
event	{'tilfælde', 'hændelseshandler', 'programhændelse', 'begivenhed', 'tilhøreren', 'hændelse', 'resultat', 'elizabeth_bachinsky', 'resultatet', 'konsekvens', 'virkninger', 'lytteren', 'hændelsesmanager', 'begivenhed_håndtering', 'tastetryk'}
experiment	{'the_experiment', 'eksperimentere', 'forsøgsperson', 'videnskabeligt_eksperiment', 'eksperiment', 'eksperimentel_videnskab', 'eksperimenter', 'eksperimenterende', 'experiment', 'eksperimentel_forskning'}
extremely	{'yderst', 'ekstremt'}
eye	{'øjne', 'the_eye', 'øje', 'knop', 'øjet', 'optik', 'eyewall', 'eye', 'oculi', 'sammensatte_øjne', 'entoptisk_fænomen', 'midten', 'midte', 'knopper', 'oculus'}
fall	{'efterår', 'nedgang', 'astronomisk_tusmørke', 'skumring', 'kapitulation', 'efteråret', 'dusk', 'daggry', 'skumringen', 'evenfall', 'gloaming', 'crepuscle', 'pin', 'gloam', 'overgivelse', 'fald', 'borgerligt_tusmørke', 'mørkets_frembrud', 'syndefaldet', 'crepuscule', 'nautisk_tusmørke', 'astronomiske_tusmørke', 'natalia_lesz', 'believe', 'syndefald', 'nightfall', 'fall', 'gry', 'bagside', 'declivity', 'efter', 'the_fall', 'forfald', 'tusmørke', 'falde', 'høst'}
far	{'alir', 'tidligere_væbnede_styrker', 'army_til_befrielse_af_rwanda', 'langt', 'far', 'gulvareal_ratio', 'interahamwe', 'langt_borte', 'fjern'}
fat	{'mineralitet', 'file_allocation_table', 'corpulence', 'glycerolipiddesaturase', 'overvægtige', 'fedtstof', 'fat32', 'lipider', 'fedt', 'visceralt_fedt', 'filallokeringstabel', 'fat', 'stypsis', 'fedtvævet', 'lipid', 'overvægt', 'balance', 'tør', 'lipide', 'fed', 'adiposis', 'krop', 'bouquet', 'fedme', 'lipoid', 'fedtvæv', 'frugt', 'kropsfedt'}
father	{'præstedømmet', 'iværksættere', 'serieiværksætter', 'katolske_præsteskab', 'iværksættertankegang', 'kirkefader', 'far', 'biologiske_far', 'begetter', 'katolske_præster', 'iværksætteraktiviteter', 'farmand', 'far_til_kirkens', 'præst', 'faderindivid', 'fader', 'medstifter', 'gudfader', 'gud_fader', 'father', 'far-gud', 'kirkefædrene', 'katolsk_præst', 'romersk-katolsk_præst', 'kirkefædre', 'iværksætteri', 'the_gift', 'iværksætter'}
fear	{'angst', 'forskrækkelse', 'ærefrygt', 'inside_out', 'inderst_inde', 'bekymring', 'marillion', 'fear', 'frygt', 'angst_frygt', 'frygte', 'være_bange_for'}
feather	{'underhaledækfjer', 'alula', 'leucisme', 'eklipsedragt', 'sommerdragt', 'udtynding', 'eclipse_fjerdragt', 'svingfjer', 'konturfjer', 'håndsvingfjer', 'fældning', 'dækfjer', 'halefjer', 'fjerbed', 'tertiærer', 'vingedækfjer', 'fjerfane', 'eclipsedragt', 'fjer', 'armsvingfjer', 'armdækfjer', 'barbule', 'pragtdragt', 'overhaledækfjer', 'fjerdragt', 'lillevinge', 'børstefjer', 'fuglefjer', 'styrefjer', 'vinterdragt', 'filoplume', 'trådfjer', 'hånddækfjer'}
feeling	{'somatosensoriske', 'føling', 'taktile', 'følelse', 'taktil', 'taktile_feedback', 'ånd', 'fornemmelse', 'berøringsindtryk', 'somatosensoriske_system', 'intuitiv_fornemmelse', 'indtryk', 'berøring', 'følesansen', 'tone', 'følelser', 'touch-sensation'}
few	{'få', 'fåtal', 'antal', 'mængde', 'kvantitet'}
fight	{'krigsslag', 'træfning', 'brooke_candy', 'kamptræning', 'kæmper', 'slag', 'feltslag', 'konkurrenceevne', 'militære_engagement', 'fight', 'væbnet_kamp', 'slås', 'slagsmål', 'træfninger', 'kæmpe', 'kamp', 'engagement', 'konflikt'}
fingernail	{'neglebånd', 'fingernegle', 'negle', 'negl', 'søm', 'neglerod', 'fingernegl', 'neglebidning', 'bide_negle'}
fire	{'lue', 'chris_corchiani', 'glød', 'fervidness', 'fire', 'kamin', 'gøre', 'pejs', 'heartbreak_on_hold', "let's_cheers_to_this", 'bål', 'tina_barrett', 'fire/jericho', 'bevirke', 'udvirke', 'opsige', 'fritstille', 'flamme', 'fremkalde', 'leona_lewis', 'storbrand', 'flammende', 'emerson_lake_og_palmer', 'inferno', 'ildebrand', 'skyde', 'emerson,_lake_&_palmer', 'anarchy', 'affyre', 'angreb', 'fyre', 'ild', 'inderlighed', 'brande', 'brand', 'afskedige', 'kelis_was_here'}
fish	{'ichthyologisk', 'fluorescens_in_situ_hybridisering', 'fiskene_fiskene', 'saltvandsfisk', 'glasål', 'derek_william_dick', 'konsumfisk', 'fisk', 'marine_fisk', 'go_fish', 'fisken', 'phish', 'fiske', 'fluorescerende_in_situ_hybridisering', 'fiskekød', 'fish', 'spisefisk', 'pterygiophore', 'ichthyofauna', 'mad_fisk', 'yngel', 'blød_stråle', 'pisces', 'fingerling', 'fiskene', 'ichthyologi'}
five	{'basketball_team', 'femtal', 'femmer', 'basketballhold', 'lille_phoebe', 'pentade', '5ive', 'succeeder', 'enneagram', 'ennagram', 'cinque', 'fem', 'sugarcult', 'achiever', 'five', 'hollywood_undead', '5'}
float	{'offentlig_float', 'floating-point_aritmetik', 'flåd', 'ponton', 'ukontrollerede_dekompression', 'flydende_tal', 'flydende_decimaltal', 'is_float', 'parade_float', 'cascading_style_sheet', 'floating-point', 'gas_blære', 'free_float', 'ponton_båd', 'flydende', 'eksplosiv_dekompression', 'svømme_blære', 'bobber', 'flydende_komma', 'ukontrolleret_dekompression', 'blæse', 'float', 'bobfloat', 'flyde', 'plasterer_s_float', 'puste', 'fiskeblære', 'swimbladder', 'is_sodavand', 'luftblæren', 'overlappende_typografiark', 'css', 'cascading_style_sheets', 'kommatal', 'decimaltal', 'floating_point', 'svømmeblære', 'offentlige_float'}
flow	{'strømningslære', 'fluidmekanik', 'amenoré', 'proto-rap', 'rapper', 'volumetriske_strømningshastighed', 'emceeing', 'menstruation', 'rap', 'væske_dynamicist', 'rapmusik', 'strømme', 'rap_kunstner', 'hydraulik', 'florent_mothe', 'menarchen', 'stadig_strøm', 'catamenia', 'væske_fysik', 'menses', 'volumetriske_strømning', 'netværk', 'flydende_fysik', 'flow_netværk', 'fluid_mekanik', 'strømningshastigheden', 'young_money', 'menstruationssmerter', 'massestrømningshastighed', 'hydrauliske', 'menstruere', 'gravity_recovery_and_interior_laboratory', 'fluid_dynamik', 'hydrauliske_tryk', 'rappe', 'strømmen', 'strømningshastighed', 'fluiddynamik', 'hydraulisk', 'flyder', 'young_money_entertainment', 'strøm', 'hydrodynamiske', 'flow', 'rappere'}
flower	{'blomsterbetydninger', 'blomstre', 'stampe', 'blomster', 'vækstsæsonen', 'relient_k', 'flower', 'play', 'frugtsætning', 'gackt', 'epicuticular_voks', 'blomst', 'bambi', 'velmagtsdage', 'knopper', 'blomsterbetydning', 'blomstring'}
fly	{'brachycera', 'diptera', 'wanessa', 'tovingede', 'flue', 'rainfly', 'ciara', 'fly_sogn', 'sande_fluer', 'fluen', 'flyve_bold', 'flyve_ark', 'flygte', 'telt-fly', 'tovinger', 'sommerfugl_slagtilfælde', 'butterfly', 'gylp', 'flyve', 'flyve_foran', 'fly', 'telt_klap', 'fluer'}
fog	{'bortgemme', 'murk', 'tåge', 'the_fog', 'skjule', '10th_avenue_freakout'}
food	{'fast_føde', 'næringsmiddel', 'næringsstoffer', 'æde', 'popopo', 'makronæringsstoffer', 'føde', 'kost', 'stof_til_eftertanke', 'ædelse', 'fetalje', 'fødevarer', 'levnedsmidler', 'fødevare', 'proviant', 'intellektuel_næring', 'kirby', 'næringsstof', 'mad'}
foot	{'pada', 'skødet', 'ark', 'romersk_fod', 'menneskefod', 'infanterist', 'symaskiner', 'dyr_fod', 'fodfolk', 'infanteriet', 'bløddyr', 'vejr_ark', 'ft', 'mollusk', 'skot', 'grundlag', 'fødder', 'foot', 'feet', 'metriske_fødder', 'bygningsfundament', 'pes', 'betale', 'metrisk_fod', 'vant', 'storskøde', 'skødebarm', 'foden', 'fod', 'skøde', 'infanterister', 'hvirvelløse_fod', 'versefødder_versfødder', 'infanteri', 'metrisk_enhed', 'symaskine', 'versefod', 'mollusca', 'versefod_versfod', 'infanteri_regiment', 'phylum_mollusca', 'sokkel', 'fundamentet', 'fundament', 'understructure'}
forest	{'lund', 'rodfæstet_træ', 'skov', 'skove', 'nottingham_forest_f.c.', 'område', 'nåleskov', 'skovvækst', 'woodland', 'tempereret_skovområde', 'silva', 'nottingham_forest_fc', 'nottingham_forest', 'wälder', 'nåleskove', 'timberland', 'skoven', 'forest', 'træ'}
four	{'quaternioner', 'fire_spot', 'fire', 'succeeder', 'night_changes', 'planetary', 'little_joe', 'four', 'tallet_4', 'quaternity', 'grænsen', 'channel_4', 'tetractys', 'tetrade', 'quaternion', 'enneagram', 'ennagram', 'kvaternion', 'hyperkomplekse_tal', 'kvaternioner', 'iv', 'quaternions', 'achiever', '4', 'quatern', 'forth', 'seks'}
freeze	{'fryse', 'freeze', 'hænge', 'jordin_sparks', 'bloodline', 'frost', 'freeez', 'todd_smith', 'frysning'}
fruit	{'fruit', 'stypsis', 'mineralitet', 'balance', 'tør', 'frugter', 'frø_pod', 'krop', 'bouquet', 'frugten', 'frugt'}
full	{'fuldmåne', 'mæt', 'fyldt_op', 'fyldt', 'vid', 'fuld-of-the-moon', 'fuld', 'fuldt_fase_af_månen', 'fuldt'}
garbage	{'afslå', 'affald', 'skrotte', 'affaldsmateriale', 'ragelse', 'withering_to_death.', 'fast_kommunalt_affald', 'madaffald', 'fast_affald', 'husholdningsaffald', 'affaldsprodukt', 'bras', 'scraps', 'affaldsstof', 'vrøvl', 'spildprodukt', 'skrot', 'skrald', 'kommunalt_affald', 'madspild', 'garbage', 'affaldsstoffer', 'metalaffald'}
give	{'betale', 'present', 'spændstighed', 'gaver', 'hellige', 'giver', "bryde_'sammen", 'tilegne', 'vie', 'forære', 'pet_your_friends', "give_'efter", 'holde', 'cold', 'give', 'the_giver', 'ofre', 'gave', 'har', 'bidrager'}
gold	{'abba_gold:_greatest_hits', 'aurum', 'certificering_af_musiksalg', 'young_lust:_the_aerosmith_anthology', 'guldmedaljer', 'ravfarve', 'atomnummer_79', 'multi-platin', 'tredobbelt_platin', 'alfaversion', 'software_livscyklus', 'betaversion', 'betatesten', 'gylden', 'sølv_skive', 'platinalbum', 'guld-medalje', 'alpha-software', 'lukket_beta', 'the_heist', 'udviklingsfase', 'rav', 'bobby_brown', 'udgive', 'dobbelt_platin', 'offentlig_beta', 'guldplade', 'software_release_livscyklus', 'guld_album', 'guld_certificering', 'beta_version', 'alpha_test', 'certificering_af_pladesalg', 'platin', 'åben_beta', 'beta-software', 'platin_certificering', 'platin_album', 'anthology', 'wanna_one', 'lode_guld', 'au', 'release_candidate', 'olympiske_guldmedalje', 'release_to_manufacturing', 'pre-alpha', 'native_guld', 'beta_test', 'guldmedalje', 'certificeret_guld', 'guld_skive', 'abba_gold', 'guld', 'gold', 'guldvinder', 'gylden_rekord', 'platin_rekord', 'guld_single'}
good	{'god', 'dygtig', 'godt', 'godhed', 'råvare', 'etiske_værdier', 'økonomisk_god', 'ret', 'godt_og_ondt', 'gode', 'handelsvare', 'handle_god', 'behændig', 'good_music', 'good', 'sund', 'værd', 'menneskelige_værdier', 'råvarer', 'grundigt', 'goder', 'naturligt_monopol', 'komplement', 'offentligt_gode', 'verden', 'fælles_ressourcer', 'normale_goder', 'værdi', 'giffengode', 'varer'}
grass	{'græs', 'supergrass', 'skylarking', 'gramineae-familien', 'günther_grass', 'graminoid', 'småaks', 'hasholie', 'marijuana', 'marihuana', 'cannabis', 'grøn_gudinde', 'stoner', 'foder', 'græsser', 'eatage', 'hash', 'græsvækst', 'poaceae', 'familie_græsfamilien', 'græsfamilien', 'græs-familien', 'skunk', 'sess', 'fjolletobak', 'grass_gis', 'sens', 'gunter_grass', 'tjald', 'mary_jane', 'graminaceae', 'gynter_grass', 'sporobolus_caespitosus', 'gramineae', 'gunter_wilhelm_grass', 'nothing_can_stop_us', 'græsarealer', 'pot', 'stener', 'familien_graminaceae', 'günter_grass'}
great	{'storhed', 'illustriousness', 'stor'}
green	{'miljøvenlige', 'grønne_grøntsager', 'grønlig', 'miljøaktivist', 'økologisme', 'grøntsag', 'grønne_bevægelse', 'grønne_politik', 'grøn', 'flaske_grøn', 'grøn_ideologi', 'cat_valium', 'miljøbevægelsen', 'miljøproblemer', 'miljøvenlig', 'ært_grøn', 'fælles', 'bladrige_grøntsager', 'feldgrau', 'parken', 'commons', 'gul_grøn', 'sætte_overfladen', 'tør', 'super_syre', 'william_green', 'viridity', 'miljøaktivister', 'frugt', 'bladgrøntsager', 'miljøbevidsthed', 'vert', 'brunswick_grøn', 'mineralitet', 'miljøforkæmpere', 'håbets_farve', 'green_river', 'miljøbeskyttelse', 'jade_grøn', 'mørk_grøn', 'bladgrønsag', 'jæger_grøn', 'grøn_grønne_grøntsager', 'grønt', 'super_c', 'økologi', 'stypsis', 'putting_green', 'chartreuse', 'greens', 'honning_olie', 'green', 'gulgrøn', 'balance', 'smaragd', 'umoden', 'krop', 'bouquet', 'riffel_grøn', 'special_k', 'jade'}
gun	{'gunslinger', 'triggerman', 'fedtsprøjte', 'gun', 'hitman', 'hyret_pistol', 'tungt_våben', 'lejemorder', 'conventional_weapons', 'louder_than_love', 'revolvermænd', 'speederen', 'pistol_butik', 'ildvåben', 'håndvåben', 'gaspedal', 'skydevåben', 'kanoner', 'speeder', 'lille_arm', 'gun_til_leje', 'gunfighting', 'pibe', 'pistol', 'revolvermand'}
guts	{'gi-kanalen', 'fordøjelsessystemet_rør', 'indvolde', 'fordøjelsesorganerne', 'indmad', 'intestinale_lumen', 'tarm', 'intestinal', 'braveness', 'moxie', 'mod', 'tarmlumen', 'tarmkanalen', 'courageousness', 'mavetarmkanal', 'guts', 'mave-tarmkanalen', 'tapperhed', 'tarmene', 'tarmsystem', 'fordøjelseskanalen', 'modet', 'øvre_mavetarmkanal', 'fordøjelseskanal', 'gastrointestinalkanalen', 'tarmen', 'enterisk', 'tarme', 'tarmslimhinden', 'enteriske'}
hair	{'hår', 'hoved_hår', 'mellemblond', 'behåret', 'menneskehår', 'uldhår', 'hairsbreadth', 'haircloth', 'hair', "hair's-bredde", 'hårstrå', 'dækhår'}
hand	{'hånd-', 'drazi', 'script', 'manus', 'stik', 'hand', 'bifald', "klør_'fem", 'karlen', 'hjælpende_hånd', 'håndfuld', 'hænderne', 'meldbar', 'cordella', 'hænder', 'give', 'dilgar', 'kortspil', 'håndskrift', 'daglejer', 'system_of_a_down', 'kortgiveren', 'brakiri', 'hånden', 'bridge_player', 'kort', 'hånd'}
he	{'high-definition', 'high-definition_video', 'he', 'atomnummer_2', 'helium-8', 'hans_eworth', 'г', 'hebreisk', 'helium-2', 'helium-7', 'heliumatom', 'hd-video', 'ivrit', 'hebraiske_sprog', 'hebraiske', 'helium-3', 'helium-6', 'germanium', 'helium-5', 'superflydende_helium', 'hebraisk_sprog', 'hebraisk', 'ge', 'epb41', 'atomnummer_32', 'helium_3', 'helium', 'helium-4', 'high_definition_video', 'helium-10', 'high_definition', 'hebræisk', 'hebræisk_sprog', 'han', 'helium-9'}
head	{'skolelederen', 'headspring', 'bold', 'kasse', 'http_server', 'skødet', 'dyr', 'hydraulisk_hoved', 'skolelærer', 'tidsskriftsartikel', 'head', 'oral_sex', 'hypertext_transfer_protocol', 'menneskelige_sind', 'pseudanthium', 'http', 'avisartikler', 'sindet', 'vejr_ark', 'knop', 'skoleleder', 'artikel', 'lede', 'forbjerg', 'chieftaincy', 'overhoved', 'skødebarm', 'skøde', 'tribal_chef', 'skoleinspektør', 'styre', 'mental', 'klan_chef', 'byld', 'tryktab', 'mafiaboss', 'spørgsmål', 'roe', 'http-anmodning', 'al_snow', 'hydrauliske_gradient', 'cephalic', 'leder', 'hoved', 'chieftainship', 'psyke', 'nød', 'sind', 'direktør', 'mental_indhold', 'læse_/_skrive_hovedet', 'ark', 'tromle_hoved', 'rektor', 'nyhedsartikel', 'oralsex', 'forager', 'skotske_klan_chef', 'skalle', 'skot', 'forbrydelse_boss', 'høvding', 'forbrydelse_herre', 'vant', 'storskøde', 'trommeskind', 'psyken', 'fransk', 'avisartikel', 'bær', 'pynt', 'bladartikler', 'bøtte', 'knold', 'http/1.1', 'lederskikkelse', 'karakter', 'hovedet', 'nous', 'gensidig_fransk', 'nyhedshistorie', 'dirty_mind', 'brian_welch', 'lede_historie', 'top_hund'}
hear	{'høresansen', 'lytte', 'lære', 'se', 'følelse_af_at_høre', 'auditive_sans', 'opdage', 'høre', 'hørelse', 'finde_ud_af', 'høreværn', 'auditive_modalitet', 'hørbar', 'høresans', 'lydlig'}
heart	{'essenser', 'hengivenhed', 'hjerte', 'mindless_self_indulgence', 'venstre_hjerte', 'substans', 'heart_hampshire', 'essens', 'højre_hjerte', 'hjerter', 'hjerte_og_sjæl', 'hjerteklap', 'heart', 'fyrighed', 'midte', 'menneskelige_hjerte', 'kærlighed', 'hjertet', 'hjertekammeret', 'hjertekammer', 'hjertemuskel', 'hovedindhold', 'nitty-gritty', 'philia', 'koncentrat', 'alexz_johnson', 'hjertemuskulatur', 'midten', 'essensen'}
heavy	{'stypsis', 'mineralitet', 'tung', 'livvagt', 'tunge', 'heavy.com', 'the_state_vs_radric_davis', 'balance', 'tør', 'team_fortress_2', 'tæt_beskyttelse', 'livvagter', 'krop', 'bouquet', 'frugt', 'tf2', 'heavy', 'bodyguards', 'bodyguard'}
help	{'niceville', 'tjene', 'stration', 'tjener', 'benytte', 'the_help', 'hjælper', 'online_hjælp', 'assistance', 'hjælp', 'assistere', 'nødhjælpsarbejder', 'humanitær_bistand', 'hjælpe', 'bistand', 'undsætning', 'assistent', 'humanitær_nødhjælp', 'støtte', 'hjælpearbejdere', 'hjælpearbejder', 'help!', 'bistå'}
here	{'her', 'here', 'herhen', 'hid', 'hera'}
hit	{'hīt', 'morgenkys', 'ramt', 'opnå', 'angreb', 'kollidere', 'ramme', 'rammer', 'kollisioner', 'kollision', 'forekomst', 'nå', 'hit', 'ramte', 'slå', 'basen_hit', 'score', 'strejke'}
hold	{'katame-waza', 'tidsforskel', 'have', 'kontrollere', 'greb', 'retslig_forvaring', 'wrestling_hold', 'detention', 'hold', 'lastdæk', 'opretholde', 'bedrift_mønster', 'håret', 'palmar_greb', 'reservere', 'indsendelse_besidder', 'være_enig', 'fermat', 'koblinger', 'tilbageholde', 'bagagerummet', 'lagerområde', 'holde', 'kæmper_hold', 'politiets_varetægt', 'understøtte', 'fermata', 'låsehus', 'give', 'tilbageholdelse', 'bære', 'håndtag', 'støtte', 'forskydning', 'indeholde', 'har', 'lastrum', 'bærehåndtag'}
horn	{'motor_horn', 'lommetrompet', 'horn', 'valdhorn', 'franske_horn', 'sadel_horn', 'valdhornist', 'waldhorn', 'køretøj_horn', 'jazz_trompetist', 'fransk_horn', 'gaienhofen', 'signalhorn', 'hornantenne', 'kornet', 'cornet', 'bilhorn', 'bil_horn', 'jagt_horn', 'trompetist', 'jødeharpe', 'cykel_horn', 'trompetere', 'mikrobølgehorn', 'trompet', 'microbølgehorn'}
how	{'hv-ord', 'hvorledes', 'hands_all_over', 'spørgende_ord', 'hvor', 'spørgende_pronominer', 'hvordan', 'how', 'spørgende_stedord'}
hunt	{'james_henry_leigh_hunt', 'jægere', 'jagt_klub', 'jagt', 'vagtel_jagt', 'richard_morris_hunt', 'william_henry_hunt', 'holman_hunt', 'jage', 'søgen', 'hunt', 'overdreven_jagt', 'jagten', 'gå_på_jagt_efter', 'leigh_hunt', 'william_holman_hunt'}
hurting	{'smertefuld_fornemmelse', 'smerte', 'smertefornemmelse', 'akut_smerte', 'såre'}
husband	{'chawla', 'gift_mand', 'd._brown', 'apollo', 'gift_person,', 'spare', 'husbond', 'ægtemand', 'mand', 'ægtefælle', 'husband', 'partner', 'bedre_halvdel', 'hubby'}
i	{'tupler', 'i', 'iodine', 'tupel', 'imaginære_enhed', 'n-tuple', 'sextuple', 'strømstyrke', 'selected_ambient_works_85-92', 'jod-131', "prikken_over_i'et", 'iod', 'elektrisk_strøm', 'imaginær_enhed', 'ampere', 'enhed', 'gregorianske_år', '1', 'i̇', 'en', 'milliampere', 'multiplikative_identitet', 'eulers_identitet', 'ì', 'atomnummer_53', 'a', 'isoleucin', 'strømtæthed', 'ma', 'jod', 'и', 'í', 'elektriske_strømme', 'et', 'elektriske_strøm', 'år', 'konventionelle_strøm', 'iodtal', 'nanoampere', 'es', 'iodin', 'strøm'}
ice	{'ic_motor', 'in_case_of_emergency', 'intercity-express', 'instituto_costarricense_de_electricidad', 'vandis', 'emirates_airline', 'shabu', 'krystal_metamfetamin', 'kunstig_is', 'glasur', 'emirates', 'i_nødstilfælde', 'intercityexpress', 'is_høst', 'methedrine', 'metamfetamin', 'methamfetaminer', 'crystal_meth', 'desoxyn', 'meth', 'dextromethamphetamine', 'skøjtebane', 'forbrændingsmotor_køretøj', 'deoxyephedrine', 'pervitin', 'ice', 'c10h15n', 'forbrændingsmotorer', 'ice_la_fox', 'frosting', 'interne_forbrændingsmotorer', 'methamfetamin', 'is', 'emirates_airlines', 'metamfetamin_hydrochlorid', 'forbrændingsmotor', 'methamphetamine'}
if	{'if_p&c_insurance', '(if)', "château_d'if", 'hvis-så-ellers', "chateau_d'if", 'interaktiv_fiktion', 'intrinsic_faktor', 'i-faktoren', 'ublandede', 'tekst_adventure_spil', 'if', 'stadium_arcadium', 'betinget', 'impact_factor', 'tekst_eventyr', 'if_skadeforsikring', 'command.com'}
ignorance	{'uvidenhed', 'avidya', 'ignorance'}
illness	{'morbid', 'unwellness', 'sygelighed', 'affektion', 'arvelige_sygdomme', 'infektionssygdomme', 'medicinsk_tilstand', 'medicinske_tilstande', 'medicinsk_lidelse', 'sygdom', 'syge', 'lidelse', 'sygdomme'}
impress	{'impressment', 'imponere', 'trykke', 'presse_bander', 'presse-bande'}
in	{'indien', 'hoosier_state', 'i', 'svensk_tomme', 'tomme', 'atomnummer_49', 'indium', 'medlemskab', 'engelsk_tomme', 'nordindien', 'tommer', 'indiana', 'republikken_indien', 'indisk', 'bharat', 'the_hoosier_state', 'norsk_tomme', 'inch', 'in', 'inches', 'indere', 'dansk_tomme', 'element'}
invention	{'innovation', 'teknologisk_innovation', 'innovationer', 'opfindelse', 'opfinde', 'opfundet', 'innovative', 'opfindere', 'nyskabelse', 'opfindelser'}
investigation	{'forsker', 'forskere', 'forskningsmetoder', 'forskning', 'research', 'akademisk_forskning', 'original_forskning', 'forske', 'efterforske', 'undersøgelse', 'efterforskning'}
invisible	{'taylor_swift', 'usynlig', 'evilized', 'sound_of_white_noise', 'dream_evil', 'holy_diver', 'elevate', 'floored', 'usynlighed', 'invisible'}
