ability	képessége	Found close match: ['képességek', 'képesség']	['képesség', 'képességek', 'alkalmasság']
king	király	Match	['király', 'parlamentáris_monarchia', 'riley_b_king', 'felső_vezetői', 'férfi_uralkodó', 'császárság', 'alkotmányos_monarchia', 'reverend_horton_heat', 'iparosok', 'mogul', 'rex', 'világverő', 'szuverén', 'billie_jean_king', 'bb_king', 'kinga', 'uralkodó', 'koronás_fej', 'martin_luther_king', 'george_king', 'monarchia', 'billie_jean_kingmoffitt', 'mágnás', 'gyáros', 'big_üzletember', 'b_b_king', 'charles_bird_king', 'kingcom', 'királyság', 'mágnások', 'martin_luther_king_jr', 'billie_jean_moffitt', 'uralkodók', 'hajózási_mágnás', 'king_ov_hell', 'fűrészáru_báró', 'királynő', 'king', 'riley_king', 'üzleti_mágnás', 'iparmágnás', 'üzleti_vezető', 'monarchikus', 'monarchiák']
lady	grófkisasszony	Found close match: ['nemesasszony', 'asszonyom']	['szent_szűz', 'titulus', 'hölgyek', 'úri_hölgy', 'boldogasszony', 'asszonyom', 'stílus', 'the_virgin', 'szűzanya', 'műsor', 'lady', 'segítő_szűzanya', 'cím', 'címe_tisztelet', 'babba_mária', 'hölgy', 'szűz_mária', 'boldogságos_szent_szűz', 'bmv', 'szent_mária', 'mary', 'nemesasszony', 'a_devil_may_cry_szereplőinek_listája', 'beata_maria_virgo', 'formája_cím', 'the_lady', 'dame', 'főrangú_nő', 'susi_és_tekergő']
land	földterületek	Match	['terra_firma', 'nemzet', 'edwin_herbert_land', 'állam', 'kirakodott_ingatlan', 'szuverén_állam', 'vidéki_birtok', 'deklaratív_elmélet_államiság', 'birtok', 'landol', 'partra_jogosultja', 'hazai', 'land', 'országban', 'leszáll', 'németország_tartományai', 'kormányzati', 'szuverén_államok', 'mexikó_tagállamai', 'mexikói_állam', 'politikai_társadalom', 'ingatlan', 'hold', 'tartomány', 'szilárd_talajon', 'országok', 'mozdíthatatlan', 'uradalom', 'birtok_ház', 'din_land', 'politikai_test', 'az_ingatlan', 'mexikó_államai', 'szárazföld', 'nemzetek', 'terület', 'telek', 'feudális_domain', 'mexikó_szövetségi_államai', 'res_publica', 'föld', 'földterület', 'hektár', 'talaj', 'földtörvény', 'birodalmában', 'edwin_h_land', 'ingatlanjog', 'ország', 'földterületek', 'német_szövetségi_államok']
laugh	nevetni	Match	['élc', 'tréfás', 'nevess', 'nevetés', 'nevetni', 'vicc', 'tréfát', 'poén', 'hecc', 'viccek', 'tréfa']
law	törvény	Match	['m72_law', 'egyházi_jog', 'jogi', 'jogtudomány', 'természetjog', 'egyházi_törvény', 'törvényekre', 'kánon_ügyvéd', 'kánonjog', 'jogi_szolgáltatások', 'természeti_törvény', 'jogszabályok', 'törvényhozás', 'fegyveres_rendőri', 'biztonsági_erők', 'jogi_elmélet', 'rendőri_erők', 'rendőri_szervek', 'jogi_csata', 'jogszabály', 'jogi_filozófia', 'kánon', 'jog', 'kanonikus_jog', 'jogalkotás', 'fizikai_törvények', 'rendőrök', 'becikkelyezett_törvény', 'joghallgató', 'rendőr', 'police_department', 'rendőrség', 'törvény', 'jogosulatlan_joggyakorlat', 'természeti_törvények', 'joggyakorlat', 'jogi_tanulmányok', 'fizikai_törvény', 'jogfilozófia', 'természet_törvénye', 'rendőri_védelem', 'earthling', 'a_fizika_törvényei', 'egyházjog', 'jogbölcselet', 'jogi_filozófus']
left	bal	Match	['politikai_baloldal', 'baloldaliak', 'balra', 'baloldali', 'kollektivista', 'szélsőbaloldal', 'esquerra_republicana_de_catalunya', 'bal_oldali', 'baloldali_politika', 'venstre_danmarks_liberale_parti', 'venstre', 'viszonylagos_irány', 'bal_kezét', 'baloldal', 'liberális_párt', 'baloldaliság', 'bal', 'baloldali_politikus']
level	szint	Match	['vízszintes_felület', 'szintez', 'vízmérték', 'lapos', 'kiegyenlít', 'libella', 'adema', 'mérték', 'emeleten', 'rámutat', 'szint', 'evolúciós_minőségű', 'szinten', 'fokozat', 'egyenletes', 'skálával', 'level', 'szintű', 'szintező', 'zenei_fok', 'lerombol', 'egyenget', 'levél', 'tapasztalati_pontokat', 'emeletes', 'emelet']
liar	hazudozó	Found close match: ['hazug']	['a_hazug', 'so_far_so_good_so_what', 'louder_now', 'glory', 'hazug', 'lyres', 'so_far_so_good…_so_what', 'lüra', 'lant', 'liar', 'líra', 'republic']
light	fény	Match	['meggyújt', 'fény_hullám', 'fényerő', 'halvány', 'licht', 'kivesz', 'gyújtó', 'látható_fény', 'fényében', 'lámpa', 'világos', 'könnyű', 'yagami_light', 'fényforrás', 'látható_sugárzás', 'öngyújtók', 'tűz', 'halovány', 'fényt', 'villamos_lámpa', 'jagami_light', 'gyújtóval', 'gyújt', 'fakó', 'ablak', 'belső_fény', 'fényerejét', 'fényesség', 'felgyújt', 'luminousness', 'fénysűrűség', 'könnyű_belül', 'light', 'light_yagami', 'fény', 'öngyújtó', 'krisztus_belül', 'fényvisszaverődés', 'fényhullámok']
magic	varázslatos	Found close match: ['varázslat', 'varázslattípusok', 'varázsló']	['transz', 'alagaësia', 'varázsigék', 'színpadi_varázslat', 'magic', 'varázslat', 'kiri_te_kanawa', 'kétirányú_tükör', 'axel_rudi_pell', 'make_a_scene', 'bűvész', 'korongvilág', 'feketemágia', 'bűvésztrükk', 'a_harry_pottersorozatban_szereplő_varázsigék_listája', 'ereklyét', 'mágia_a_harry_potteruniverzumban', 'örökségciklus', 'varázsigék_a_harry_potter_sorozatban', 'magic–2', 'okklumencia', 'egyirányú_tükör', 'varázslattípusok_a_harry_potter_sorozatban', 'párszaszóul', 'animágus', 'az_örökség', 'harry_pottervarázslatok_listája', 'te_kanawa', 'időcsavar', 'matra_magic', 'driving_rain', 'mágia', 'secret_time', 'dame_kiri_te_kanawa', 'varázsló', 'pl–7', 'r550_magic', 'r550_magic–2', 'magic_2', 'átváltoztatástan', 'wonderworking', 'oktarin', 'varázs', 'octiron', 'planeswalker', 'varázslattípusok_a_harry_potter_regénysorozatban', 'mágikus_trükk', 'thaumaturgic', 'varázslattípusok', 'illuzionisták', 'thaumaturgus', 'taumaturgia', 'take_me_home', 'színpadi_bűvész', 'justin_timberlake', 'pluto', 'magic_the_gathering', 'harry_pottervarázsigék', 'bűvészet', 'dame_kiri_te_kanawa_janette', 'csodatevő', 'justin_randall_timberlake']
marriage	házasság	Match	['kötelezettségvállalás_ceremónia', 'katolikus_házasság', 'feleségül', 'házas', 'unió', 'házasságok', 'házaspárok', 'házasság', 'lakodalom', 'hymeneals', 'házassági', 'poligámia', 'semmisség', 'polgári_házasság_magyarországon', 'esküvők', 'die_ehe', 'házaspár', 'házastársi_kapcsolat', 'házasságot', 'férj_és_feleség', 'házastárs', 'nihility', 'nász', 'házasélet', 'házasságkötés', 'nemlétezés', 'esküvő', 'polgári_esküvő']
material	anyag	Match	['atlaszkötés', 'dolog', 'dialektikus_materializmus', 'fizikalizmus', 'sávolykötés', 'materialisták', 'anyaga', 'anyagok', 'fizikai_ontológia', 'anyagelvűség', 'anyagászat', 'szövetanyag', 'ruha', 'vászonkötés', 'szövet', 'kelme', 'szaténkötés', 'materialista', 'textil', 'anyag', 'cucc', 'material_design', 'materializmus', 'anyagszerű_megjelenés']
mathematical	matematikai	Match	['mennyiségtan', 'matematika', 'matematikai', 'matek', 'matematikailag']
mechanism	mechanizmus	Match	['mechanizmus', 'munkaeszközök', 'gépek', 'kémiai_mechanizmus', 'gépezet', 'reakciómechanizmus', 'gép', 'reakció_mechanizmus', 'eszköz']
medication	gyógyszeres	Not found	[]
money	pénzt	Match	['history', 'history_past_present_and_future', 'fizetőeszköz', 'money', 'pénzt', 'pénz', 'the_sound_of_girls_aloud_the_greatest_hits', 'monetáris', 'készpénz']
mountain	hegy	Match	['hegyen', 'sokra_megy', 'passel', 'csavarodás', 'takaros_összeget', 'muckle', 'hegyek', 'david_oreilly', 'jó_üzlet', 'hegyi', 'hegycsúcs', 'hegység', 'csomó', 'hegyvidéki', 'nagy', 'sahtu', '482', 'hegy', 'mountain', 'adag', 'nyáj', 'elég_egy_kis']
movement	mozgalma	Found close match: ['mozgalom', 'art_mozgalom']	['movement', 'defecated', 'tömeg', 'phi_jelenség', 'üríteni', 'fekália', 'társadalmi_mozgalom', 'mozgalom', 'székelés', 'she_wolf', 'társadalmi_mozgalmak', 'széklet', 'ürülék', 'székletürítés', 'fécesz', 'madárürülék', 'phijelenség', 'művészeti_mozgalmak', 'mozgékonyság', 'tétel', 'trágya', 'látszólagos_mozgás', 'szórakozol', 'art_mozgalom', 'motilitás', 'faeces', 'állatok_mozgása', 'filozófiai_mozgalom', 'defecating', 'lokomotoros_aktivitás', 'kakilás', 'művészeti_mozgalom', 'fekáliák', 'állati_mozgás', 'the_pillows', 'csoportos_kereset', 'szar', 'oka', 'motilis', 'állatok_mozgásban', 'excrementum', 'mozgás']
movie	film	Match	['színházi_film', 'mozgókép', 'film', 'mozifilm', 'picture_show', 'filmet', 'a', 'filmműfajok', 'mozi', 'mozgókép_megjelenítése', 'mozgáskép_megjelenítése', 'motion_picture', 'mozgáskép', 'mozgóképek', 'jelentős_mozgókép', 'nagy_képernyőn', 'kites', 'filmezés', 'filmek', 'filmművészet', 'teljes_képernyős_videó']
music	zene	Match	['countryrock', 'the_music', 'zenék', 'országrock', 'muzsika', 'music', 'zengzetesség', 'ország_rock', 'country_rock', 'őskori_zene', 'zene']
nation	nemzet	Match	['nemzet', 'állam', 'szuverén_állam', 'korongvilág', 'deklaratív_elmélet_államiság', 'hazai', 'országban', 'németország_tartományai', 'kormányzati', 'szuverén_államok', 'mexikó_tagállamai', 'mexikói_állam', 'politikai_társadalom', 'tartomány', 'országok', 'politikai_test', 'carry_nation', 'mexikó_államai', 'nemzetek', 'gare_de_nation', 'kendrick_lamar', 'res_publica', 'mexikó_szövetségi_államai', 'nation', 'carry_amelia_moore_nation', 'ország', 'német_szövetségi_államok']
news	hír	Match	['hírek_mindet', 'hírműsor', 'szó', 'newsworthiness', 'hírek', 'hír', 'újság', 'híreket', 'aktuális_események', 'híradás', 'news']
noise	zaj	Match	['hanghullámok', 'kozmikus_mikrohullámú_háttérsugárzás', 'fehérzaj', 'jel_zaj', 'zaj', 'hangterjedés', 'mikrohullámú_kozmikus_háttérsugárzás', 'zörej', 'mikrohullámú_háttérsugárzás', 'hang_szennyezés', 'ipari_zaj', 'zajterhelés', 'hangszennyezés', 'elementary_os', 'akusztikus_hullám', 'cmb', 'stochasticity', 'zaj_zene', 'akusztikai_hullám', 'hanghullám', 'hang', 'hangok', 'zajzene', 'durva_zaj', 'légköri_statikus', 'noise', 'elektronikus_zaj', 'rádiózaj', 'véletlenszerű_zaj', 'haphazardness', 'interferencia', 'kozmikus_háttérsugárzás', 'zajszennyezés', 'légköri_zavarok', 'cbr', 'cmbr']
obligation	kötelesrész	Incorrect	['kötelezettség', 'hitelviszonyt_megtestesítő_értékpapír', 'igéret', 'ígéret', 'lekötelezettség', 'kötelezettségek', 'felelősség', 'bizonyítvány_eladósodás', 'kötelmi_jog', 'kötvények']
pain	fájdalom	Match	['a_fájdalom', 'fáj', 'pain', 'fájdalmas_érzés', 'king_of_da_ghetto', 'bosszúság', 'seggfej', 'forever', 'fájdalmat', 'kín', 'fájdalom', 'akut_fájdalom', 'fájdalomérzet', 'games_pain']
personality	személyiség	Match	['személyiség', 'personality', 'személyisége', 'egyéniség']
philosophy	filozófia	Match	['filozófia', 'politikai_doktrína', 'doktrína', 'elmélet', 'irányzat', 'doktrinális', 'alkalmazott_filozófia', 'iskola', 'filozófiai_rendszer', 'filozófiai']
picture	fénykép	Match	['festőművészet', 'színházi_film', 'lemezkép', 'varázsigék', 'mozgókép', 'képet', 'film', 'cobol', 'festő', 'mozifilm', 'rajz', 'picture_show', 'fiókkép', 'képi_anyag', 'mentális_képet', 'a', 'a_harry_pottersorozatban_szereplő_varázsigék_listája', 'filmműfajok', 'festészet', 'illusztrált', 'festés', 'festők', 'fotográfia', 'jelenetet', 'mágia_a_harry_potteruniverzumban', 'illusztrált_könyvek', 'varázsigék_a_harry_potter_sorozatban', 'okklumencia', 'felvétel', 'varázslattípusok_a_harry_potter_sorozatban', 'párszaszóul', 'avatar', 'illusztráció', 'animágus', 'mozgókép_megjelenítése', 'cobol_programozási_nyelv', 'harry_pottervarázslatok_listája', 'fényképet', 'mentális_képek', 'harry_pottervarázsigék', 'fotó', 'mozgáskép_megjelenítése', 'mentális_kép', 'motion_picture', 'szó_kép', 'mozgáskép', 'átváltoztatástan', 'mozgóképek', 'jelentős_mozgókép', 'nagy_képernyőn', 'fényképfelvétel', 'klasszikus_festészet', 'filmezés', 'varázslattípusok_a_harry_potter_regénysorozatban', 'szófestés', 'kiss', 'képek', 'varázslattípusok', 'festőművész', 'kép', 'fénykép', 'képi', 'filmek', 'filmművészet', 'festmény', 'festői_leírás', 'illusztrációk', 'festmények', 'fényképek']
pig	disznó	Match	['házisertés', 'disznóhús', 'sus', 'szlovén', 'lompos_ember', 'kövér_ember', 'sár', 'házidisznó', 'scrofa', 'hájpacni', 'csővezeték_ellenőrző_szelvény', 'conjoiner', 'hazai_sertés', 'shoat', 'disznó', 'raymond_watts', 'kis_kövér_ember', 'csőgörény', 'shote', 'conjoiners', 'vaddisznó', 'sertés_ágy', 'rendőr', 'desznó', 'zabál', 'sertés', 'zsaru', 'humber_pig', 'fal', 'vadon_élő_sertés', 'sus_scrofa_domestica', 'vad_disznó', 'dagi', 'koca', 'sus_scrofa', 'kismalac', 'malac', 'porc']
plan	tervet	Found close match: ['tervek', 'terv', 'tervezi']	['tervek', 'plan_isère', 'építészeti_tervdokumentáció', 'kína_haditengerészete', 'plan', 'tervezi', 'kínai_haditengerészet', 'kína_hadiflottája', 'design', 'kínai_hadiflotta', 'plan_huesca', 'építészeti_terv', 'építészeti_tervezés', 'program', 'tervezni', 'program_vezetője', 'terv', 'rajzok']
plant	növény	Match	['floras', 'növény', 'flóra', 'plantae', 'shill', 'trigun', 'növényélet', 'szerelőszalag', 'gépsor', 'munkálatok', 'termelésiline', 'telepít', 'növényfaj', 'factorij', 'növények', 'összeszerelő_sorok', 'futószalagon', 'gyári_munkás', 'gyárak', 'növényi', 'fizikai_üzem', 'gyártó_üzemet', 'üzem', 'növényi_élet', 'növényvilág', 'feitoria', 'lény_típus', 'manufaktúra', 'ipari_üzem', 'gyár']
play	játszani	Match	['színdarab', 'play', 'android_market', 'stageplay', 'játszani', 'szabad_kezet', 'ugrándozás', 'drámák', 'hazárdőr', 'holtjáték', 'google_play_store', 'play_–_gyerekjáték', 'drámai_játék', 'játszik', 'játszik_időszak', 'filmdráma', 'darab', 'játssz', 'dráma', 'google_play', 'hadművelet', 'játék', 'szerencsejátékosok', 'egyenes_játék', 'szerencsejáték', 'swordplay', 'lejátszás', 'színházi_játék', 'drámai_művészet', 'játszanak', 'vidámság', 'időszakra_játék', 'játékosok', 'fogadási', 'manőver', 'play_store', 'fut', 'színpadon_játszik', 'google_store', 'csillámlik', 'egy']
pleasure	élvezet	Match	['sondre_lerche', 'örülök', 'kellemes', 'semisonic', 'élvezet', 'gyönyör', 'boldogság', 'fredrik_ball', 'öröm', 'pleasure_p']
poor	rossz	Incorrect	['relatív_szegénység', 'fogadalmat_a_szegénység', 'elszegényedés', 'zavallılar', 'globális_szegénység', 'alacsony_jövedelmű', 'nincstelenség', 'rászoruló', 'nyomorúság', 'szegények', 'szegény', 'szegénységi_ráta', 'anyagi_szegénység', 'városi_szegénység', 'elszegényedett', 'henry_varnum_poor', 'önkéntes_szegénység', 'szegénység']
prison	börtönt	Found close match: ['börtön', 'börtönben', 'börtönökben']	['börtönben', 'nyomorúságos', 'tom_robinson', 'szegényes', 'fegyház', 'börtön', 'megyei_börtönben', 'börtönökben', 'bezár', 'minimális_biztonsági', 'közepes_biztonsági']
professional	profi	Match	['szakértők', 'professzionális', 'profi', 'szakmai', 'professzionális_sport', 'professzionális_megjelenésű', 'szakértő', 'szakember', 'profi_sportolók', 'szakmaiság', 'profi_sportoló', 'szakemberek', 'szaki']
protection	védelme	Match	['protection', 'kereskedelmi_védelmi', 'biztonság', 'égisze_alatt', 'biztonságot', 'védelme', 'biztonsági', 'védelmet', 'védelem', 'oltalom', 'védőburkolattal']
quality	minősége	Match	['hangzásbéli', 'csengés', 'sajátság', 'minősége', 'karakter', 'tulajdonság', 'minőségi', 'a_csere', 'hangszín', 'hangszínek', 'minőség', 'hang_színe', 'quality']
reaction	reakció	Match	['reakciók', 'választ', 'reaction', 'reakció', 'kémiailag', 'reaktáns', 'kémiai_változások', 'kémiai_reakció', 'reagálás', 'kémiai_reakciók']
read	olvasnod	Found close match: ['olvas', 'olvasott', 'olvasás']	['olvasás', 'elolvas', 'olvasott', 'olvas', 'tanulni', 'catherine_read', 'read', 'hogy']
relationship	kapcsolatuk	Found close match: ['kapcsolat', 'emberi_kapcsolat', 'családi_kapcsolat']	['hosszú_távú_kapcsolat', 'interperszonális_kapcsolat', 'ismeretségi', 'emberi_kapcsolat', 'származású_csoport', 'interperszonális_kapcsolatok', 'rokon', 'interperszonális', 'rokonság', 'kapcsolat', 'rokonság_és_süllyedés', 'családi_kapcsolat', 'viszony', 'az_emberi_kapcsolatok', 'emberi_interakció', 'ismerős', 'szülők', 'ismerőse']
religious	vallási	Match	['szerzetes', 'vallás', 'egyházi_személy', 'klerikus', 'lelkész', 'ájtatos', 'vallásos', 'pap', 'istenfélő', 'vallási']
residence	rezidencia	Incorrect	['kúria', 'lakások', 'tartózkodási_hely', 'lakó', 'udvarház', 'magánlakás', 'lakóhely', 'lakás', 'lakhely', 'lakos', 'lakóház', 'tartózkodási', 'lak', 'tartózkodás', 'hely', 'ház', 'otthon', 'kastély']
road	út	Match	['the_road', 'gátak', 'műút', 'idegenben_játék', 'uton', 'road_játék', 'az_út', 'út', 'közúti', 'főút', 'new']
sad	szomorú	Match	['osterlars', 'lost_dogs', 'szomorú', 'østerlars', 'sadhe', 'bús', 'bánat', 'szomorúság', 'szezonális_affektív_zavar']
science	tudomány	Match	['készség', 'általános_tudomány', 'tudományos_kutatás', 'tudományos_közösség', 'tudományok', 'tudományos', 'discovery_science', 'tudományág', 'mainstream_tudomány', 'empirikus_tudomány', 'tudományos_tevékenység', 'tudomány', 'tudományos_megismerés', 'science']
seafood	halételek	Not found	[]
sell	értékesíteni	Incorrect	['kereskedelem', 'elad', 'elárul', 'árul', 'eladás', 'eladni', 'tengeri_kereskedelem', 'sell', 'ad']
sew	varrni	Match	['stitchery', 'varrott', 'varrás', 'varrni']
sexy	szexi	Match	['sexy', 'szexi', 'elephunk']
shape	alakú	Found close match: ['alak', 'alakja', 'alakzat']	['formát', 'wm_kialakulását', 'szövetséges_főparancsnok_európa', 'zenei_műforma', 'szövetséges_műveleti_parancsnokság', 'formában', 'supreme_headquarters_szövetséges_erők_európai', 'alakítani', 'emberi_test', 'felállás', 'fizikai_test', 'emberi_fiziológia', 'emberi_anatómia', 'primitív', 'definíció', 'zenei_forma', 'minta', 'forma', 'az_emberi_test', 'anyagi_test', 'bod', 'mourvèdre', 'test', 'alakzat', '433', 'shape', 'humánfiziológia', 'alakja', 'zenei_formában', 'alak', 'bőr_pigmentáció', 'corpus_humani']
ship	hajó	Match	['küldje', 'hajók', 'hajóval', 'hajó', 'hajón']
show	show	Match	['szerencsejátékosok', 'mutat', 'játékosok', 'fogadási', 'kiállítás', 'mutatják', 'szerencsejáték', 'megyei_vásárokon', 'bizonyítani', 'megyei_vásáron', 'megyei_vásárok', 'megmutat', 'hazárdőr', 'bizonyít', 'show_luo', 'megállapítani', 'mutasd', 'kifejezni', 'show']
sign	aláírásban	Not found	[]
silly	vicces	Not found	[]
sin	sin	Match	['bűnösök', 'szingapúrchangi_repülőtér', 'vétség', 'szinusz_függvény', 'vétek', 'sinhala', 'szingaléz_nyelv', 'szinusz', 'sin', 'bűnös', 'szingapúr_changi_repülőtér', 'szingaléz', 'bűnösség', 'bűn', 'sinhala_nyelv', 'halálos_bűn', 'shin', 'vétkezik']
skin	bőr	Match	['day_for_night', 'bőre', 'felület', 'skinnable', 'áramkör', 'odaát', 'burok', 'almost_human', 'a_bőr', 'ray_of_light', 'áramköri', 'barát_a_bajban', 'nyomtatott_áramkör', 'skin', 'lehorzsol', 'elmegyógyintézet', 'nyomtatott_áramköri_lapok', 'australian_aboriginal_rokonság', 'blender', 'áramköri_kártya', 'cutis', 'nyomtatott_áramköri_lapka', 'addin', 'áramköröket', 'beépülő_modul', 'elmegyógyintézetben', 'héj', 'kéreg', 'teljesítmény_sík', 'mentális_otthon', 'pszichiátriai_kórház', 'maghéj', 'bőr', 'r_kelly', 'plugin']
smart	okos	Match	['pimasz', 'hírszerzés', 'smart', 'szemtelen', 'értelem', 'elegáns', 'spearman_elmélet', 'intelligencia', 'arcátlan', 'szúró', 'intelligens', 'spearmanféle_elmélet', 'okos']
smiling	mosolyog	Match	['mosolygó', 'mosolygós', 'mosolyogva', 'vigyorgó', 'mosolyog', 'mosoly', 'vigyorog']
solution	megoldás	Match	['oldatok_kémiája', 'egyenlet_megoldása', 'oldatok', 'oldott_anyagok', 'megoldást', 'következmény', 'eredmény', 'megoldás', 'oldat', 'eredményt', 'solution', 'válasz', 'problémamegoldás']
soul	lélek	Match	['önvaló', 'valaki', 'lelkem', 'lelked', 'halhatatlan_lélek', 'lelkek', 'soulfulness', 'soul_zene', 'személy', 'individuum', 'lélek', 'egyén', 'aiúa', 'soul', 'egyének', 'halandó']
sound	hangzás	Found close match: ['hang', 'hangot', 'hangok']	['hanghullám', 'hanghullámok', 'akusztikai_hullám', 'hangok', 'hangot', 'beszédhang', 'hangterjedés', 'telefon', 'tecnocumbia', 'egészséges', 'akusztikus_hullám', 'ép', 'szoros', 'hallás_érzés', 'tengerszoros', 'hang']
spoke	beszélt	Match	['beszéd_kommunikáció', 'nyelv', 'szóbeli_nyelvi', 'emberi_beszéd', 'beszélt_nyelv', 'küllő', 'beszélt', 'rundle', 'beszélt_kommunikáció', 'hangkommunikációt', 'szóbeli_kommunikáció', 'beszéd', 'kerék_felszólal', 'beszéltem', 'speech_közleményben', 'küllők', 'spoke']
star	csillagpor	Found close match: ['csillagos', 'csillagok', 'csillag']	['ügyes', 'márna', 'nagyágyú', 'estelle', 'csillaggráf', 'mavin', 'aszteriszk', 'csillag_hálózat', 'vezető_színész', 'ilean_almaguer', 'ász', 'popsztár', 'sztár', 'híresség', 'csillaghajó', 'mozicsillag', 'filmsztár', 'csillagjel', 'targz', 'zúgás', 'kategória', 'maven', 'wiz', 'szupersztár', 'főszereplője', 'celeb', 'csillag_topológia', 'vezető_színésznő', 'csillagsokszög', 'főszerepben', 'mozisztár', 'star', 'filmcsillag', 'hírességek', 'szteroidogén_akut_szabályozó_fehérje', 'filmsztárok', 'xerox_star', 'csillag_gráf', 'média_személyiség', 'csillagok', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'csillag_sokszög', 'a_csillag', 'nagy_szenzáció', 'televíziós_személyiség', 'csillag', 'csillagos', 'híres_ember', 'tar']
student	diák	Match	['diákok', 'könyvkereskedelem_magyarországon', 'könyvkereskedelem', 'tudós_ember', 'hallgató', 'könyvkereskedő', 'diák', 'könyvesbolt', 'tudós', 'tanuló', 'könyvesboltok', 'educatee', 'tudósok', 'tanítvány', 'mártírok', 'könyvkereskedők', 'william_sealy_gosset', 'christ_church']
stupid	nevetséges	Incorrect	['pillock', 'tökfej', 'szegény_halak', 'tökfilkó', 'ostoba', 'puddenhead', 'butaság', 'buta', 'buta_ember', 'hülye', 'ravensymone', 'hülyeség', 'puding_fej', 'melegvizes_borogatás', 'idióta']
successful	sikeres	Match	['sikeres', 'successful', 'sikeresen']
sugar	gyümölcslé	Incorrect	['kockacukor', 'sugar', 'glassheart', 'cukorral', 'simoleons', 'dinero', 'szacharid', 'gelt', 'cukrok', 'diszacharidok', 'cukor_a_borban', 'batman_forever', 'szénhidrátok', 'nyers_cukor', 'mindörökké_batman', 'cukor', 'gazdagság', 'cukroz', 'mullah', 'finomított_cukor', 'vércukorszint', 'vagyon', 'dohány', 'fehér_cukor', 'juharcukor', 'kagyló', 'szénhidrát', 'cukrot']
suspect	gyanús	Match	['gyanúsított', 'gyanakszik', 'vádlott', 'büntetőjogi_alperes', 'smallville', 'gyanakvás', 'gyanakodik', 'gyanúsít', 'robert_crais', 'gyanúsítottak', 'alperes', 'gyanús', 'bizalmatlanság', 'elkövető', 'alperesek']
table	táblázat	Match	['tető', 'mesas', 'iframe', 'címke', 'asztali', 'tábla', 'táblázatos', 'htmlelem', 'rezonáns', 'hangszertető', 'táblázat', 'fennsík', 'keresés', 'asztal', 'lookup_table', 'adatbázis_tábla', 'soundboard', 'keresési_tábla', 'href', 'mesa', 'html_elem', 'táblázatos_array', 'lookup', 'adatlap', 'hangkártya', 'htmlcímke', 'kapcsolat', 'késleltetett', 'elhalasztja']
taste	íz	Match	['ízlelés', 'ízlelési', 'megízlel', 'mesterséges_aroma', 'ízfokozó', 'előszeretet', 'íze', 'íz_érzés', 'ízesít', 'íz', 'preferenciarendszer', 'taste', 'ízlik', 'íz_érzékelés', 'borkóstoló', 'ízlelési_modalitás', 'szájíz', 'megkóstol', 'ízlel', 'vak_kóstoló', 'nowhere', 'természetes_aromák', 'zamat', 'preferencia', 'kóstol', 'preferenciarendezés', 'alapvető_íz', 'preferenciák', 'ízfokozóként', 'ízérzékelés', 'ízelítő']
team	csapat	Match	['banda', 'poprock_zenekar', 'zenei_együttese', 'zenei_együttes', 'zenekar', 'együttes', 'sport_csapat', 'hangszeres_együttesre', 'team', 'csapatsport', 'csapat', 'rockzenekar', 'szólóban', 'rock_zenekarok', 'team_sport', 'csoport', 'rock_banda', 'pop_zenekar', 'rock', 'csapatsportok', 'munkacella']
texture	textúra	Match	['zenei_textúra', 'textúra_térkép', 'szájízt', 'szájíz', 'textúra', 'textúrázás', 'texturemapping', 'makroszerkezet', 'texture_mapping']
time	idő	Match	['timeless', 'zenei_idő_aláírás', 'in_my_own_words', 'óra', 'scatmans_world', 'alkalom', 'rendszer_órát', 'time_magazine', 'kozmológiai_időszakok', 'összetett_időben', 'nyelvtani_feszült', 'izzó', 'időutazók', 'feszült', 'a_világegyetem_története', 'polymeter', 'korai_univerzumban', 'ideje', 'az_univerzum_idővonala', 'börtönbüntetésre_ítélték', 'y_not', '24_idő', 'időpont', 'idő_t', '44_idő', 'xkcd_1190', 'órajelciklust', 'the_time', 'órát', 'negyedik_dimenzióban', 'órajel', 'keringő_időben', 'time_magazin', 'anastacia', 'hypnotica', 'time_norvégia', 'időintervallumban', 'duple', 'csillagidő', 'smartstop', 'ütemjelzés', 'rendszer_idő', 'órajel_ciklust', 'kábel_kibocsátás', 'pacific_ocean_blue', 'igeidők', '44', 'kozmológiai_idő', 'igeidő', 'time', '128', '68_idő', 'idő', 'mérő']
tool	eszköz	Match	['eszközök', 'szerszám', 'szerszámok', 'munkaeszköz', 'farok', 'programozási_eszköz', 'kocsikázik', 'szer', 'pöcs', 'szoftver_eszköz', 'szoftver_fejlesztési_eszköz', 'tool', 'szoftverfejlesztő_eszközök', 'szoftver_eszközök', 'fasz', 'fejlesztési_eszköz', 'eszköz']
toy	rajzfilmfigura	Incorrect	['a_játékszer', 'játék', 'játékszer', 'toy', 'játékok', 'chatoyancy', 'szexuális_játékok', 'yello', 'toyline', 'játék_kutya', 'színjátszó_anyag']
