ability	способноста	Found close match: ['способността', 'способност', 'способности']	['кадърност_ло́вкост', 'способността', 'умение', 'способности', 'вещина́', 'способност', 'правоспособност', 'пригодност']
ignorance	невежество	Match	['авидя', 'невежество_—_незнание_—_некомпетентност', 'незна́ние', 'незнание', 'невежество', 'неве́жество', 'невежеството', 'неве́дение', 'ignorance']
illness	заболяване	Match	['бо́лест', 'медицинско_състояние', 'боледуване', 'болест', 'заболеваемостта', 'заболяване', 'болести', 'заболявания', 'неразположение', 'медицински_състояния', 'медицинско_заболяване', 'заболя́ване']
impress	впечатли	Match	['усърдие', 'пресбанда', 'впечатлявам', 'отпечатам', 'впечатля', 'впечатление', 'изземване', 'печатам', 'отпечатвам', 'впечатли', 'пресата_банди']
invention	изобретяване	Found close match: ['изобретяването', 'изобретен', 'изобретатели']	['измисляне', 'изобретението', 'инвенция', 'изобретение', 'иновация', 'изобретен', 'изобретателство', 'иновативност', 'изобретатели', 'изобретения', 'изобретяването', 'новаторство', 'технологичните_иновации', 'иновации', 'нововъведение', 'иновативни', 'измислят']
investigation	разследване	Match	['изследователи', 'научни_изследвания', 'изследователски_методи', 'проучване', 'изследвания', 'разследване', 'научно_изследване', 'изследване', 'оригинални_научни_изследвания', 'разследването', 'изследователска_дейност', 'разследван']
invisible	невидимите	Found close match: ['невидими', 'невидим', 'невидимост']	['невидим', 'holy_diver', 'невидимо', 'invisible', 'elevate', 'невидимост', 'taylor_swift', 'етажна', 'инкогнито', 'sound_of_white_noise', 'dream_evil', 'невидими', 'невидима', 'evilized']
job	работа	Match	['ден_работа', 'заетостта', 'трудов_договор', 'работа', 'заетост', 'предстояща_задача', 'скучна_работа', 'служители', 'линия_на_работа', 'неприя́тна_рабо́та', 'спекулирам', 'служба', 'рабо́та', 'де́ло', 'занятие', 'пробле́м', 'занимание', 'бизнес', 'контрол_на_работата', 'окупация', 'поминък', 'предварително_борец', 'вакантно_място', 'задача', 'ра́бота', 'ра́ботно_мя́сто', 'job', 'наети', 'проблем', 'книгата_на_йов', 'работодателите', 'персонал', 'йов', 'професия', 'занаят', 'зада́ча', 'професията']
jungle	джунглата	Match	['скитник_лагер', 'shine_a_little_love', 'out_of_the_blue', 'jungle', 'джунглите', 'олдскул_джунглата', 'джънгъл', 'джунгла', 'джунглата']
kindness	добротата	Found close match: ['доброта', 'добрина']	['добрина', 'снизхождение', 'доброта', 'любезност']
king	крал	Match	['дървен_материал_барон', 'кралство', 'монарси', 'найдобрият_в_света', 'магнат', 'кралят', 'reverend_horton_heat', 'индустриалист', 'индустриалци', 'rex', 'монархическата', 'поп', 'суверенна', 'кинг', 'billie_jean_king', 'bb_king', 'кралица', 'райли_b_кинг', 'бизнес_магнат', 'били_джийн_кинг', 'мъж_монарх', 'george_king', 'монархия', 'монархическа_държава', 'царуващ', 'голям_бизнесмен', 'бизнесмагнат', 'суверенен', 'индустриалец', 'краля', 'монархист', 'ббкинг', 'charles_bird_king', 'монарх', 'kingcom', 'б_б_кинг', 'монархията', 'коронованият_шеф', 'висши_мениджъри', 'king_ov_hell', 'бизнес_лидер', 'king', 'монархически', 'бб_кинг', 'billie_jean_мофит_кинг', 'монархии', 'цар', 'мартин_лутър_кинг', 'крал', 'магнати', 'владетел', 'мона́рхия', 'би_би_кинг']
lady	лейди	Match	['лейди', 'дева_мария', 'дами', 'света_богородица', 'света_богородица_пречиста', 'богородица', 'lady', 'мария', 'заглавие_на_уважение', 'стил', 'титул', 'заглавие', 'аристократка', 'светата_майка', 'госпожа', 'лейди_и_скитника', 'благородница', 'дама', 'титла', 'мадам', 'дамата', 'the_lady', 'въведение_богородично', 'дам', 'формата_на_адрес', 'св_богородица']
land	земя	Match	['страни', 'царство', 'земята', 'приземя_се', 'недвижими_фондове', 'федерални_провинции_на_германия', 'страна', 'солидна_основа', 'имение', 'национален', 'суша', 'областта', 'чифлик', 'декларативна_теория_на_държавността', 'земеделските_парцели', 'правителствени', 'недвижим_имот', 'land', 'едуин_хърбърт_land', 'народи', 'суверена_държава', 'суверенна_държава', 'индустрията_на_имоти', 'държавата', 'държавен', 'къща_имоти', 'поземлен_собственик', 'недвижимост', 'недвижим', 'сушата', 'феодална_домейн', 'държавна', '16те_провинции', 'din_land', 'страната', 'родово_имение', 'политическото_тяло', 'земна_маса', 'терито́рия', 'държави', 'приземявам_се', 'земя́', 'обществените_отношения', 'поземлен_имот', 'акра', 'нация', 'суверенни_държави', 'недвижимо_имущество', 'земи', 'почва', 'вещно_право', 'имот', 'земя', 'държа́ва', 'държава', 'кацам', 'страна́', 'имоти', 'политическо_общество', 'национално', 'мексиканския_щат', 'недвижими_имоти', 'недвижима_собственост']
laugh	шегуваш	Found close match: ['шега']	['майтап', 'вицове', 'шеговит', 'виц', 'шега', 'смея_се', 'смях', 'номер', 'шеги', 'усмивка']
law	закони	Found close match: ['закон', 'закона', 'физични_закони']	['m72_law', 'правистка', 'юриспруденция', 'жандармерия', 'школа_на_естественото_право', 'естественото_право', 'законодателство', 'правни_услуги', 'юридически_философ', 'природните_закони', 'законите_на_физиката', 'източната_криза', 'писан_закон', 'правната_философия', 'закон', 'закона', 'практиката_на_закона', 'правната_теория', 'каноническо_право', 'законотворчество', 'правна_философ', 'полиция', 'правен', 'полицията', 'право', 'сили_за_сигурност', 'съдебна_битка', 'полицейски_сили', 'полицейски_управления', 'естественоправна_школа', 'физични_закони', 'правна_теория', 'рпу', 'физически_закон', 'адвокат_канон', 'полицейска_закрила', 'въоръжен_полицията', 'физичен_закон', 'канонично_право', 'юридически', 'природни_закони', 'закон_на_природата', 'правни_изследвания', 'органи_на_реда', 'силите_за_сигурност', 'френска_правна_школа', 'earthling', 'църковния_закон', 'правист']
left	ляв	Match	['левите', 'наляво', 'левичар', 'леви', 'esquerra_republicana_de_catalunya', 'лявата_политика_крило', 'политическо_пространство', 'ляво_крило', 'левица', 'лявото_крило', 'колективистична', 'левичарство', 'venstre', 'ляво', 'вляво', 'датска_либерална_партия', 'лявата_ръка', 'ляв']
level	ниво	Match	['равен', 'ниво́', 'качество', 'либела', 'посочвам', 'изравня', 'adema', 'ета́ж', 'точка', 'етап', 'изравнявам', 'еволюционен_клас', 'нивелир', 'ра́вен', 'нивото', 'еволюционна_степен', 'клас', 'етаж', 'кат', 'равнище', 'етаж_номериране', 'мащаб_градуса', 'терзия', 'пло́сък', 'точки_опит', 'история', 'хоризонтална_повърхност', 'ниво_на_опит', 'етажа', 'level', 'опит_точка', 'levél', 'ниво', 'ранг', 'степен']
liar	обвиняваш	Incorrect	['so_far_so_good_so_what', 'louder_now', 'арфи', 'glory', 'white_rabbit', 'казуист', 'лира', 'liar', 'liră', 'republic', 'лъжец']
light	светлина	Match	['детонатора', 'възпламенявам', 'христос_в', 'лампа', 'озарявам', 'сияйност', 'електрическа_лампа', 'окно', 'видимо_излъчване', 'прозорци', 'светъл', 'запаля', 'light_рамките_на', 'прозорец', 'светло', 'източник_на_светлина', 'светлинна_вълна', 'светлината', 'озаря', 'запалки', 'вътрешна_светлина', 'блясък', 'отражение_на_светлината', 'нивото_на_яркостта', 'пиротехнически_инициатор', 'осветявам', 'светлина', 'запалвам', 'прозореца', 'luminousness', 'яркост', 'светлинните_вълни', 'cветлина', 'light_yagami', 'осветя', 'лек', 'запалка', 'видимата_светлина', 'осветление', 'паля', 'възпламеня', 'вътрешната_светлина']
magic	магически	Found close match: ['магически_трик', 'магии']	['alagaësia', 'magic', 'магии', 'зоомаг', 'сценична_магия', 'kiri_te_kanawa', 'axel_rudi_pell', 'make_a_scene', 'огледало', 'транс', 'вълшебство', 'джъстин_тимбърлейк', 'трик', 'светът_на_диска', 'двустранно_огледало', 'повелителите_на_руни', 'илюзионист', 'чудотворец', 'кири_те_канава', 'екстаз', 'te_kanawa', 'driving_rain', 'secret_time', 'фокусници', 'фокусник', 'dame_kiri_te_kanawa', 'магьосник', 'occlumency', 'wonderworking', 'меджик_дъ_гедъринг', 'артефакт', 'parseltongue', 'трансфигурация', 'octiron', 'the_runelords', 'преображение', 'planeswalker', 'софистика', 'даме_кири_janette_te_kanawa', 'магически_трик', 'thaumaturgic', 'thaumaturgus', 'take_me_home', 'магия', 'илюзионно_изкуство', 'защита_срещу_черните_изкуства', 'justin_timberlake', 'октаринов', 'извиквайки_трик', 'pluto', 'magic_the_gathering', 'повелителите_на_руните', 'маг', 'аксел_руди_пел', 'фокус', 'етап_магьосник']
marriage	брака	Match	['сватбената_церемония', 'сватба', 'сватби', 'жени́тба', 'католически_брак', 'брака', 'съпрузи', 'двойка', 'hymeneals', 'гражданското_сватба', 'сва́тба', 'сродници_отношения', 'женитба', 'нищожност', 'брачни', 'сватбен', 'сватбена_церемония', 'ангажимент_церемония', 'бракът', 'омъжена_двойка', 'венчавка', 'съю́з', 'мъж_и_жена', 'брачен_съюз', 'брак', 'nihility', 'женени_двойки', 'ожени', 'бракосъчета́ние', 'бракове']
material	материала	Found close match: ['материал', 'материали', 'материално']	['материалистичен', 'неща', 'материализъм', 'текстил', 'тъкан', 'суровина', 'материя', 'текстилен', 'материално', 'материали', 'материалистите', 'суровини', 'кърпа', 'вещество', 'материалисти', 'физикализма', 'тъка́н', 'материал', 'тъкани', 'текстилна_промишленост', 'физическо_онтология', 'плат']
mathematical	математически	Match	['математика', 'чиста_математика', 'математическа', 'математически', 'математиката']
mechanism	механизма	Found close match: ['механизъм', 'механизми', 'механи́зъм']	['механи́зъм', 'движение', 'химически_механизъм', 'машина', 'капиталово_оборудване', 'механизми', 'устройство', 'машинария', 'механизъм', 'оборудване', 'машини']
medication	медикаменти	Not found	[]
money	парите	Match	['money', 'парите', 'пари́', 'сребро', 'парични_средства', 'the_sound_of_girls_aloud_the_greatest_hits', 'валута', 'състояние', 'богатство', 'пари']
mountain	планината	Match	['планините', 'планини', 'планината', 'порядъчна_сума', 'passel', 'muckle', 'планински', 'доста_малко', 'маса', 'планина̀', 'mickle', 'уби', 'добра_сделка', 'много', 'балкан', 'тълпа', 'куп', '482', 'sahtu', 'планина', 'mountain']
movement	движение	Match	['движение_на_червата', 'movement', 'изхождане', 'ако', 'акция', 'кампания', 'очевидно_движение', 'гомно', 'курешка', 'социални_движения', 'локомоция', 'пречиствам', 'подвижността', 'птичи_тор', 'изпражне́ния', 'дръдонка', 'фекалии', 'дефекация', 'she_wolf', 'изпражне́ние', 'фекална_материя', 'изпражнения', 'художествени_движения', 'философско_движение', 'екскреме́нти', 'изпражнение', 'дарадонка', 'лайна', 'обществено_движение', 'арт_движение', 'серат', 'говно', 'акане', 'фронт', 'фъшкия', 'движение', 'фекални', 'екскрементирал', 'кауза', 'сране', 'лайно́', 'тълпа', 'тълпата', 'говно́', 'двигателна_активност', 'художественото_движение', 'the_pillows', 'навалица', 'социално_движение', 'фека́лии', 'изхвърляне_на_изпражнения', 'придвижване', 'група_за_действие', 'екскремент', 'видимото_движение', 'тор', 'лайно', 'движения_на_червата']
movie	филм	Match	['филмова_шоу', 'киноспектакъл', 'пълнометражно_видео', 'кинофилм', 'кинолента', 'филм', 'големия_екран', 'движеща_се_картина', 'едноименния_филм', 'движещи_се_изображения', 'телевизионен_филм', 'филмова', 'театрална_филм', 'kites', 'кино_филм', 'движещ_се_киноспектакъл', 'движещите_се_изображения', 'филми']
music	музика	Match	['му́зика', 'the_music', 'благозвучие', 'музиката', 'страната_рок', 'music', 'музика', 'праисторически_музика', 'country_rock']
nation	нация	Match	['страни', 'федерални_провинции_на_германия', 'страна', 'национален', 'discworld', 'декларативна_теория_на_държавността', 'правителствени', 'носете_амелия_мур_nation', 'светът_на_диска', 'народи', 'суверена_държава', 'суверенна_държава', 'кендрик_ламар', 'държавата', 'държавен', '16те_провинции', 'държавна', 'carry_nation', 'страната', 'политическото_тяло', 'държави', 'аполо_крус', 'земя́', 'обществените_отношения', 'kendrick_lamar', 'нация', 'суверенни_държави', 'nation', 'държа́ва', 'държава', 'уа_нейшън', 'политическо_общество', 'национално', 'мексиканския_щат', 'страна́']
news	новини	Match	['нови́ни', 'но́вости', 'новини_програма', 'новините', 'новинарска', 'новости', 'известия', 'съобщение', 'телевизионни_новини', 'дума', 'репортаж', 'новина', 'текущите_събития', 'news', 'ве́сти', 'новини', 'изве́стия', 'новини_шоу', 'вести', 'вест']
noise	трептене	Incorrect	['дисонанс', 'звуковите_вълни', 'шума_в_изображението', 'звукова_вълна', 'шумотевица', 'електронен_шум', 'акустични_вълни', 'разпространение_на_звука', 'звук', 'космическото_фоново_лъчение', 'elementary_os', 'микровълново_фоново_лъчение', 'радио_смущения', 'космическо_микровълново_фоново', 'промишлен_шум', 'атмосферно_статично', 'cmb', 'stochasticity', 'звукови_вълни', 'електрически_шум', 'звуковото_замърсяване', 'космическото_микровълново_фоново_лъчение', 'шумовото_замърсяване', 'звуци', 'реликтово_излъчване', 'noise', 'разхвърляност', 'радиосмущения', 'шум', 'шум_музика', 'смущения', 'шумово_замърсяване', 'haphazardness', 'дандания', 'cbr', 'космическия_микровълнов_фон', 'cmbr', 'случаен_шум']
obligation	задължените	Found close match: ['задължение', 'задължения']	['задължения', 'обещанието', 'задължение', 'облигационно_право', 'сертификат_за_задлъжнялост', 'дума', 'облигации', 'отговорност', 'разпи́ска_за_дълг', 'обещание', 'облигационен', 'дълг', 'дългов_инструмент']
pain	болка	Match	['досадник', 'мъка', 'болка_и_ноцицепция', 'болезнено_усещане', 'болката', 'боли', 'pain', 'страдание', 'доса́да', 'king_of_da_ghetto', 'болки', 'forever', 'трън_в_задника', 'остра_болка', 'раздразне́ние', 'огорчение', 'болка', 'болка_сензация', 'games_pain']
personality	личност	Match	['personality', 'личността', 'характер', 'индивидуалност', 'личност']
philosophy	философия	Match	['философски', 'философски_език', 'философията', 'политическа_доктрина', 'философия', 'училище', 'мислител', 'история_на_философията', 'изъм', 'доктрини', 'доктрина', 'философска_традиция', 'учение', 'философска_система', 'философска', 'доктринална', 'училище_на_мисълта']
picture	снимката	Match	['ментална_картина', 'киноспектакъл', 'фотос', 'обрисуване', 'картинен_материал', 'големия_екран', 'илюстрация', 'рисуване', 'cobol', 'зоомаг', 'движещи_се_изображения', 'въображение', 'театрална_филм', 'живопис', 'кинолента', 'кино_филм', 'художници', 'изобразявам', 'картина', 'аватар', 'илюстрации', 'образ', 'образно_описание', 'телевизионен_филм', 'филмова', 'художник', 'кобол', 'рисунки', 'сцена', 'occlumency', 'движеща_се_картина', 'умствени_образи', 'едноименния_филм', 'parseltongue', 'трансфигурация', 'преображение', 'снимки', 'класическата_живопис', 'картина_на_акаунт', 'движещите_се_изображения', 'снимка', 'фотография', 'картини', 'kiss', 'филми', 'филмова_шоу', 'филм', 'кинофилм', 'снимката', 'карти́на', 'диза́йн', 'снѝмка', 'илюстрирана', 'картинка', 'фотогра̀фия', 'защита_срещу_черните_изкуства', 'рисунка', 'илюстратор', 'изображение', 'фантазия', 'фотографско_изображение', 'мисловен_образ', 'илюстровани_книги', 'движещ_се_киноспектакъл', 'дума_боядисване']
pig	крава	Incorrect	['глигани', 'домашна_свиня', 'дундьо', 'прасе́нце', 'pigging', 'scrofa', 'прасе', 'немарлив_човек', 'опрасвам_се', 'мърляч', 'свинско', 'свинско_месо', 'диво_прасе', 'скъперник', 'conjoiner', 'прасе_свиня', 'дива_свиня', 'повлекана', 'сея', 'ченге', 'ям_лакомо', 'домашни_свине', 'porc', 'shote', 'габарит_инспекция_на_тръбопроводи', 'conjoiners', 'прасенце', 'диви_прасета', 'свине', 'прасе_легло', 'същински_свине', 'sus_scrofa', 'sus_domestica', 'сви́нско', 'глиган', 'sus_scrofa_domestica', 'прасе́', 'полицай', 'свиня', 'поглъщам']
plan	плановете	Found close match: ['планове', 'планiчертеж', 'план']	['планират', 'планове', 'планира', 'замисля', 'архитектурният_план', 'планирам', 'план_—_подготовка', 'дизайн', 'замисъл', 'кроеж', 'рисунки', 'планувам', 'plan', 'плана', 'архитектурно_планиране', 'план', 'планiчертеж', 'проектирам', 'архитектурен_план', 'замислям', 'програма']
plant	растения	Match	['фа́брика', 'растителна', 'флора', 'plantae', 'производствени_предприятия', 'поточните_линии', 'установи', 'trigun', 'промишлено_предприятие', 'поточна_линия', 'декор', 'основавам', 'съоръжение', 'садя', 'конвейер', 'растителни_видове', 'заво́д', 'factorij', 'засаждам', 'фактория', 'растението', 'работник_във_фабрика', 'производствената_линия', 'засадя', 'feitoria', 'plant', 'растителен_живот', 'растение', 'флората', 'фабрика', 'фабрики', 'конвейр', 'завод', 'растителност', 'растения', 'кълн', 'работи']
play	играе	Match	['play', 'пиесата', 'android_market', 'драматични_изкуства', 'свобода', 'stageplay', 'драматургично_произведение', 'игра́я', 'играе', 'комарджии', 'забавлявам_се', 'период_на_игра', 'рипам', 'google_play_store', 'пиеса', 'играят', 'игра', 'играя', 'залагам', 'пиеси', 'играе_период', 'google_play', 'веселие', 'заложа', 'блещукане', 'басирам_се', 'фехтовка', 'театрална_пиеса', 'залагания', 'игри', 'драми', 'играй', 'драма', 'свири', 'хазарт', 'донесе', 'драматична_игра', 'play_store', 'свиря', 'състезание', 'обзалагам_се', 'работи']
pleasure	удоволствие	Match	['sondre_lerche', 'semisonic', 'наслада', 'удоволствие', 'pleasure_p']
poor	недобро	Incorrect	['бе́ден', 'доброволната_бедност', 'относителната_бедност', 'обедняване', 'нищета', 'беден', 'бедността', 'бедстващите', 'бедни', 'бедността_в_световен_мащаб', 'обет_за_бедност', 'градската_бедност', 'бедност', 'ниски_доходи', 'бедните_хора', 'мизерия', 'бедняци', 'бедните']
prison	затвор	Match	['зандан', 'затварям', 'tom_robinson', 'затвора', 'пандиз', 'поправителния_дом', 'затворнически', 'в_затвора', 'средно_ниво_на_сигурност', 'затвор', 'дребен', 'затвори', 'поправителния_съоръжение', 'дранголник', 'jailhouse', 'затворът']
professional	професионален	Match	['професионални_спортисти', 'професионализъм', 'професионални', 'професионалния_спорт', 'професионален_спортист', 'професионална', 'професионално', 'професионалист', 'професионално_изглеждащ', 'специалисти', 'професионалния_футбол', 'професионален', 'експерти', 'специалист', 'експерт', 'ма́йстор']
protection	защита	Match	['protection', 'сигурност', 'безопа́сност', 'защитно_покритие', 'охрана', 'защита', 'закрила', 'защитеност', 'покровителство', 'безопасност', 'за_защита_на_търговията']
quality	качество	Match	['управление_на_качеството', 'тембър', 'качество', 'timbral', 'характер', 'тембри', 'качеството', 'контрол_на_качеството', 'тон', 'quality']
reaction	реакция	Match	['химическа_реакция', 'реакция', 'reaction', 'химични_реакции', 'отзвук', 'химично_съединяване', 'химически', 'химична_реакция', 'отговор']
read	прочете	Found close match: ['прочетете', 'прочети', 'прочета̀']	['преминаване', 'прочети', 'че́тене', 'прочета̀', 'уча', 'чети', 'учат', 'читател', 'чѐта', 'read', 'прочетете', 'четете', 'четене', 'чета']
relationship	взаимоотношенията	Found close match: ['взаимоотношения', 'взаимоотношение', 'човешките_взаимоотношения']	['роднински_връзки', 'междуличностни_взаимоотношения', 'запознанство', 'отношения', 'връзка', 'тъст', 'релация', 'етърва', 'взаимоотношение', 'междуличностните_отношения', 'междуличностни_отношения', 'родство_и_слизане', 'човешките_взаимоотношения', 'човешкото_взаимодействие', 'шурей', 'познанство', 'познат', 'родство', 'дългосрочни_отношения', 'взаимоотношения', 'сродство', 'общуване', 'междуличностни', 'семейни_връзки']
religious	религиозни	Match	['набожен', 'духовник', 'религиозен', 'религиозна', 'благочестив', 'клирик', 'религиозни', 'религиозно']
residence	резиденция	Match	['жи́тел', 'имения', 'имение', 'жилище_на_едър_земевладелец', 'дома', 'жилище', 'местожителство', 'жител', 'жители', 'обита́тел', 'пребиваване', 'жилища', 'къща', 'резиденция', 'мястото', 'обитател', 'дом', 'жилищна_сграда', 'жи́лище', 'частна_резиденция', 'местожи́телство', 'династия']
road	пътят	Match	['causeways', 'гостуванията_си', 'the_road', 'път', 'пътека', 'пътят', 'пътя', 'шосе', 'пътища', 'пътна_лента', 'road', 'път_игра', 'друм', 'new']
sad	мързелград	Incorrect	['тъжно', 'печален', 'тъга', 'lost_dogs', 'скръбен', 'сезонно_афективно_разстройство', 'тъ̀жен', 'sadhe', 'тъжен', 'печа́лен', 'опечален', 'тъжни', 'тъжна', 'натъжен', 'сезонна_депресия']
science	наукознание	Found close match: ['науки', 'наука']	['сайънс', 'научна', 'уменията', 'науки', 'научни', 'списание_наука', 'емпиричната_наука', 'учени', 'нау́ка', 'науката', 'science', 'мейнстрийм_наука', 'научна_дисциплина', 'наука']
seafood	зеленчуци	Not found	[]
sell	продават	Match	['продава', 'търго́вия', 'търговията', 'продажба', 'предам', 'предава́м', 'покупка', 'търговия', 'прода́м', 'прода́вам', 'предавам', 'продавам', 'продам', 'изменям', 'изменя', 'морската_търговия', 'продават']
sew	обуват	Incorrect	['шиене', 'шият', 'шие', 'ръкоделие']
sexy	секси	Match	['секси', 'elephunk']
shape	елипсовидна	Incorrect	['оформям', 'фо́рма', 'мурведър', 'форма', 'физическото_тяло', 'геометрични_примитиви', 'човешко_тяло', 'модел', 'очертание', 'примитивен', 'формата', 'материално_тяло', 'тяло', 'човешката_анатомия', 'бпк', 'образуват', 'върховната_щабквартира_на_съюзните_сили_в_европа', 'телосложе́ние', 'цвета_на_кожата', 'пигментацията_на_кожата', 'човешкото_тяло', 'определи', '433', 'фигу́ра', 'shape', 'фигура', 'плът', 'музикална_форма', 'оформя', 'формирам', 'човешката_физиология', 'физиология_на_човека', 'геометричен_примитив', 'върховния_съюзен_командващ_за_европа']
ship	кораб	Match	['парахо́д', 'корабите', 'изпрати', 'ко́раб', 'кораби', 'кораб']
show	шоуто	Match	['свидетелствам', 'посоча', 'пока́звам', 'шоу', 'пока́жа', 'посочвам', 'установи', 'комарджии', 'покажи', 'изобразявам', 'show', 'представи', 'показвам', 'представление', 'показване', 'докажа', 'покажа', 'спектакъл', 'доказвам', 'покаже', 'шоуто', 'демонстрира', 'соча', 'показват', 'залагания', 'хазарт', 'докаже', 'излагане', 'селскостопанска_шоу', 'показ']
sign	подписа	Found close match: ['подписвам', 'подписано', 'подпиша']	['зодиакален_знак', 'електроположителни', 'предвестие', 'буква', 'характер', 'егидата', 'билборд', 'графичния_символ', 'планетарна_къща', 'brown_eyed_girls', 'подписвам', 'знамение', 'търговски_обозначения', 'електроотрицателност', 'семиотика', 'неотрицателно', 'семиотик', 'предзнаменование', 'семиология', 'знак_на_зодиака', 'зодия', 'езиков_знак', 'подписвам_се', 'сигнал', 'знак', 'сигнализация', 'подпиша', 'preindication', 'клинични_признаци', 'графема', 'къща', 'означения', 'знак_звезда', 'гадаене', 'положително_число', 'табела', 'графеми', 'семиотичен', 'скала_на_паулинг', 'подпиша_се', 'признак', 'графем', 'подписано', 'подпише', 'астрологичен_знак', 'сигнификация', 'electronegative', 'полярност', 'реклама', 'медицински_знак']
silly	недоумявам	Incorrect	['шарлатанство', 'silly', 'тъп', 'nonsensicality', 'сили', 'глупав', 'глу́пав', 'глупаво', 'нонсенс', 'глупости', 'глупост', 'безсмислен', 'nonsens', 'неразумен', 'абсурдност', 'безсмислица', 'non_sens', 'безразсъден', 'неразу́мен']
sin	греха	Match	['греха', 'sin', 'син', 'грехове', 'грешник', 'синхалски', 'греховете', 'синхалски_език', 'грехът', 'греховност', 'синус', 'нана', 'правя_груби_грешки', 'грешници', 'грях', 'прегрешение', 'синхала', 'shin', 'съгрешаване', 'синусова_функция', 'греша́']
skin	кожата	Match	['day_for_night', 'plugins', 'плъгини', 'almost_human', 'ко́жа', 'психиатрия', 'австралийски_абориген_родство', 'ray_of_light', 'кожата', 'скинове', 'платки', 'добави_в', 'платка', 'skin', 'верига_карта', 'психиатрична_болница', 'кожи', 'психическо_дома', 'blender', 'кожа', 'ар_кели', 'плъгин', 'обвивка', 'почти_човек', 'добавка', 'лудница', 'печатни_платки', 'cutis', 'лъч_светлина', 'кора', 'клетките_на_кожата', 'приставка', 'печатна_платка', 'свръхестествено', 'психиатрична_клиника', 'r_kelly', 'plugin']
smart	смарт	Incorrect	['умна', 'smart', 'интелигентен', 'умни', 'умен', 'интелигентност', 'наранявам', 'нахален', 'нараня', 'интелигентно', 'интелект', 'умно', 'технология_за_самонаблюдение_анализ_и_отчитане', 'наболяващи', 'умствен_капацитет', 'нагъл']
smiling	усмихва	Found close match: ['усмивка', 'усмихнат', 'усми́вка']	['усмихната', 'усмихнати', 'ухилен', 'усми́вка', 'усмихнат', 'усмивка', 'зъбене']
solution	разтворимостта	Found close match: ['разтвори', 'разтвор', 'разтворените_вещества']	['решения', 'решаване_на_уравнение', 'разтвор', 'реше́ние', 'решаване_на_проблеми', 'решение', 'разтворените_вещества', 'разтвори', 'уравнение_решаване', 'резултата', 'solution', 'отговор']
soul	душата	Match	['смъртен', 'душа', 'душевност', 'лице', 'души', 'особа', 'душата', 'човек', 'soul', 'aiúa', 'безсмъртна_душа', 'соул_музика', 'индивид', 'някой', 'личност', 'душа́', 'соул']
sound	звук	Match	['звука', 'телефон', 'звучи', 'проли́в', 'звуковите_вълни', 'слухова_сензация', 'звуци', 'здрав', 'звукова_вълна', 'tecnocumbia', 'реч_звук', 'акустични_вълни', 'звукови_вълни', 'проток', 'звук', 'разпространение_на_звука', 'прото́к', 'пролив', 'речта_звук']
spoke	говорило	Not found	[]
star	звезда	Match	['петзвезден_хотел', 'пет_звезден_хотел', 'медийна_личност', 'estelle', 'водеща_актриса', 'mavin', 'ilean_almaguer', 'участието_на', 'суперзвезда', 'матрица_ръсткъмдял', 'катран', 'светило', 'звезда', 'звезда_мрежа', 'матрица_бкг', 'адепт', 'известен_човек', 'звезден', 'топология_звезда', 'targz', 'tar', 'maven', 'магьосник', 'матрица_на_бостън_кънсълтинг_груп', 'матрица_на_бостънската_консултантска_група', 'поп_звездата', 'матрица_на_бостънска_консултантска_група', 'филмови_звезди', 'ас', 'знаменитост', 'star', 'стар', 'xerox_star', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'звезди', 'звездичка', 'hotshot', 'вещ', 'фуча', 'кефал', 'steroidogenic_остра_регулаторен_протеин', 'знаменитости', 'личност_телевизия', 'филмова_звезда', 'водещ_актьор']
student	студенти	Match	['книжарство', 'книжарница', 'студѐнт', 'учен', 'начетен_човек', 'обучаван', 'студенти', 'william_sealy_gosset', 'учещ', 'ученичка', 'учени', 'студентка', 'студент', 'книжовник', 'educatee', 'първата_година', 'книжар', 'студѐнтка', 'ученик', 'книжарници']
stupid	глупави	Found close match: ['глупав', 'глупаво', 'глупава']	['тъп', 'бедните_риба', 'глупава', 'лапа', 'pillock', 'глупав', 'глу́пав', 'глупак', 'глупаво', 'тъпо', 'глупости', 'ravensymone', 'глупав_човек', 'глупост', 'тъпак', 'pudden_главата', 'дървеняк']
successful	успешни	Match	['успешен', 'успешни', 'успешна', 'успешно', 'successful']
sugar	захар	Match	['sugar', 'захарид', 'glassheart', 'simoleons', 'въглехидрати', 'dinero', 'moolah', 'захар_във_виното', 'захар', 'бучка_захар', 'карбохидрати', 'batman_forever', 'бяла_захар', 'нива_на_кръвната_захар', 'книжни_пари', 'търговията_със_захар', 'карбохидрат', 'миди', 'за́хар', 'скопен', 'захари', 'мангизи', 'пари', 'въглехидрат', 'батман_завинаги', 'рафинирана_захар', 'богатство']
suspect	подозирам	Found close match: ['заподозряна', 'подозрение', 'заподозрян']	['подсъдимия', 'обвиняем', 'подсъдим', 'недоверие', 'заподозрения', 'заподозрени', 'заподозрян', 'robert_crais', 'ответник', 'съмнение', 'подозрение', 'смолвил', 'ответника', 'заподозряна']
