ability	zdolności	Found close match: ['zdolność', 'uzdolnienie']	['umiejętność', 'zdolność', 'uzdolnienie']
event	wydarzenie	Match	['słuchaczka', 'następstwo', 'obsługa_zdarzeń', 'historia', 'pokłosie', 'zdarzenie_losowe', 'efekt', 'obsługi_zdarzeń', 'wydarzenie', 'konsekwencją', 'kolejka_zdarzeń', 'oddziaływanie', 'zdarzenie_programu', 'wypadek', 'wynik', 'zdarzenie_czasoprzestrzenne', 'rezultat', 'słuchacz', 'rezulatat', 'konsekwencja', 'implikacja', 'przypadek', 'wydarzenia', 'zdarzenia', 'impreza', 'klawiszy', 'przypadku', 'zdarzenie', 'naciśnięcie_klawisza']
experiment	eksperyment	Match	['eksperymentów', 'eksperymentować', 'doświadczenie_losowe', 'experiment', 'badania_empiryczne', 'the_experiment', 'eksperymentu', 'doświadczenie', 'badania_interwencyjne', 'test', 'badanie_interwencyjne', 'eksperyment', 'eksperymentalnej_nauki', 'badanie_eksperymentalne', 'przeprowadzać_doświadczenie']
extremely	bardzo	Match	['bardzo', 'niezwykle', 'wyjątkowo', 'ekstremalnie', 'niezmiernie']
feeling	odczucie	Match	['wrażenia_dotykowe', 'odczucie', 'wrażenie', 'poczucie', 'intuicyjne_uczucie', 'doznanie', 'namacalne_odczucie', 'pojęcia', 'dotyk', 'uczucia', 'uczucie', 'czucie']
fight	walka	Match	['bitwa', 'walka', 'przewalanka', 'batalia', 'mordobicie', 'walcz', 'rozróba', 'konkurencyjność', 'szkolenie_bojowe', 'walczyć', 'rękoczyny', 'starcie', 'zaangażowanie', 'walka_zbrojna', 'bijatyka', 'nawalanka', 'walczący', 'bić_się', 'rozpierducha', 'zaangażowania_wojskowego', 'bójki', 'potyczek', 'rozróbka', 'łomotanina', 'bitka', 'bójka', 'konflikt', 'bój', 'walki', 'fight']
fish	ryby	Match	['ryby', 'fish', 'fluorescencyjna_hybrydyzacja_in_situ', 'derek_william_dick', 'łowić_ryby', 'rybki', 'ryby_jadalne', 'go_fish', 'zarybek', 'fish_food', 'anatomia_ryb', 'ryby_ryby', 'ryb', 'pterygiophore', 'pisces', 'fluorescencyjnej_hybrydyzacji_in_situ', 'ichtiofauny', 'ryba_konsumpcyjna', 'mięso_ryby', 'ryb_morskich', 'derek_dick', 'miękkiej_ray', 'ryby_konsumpcyjne', 'ryby_tabeli', 'narybek', 'narybku', 'ryba', 'phish', 'rybka', 'elver', 'fingerling']
flow	przepływ	Match	['hydrauliki', 'rapować', 'pójście', 'płynący', 'hydraulika', 'menstruacja', 'ciśnienia_hydraulicznego', 'rap', 'rapper', 'sieć_przepływowa', 'dynamika_płynów', 'sieci', 'raperów', 'krwawienie_miesiączkowe', 'fizyki_płynów', 'hydrodynamika', 'przepływy', 'strumyczek', 'cykl_jajnikowy', 'miesiączki', 'popłynięcie', 'mechaniki_płynów', 'mechanika_płynów', 'okres', 'grail', 'szybkość_przepływu', 'dynamiki_płynów', 'przepływ', 'young_money_entertainment', 'gravity_recovery_and_interior_laboratory', 'hydraulicznie', 'florent_mothe', 'flow', 'catamenia', 'period', 'emceeing', 'miesiączka', 'przepływu_objętościowego', 'artysta_rap', 'protorap', 'raper', 'sieci_przepływu', 'dynamicist_płyn', 'przepływu', 'mechanika_ośrodków_ciagłych', 'równanie_navierastokesa', 'hydromechanika', 'miesiączkować', 'strumień_objętości']
food	żywności	Match	['żywności', 'stały_pokarm', 'żywność', 'pokarm', 'składniki_odżywcze', 'jadło', 'produkt_spożywczy', 'substancje_odżywcze', 'food', 'składnik_odżywczy', 'strawa', 'pożywienie', 'kirby', 'intelektualnej_pokarm', 'makroskładników', 'substancja_odżywcza', 'do_myślenia', 'jedzenie', 'port_lotniczy_moanda', 'składnik_pokarmowy']
garbage	śmieci	Match	['odpady_z_gospodarstw_domowych', 'odrzuty', 'odpadów', 'śmieć', 'odpadów_komunalnych', 'odpad', 'śmieci', 'odpadów_stałych', 'odpady_metalowe', 'withering_to_death', 'odpady_komunalne', 'odpady_żywnościowe', 'odmawiać', 'odpadów_domowych', 'skrawki', 'odpady', 'odpadem', 'złom', 'złomu', 'marnować_sprawę', 'garbage', 'szrot']
gold	złoto	Match	['złote_medale', 'pozłocisty', 'sandhja', 'oprogramowanie_w_wersji_beta', 'certyfikaty_sprzedaży_w_przemyśle_muzycznym', 'wydanie', 'alpha_software', 'gold', 'bursztyn', 'złociutki', 'wersja_beta', 'wersja_alpha', 'wersja_stabilna', '(4955)_gold', 'złocisty', 'beta_tester', 'platynowej', 'wersji_beta', '4955_gold', 'barwa_bursztynowa', 'lode_złota', 'wersja_robocza', 'au', 'abba_gold_greatest_hits', 'prebeta', 'cyklu_życia_oprogramowania', 'złoto', 'wersja_rtm', 'wersja_release_candidate', 'złoty_medal', 'złota', 'wanna_one', 'złoty_rekord', 'liczba_atomowa_79', 'prealpha', 'the_island_years', 'alpha_testu', 'złotolity', 'złoty_medal_olimpijski', 'złoty_certyfikat', 'podwójnej_platyny', 'abba_gold', 'bobby_brown', 'release_candidate', 'the_heist', 'wersja_alfa', 'beta_test', 'złotolicy', 'platynową_płytę', 'wersji_oprogramowania_cyklu_życia', 'cykl_życia_programu', 'złoty', 'wersja_prebeta', 'bursztynowy', 'wersja_prealpha', 'złoty_medalista', 'barwa_złota', 'e175', 'potrójną_platyną', 'złotą_płytę', 'young_lust_the_aerosmith_anthology', 'anthology']
great	ogromne	Incorrect	['wielkość', 'majestatyczny', 'wielkości', 'fajno', 'i_wielkości', 'świetnie', 'fajnie', 'potężny', 'illustriousness', 'wybitność', 'wspaniale', 'świetne', 'super', 'wielki']
gun	kalibru	Incorrect	['strzelba', 'zastrzelić', 'wynajęty_morderca', 'pedału_gazu', 'rewolwerowiec', 'broń_strzelecka', 'zatrudniony_gun', 'hitman', 'małyarm', 'giwera', 'kowboje', 'broń_palna', 'gunfighting', 'broń_pirobalistyczna', 'conventional_weapons', 'gun', 'broni_palnej', 'pistolet_do_wynajęcia', 'smarownica', 'pedał_gazu', 'pistolet', 'działa', 'gaz', 'broń', 'heavy_weapon', 'akcelerator', 'broń_artyleryjska', 'louder_than_love', 'uderzył_mężczyznę', 'triggerman', 'smargun']
hair	włosy	Match	['włosów', 'hair', 'hairsszerokość', 'włochaty', 'katagen', 'ludzkich_włosów', 'sierść', 'włosy', 'włosiennica', 'włos']
help	pomóc	Match	['pomagier', 'wykorzystać', 'wsparcie', 'the_help', 'służyć', 'służba', 'ratunek', 'pomocnik', 'pomocy', 'pomocy_online', 'asystent', 'pomoże', 'pomóc', 'asystentem', 'pomoc_humanitarna', 'przyjść_z_pomocą', 'pomoc', 'pomocy_humanitarnej', 'sukurs', 'pomagać', 'służące', 'asystować', 'help']
hurting	obraża	Not found	[]
ignorance	ignorancji	Found close match: ['ignorancja', 'ignorance']	['niewiedza', 'ignorancja', 'nieświadomość', 'nieobeznanie', 'awidja', 'nieuctwo', 'nieznajomość', 'avidya', 'niewiedzy', 'ignorance']
illness	choroby	Match	['syndrom', 'schorzenie', 'schorzeniu', 'zachorowanie', 'przypadłość', 'patologia', 'choroba_umysłowa', 'niemoc', 'niedyspozycja', 'niedomaganie', 'chorobliwą', 'choroba_somatyczna', 'choroba', 'dolegliwość', 'choroby_somatyczne', 'chorób', 'unwellness', 'zachorowalność', 'choroby', 'niedomoga']
impress	zaimponować	Match	['zaimponować', 'gangi_prasowe', 'branka', 'imponować']
invention	wynalezienie	Match	['innowacji', 'nowatorstwo', 'wynalezienie', 'invent', 'wymyślanie', 'wynalazków', 'innowacja', 'wynalazku', 'wynalazców', 'inwencja', 'wynalazek', 'wynalazca', 'wynalazki']
investigation	śledztwo	Match	['naukowców', 'dochodzenie', 'badanie_naukowe', 'badania_naukowe', 'badania', 'dochodzenia', 'oryginalne_badania', 'metod_badawczych', 'śledztwo']
invisible	niewidzialne	Match	['holy_diver', 'elevate', 'invisible', 'niewidoczne', 'niepozorny', 'taylor_swift', 'sound_of_white_noise', 'niewidzialny', 'dream_evil', 'niewidzialna', 'niewidzialne', 'podłogi', 'niewidoczny', 'evilized']
job	pracę	Match	['problema', 'wstępny_zapaśnik', 'księga_ijoba', 'hiobowa_wieść', 'kłopot', 'księga_joba', 'praca', 'księga_hioba', 'umowy_o_pracę', 'sytuacja_trudna', 'zlecenie', 'pracodawców', 'do_zrobienia', 'pracowników', 'ijob', 'kontroli_pracy', 'zatrudnienia', 'zadanie_do_wykonania', 'zatrudniać', 'pracy', 'zatrudnienie', 'zajęcie', 'pracę', 'linii_pracy', 'zawód', 'personelu', 'zawodzie', 'zatrudnieni', 'działalność_komercyjna_i_zarobkowa', 'job', 'hiob', 'robota', 'wakat', 'problem', 'zadanie']
jungle	dżungli	Match	['natasha_sultana', 'tash_sultana', 'dżungla', 'dżungli', 'shine_a_little_love', 'obóz_hobo', 'oldschool_jungle', 'out_of_the_blue', 'dyskografia_pitbulla', 'jungle']
kindness	życzliwość	Match	['uprzejmość', 'dobroci', 'gołębie_serce', 'dobroć', 'forgivingness', 'dobrotliwość', 'dobro', 'życzliwość']
king	króla	Match	['monarchii', 'lider_biznesu', 'riley_b_king', 'reverend_horton_heat', 'suwerenny', 'wielki_biznesmen', 'władca', 'koronowany_głowę', 'potentat', 'dama', 'rex', 'damka', 'magnat', 'królewskości', 'magnat_biznesu', 'billie_jean_king', 'bb_king', 'lumber_baron', 'króla', 'kinga', 'światowej_trzepak', 'martin_luther_king', 'george_king', 'monarchia', 'billiejean_moffitt', 'monarchów', 'top_executive', 'magnatów', 'lider', 'magnaci', 'przemysłowiec', 'król', 'b_b_king', 'leader', 'billie_jean_moffitt_król', 'fabrykant', 'charles_bird_king', 'kingcom', 'billie_jean_moffitt', 'monarchistyczny', 'monarchizm', 'king_family', 'regnant', 'przemysłowców', 'king_ov_hell', 'king', 'monarcha', 'riley_king', 'detektyw_king', 'b_b_król', 'mężczyzna_monarcha', 'bonzo', 'przodownik', 'bonza', 'monarchy', 'magnateria', 'magnata']
lady	pani	Match	['stylu', 'virgin', 'forma_zwracania', 'madam', 'zakochany_kundel', 'najświętsza_panienka', 'tytuły_i_zwroty_honorowe', 'dama', 'maria_matka_jezusa', 'lady', 'maria', 'szlachcianka', 'tytuły', 'autokrator', 'matka_boża', 'jejmość', 'maryja_z_nazaretu', 'matka_boska', 'panie', 'błogosławiona_dziewica', 'styl', 'maria_z_nazaretu', 'zwrot_honorowy', 'święta_maria', 'zwrot_grzecznościowy', 'tytuł', 'pani', 'pani_wielkiego_rodu', 'mary', 'madonna', 'maryja', 'żona_para', 'the_lady', 'dame', 'maryja_panna', 'tytuł_szacunku']
land	grunty	Match	['feudalne_domeny', 'gospodarzenie_się', 'edwin_herbert_teren', 'meksykańskim_stanie', 'realty', 'rynku_nieruchomości', 'rzecz_nieruchoma', 'nacja', 'lądować', 'społeczeństwa_politycznego', 'ląd', 'nieruchomy', 'gleba', 'kraina', 'posiadłość', 'nawa_państwowa', 'państwa', 'narodu', 'deklaratywnej_teorii_państwowości', 'państwo', 'wylądował_właściciel', 'stały_grunt', 'firma_terra', 'strony', 'land', 'sferze', 'kraj', 'kraje_związkowe_niemiec', 'suchy_ląd', 'dominium', 'branży_nieruchomości', 'stan', 'nieruchomość_gruntowa', 'akrów', 'naród', 'podział_administracyjny_meksyku', 'ziemi', 'wylądował_właściciela', 'grunty', 'zaścianek', 'majątek_nieruchomy', 'rodzaje_państw_kapitalistycznych', 'kraj_związkowy', 'terytorium', 'gospodarzenie', 'ha', 'ciało_polityczne', 'nieruchomość', 'prawa_nieruchomości', 'działce', 'państwo_niepodległe', 'landy_w_niemczech', 'ziemia', 'gospodarowanie', 'grunt', 'res_publica', 'suwerennych_państw', 'majątek_ziemski', 'rządowych', 'okolica', 'narodów', 'własności_ziemskiej', 'posiadłości', 'teren', 'lądowy', 'domena', 'nieruchomości', 'prowincja', 'krajobraz', 'ziemia_jako_czynnik_produkcji', 'din_teren', 'kraju']
laugh	śmiech	Match	['śmiać_się', 'śmiechu', 'śmiech', 'żartem', 'żartobliwy', 'dowcipy', 'żartować', 'dowcip', 'kawał', 'żart']
law	prawa	Match	['m72_law', 'nauki_penalne', 'prawa_fizyczne', 'prawo_natury', 'prawo_fizyki', 'siły_bezpieczeństwa', 'ochroną_policji', 'usług_prawnych', 'prawo_kościelne', 'prawnej_batalii', 'prawa_fizyki', 'policja', 'stanowienia_prawa', 'ustawa', 'prawo_pisane', 'prawo_teoretyczne', 'prawa_kanonicznego', 'prawo', 'prawoznawstwo', 'zasada_stworzona_przez_człowieka', 'ustawodawstwo', 'prawnik_kanonicznego', 'prawa_naturalnego', 'doktryna_prawa', 'prawodawstwo', 'kanon', 'studiów_prawniczych', 'prawo_empiryczne', 'porządek_prawny', 'nauka_prawa', 'jurysprudencja', 'praktyka_prawa', 'profesor_prawa', 'prawnictwo', 'dundee_law', 'prawa_kościelnego', 'współstanowienie', 'policjant', 'teorii_prawa', 'prawo_kanoniczne', 'filozofii_prawa', 'praktykę_prawa', 'prawo_fizyczne', 'port_lotniczy_lawtonfort_sill', 'police_department', 'legislacja', 'zbrojnego_policji', 'prawnik', 'policji', 'stanowienie', 'prawo_naturalne', 'postępowanie_legislacyjne', 'proces_ustawodawczy', 'proces_legislacyjny', 'prawa', 'nauki_prawne', 'student_prawa', 'prawa_stanowionego', 'earthling', 'granatnik_m72_law', 'sił_policyjnych']
left	pozostał	Incorrect	['lewa_opozycja', 'lewicy', 'kolektywizmu', 'lewy', 'lewoskręt', 'norweska_partia_liberalna', 'liberalna_partia_danii', 'lewo', 'lewicowości', 'lewa_ręka', 'lewicowców', 'lewicowy', 'lewica', 'lewicowość', 'lewe_skrzydło', 'venstre', 'względny_kierunek', 'lewicowa_opozycja', 'republikańska_lewica_katalonii', 'nowerska_partia_liberalna', 'esquerra_republicana_de_catalunya', 'lewa', 'lewicowiec']
level	poziomie	Match	['płaski', 'sort', 'warstwa', 'stopień_zaawansowania', 'poziom_doświadczenia', 'poziomica', 'stopień', 'piętro', 'poziomnica', 'libella', 'zburzyć', 'adema', 'waserwaga', 'równy', 'punkty_doświadczenia', 'poziomej_powierzchni', 'poziom', 'mark_anthony_chavez', 'kategoria', 'poziomie', 'wyrównać', 'poziomu_pęcherzyków', 'etapie', 'poziomy', 'grad_ewolucyjny', 'klasa', 'piętrze', 'pułap', 'mark_chavez', 'kondygnacja', 'gładki', 'punkt_doświadczenia', 'kondygnacji', 'zaawansowanie', 'level', 'podłogi_numeracji', 'punktu', 'levél', 'suterena', 'stopnia', 'poziomu', 'punkt', 'poziomica_wężowa', 'piętrowy', 'poziom_gry', 'libela']
liar	idiotą	Incorrect	['so_far_so_good_so_what', 'louder_now', 'glory', 'lira', 'łgarz', 'liry', 'kłamstwa', 'liar', 'kłamca', 'in_my_darkest_hour', 'republic']
light	światło	Match	['team17_software', 'lampa', 'lampa_elektryczna', 'okno', 'światłość', 'pulchny', 'zapalniczka', 'luminacja', 'rozpalić', 'światła_widzialnego', 'odbicie_światła', 'zapalarka', 'źródła_światła', 'źródło_światła', 'team_17', 'iskra', 'inner_light', 'team_17_software', 'lubieżny', 'ogień', 'światło_widzialne', 'team17', 'nietrudny', 'luminancja', 'promieniowanie_widzialne', 'iskierka', 'zapalać', 'jasność', 'zapalić', 'światła', 'światło', 'zapalniczki', 'lampa_oświetleniowe', 'air', 'luminancji', 'poziom_jasności', 'światła_w', 'łatwostrawny', 'lekkostrawny', 'promieniowanie_optyczne', 'chrystusa_w', 'łatwy', 'oświetlenie', 'zapalnikiem', 'iluminować', 'słoneczność', 'świetle', 'odinstalować', 'luminousness', 'wewnętrzne_światło', 'lekki', 'świetlik', 'chudy', 'light', 'light_yagami', 'nietłusty', 'oświetlać', 'jasny', 'lekkie', 'lampy', 'rozwiązły', 'lekka', 'inicjatora_pirotechnicznego', 'rozpustny']
magic	czarodziejskie	Incorrect	['mbda_magic', 'alagaesii', 'taumaturgii', 'magic', 'magii', 'kiri_te_kanawa', 'obieżysfera', 'make_a_scene', 'wyczarować_sztuczkę', 'axel_rudi_pell', 'leandro_marín', 'lustro_weneckie', 'czar', 'trick', 'trans', 'animagus', 'artefakt', 'oktaryna', 'magiczna_sztuczka', 'octarine', 'cudotwórca', 'szczypta_magii', 'te_kanawa', 'trik', 'driving_rain', 'lustro_fenickie', 'secret_time', 'matra_magic', 'magiczne', 'magia_w_świecie_harryego_pottera', 'dziedzictwo', 'świat_dysku', 'dame_kiri_te_kanawa', 'sztuka_iluzji', 'czary', 'r550_magic', 'wonderworking', 'parseltongue', 'octiron', 'thaumaturgic', 'justin_the_mix', 'matra_r550_magic', 'take_me_home', 'kuglarstwo', 'sztuczka', 'oklumencji', 'justin_timberlake', 'lustro_półprzepuszczalne', 'pluto', 'magic_the_gathering', 'iluzjonistów', 'magija', 'magia', 'urok', 'dame_kiri_te_kanawa_janette']
marriage	małżeństwa	Match	['węzeł_małżeński', 'nieważności', 'małżonkowie', 'rocznice_małżeńskie', 'poślubić', 'stadło', 'zaślubin', 'gody', 'państwo', 'wesela', 'nicestwo', 'ślub', 'ożenek', 'hymeneals', 'sojusz', 'związek_małżeński', 'wesele', 'związek', 'ślub_cywilny', 'siunjata', 'małżeństwo', 'małżeńskie_stadło', 'nicość', 'zamążpójście', 'mąż_i_żona', 'żeniaczka', 'ceremonia_ślubna', 'nihility', 'małżeństwa', 'panna_młoda', 'małżeństwo_w_katolicyzmie', 'unia', 'oblubieńczej_relacji', 'mariaż', 'ceremonii_ślubnej']
material	materiale	Found close match: ['materialny', 'materiał', 'materializm']	['substancjalny', 'tekstyle', 'substancjonalny', 'surowiec', 'tworzywo', 'tekstylia', 'fizykalizm', 'materiału', 'tkanin', 'włókienniczy', 'materialny', 'materiały', 'materializm', 'tkaniny', 'materialistów', 'materiał', 'fizykalizmu', 'tkanina', 'rzeczy']
mathematical	matematyczne	Match	['matematyki', 'matematyczny', 'matematyce', 'matematycznie', 'matematyka', 'math', 'matematyczne']
mechanism	mechanizm	Match	['machinery_records', 'mechanizmy_reakcji_chemicznych', 'urządzenie', 'mechanizmu', 'narzędzie', 'ruch', 'maszyna', 'maszyneria', 'mechanizm', 'mechanizm_reakcji_chemicznej', 'mechanizm_chemiczny', 'mechanizmy', 'maszyny', 'werk', 'maszyn', 'mechanizm_reakcji']
medication	leczenie	Found close match: ['leczniczy_lek']	['leków', 'medycyna', 'lekarstwo', 'apteczny', 'blockbuster_narkotyków', 'medykament', 'farmaceutyki', 'version_20', 'lekarstwa', 'farmaceutyk', 'specyfik', 'leków_farmaceutycznych', 'lek', 'leczniczy_lek', 'leki', 'remedium', 'produkt_leczniczy', 'rescue', 'farmaceutyczny']
money	pieniądze	Match	['history_past_present_and_future_book_i', 'history', 'pieniędzy', 'kasy', 'pieniądz', 'pieniądz_zdawkowy', 'społeczne_funkcje_pieniądza', 'money', 'dutki', 'the_sound_of_girls_aloud', 'pieniężne', 'pieniądze', 'me_i_am_mariah_the_elusive_chanteuse', 'zapłata', 'kasa', 'the_art_of_letting_go']
mountain	górskie	Found close match: ['górski']	['good_deal', 'armia', 'obrót', 'tabun', 'passel', 'sporo', 'bardzo_mało', 'muckle', 'partia', 'schludny_suma', 'mickle', 'legion', 'dużo', 'wiele', 'górski', '482', 'sahtu', 'zastęp', 'teren_górzysty', 'mountain', 'góry', 'góra']
movement	ruch	Match	['movement', 'wypróżnienie', 'odchodów', 'tłum', 'krucjata', 'movement_ep', 'ruch_społeczny', 'opróżnienie', 'gówno', 'she_wolf', 'sranie', 'gówno_łajno', 'ruchów_społecznych', 'ciżba', 'wypróżnianie', 'front', 'kału', 'ruchu', 'defekacja', 'pozorny_ruch', 'ruch_artystyczny', 'przemieszczanie', 'zjawisko_fi', 'przemieszczenie', 'werk', 'kierunek_w_sztuce', 'ruchów_artystycznych', 'ruch_sztuki', 'łajno', 'ruchu_społecznego', 'ruszenie', 'wypróżnienia', 'ruchy_społeczne', 'defekacji', 'fekalia', 'poruszenie', 'aktywności_ruchowej', 'zastęp', 'prąd_w_sztuce', 'odchody', 'ordure', 'the_pillows', 'kał', 'ruch_filozoficzny', 'ekskrementy', 'ruch', 'wypróżnień', 'lokomocji_zwierząt', 'stolec', 'ruchliwość']
movie	film	Match	['motionpicture_pokaż', 'ruchomy_obraz', 'ruchomym_obrazie', 'motion_picture', 'fullmotion_video', 'pokaż_zdjęcie', 'movingpokaz_zdjęć', 'film', 'latawce', 'fmv', 'dużym_ekranie', 'motionpicture', 'film_pełnometrażowy', 'full_motion_video', 'kites', 'filmów', 'filmu', 'obraz']
music	muzyki	Match	['muzyka', 'the_music', 'eufonia', 'music', 'country_rock', 'muzyka_prehistoryczna', 'muzyki']
nation	narodu	Match	['meksykańskim_stanie', 'nacja', 'społeczeństwa_politycznego', 'discworld', 'nawa_państwowa', 'narodu', 'deklaratywnej_teorii_państwowości', 'państwo', 'kraj', 'kraje_związkowe_niemiec', 'stan', 'naród', 'podział_administracyjny_meksyku', 'zaścianek', 'rodzaje_państw_kapitalistycznych', 'apollo_crews', 'kraj_związkowy', 'carry_nation', 'świat_dysku', 'carry_nation_amelia_moore', 'ciało_polityczne', 'carrie_nation', 'dorfl', 'państwo_niepodległe', 'landy_w_niemczech', 'ziemia', 'kendrick_lamar', 'res_publica', 'suwerennych_państw', 'nation', 'rządowych', 'narodów', 'teren', 'prowincja', 'państwa', 'kraju']
news	news	Match	['aktualności', 'program_informacyjny', 'wiadomość', 'bieżących_wydarzeń', 'nowości', 'pokaż_wiadomości', 'słowo', 'wieści', 'reportażu', 'wiadomości', 'news', 'wartości_informacyjnej']
noise	hałas	Match	['rozchodzenie_się_dźwięku', 'zakłóceń', 'dźwięki_słyszalne', 'fali_akustycznej', 'fale_akustyczne', 'szum', 'przeszkody_atmosferyczne', 'losowość', 'hałasu', 'szumów', 'elementary_os', 'zakłócenia_obrazu', 'cmb', 'stochasticity', 'hałasu_przemysłowego', 'niejednorodności_promieniowania_tła', 'fala_dźwiękowa', 'kosmicznego_promieniowania_tła', 'hałas', 'zakłóceń_radiowych', 'fali_dźwiękowej', 'mikrofalowego_promieniowania_tła', 'promieniowanie_tła', 'zagrożenie_hałasem', 'mikrofalowe_promieniowanie_tła', 'noise', 'kosmiczne_promieniowanie_tła', 'fale_dźwiękowe', 'promieniowanie_reliktowe', 'promieniowanie_szczątkowe', 'promieniowanie_reklitowe', 'atmospheric_statyczne', 'zanieczyszczenie_dźwięk', 'eos', 'haphazardness', 'szumy', 'fala_akustyczna', 'cbr', 'fale_sprężyste', 'szum_akustyczny', 'cmbr', 'hałasy', 'dźwięk', 'fonia']
obligation	obowiązek	Match	['obowiązku', 'zobowiązania', 'odpowiedzialność_moralna', 'odpowiedzialność', 'dług', 'zobowiązanie', 'obligacji', 'przyrzeczenie', 'prawa_zobowiązań', 'obowiązek', 'zapewnienie', 'prawo_zobowiązań', 'powinność', 'ciężar', 'instrument_dłużny', 'świadectwo_zadłużenia', 'obietnica']
pain	ból	Match	['nocycepcja', 'bóle', 'ból', 'nad_obręczą', 'pain', 'king_of_da_ghetto', 'bolesne_uczucie', 'utrapienie', 'rani', 'czucie_bólu', 'forever', 'ból_w_dupie', 'cierpienie', 'utrapieniec', 'bólu', 'bolesność', 'games_pain']
personality	osobowość	Match	['istność', 'personality', 'jestestwo', 'indywidualność', 'teorie_osobowości', 'ja', 'jaźń', 'osobowości', 'osobowość', 'istota', 'postać']
philosophy	filozofii	Match	['filozof', 'filozofia', 'system_filozoficzny', 'doktryna', 'szkoła_naukowa', 'filozofii', 'izm', 'doktryny', 'doktryna_polityczna', 'szkoły', 'szkoła_myślenia', 'system_poglądów']
picture	zdjęcie	Match	['wzornictwo', 'pokaż_zdjęcie', 'zobaczyć', 'zdjęcie', 'awatar', 'film', 'cobol', 'obrazek', 'motionpicture', 'filmów', 'zdjęcie_fotografia', 'obraz', 'egzemplifikacja', 'animagus', 'motionpicture_pokaż', 'przestawiać', 'ruchomym_obrazie', 'wideo', 'rysunek', 'ilustrator', 'malarz', 'mentalny_obraz', 'grafika', 'obrazu', 'odmalować', 'fotka', 'wyobrażeń', 'magia_w_świecie_harryego_pottera', 'motion_picture', 'malarka', 'malowidło', 'obrazem', 'zdjęcia', 'movingpokaz_zdjęć', 'obrazowanie', 'słowoobraz', 'parseltongue', 'obraz_słowo', 'malarstwa_klasycznego', 'malarzy', 'rysownik', 'obraz_fotograficzny', 'kiss', 'zdjecie', 'ruchomy_obraz', 'fotografia', 'malarstwo', 'oklumencji', 'ilustracja', 'ilustracji', 'elementy_graficzne', 'wordmalarstwo', 'książek_ilustrowanych', 'dużym_ekranie', 'awatara', 'rycina', 'film_pełnometrażowy', 'zdjęcie_fotograficzne']
pig	pies	Match	['pies', 'klasa_iii', 'nierogacizna', 'paskuda', 'sus', 'glina', 'klasa_i', 'prosić_się', 'trzoda_chlewna', 'siać', 'zhu_wuneng', 'dzik_europejski', 'świnia', 'świnina', 'plucha', 'flejtuch', 'fleja', 'klasa_ii_b', 'scrofa', 'pożreć', 'tłoków', 'prosiaka', 'gliniarz', 'świnia_domowa', 'zgniłek', 'niechlujnie_osoba', 'pożerać', 'conjoiner', 'shoat', 'maciora', 'fv1612_pig', 'pig', 'klasa_iv', 'policjant', 'shote', 'knur', 'conjoiners', 'prosiak', 'łóżko_świnia', 'zhu_bajie', 'prosię', 'humber_pig', 'dzik_euroazjatycki', 'świntuch', 'świnka', 'sus_scrofa', 'sus_scrofa_domestica', 'wieprz', 'sus_domestica', 'dzik', 'niski_grubas', 'wieprzowina', 'klasa_ii_a', 'locha', 'prosiątko', 'wskaźnik_inspekcji_rurociągu', 'fv1611_pig', 'mięso_wieprzowe', 'porc', 'dziki_wieprz', 'czarny_zwierz']
plan	plan	Match	['plan_architektoniczny', 'zarządzania_programem', 'planu', 'marynarka_wojenna_chińskiej_armii_ludowowyzwoleńczej', 'plan', 'zaplanować', 'planować', 'series_1900', 'programu', 'zhōngguó_rénmín_jiěfàngjūn_hǎijūn', 'program', 'icl_1900', 'flota_chin', 'kierownik_programu']
plant	rośliny	Match	['floras', 'rośliny', 'flor', 'plantae', 'pole_d', 'zakład', 'linii_montażowej', 'trigun', 'linii_produkcyjnej', 'roślinność', 'taśma_produkcyjna', 'fabryki', 'lista_pojęć_związanych_z_wrestlingiem', 'słup', 'toraigan', 'linia_produkcyjna', 'zabudowa_przemysłowa', 'naganiacz', 'vegetabilia', 'factorij', 'linia_montażowa', 'taśma_montażowa', 'strefa_d', 'życie_roślin', 'nitka_produkcyjna', 'fabryka', 'roślin', 'archaeplastida', 'faktoria', 'flory', 'feitoria', 'zakład_przemysłowy', 'zakładów_produkcyjnych', 'plant', 'podbijania', 'roślina_zielna', 'flora', 'ustanowić', 'gatunki_roslin', 'zakład_produkcyjny', 'roślina', 'gatunków_roślin']
play	zagrać	Found close match: ['zagraj', 'grać', 'gra']	['play', 'android_market', 'zakłady', 'dokazywanie', 'dramaturg', 'play_na_kartę', 'występować', 'hazard', 'stageplay', 'gra_hazardowa', 'zakładać_się', 'nadchodzi4', 'migotać', 'psoty', 'patologiczny_hazard', 'gry', 'dramatopisarz', 'google_play_store', 'wolną_rękę', 'play_mobile', 'gra', 'play_fresh', 'google_music', 'google_play', 'google_muzyka', 'przynieść', 'zabawa', 'odgrywać', 'gry_hazardowe', 'grając_okres', 'grać', 'jazdy', 'pl_06', 'figle', 'harce', 'okres_gry', 'play_online_na_kartę', 'dramat', 'postawić', 'luz', 'swawola', 'brykać', 'baraszkować', 'play_store', 'szermierka', 'sztuka', 'play_online', 'manewr', 'zagraj', 'sztuka_teatralna', 'graj', 'teatralnej', 'sceny_dramatyczne', 'dramatyczna_gra', 'bawić_się', 'uruchomić']
