ability	võimet	Found close match: ['võime']	['sobivus', 'sobivustesti', 'võime', 'oskus']
land	maad	Match	['deklaratiivne_teooria_omariiklust', 'kuival_maal', 'realty', 'edwin_herbert_land', 'maapealsete', 'kinnisvara', 'poliitilise_ühiskonna', 'maaomand', 'maamaja', 'saksamaa_liidumaad', 'kinnisvaraäri', 'kinnisvaraturul', 'ala', 'land', 'deklaratiivne_teooria_riikluse', 'suveräänne_riik', 'mehhiko_seisundi', 'maaõiguse', 'tugeval_alusel', 'maa', 'maanduma', 'maad', 'immobiil', 'riik', 'aakri', 'din_land', 'territoorium', 'põllumajandus', 'kõlvikute', 'rahvas', 'suveräänsed_riigid', 'feodaalne_domeeni', 'kinnis', 'riigi', 'valdkonda', 'riigid', 'aakrit', 'keha_tark', 'kolmanda', 'siseriiklikult_kui', 'maa_mass', 'maaomanik', 'res_publica', 'domeen', 'kinnisvara_maja', 'muld', 'kinnistu', 'maaomandit', 'liidumaa', 'maavaldus', 'natsioon', 'rahvus', 'riigis']
laugh	naerdes	Found close match: ['naerda', 'naer', 'naera']	['naera', 'narrima', 'jest', 'nali', 'naer', 'naljakas', 'nalja', 'naerma', 'naerda']
law	võlaõigusseaduse	Found close match: ['õigusteadus', 'loodusseadused', 'loodusseadus']	['kanoonilise_õiguse', 'm72_law', 'õigus', 'seadusandlus', 'füüsikaseadused', 'politsei_kaitse', 'ülipositiivne_õigus', 'tava_õiguse', 'juriidiline', 'õiguslik_filosoofia', 'loomuõigus', 'politseiameti', 'statuutõigus', 'õigusaktid', 'juuratudeng', 'kiriku_seadustikus', 'loodusseadused', 'füüsikaseaduste', 'õiguse_professor', 'politsei_osakondade', 'canon_advokaat', 'politseijõud', 'politseitöö', 'õigusloome', 'loodusseadus', 'relvastatud_politsei', 'politsei', 'õiguslik_lahing', 'seadus', 'seadusloome', 'õigusteooria', 'õigusteadlane', 'kanooniline_õigus', 'loomuliku_õiguse', 'seadused', 'looduse_seadus', 'õigusteaduse_õpingud', 'julgeolekujõud', 'kirjutatud_seadus', 'politseiosakond', 'õiguse', 'politseiosakonnad', 'õigusteadus', 'earthling', 'julgeolekujõudude', 'juriidilise_filosoof']
left	vasakule	Match	['liberaalne_partei', 'pahem', 'kollektivistliku', 'vasakpoolsus', 'vasaku_käe', 'esquerra_republicana_de_catalunya', 'pahempoolsus', 'venstre_taani_liberaalne_partei', 'vasakpoolne', 'venstre_danmarks_liberale_parti', 'venstre', 'vasak', 'vasakpoolsed', 'vasakule', 'vasakpoolsete', 'vasakult_ääremängija', 'vasakul', 'vasaktiib', 'vasakpoolsed_poliitikas', 'vasemmistolaisuutta']
level	tase	Match	['osutama', 'korrust', 'määral', 'lapik', 'heliaste', 'punkti', 'etapp', 'järk', 'korrus', 'tase', 'adema', 'kogemuse_võrra', 'taseme', 'lugu', 'lame', 'korruseline', 'kogemust', 'vesiloodi', 'korrusel', 'vesilood', 'level', 'horisontaalsele_pinnale', 'aste', 'levél', 'põranda_numeratsioon', 'kraadidega', 'tasand', 'tasandil']
liar	kahetsus	Incorrect	['so_far_so_good_so_what', 'louder_now', 'kannelde', 'prevaricator', 'furbara_lennujaam', 'aeroporto_di_furbara', 'valetaja', 'liar', 'lüüra', 'liră', 'republic']
light	„valgus	Found close match: ['valgus', 'valgust', 'valgusallika']	['kristuse_jooksul', 'valguskiirgus', 'heledust', 'valguse_lained', 'ja', 'elektripliit_lamp', 'aknad', 'aken', 'valgus_jooksul', 'valguse_laine', 'inner_light', 'nähtav_valgus', 'valgus', 'valguse_peegeldus', 'välgumihkel', 'hele', 'valgusallikas', 'arvestades', 'kergem', 'helendus', 'lamp', 'valgust', 'elektriline_lamp', 'kerge', 'nähtavaks_valguseks', 'pürotehnilised_algataja', 'välgumihklid', 'valgusallika', 'luminousness', 'tulemasinad', 'nähtava_valguse', 'light', 'light_yagami', 'heledus']
magic	võluri	Found close match: ['võlu']	['võlu', 'pärand', 'alagaesia', 'magic', 'dame_kiri_janette_te_kanawa', 'kiri_te_kanawa', 'make_a_scene', 'axel_rudi_pell', 'imeteoline', 'maagiline', 'animagus', 'artefakt', 'maagia', 'mustkunst', 'illusionists', 'octarine', 'te_kanawa', 'driving_rain', 'secret_time', 'vigur_trikk', 'dame_kiri_te_kanawa', 'kettamaailm', 'occlumency', 'maagia_trikk', 'pärandi_triloogia', 'wonderworking', 'thaumaturge', 'issandamuutmise', 'parseltongue', 'octiron', 'planeswalker', 'kahesuunaline_peegel', 'trikk', 'etapi_mustkunstnik', 'thaumaturgus', 'taumaturgia', 'take_me_home', 'justin_timberlake', 'magic_trikk', 'ühesuunaline_peegel', 'pluto', 'magic_the_gathering', 'inheritance_trilogy', 'justin_randall_timberlake']
marriage	abielu	Match	['pulma', 'mees_ja_naine', 'abiellumine', 'abielu_registreerimine', 'tsiviil_pulm', 'abielu_sõlmimine', 'abielusõlmimine', 'pulmad', 'hymeneals', 'laulatus', 'abikaasade_suhe', 'tühisuse', 'abielupaar', 'liit', 'kohustus_tseremoonia', 'abielu_tseremoonia', 'pulm', 'monogaamne_abielu', 'nihility', 'pulmapidu', 'abielus_paarid', 'abielluda', 'abielu', 'katoliku_abielu']
material	materjal	Match	['materialism', 'füüsikaline_ontoloogia', 'materialismi', 'värk', 'lapiga', 'kraami', 'materialistlik', 'kangast', 'materjali', 'kangas', 'materjalid', 'tekstiili', 'tekstiil', 'füsikalism', 'materialistid', 'kangad', 'materjal', 'riie']
mathematical	matemaatiline	Match	['matemaatiliselt', 'matemaatiline', 'matemaatika']
mechanism	mehhanism	Match	['reaktsioonimehhanism', 'mehanism', 'mehhanismid', 'tootmisvahendite', 'keemilise_mehhanismi', 'liikumine', 'seade', 'masin', 'reaktsiooni_mehhanism', 'mehhanism', 'masinad']
medication	ravimid	Match	['arstirohi', 'ravimite_ravimi', 'medicamentum', 'ravimeid', 'ravim', 'arstim', 'version_20', 'ravimid', 'farmaatsia_narkootikumide', 'pomm_narkootikumide', 'medikament', 'farmatseutiline', 'rescue']
money	raha	Match	['money', 'rahalise', 'raha']
mountain	mägedes	Found close match: ['mäed', 'mägine', 'mäe']	['muckle', 'sahtu', 'kaunis_tublisti', 'mägine', 'mäed', 'saatepartii', 'mickle', 'suur_rahasumma', 'lomp', 'palju', 'mountain', 'mäe', 'mägi', 'passel', '482']
movement	liikumine	Match	['loomade_kulgemine', 'movement', 'kunstivoolu', 'ühiskondliku_liikumise', 'kunstivool', 'loomade_liikumine', 'põhjus', 'nähtav_algatusel', 'fekaalse', 'rühma_tegevus', 'roojamist', 'liikumisaktiivsuse', 'mehhaaniline_liikumine', 'shitting', 'she_wolf', 'mehaaniline_liikumine', 'defekatsioon', 'lindude_väljaheidete', 'ekskremendid', 'kunsti_liikumise', 'sooletalitluse', 'roojasid', 'phi_nähtus', 'fekaalid', 'sõda', 'kulgemine', 'feetses', 'filosoofiline_liikumine', 'liikumist', 'kunsti_liikumist', 'roojamine', 'lindude_väljaheite', 'väljaheitega', 'ulostaa', 'ekskrement', 'defecating', 'väljaheited', 'motoorikat', 'kunstiliikumistega', 'the_pillows', 'pask', 'kunst_liikumine', 'roe', 'ajend', 'liikumine', 'nähtav_liikumine', 'väljaheide', 'sitt', 'lokomotsioon', 'fekaalse_asja', 'sittumine']
movie	filmi	Match	['motion_picture', 'liikuvat_pilti_näitama', 'täielikult_motion_video', 'filmides', 'filme', 'film', 'motionpicture_show', 'liikuv_pilt', 'filmi', 'kinos', 'kinofilmide', 'motionpicture', 'kino', 'täismotion_video', 'filmide', 'picture_show', 'kites', 'suurel_ekraanil', 'teatri_film']
music	jazzmuusika	Found close match: ['muusika', 'muusikat']	['muusika_portaal', 'the_music', 'eelajalooline_muusika', 'muusika', 'music', 'muusikaarheoloogia', 'country_rock', 'riik_rock', 'riigirock', 'muusikat', 'eufoonia', 'helikunst']
nation	rahvusriik	Found close match: ['rahvus', 'rahvas']	['deklaratiivne_teooria_omariiklust', 'poliitilise_ühiskonna', 'saksamaa_liidumaad', 'kendrick_lamar_duckworth', 'carry_amelia_moore_rahvus', 'deklaratiivne_teooria_riikluse', 'mehhiko_seisundi', 'suveräänne_riik', 'maa', 'riik', 'carry_nation', 'rahvas', 'suveräänsed_riigid', 'riigi', 'riigid', 'keha_tark', 'kendrick_lamar', 'siseriiklikult_kui', 'res_publica', 'nation', 'liidumaa', 'natsioon', 'rahvus', 'riigis']
news	uudisteportaal	Found close match: ['uudistesaade', 'uudised_näitavad']	['teleuudiste', 'uudisväärtusele', 'uudistesaade', 'uudised', 'uudislõik', 'sõna', 'uudised_näitavad', 'sõnumid', 'uudis_uudised', 'praeguste_sündmuste', 'uudis', 'news']
noise	müra	Match	['pildimüra', 'kosmiline_mikrolainetaustkiirgus', 'atmosfääri_staatiline', 'mürahäiring', 'kma', 'helinähtus', 'sound_pollution', 'signaali_müra', 'kosmiline_mikrolainetaust', 'tööstus_müra', 'juhuslik_müra', 'elementary_os', 'akustiline_nähtus', 'kosmiline_taust', 'kosmiline_kiirgus', 'helilained', 'helinähtused', 'kosmilise_mikrolaine_taustkiirgust', 'helilainete', 'mürasaaste', 'stochasticity', 'audio', 'füüsikaline_heli', 'häireid', 'müra_muusika', 'kosmilise_mikrolaine_tausta', 'atmosfäär', 'helid', 'noise', 'elektroonilise_müra', 'müra', 'füüsiline_heli', 'akustilise_laine', 'heli', 'elektrilise_müra', 'karm_müra', 'juhuslikkust', 'müra_määrus', 'helilaine', 'reliktkiirgus', 'raadio_müra', 'heli_levimine', 'cbr', 'kosmilise_taustkiirguse', 'mikrolaine_taustkiirgust', 'mürareostus', 'cmbr']
obligation	kohustus	Match	['võlaõigus', 'kohus', 'võlasuhe', 'kohustus', 'lubadus', 'võlasuhted', 'sertifikaat_võlgnevuse', 'vastutus', 'võlaõigusliku', 'võlakohustus', 'kohustused']
pain	valu	Match	['vigastamine', 'valuaisting', 'tüütus', 'valus_tunne', 'pain', 'valutundlikkuse', 'king_of_da_ghetto', 'dolor', 'forever', 'valutunne', 'valu', 'ägeda_valu', 'games_pain']
personality	isiksus	Match	['isiksus', 'personality', 'isikupära']
philosophy	religioonifilosoofia	Found close match: ['filosoofia']	['õpetuse', 'filosoofiline_süsteem', 'doktriin', 'mõtteteadus', 'õpetus', 'filosoofia', 'õpetusi', 'koolkond', 'poliitiline_doktriin', 'kooli', 'ism', 'filosoofiline']
picture	pildi	Match	['klassikalise_maali', 'päevapilt', 'illustreeritud', 'liikuvat_pilti_näitama', 'joonistus', 'vaimse_pilt', 'motionpicture_show', 'cobol', 'film', 'sõnamaal', 'illustratsioone', 'motionpicture', 'picture_show', 'kino', 'filmide', 'liikuv_pilt', 'animagus', 'maal', 'suurel_ekraanil', 'fotosid', 'joonistamine', 'kujunduselemendid', 'kinos', 'konto_pilt', 'stseen', 'teatri_film', 'sõna_maali', 'motion_picture', 'occlumency', 'maali', 'filmides', 'joonistaja', 'kujutluspildis', 'issandamuutmise', 'parseltongue', 'filmi', 'kinofilmide', 'tõmmis', 'illustratsioon', 'ülesvõte', 'maalikunst', 'foto', 'pilte', 'pildiline', 'kiss', 'maalid', 'avatari', 'filme', 'illustreeritud_raamatuid', 'maaling', 'pilt', 'sõna_pilti', 'fotod', 'pildi', 'sõnavärvimistööd']
pig	veiseliha	Found close match: ['sealiha']	['metssead', 'notsu', 'külvama', 'sus', 'politseinik', 'siga_voodi', 'pigging', 'scrofa', 'kodusiga', 'looduslike_orikas', 'kodusigade', 'siga', 'conjoiner', 'sigade', 'shoat', 'metssigade_orikas', 'sasikubu', 'emis', 'lohakas_inimene', 'sead', 'shote', 'sigalane', 'pudge', 'conjoiners', 'sealiha', 'orikas', 'pipeline_inspection_gauge', 'võmm', 'sus_scrofa', 'sus_scrofa_domestica', 'lohe', 'põrsas', 'metssiga', 'porc']
plan	plaan	Match	['arhitektuurilise_plaani', 'plaan', 'plan', 'planeerida', 'kava', 'disaini', 'plaani', 'programmijuht', 'programmi']
plant	taimeõli	Found close match: ['taimeliik', 'taime', 'taimed']	['tehase_töötaja', 'floras', 'vabrik', 'plantae', 'taimeliik', 'shill', 'trigun', 'tootmisliin', 'taimede_kaitsemehhanismid', 'taimede', 'manufaktuur', 'factorij', 'paigaldusliinidele', 'tüübile', 'tehases', 'konveieriliin', 'floora', 'taime', 'tööstusettevõte', 'taimestik', 'rajatised', 'vegetatsioon', 'olend_tüüp', 'taimeriik', 'feitoria', 'tehase', 'tootmisettevõte', 'konveieri', 'taim', 'taimed', 'tehased', 'tehas', 'luua', 'valmistoodangu', 'taimede_elu', 'valmistajaettevõte']
play	mängi	Match	['play', 'lõtku', 'stageplay', 'mängima', 'mängimine', 'virvendama', 'jooksul_mängida', 'panustamise', 'teatrietendus', 'tuua', 'näitemäng', 'mängides_perioodi', 'vabad_käed', 'dramaatiline_mängida', 'mäng', 'google_play', 'näidendid', 'näitekirjandus', 'hullama', 'mängurid', 'teatrilavastuse', 'draamaprojektid', 'dramaturgia', 'lavastus', 'kepsutama', 'kihlveo', 'näidend', 'hasartmäng', 'mängida', 'mängi', 'draama', 'draamakirjandus', 'lõtk', 'dramaatika', 'vehklemine']
pleasure	nauding	Match	['sondre_lerche', 'semisonic', 'meeldiv', 'rõõm', 'nauding', 'pleasure_p']
poor	halb	Incorrect	['madala_sissetulekuga', 'vähekindlustatud', 'urbanistliku_vaesuse', 'vaesuse_määr', 'vaesunud', 'vaene', 'vaesed_inimesed', 'vaesed', 'suhtelise_vaesuse', 'vabatahtlik_vaesus', 'vaesumine', 'vaesus', 'paupers']
prison	vanglas	Found close match: ['vangla', 'vanglates', 'vanglasse']	['tom_robinson', 'rootsi_kardinad', 'vangistatud', 'minimaalse_turvalisuse', 'vanglaasutus', 'umbne', 'vanglasüsteemi', 'maakonna_vanglas', 'parandus_rajatis', 'parandusasutus', 'kitsas', 'keskmise_turvalisuse', 'vanglasse', 'keskmise_vanglas', 'vangla', 'vanglates', 'jailhouse']
professional	professionaalne	Match	['professionaalsed_sportlased', 'professionaalne_sportlane', 'eksperdid', 'ekspert', 'professionaalse_ilmega', 'profispordi', 'spetsialisti', 'professionaalsust', 'professionaal', 'ametialane', 'profijalgpalli', 'professionaalne', 'asjatundja']
protection	kaitse	Match	['kaubanduse_kaitse', 'protection', 'kaitse', 'ohutus', 'egiidi', 'ohutuse', 'julgeolek', 'turvalisus', 'kaitsekate']
quality	kvaliteet	Match	['tämber', 'head_omadused', 'timbral', 'tämbrid', 'toon', 'iseloomu', 'kvaliteedi', 'omadus', 'kõlavärv', 'kvaliteet', 'hea_omadus', 'quality', 'tooni_värvi']
reaction	redoksreaktsioon	Found close match: ['reaktsioon', 'keemilise_reaktsiooni', 'keemiline_reaktsioon']	['newtoni_kolmas_seadus', 'reaction', 'keemiliselt', 'keemilise_reaktsiooni', 'keemiline_reaktsioon', 'keemiline_protsess', 'newtoni_iii_seadus', 'reaktsioon']
read	lugege	Found close match: ['lugemine', 'lugema', 'lugeda']	['lugemine', 'lugeda', 'loe', 'õppima', 'lugema', 'möödaminnes', 'read', 'vaata', 'võtta', 'loetud']
relationship	suhted	Match	['hõimusuhted', 'suhted', 'peresuhe', 'kaaslaseks', 'sugulane', 'inimeste_suhtlemist', 'ühendus', 'põlvnemissuhted', 'seos', 'inimsuhete', 'pikaajaline_suhe', 'hõimlus', 'hõimlane', 'tutvusringkond', 'sugulussuhted', 'laskumine_rühm', 'inimsuhetest', 'sugulus', 'sugulased', 'inimestevahelised_suhted', 'suhe', 'tuttav', 'suguluse_ja_päritolu', 'veresugulus']
religious	religioosselt	Found close match: ['religioosne']	['religioosne', 'usklik']
residence	suveresidents	Found close match: ['residentuuri', 'residencia']	['pereelamu', 'habitant', 'mõis', 'elamine', 'asukas', 'elumaja', 'elukoht', 'kodu', 'hoone', 'elaniku', 'kodus', 'residentuuri', 'eluasemeid', 'koht', 'eluruum', 'elanik', 'residencia', 'elukoha', 'eramaja', 'eluruumi', 'härrastemaja']
road	maantee	Match	['the_road', 'maantee_mäng', 'ära_mäng', 'ära_mängu', 'maantee', 'tee', 'road', 'teetammi', 'new']
sad	kurb	Match	['kesto', 'lost_dogs', 'depressioon', 'sadhe', 'kurbus', 'kurb']
science	bioloogiateaduste	Incorrect	['mainstream_teadus', 'oskus', 'oskusi', 'teadus', 'empiiriline_teadus', 'teadust', 'science', 'teadusalal', 'teaduslik_distsipliin']
seafood	kalatoitude	Not found	[]
sell	müüa	Match	['müüma', 'elukutse', 'müüa', 'merekaubanduses', 'kaubandus', 'merekaubanduse', 'reetma', 'kauplemine', 'äri', 'bisnis', 'sell']
sew	õmmelda	Match	['õmmelda', 'stitchery', 'õmmeldud', 'õmblema', 'õmblemine']
sexy	blondie	Incorrect	['seksikas', 'elephunk']
shape	kujult	Found close match: ['kujul', 'kuju', 'kujund']	['inimese_füsioloogia', 'kujund', 'nahatooni', 'kujundada', 'määrata', 'inimese_naha_värvi', 'kujuga', 'inimese_keha', 'kuju', 'muusikavorm', 'materiaalse_keha', 'inimfüsioloogia', 'vorm', 'näitaja', 'liitlasvägede_ülemjuhataja_euroopas', 'kujul', 'allied_command_operations', 'muusikaline_vorm', 'vormi', 'naha_pigmentatsioon', 'muusikavormid', 'inimkeha', 'wm_teket', 'bod', 'füüsiline_keha', 'corpus_humanum', '433', 'shape', 'liha', 'liitlasvägede_kõrgemat_peakorterit_euroopas', 'inimese_anatoomia', 'muster', 'geomeetriline_kujund', 'primitiivne']
ship	skibet	Incorrect	['laev', 'saata', 'laeva']
show	show	Match	['mängurid', 'hasartmäng', 'kihlveo', 'panustamise', 'näidatakse', 'näitavad', 'näita', 'maakonna_õiglane', 'mängimine', 'näitama', 'luua', 'maakonna_messidel', 'näidata', 'tõestama', 'etendus', 'tõestada', 'näitamine', 'väljendada', 'show']
sign	märgin	Found close match: ['märgid', 'märguanne', 'märk']	['juhtsignaali', 'silt', 'semiootik', 'oomen', 'mittenegatiivne', 'sodiaagimärk', 'elektronegatiivsus', 'brown_eyed_girls', 'allkirjastatud', 'märgid', 'märguanne', 'elektropositiivsema', 'kirjutama', 'outofband_signalisatsiooni', 'egiidi', 'märk', 'tähtkuju', 'semioloog', 'preindication', 'kliinilisi', 'elektronegatiivsust', 'semiootika', 'semioloogia', 'graafiline_sümbol', 'signalisatsiooni', 'astroloogiline_märk', 'signaali', 'elektronegatiivne', 'star_märk', 'enne', 'signaal', 'kliiniliste_tunnuste', 'signalisatsioon', 'grafeemid', 'ettetähendus', 'maja', 'meditsiinisemiootika', 'grafeem', 'semiotist', 'positiivne_arv', 'eelaimus', 'planeetide_maja', 'foretoken']
silly	nojah	Incorrect	['loll', 'rumal', 'nõme', 'jamps', 'hokum', 'jama', 'absurdsus', 'silly', 'mõttetu', 'narr']
sin	pattu	Found close match: ['patu', 'patt', 'patud']	['patt', 'patune', 'sinhali_keel', 'singali_keel', 'patu', 'patusus', 'sinus', 'siinusfunktsioon', 'suen', 'patustamine', 'pattu_tegema', 'patud', 'sin', 'singaleesi_keel', 'nanna', 'singali', 'patused', 'siinuse_funktsioon', 'shin', 'siinus']
skin	nahk	Match	['day_for_night', 'trükkplaate', 'skinnable', 'almost_human', 'ray_of_light', 'vaimuhaiglas', 'pluginad', 'naha', 'psühhiaatriahaiglasse', 'skin', 'integumendi', 'blender', 'ringkonnakohtu_kaart', 'nahka', 'trükkplaadid', 'koor', 'pwb', 'hullumajas', 'cutis', 'trükkplaat', 'addin', 'pistikprogramm', 'integument', 'rüü', 'võimu_lennuk', 'lisandmoodul', 'hullumajja', 'vaimne_kodu', 'pcb_ehk_trükkplaat', 'naharakkude', 'austraalia_aborigeenide_sugulust', 'vöötkoodi_lugeja', 'nahk', 'r_kelly', 'robert_sylvester_kelly', 'plugin', 'trükkplaadi']
smart	kasutajasõbralik	Incorrect	['selfmonitoring_analysis_and_reporting_technology', 'smart', 'vaimne_võime', 'intelligentsus', 'nutikad', 'arukus', 'luure', 'tark', 'intelligentne', 'nutikas', 'kipitust']
smiling	kõndima	Not found	[]
solution	lahendus	Match	['tulemuse', 'lahus', 'võrrandit_lahendada', 'lahendus', 'lahendusi', 'tulemus', 'vastus', 'lahustunud_ainet', 'solution']
soul	hinges	Found close match: ['hinge', 'hinged', 'hing']	['hing', 'keegi', 'surematu_hing', 'indiviid', 'persoon', 'hinged', 'hinge', 'soul', 'üksikisik', 'surelik', 'isik', 'aiúa', 'soulfulness']
sound	heli	Match	['merekitsus', 'helinähtus', 'telefon', 'väin', 'kuulmis_tunne', 'akustiline_nähtus', 'helilained', 'helinähtused', 'helilainete', 'audio', 'füüsikaline_heli', 'väinad', 'helid', 'füüsiline_heli', 'tecnocumbia', 'akustilise_laine', 'heli', 'kõne_heli', 'helilaine', 'foon', 'häälik', 'heli_levimine']
spoke	rääkis	Match	['suuline_keel', 'suuline_kommunikatsioon', 'suulise_suhtlemise', 'rääkis', 'kõnekeel', 'kõnekeele', 'kodar', 'rundle', 'kõnesidet', 'rattakodarad', 'ratta_kodarate', 'inimkõne', 'kodarad', 'kõne', 'rääkinud_side', 'rattakodar', 'keel', 'spoke', 'suuline_kõne']
star	täht	Match	['vilunud', 'täht_hulknurk', 'star_topoloogiat', 'täht_graafik', 'estelle', 'mavin', 'ilean_almaguer', 'viuhti', 'tärn', 'steroidide_äge_reguleeriv_valk', 'kuulus_inimene', 'meedia_isiksus', 'tärnide', 'viie_tärni_hotellis', 'adept', 'peaosatäitja', 'mullet', 'tärni', 'staar', 'kuulsused', 'targz', 'maven', 'viisar', 'superstaar', 'täht', 'tähe', 'peaosas', 'filmitähte', 'kuulsus', 'peaosa', 'star', 'popstar', 'prominent', 'xerox_star', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'tähed', 'kasvuaktsia_maatriks', 'äss', 'filmistaare', 'tv_isikupära', 'tõrva', 'star_võrgustik', 'viietärnihotelli', 'tähtvõrk', 'filmitäht', 'täheke', 'peaesineja', 'tar']
student	õpilasesinduse	Found close match: ['õpilane', 'üliõpilased']	['teadlased', 'tudeng', 'raamatupoed', 'õpetlane', 'raamatupood', 'raamatukaupluste', 'akadeemiline_isik', 'tudengid', 'üliõpilased', 'õppur', 'raamatute_kauplus', 'raamatumüüja', 'üliõpilane', 'õpilane', 'educatee', 'uustulnuk_aastal', 'william_sealy_gosset', 'raamatukauplus']
stupid	tahagi	Incorrect	['stupe', 'pillock', 'loll', 'vaene_kala', 'rumalus', 'rumal', 'nõme', 'pudden_peaga', 'loll_inimene', 'puding_peaga', 'ravensymone', 'idioot']
successful	edukas	Match	['edukas', 'successful', 'edukad']
sugar	suhkrupeet	Found close match: ['suhkrut', 'suhkru', 'suhkru_taset']	['merekarbid', 'suhkru_kuubik', 'sugar', '§', 'seeklit', 'glassheart', 'suhkruid', 'dinero', 'sahhariidid', 'suhkru', 'moolah', 'suhkur_veini', 'karbohüdraadid', 'gelt', 'glütsiidid', 'sahhariid', 'süsivesik', 'suhkur', 'batman_forever', 'rafinaadsuhkur', 'suhkrukaubanduses', 'karbohüdraat', 'mammon', 'suhkrud', 'süsivesikud', 'leib', 'süsivesikuid', 'valge_suhkur', 'süsivesikute', 'karbid', 'batman_igaveseks', 'suhkru_taset', 'suhkrut']
suspect	kahtlustan	Found close match: ['kahtlustab', 'kahtlus', 'kahtlustatav']	['kostja', 'kahtlustatav', 'kahtlus', 'toimepanija', 'robert_crais', 'usaldamatus', 'kahtlusalune', 'kahtlustab']
table	tabel	Match	['silt', 'lükata', 'htmlsilt', 'lookup_tabelit', 'mesas', 'iframe', 'edasi_lükkama', 'heli_pardal', 'platoo', 'otsingutabel', 'laud', 'soundboard', 'laua', 'seoses', 'andmebaasi_tabeli', 'andmeleht', 'href', 'mesa', 'hakutaulukkosi', 'otsing', 'tabelis', 'lookup', 'kõlalaud', 'tabel', 'tabelina', 'tabelina_massiivi', 'html_element']
taste	maitse	Match	['gustation', 'veini_degusteerimine', 'lõhnama', 'maitsetugevdaja', 'lõhnaja_maitsetugevdaja', 'haistmisaistingut', 'taste', 'haistmis_modaalsus', 'maitsed', 'maitsmine', 'veinidegusteerimispaikade', 'kunstlik_maitse', 'maitseainet', 'pimedegustatsioon', 'maitseelamuse', 'maitsemeel', 'kunstlike_maitse', 'eelistus', 'looduslikud_maitseained', 'lõhna', 'nowhere', 'maitse_taju', 'maitse', 'eelistusi', 'haistmis_taju', 'maitsemeele']
team	meeskondb	Found close match: ['meeskond', 'spordi_meeskond']	['muusika_bänd', 'rokkbändi', 'instrumentaalansamblile', 'sooloartistina', 'pop_bänd', 'meeskond', 'töörakk', 'võistkond', 'muusikaline_ansambel', 'bänd', 'meeskonnaspordialadel', 'ansambel', 'team', 'baar_bänd', 'muusika_ansambel', 'pop_rock_bänd', 'spordi_meeskond', 'rockansambli', 'sooloprojekt', 'tiim', 'ansamblid', 'töörühm', 'muusikaline_bänd']
texture	tekstuur	Match	['struktuur', 'makrotekstuuri', 'tekstuur', 'faktuur', 'kivimi_struktuur', 'muusikaline_tekstuur', 'tekstuuri', 'tekstuur_kaardistamise', 'kivimite_struktuur', 'mouthfeel', 'tekstuurikaardina']
time	aeg	Match	['kaabel_vabastamist', 'vangistus', 'aktsentmeetrum', 'in_my_own_words', 'sündmuste_jada', 'scatmans_world', 'kellaaeg', 'time_magazine', 'ajal', 'meetrum', 'muusikaline_aeg_allkiri', 'aeg', 'taktimõõtu', 'vanglakaristuse', 'ajapunkt', 'varases_universumis', 'kella_pulssi', 'meeter', '44_aega', 'ühend_aega', 'ajas', 'polymeter', 'aega_võtma', 'aja', 'y_not', 'taktliin', 'kosmoloogiline_aeg', 'lause', 'aeg_allkirju', 'xkcd_1190', 'taktsignaal', 'kellasignaali', 'valss_aeg', 'kella_signaal', 'tempus', 'aega', 'taktimõõt', 'grammatilisi_pingeline', 'anastacia', 'ajahetkel_t', 'hypnotica', 'ühend_meeter', 'neljas_mõõde', 'duple', 'smartstop', 'kella_tsüklit', 'pacific_ocean_blue', '44', 'the_international_magazine_of_events', '0812', 'lihtne_aega', 'pirn', 'süsteemi_ajal', 'pingeline', 'aeg_allkiri', 'time', 'ajakava', 'kella_tsükkel', '0806_aega', 'aegades', 'kella_aeg', 'kord', 'aja_jooksul', 'grammatiline_aeg', 'muusikaline_lause', 'ajavorm', 'süsteemi_kella']
tool	tööriistaks	Found close match: ['tööriist', 'riist']	['tarkvara', 'tarkvara_tööriist', 'munn', 'tööriist', 'programmeerimise_vahend', 'tool', 'arengu_vahend', 'türa', 'tarkvara_arendamise_vahendid', 'vahend', 'riist']
toy	mänguautomaadi	Found close match: ['mänguasjad', 'mänguasi']	['mängukoer', 'toy', 'sugu_mänguasi', 'mänguasjad', 'chatoyancy', 'seksimänguasju', 'yello', 'toyline', 'chatoyant', 'mänguasi']
tree	puu	Match	['puu', 'vanem_sõlme', 'tree', 'juursõlme', 'püha_puu', 'charlotte_brontë', 'lehed_sõlme', 'sisetipp', 'leht', 'puud', 'juurdunud_puu', 'puit', 'currer_bell', 'metsa', 'alampuu', 'sapling', 'emasõlm', 'sir_herbert_beerbohm_tree', 'puu_andmestruktuur', 'herbert_beerbohm_tree', 'charlotte_bronte', 'interjööri_sõlme', 'kruskal_on_puu_teoreem', 'puudiagramm']
