ability	yeteneğin	Found close match: ['yeteneği', 'yetenek']	['yetenek', 'yeteneği']
job	iş	Match	['personel', 'istihdam', 'i̇stihdam', 'sorun', 'eyub', 'sözleşmeli_işçi', 'iş_kitabı', 'eyyub_peygamber', 'meslek', 'eyyüb', 'işverenler', 'sıkıcı_iş', 'vazife', 'eyyub', 'çalışma', 'peygamber_eyüp', 'hz_eyyüp', 'eyüp', 'eyyûb', 'ön_güreşçi', 'yapılacak_iş', 'görev', 'iş', 'job', 'kullanmak', 'nabi_ayoubun', 'problem', 'iş_hat', 'eyub_kitabı', 'eyüp_kitabı']
jungle	savana	Incorrect	['orman', 'cangıl', 'oldschool_orman', 'shine_a_little_love', 'inna', 'jungle', 'hobo_kamp', 'out_of_the_blue', 'cengel']
kindness	yardımseverlik	Incorrect	['kibarlık', 'forgivingness', 'nezaket', 'iyilik']
king	kral	Match	['bbking', 'erkek_hükümdar', 'monark', 'büyük_işadamı', '♚', 'papaz', 'riley_b_king', 'kraliyet', 'b_b_kral', 'şah', 'kereste_baronu', 'reverend_horton_heat', 'padişah', 'monarşist', 'monarşik', 'hükümdarlar', 'üst_düzey_yönetici', 'iş_adamı', 'billie_jean_king', 'bb_king', 'martin_luther_king', 'george_king', 'monarşiler', 'billie_jean_moffitt_kral', 'baş_taç', 'dünya_rekoru', 'patronu', 'b_b_king', 'charles_bird_king', 'kingcom', 'kodaman', 'sanayici', 'martin_luther_king_jr', 'kral', 'tom_cato_visnes', 'egemen', 'monarşi', 'regnant', 'iş_lideri', 'king_ov_hell', 'king', 'hükümdar']
lady	lady	Match	['hanımefendi', 'virgin', 'soylu_kadın', 'unvan', 'bayan', 'leydinin_aşkı', 'nam', 'hanım', 'leydi', 'bayanlar', 'kutsal_bakire', 'lady', 'bakire_meryem', 'san', 'başlık', 'saygı_başlığı', 'adres_formu', 'meryem_ana', 'leydi_oldu', 'tarzı', 'mary', 'meryem', 'leydi_ve_sokak_köpeği', 'meryemana', 'leydi_ile_serseri', 'tanrının_anası', 'the_lady', 'lady_and_the_tramp', 'dame', 'titr']
land	arazi	Match	['kara', 'meksika_devlet', 'millet', 'edwin_herbert_land', 'taşınmaz_mal', 'almanyanın_bölgeleri', 'arazi', 'arsa', 'land', 'meksikanın_idari_bölünüşü', 'tarım', 'arazi_hakları', 'eyalet', 'toprak_hukuku', 'almanyanın_eyaletleri', 'devlet', 'gayrimenkul', 'feodal_etki', 'meksikanın_eyaletleri', 'ulus', 'demesne', 'toprak', 'ülke', 'toprak_sahibi', 'almanyanın_eyâletleri', 'dünyasında', 'emlâk', 'yer', 'memleket', 'hükümranlık_alanı', 'din_arsa', 'meksika_eyaletinden', 'kara_kütlesi', 'dönüm', 'res_publica', 'almanya_eyaletleri', 'gayrimenkul_hukuku', 'emlak', 'malikâne', 'meksikanın_idari_bölümleri', 'ulusal', 'egemen_devlet', 'mülk', 'taşınmaz', 'devlet_kurumu', 'karada', 'bölge', 'sağlam_bir_zemin']
laugh	fısıldar	Incorrect	['gülmek', 'gülün', 'fıkra', 'alay_etmek', 'gülme', 'fikra', 'gülüş', 'seyrani', 'şaka', 'gül', 'şakacı', 'kahkaha']
law	hukuku	Found close match: ['hukukçu', 'hukuk', 'hukukî']	['m72_law', 'kilise_kanunu', 'hukuk_felsefecisi', 'polis_koruması', 'resmi', 'kanon_hukuku', 'hak', 'hukuksal', 'polis_departmanı', 'fıkıh', 'hukuk', 'hukuk_profesörü', 'polis', 'doğal_hukuk_kuramı', 'doğal_hukuk', 'kanun', 'kanun_uygulaması', 'yasa_dışı', 'kanonik_hukuk', 'fizik_kanunu', 'hukuk_eğitimi', 'güvenlik_güçleri', 'polis_gücü', 'yazılı_hukuk', 'hukuk_felsefesinin', 'canon_avukat', 'polislik', 'law', 'kilise_hukuku', 'hukuk_fakültesi', 'yasalar', 'hukukçu', 'kanunu', 'tüze', 'lav_silahı', 'polis_departmanları', 'güvenlik_gücü', 'hukuk_öğrencisi', 'hukukî', 'hukuki', 'yasama', 'silahlı_polis', 'doğa_kanunu', 'earthling', 'polisler', 'resmî', 'yasa', 'zabıta', 'doğa_hukuku', 'yasal']
left	align	Incorrect	['sol_siyasetin', 'sol_politika', 'esquerra_republicana_de_catalunya', 'solcu', 'soldaki', 'kolektivist', 'soldan', 'sol_eğilimli', 'solculuk', 'venstre', 'sola', 'sol', 'sol_el', 'sol_muhalefet', 'solkanat_oyuncusu', 'sol_kanat', 'solcular']
level	seviye	Match	['adema', 'zemin_numaralandırma', 'katlı', 'kat', 'skala_derecesi', 'evrimsel_notu', 'bölüm', 'deneyim_puanı', 'düzey', 'derecesi', 'düz', 'yatay_yüzey', 'katta', 'level', 'su_terazisi', 'levél', 'tecrübe_puanı', 'seviye', 'üzerine_gitmek', 'ölçek_derece', 'kumpas']
liar	iftiracı	Incorrect	['lir', 'so_far_so_good_so_what', 'louder_now', 'glory', 'lyres', 'yalancı', 'liar', 'liră', 'republic']
light	ışıkla	Found close match: ['ışık', 'ışıklılık', 'ışıklandırmak']	['görünür_radyasyon', 'cam', 'ışığında', 'iç_işık', 'ışıklılık', 'işığın_kırılması', 'aydınlık', 'görünür_ışınlar', 'görülebilir_ışık', 'işık_dalgaları', 'pervaz', 'pencere', 'ışık_yansıma', 'görünür_ışık', 'içinde_işık', 'işık', 'dayanmalık', 'çıkarmak', 'ışık', 'elektrik_lambası', 'ışıklandırmak', 'lamba', 'air', 'yeğni', 'ışık_dalgaları', 'yakmak', 'soluk', 'ışık_kaynağı', 'nur', 'isik', 'ışık_yansıması', 'luminousness', 'hafif', 'parlaklık', 'aydınlatmak', 'parlaklık_seviyesi', 'çakmak', 'light', 'light_yagami', 'mesih_içinde', 'açık']
magic	sihirli	Match	['harikalar', 'volshebstvo', 'hokkabaz', 'magic', 'kiri_te_kanawa', 'axel_rudi_pell', 'make_a_scene', 'leandro_marín', 'illüzyonistler', 'başkalaşım', 'animagus', 'büyücülük', 'hogwartstaki_portreler', 'sahne_sihirli', 'iki_yönlü_ayna', 'diskdünya', 'sihirli_aile', 'octarine', 'te_kanawa', 'driving_rain', 'sihirli', 'bir_çeşit_büyü', 'secret_time', 'sihir', 'dame_kiri_te_kanawa', 'sahne_sihirbaz', 'miras_döngüsü', 'zihinbend', 'maji', 'traumaturgusun', 'thaumaturge', 'hokkabazlık', 'i̇llüzyonist', 'octiron', 'hogwartsdaki_portreler', 'çataldili', 'thaumaturgic', 'harry_potterda_sihir', 'gözbağı', 'büyü', 'take_me_home', 'justin_timberlake', 'justin_randall_timberlake', 'pluto', 'magic_the_gathering', 'hüner_conjuring', 'büyülü', 'direnişçi', 'dame_kiri_te_kanawa_janette', 'thaumaturgy', 'ak_büyü']
marriage	evliliği	Found close match: ['evlilik', 'evli', 'evlilik_töreni']	['sivil_düğün', 'nikah', 'evli_çift', 'hiçlik', 'evli', 'nikâh', 'düğün', 'hymeneals', 'birlik', 'katolik_evlilik', 'eş_ilişkisi', 'evlilik_töreni', 'karı_koca', 'bağlılık_töreni', 'evlenmek', 'sünnet_düğünü', 'evlilik', 'hiçlikten', 'gerdek', 'çiftler_evli', 'birliktelik', 'düğün_töreni']
material	materyaller	Found close match: ['materyalistler', 'materyal', 'materyalcilik']	['physicalism', 'materyalistler', 'tekstilci', 'özdekçilik', 'hammadde', 'tekstil', 'dokumacılık', 'madde', 'malzeme', 'materyalist', 'materyalizim', 'maddecilik', 'otel_tekstili', 'materyalizm', 'materyal', 'tekstil_terimleri', 'fiziksel_ontoloji', 'materyalistik', 'ev_tekstili', 'şeyler', 'maddeci', 'materyalcilik', 'kumaş']
mathematical	matematiksel	Match	['modern_matematik', 'matematikte', 'riyaziye', 'matematiğin_kronolojisi', 'matamatik', 'matematik', 'matematiğin_günlük_hayattaki_önemi', 'math', 'dağılımlı_kafes', 'matematiksel']
mechanism	mekanizmada	Found close match: ['mekanizma', 'mekanizması', 'kimyasal_mekanizma']	['tepkime_mekanizması', 'mekanizma', 'kimyasal_mekanizma', 'makine', 'mekanizması', 'hareketi', 'sermaye_ekipmanları', 'makina', 'reaksiyon_mekanizması', 'makineleri']
medication	tedaviyi	Not found	[]
money	parayı	Found close match: ['para']	['history_past_present_and_future_book_i', 'history', 'servet', 'maddi', 'money', 'history_past_present_and_future__book_i', 'zenginlik', 'para', 'akçe', 'tıngır', 'yeken', 'para_birimi']
mountain	dağ	Match	['çevirmek', 'sahtu_dene', 'satular', 'yer_kabuğundaki_çıkıntı', 'çok', 'passel', 'oldukça_küçük_bir', 'büyük', 'sürü', 'cebel', 'sahtular', 'iyi_anlaşma', 'dağlık', 'kuzey_slaveyleri', 'az_miktar', 'düzenli_toplamı', 'iyi_bir_anlaşma', '482', 'sahtu', 'çok_miktar', 'mountain', 'dağlar', 'lot_', 'dağ']
movement	hareketi	Match	['belirgin_hareket', 'gübre', 'movement', 'hareket', 'sanat_hareketleri', 'sıçkı', 'defecated', 'toplumsal_hareket', 'dışkı', 'hareketi', 'görünürdeki_hareketi', 'devinim', 'shitting', 'she_wolf', 'fışkı', 'pislik', 'sıçmık', 'kuş_pislikleri', 'gayta', 'motilite', 'bok', 'dışkılama', 'nedeni', 'phi_fenomeni', 'motor_beceri', 'arınmak', 'hareketlilik', 'kaka', 'sıçmak', 'sosyal_hareket', 'the_pillows', 'bağırsak_hareketi', 'tezek', 'hareketin', 'büyük_abdest_yapmak', 'hareketler', 'pislikleri', 'tuvaletimi', 'phi_fenomen', 'kalabalık', 'sanat_hareketi', 'kaka_yapmak']
movie	filmi	Found close match: ['film', 'filmide', 'tv_filmi']	['büyük_ekran', 'tv_filmi', 'tam_hareketli_video', 'filmlerin', 'hareketli_görüntü', 'sinema_filmi', 'sinema_gösterisi', 'film', 'tiyatro_film', 'resim_göstermek', 'hareketli_resim_göstermek', 'kites', 'filmide', 'sinema', 'hareketli_resim']
music	müzik	Match	['countryrock', 'prehistorik_müzik', 'the_music', 'musiki', 'müzik', 'music', 'muzik', 'müzik_türü', 'paradise', 'musıki', 'country_rock', 'müzi̇k', 'experimental', 'ahenk', 'teknolojinin_müziğe_etkileri', 'muzic']
nation	ulusun	Found close match: ['ulus', 'ulusal']	['meksika_devlet', 'millet', 'discworld', 'ulus_carry', 'almanyanın_bölgeleri', 'meksikanın_idari_bölünüşü', 'eyalet', 'almanyanın_eyaletleri', 'devlet', 'diskdünya', 'meksikanın_eyaletleri', 'ulus', 'toprak', 'ülke', 'apollo_crews', 'almanyanın_eyâletleri', 'memleket', 'meksika_eyaletinden', 'kendrick_lamar', 'amelia_moore_ulus_carry', 'res_publica', 'almanya_eyaletleri', 'nation', 'meksikanın_idari_bölümleri', 'ulusal', 'egemen_devlet', 'mülk', 'devlet_kurumu']
news	haber	Match	['tv_haber', 'newsworthiness', 'haberleri', 'haber_programı', 'haberler', 'sorak', 'haber', 'kelime', 'güncel_olaylar', 'news']
noise	gürültüyü	Found close match: ['gürültü', 'gürültü_müzik', 'sert_gürültü']	['statik_atmosferik', 'kozmik_mikrodalga_arka_plan_radyasyon', 'kozmik_mikrodalga_arkaplan_ışıması', 'kozmik_mikrodalga_arkaplan', 'kozmik_fon_radyasyonu', 'sinyal_gürültü_oranı', 'ses_şiddeti', 'ses_nasıl_oluşur', 'gürültü_kirliliği', 'sesin_oluşumu', 'ses_dalgaları', 'elementary_os', 'rasgele_gürültü', 'ses_kirliliği', 'kozmik_mikrodalga_arka_plan', 'gürültü', 'stochasticity', 'kozmik_mikrodalga_arkaplan_radyasyonu', 'ses_dalgası', 'spk', 'noise', 'ses_en_çok_hangi_ortamda_yayılır', 'gürültü_yönetmeliği', 'kozmik_mikrodalga_arka_plan_ışıması', 'radyo_paraziti', 'parazit', 'kozmik_ışınım', 'akustik_dalga', 'sinyal_gürültü', 'sert_gürültü', 'haphazardness', 'enterferans', 'elektronik_gürültü', 'cbr', 'ses', 'endüstriyel_gürültü', 'sesler', 'cmbr', 'gürültü_müzik']
obligation	yükümlülüğünü	Found close match: ['yükümlülük', 'yükümlülüktür', 'yükümlülükleri']	['yükümlülükleri', 'görev', 'mesuliyet', 'zorunluluk', 'borçlanma_aracı', 'borçlar_hukuku', 'borçluluk_belgesi', 'yükümlülük', 'sorumluluk', 'tahvil', 'yükümlülüktür', 'söz']
pain	ağrılar	Found close match: ['ağrı']	['zarar', 'ağrı', 'acı_hissi', 'belası', 'aci', 'pain', 'akut_ağrı', 'king_of_da_ghetto', 'forever', 'acı', 'ağrı_hissi', 'games_pain']
personality	mizahçı	Incorrect	['kişiliği', 'personality', 'kişilik']
philosophy	felsefe	Match	['filozof', 'felsefe', 'felsefî', 'felsefeci', 'felsefî_akımlar', 'düşünür', 'filozofi', 'düşünce_tarzı', 'felsefesi', 'felsefi_görüş', 'felsefi_akım', 'fikri_akımları', 'felsefi_düşünce_akımı', 'felsefi_bilgi', 'doktrini', 'felsefi_bir_görüş', 'doktrin', 'öğreti', 'doktriner', 'felsefi_öğreti', 'düşünbilim', 'filozoflar', 'felsefe_akımları', 'felsefi', 'okul', 'felsefi_düşünceler', 'felsefi_akımlar', 'felsefi_sistemi']
picture	fotoğraf	Match	['büyük_ekran', 'fotografçılık', 'film', 'kelimeboyama', 'cobol', 'resmi', 'resim_sanatı', 'resimlemecilik', 'filmide', 'görüntü', 'zihinsel_resim', 'başkalaşım', 'animagus', 'hogwartstaki_portreler', 'hesap_resmi', 'ressamlar', 'resimlemeci', 'sinema_filmi', 'fotoğraf', 'sinema_gösterisi', 'tiyatro_film', 'avatar', 'hareketli_resim_göstermek', 'i̇llüstrasyon', 'görsel', 'resim', 'fotograf', 'imaj', 'sinema', 'i̇llustrasyon', 'tv_filmi', 'zihinsel_imge', 'zihinbend', 'desen', 'filmlerin', 'hareketli_görüntü', 'zihinsel_görüntü', 'resim_göstermek', 'soyut_resim', 'hogwartsdaki_portreler', 'kelime_resim', 'çataldili', 'resimli_kitaplar', 'resimsel_madde', 'resimsel', 'fotoğraf_nedir', 'foto', 'i̇llüstratör', 'i̇lustrasyon', 'ressam', 'kiss', 'resimleme', 'klasik_resim', 'tasvir', 'çizim', 'ressamlık', 'resimli', 'hareketli_resim', 'zihinsel_imgeler', 'harry_potterda_sihir', 'illüstrasyon']
pig	domuz	Match	['saçmak', 'pasaklı', 'kılıksız_kimse', 'domuzu', 'domuz_yatağı', 'domuz_eti', 'scrofa', 'tiksindirici', 'polis', 'yaban_domuzu', 'boru_hattı_kontrol_aygıtı', 'domuz', 'vahşi_domuz', 'domuzcuk', 'conjoiner', 'shoat', 'pig', 'aynasız', 'shote', 'domuz_yavrusu', 'bayağı_yaban_domuzu', 'conjoiners', 'pudge', 'evcil_domuz', 'yerli_domuz', 'hırpani_kişi', 'hınzır', 'sus_scrofa_domestica', 'yabandomuzu', 'yabani_domuz', 'sus_scrofa', 'porc']
plan	planı	Match	['planı', 'program_yönetimi', 'akıl_etmek', 'çizimler', 'mimari_plan', 'plân', 'plan', 'program_yöneticisi', 'mimari_planı', 'planla', 'program', 'mimari_planlama']
plant	bitki	Match	['montaj_bandı', 'plantae', 'shill', 'vejetasyon', 'trigun', 'sanayi_tesisi', 'bitki_örtüsü', 'üretim_tesisi', 'montaj_hattı', 'üretim_hattı', 'tohumsuz_bitkiler', 'bitey', 'kurmak', 'üretimevi', 'nebatat', 'factorij', 'fabrikada', 'bitkinin_kısımları', 'yaratık_türü_verilir', 'bitkiler_âlemi', 'işleri', 'plantea', 'florasında', 'tesis', 'feitoria', 'plant', 'fiziksel_tesis', 'fabrika', 'üretimline', 'üretim_tesisleri', 'fabrika_işçisi', 'bitkiler', 'flora', 'bitki', 'montaj_hatları']
play	oynamak	Match	['play', 'kumarın_zararları', 'başıboş', 'eylencelik', 'android_market', 'getirmek', 'oyna', 'oyun_dönemi', 'söz_düellosu', 'stageplay', 'google_play_store', 'kumar', 'çalmak', 'dramatik_oyun', 'getirebilir', 'drama', 'oyunlar', 'dönemi_oynuyor', 'play_framework', 'neşe', 'dramatik_sanatlar', 'google_play', 'piyes', 'bahis', 'oyun', 'tiyatro', 'sıra', 'eğlencelik', 'çal', 'pırıldamak', 'dırama', 'dram', 'düz_oyun', 'play_store', 'oynamak', 'oynayın', 'zıplamak']
pleasure	zevkler	Found close match: ['zevk']	['sondre_lerche', 'semisonic', 'zevk', 'sevinç', 'marcus_ramone_cooper', 'hoş', 'haz', 'marcus_cooper', 'keyif', 'memnuniyet', 'neşe', 'mutluluk', 'pleasure_p']
poor	yoksul	Match	['yoksul_insanların', 'yoksullar', 'zavallılar', 'fakirlik', 'yoksul', 'yoksulluk_yemini', 'kentsel_yoksulluk', 'yoksulluk_oranı', 'fakir', 'yoksulluk', 'fukara', 'düşük_gelirli', 'göreli_yoksulluk', 'gönüllü_yoksulluk', 'züğürt', 'küresel_yoksulluk', 'zavallı']
prison	hapis	Match	['tom_robinson', 'tutukevine', 'kodes', 'cezaevi', 'hapishaneler', 'kılıksız', 'orta_güvenlik', 'hapis', 'minimum_güvenlik', 'hapishane', 'jailhouse', 'hapsetmek', 'pokey']
professional	profesyonel	Match	['profesyonel_futbol', 'üstat', 'hoca', 'uzman', 'profesyonel_kişi', 'mesleki', 'profesyonel', 'profesyonel_spor', 'profesyonel_görünümlü', 'usta', 'profesyonel_sporcular', 'kiss_land', 'profesyonellik']
protection	koruma	Match	['sâye', 'saye', 'protection', 'güvenlik', 'koruma', 'güvence', 'ticaret_koruma', 'koruyucu_kapak', 'korunma', 'himaye', 'selamet', 'korunmak']
quality	kalitesi	Match	['sesi', 'vasıf', 'timbral', 'kaliteli', 'sembol', 'tını', 'tınılar', 'kalite', 'kalitesi', 'kalite_kavramı', 'renk_tonu', 'nitelik', 'karakteri', 'quality']
reaction	reaksiyonu	Found close match: ['reaksiyon', 'kimyasal_reaksiyonu', 'reaction']	['kimyasal_tepkimeler', 'reaction', 'reaksiyon', 'kimyasal_reaksiyonu', 'kimyasal_reaksiyonlar', 'fiziksel_tepkime', 'etkileşim', 'kimyasal_tepkime', 'kimyasal_reaksiyon', 'tepkisi', 'tepki', 'tepkime', 'kimyasal_olarak', 'kimyasal_değişim']
read	okumam	Found close match: ['okuma', 'okumak', 'oku']	['çalışmak', 'saymak', 'okumak', 'okuyun', 'almak', 'varsaymak', 'oku', 'okuma', 'çalışmaya', 'kıraat', 'sanmak']
relationship	ilişki	Match	['akrabalık', 'kişilerarası_ilişkiler', 'tanışıklık', 'akraba', 'ilişki', 'kişilerarası', 'bağlantı', 'uzun_vadeli_bir_ilişki', 'insan_ilişkileri', 'aile_ilişkileri', 'arkadaşlık', 'ilişkisi']
religious	dini	Match	['mütedeyyin', 'imanlı', 'dinsel', 'inançlı', 'dini', 'dindar']
residence	ikametgâhı	Found close match: ['ikametgâh', 'ikamet']	['ikametgâh', 'özel_konut', 'hane', 'saray', 'mesken', 'konut', 'ev', 'hane_hanedan_giller', 'ikamet_eden_kimse', 'oturan', 'rezidans', 'yer', 'lojman', 'konak', 'sakini', 'malikâne', 'londra_belediye_konağı', 'sakin', 'ikamet', 'mansiyon', 'kasır']
road	karayolunu	Found close match: ['karayolu', 'kara_yolu', 'karayolları']	['the_road', 'cadde', 'kara_yolu', 'karayolu', 'yol', 'karayolları', 'road_oyunu', 'kumarda_kaybetmek', 'deplasman', 'caddeleri', 'new']
sad	seveceksen	Incorrect	['üzüntü', 'sad_suresi', 'sad', 'hüzünlü', 'keder', 'melul', 'ص', 'tsadik', 'hüzün', 'üzücü', 'tasalı', 'gamlı', 'mahzun', 'kış_bunalımı', 'kaygılı', 'sâd_suresi', 'mevsimsel_depresyon', 'mevsime_bağlı_duygusal_rahatsızlık', 'kış_depresyonu', 'üzgün', 'mevsimsel_duygulanım_bozukluğu', 'mağmum', 'lost_dogs', 'sâd_sûresi', 'sadhe', 'mutsuz']
science	bilim	Match	['i̇lm', 'ana_bilim', 'i̇lmi', 'genel_bilim', 'i̇lmî', 'bilimsel_bir_disiplin', 'discovery_science', 'bilimci', 'beceri', 'bilimsel', 'bilim', 'fen', 'i̇lim', 'blimselik', 'science', 'bilim_dalı', 'ilim', 'bilimler', 'bilimsel_metod']
seafood	lokantaları	Not found	[]
sell	satmak	Match	['tecim', 'satkanlık', 'satmak', 'tüccar', 'ticarî', 'satmanlık', 'alım_satım', 'tic', 'ticari', 'takas', 'ihanet_etmek', 'ticaret', 'sat', 'ticâret', 'sell']
sew	dikişsiz	Found close match: ['dikiş']	['dikiş', 'stitchery', 'dikmek', 'konfeksiyon', 'dik']
sexy	seksi	Match	['seksi', 'afrodizyak', 'elephunk', 'sexy']
shape	şekil	Match	['insan_fizyolojisi', 'vücut', 'avrupa_müttefik_kuvvetleri_yüksek_karargahı', 'görünüş', 'eti', 'müttefik_yüksek_komutanı_avrupa', 'dizilim', 'insan_vücudu', 'ilkel', 'oluşturmak', 'fiziksel_beden', 'insan_anatomisi', 'vaziyet', 'avrupa_müttefik_kuvvetleri_yüksek_karargâhı', 'biçim', 'yüksek_avrupa_müttefik_kuvvetler_karargahının', 'i̇nsan_vücudu', 'desen', 'supreme_headquarters_allied_powers_europe', 'durum', 'bod', 'beden', '433', 'diziliş', 'müttefik_harekat_komutanlığı', 'shape', 'avrupa_müttefik_kuvvetleri_yüksek_komutanı', 'rakam', 'şekli', 'şekil', 'form', 'şekillendirmeye', 'materyal_beden']
ship	gemi	Match	['gemi', 'göndermek', 'gemicilik']
show	şovu	Found close match: ['şov']	['ifade', 'göstermek', 'kumar', 'ilçe_fuarlar', 'tespit_etmek', 'gösterisi', 'kurmak', 'sunmak', 'kumarın_zararları', 'saptamak', 'göster', 'şov', 'bahis', 'gösteri', 'gösterin', 'ispat_etmek', 'kanıtlamak', 'tarım_fuarı', 'show']
sign	imzalamak	Match	['brown_eyed_girls', 'tabela', 'simgeloji', 'alâmet', 'elektronegatiflik', 'burç', 'grafemler', 'semiyoloji', 'burcun', 'elektronegatif', 'i̇konografi', 'planet_evi', 'omen', 'imza', 'preindication', 'i̇şaret', 'negatif_olmayan', 'semiyotik', 'yıldız_işareti', 'himayesi', 'sinyal', 'işaretidir', 'gösterge_bilimi', 'klinik_belirtisi', 'göstergebilimsel', 'karakter', 'imzalayın', 'polarite', 'ticari_tabela', 'işaret', 'belirti', 'semiotik', 'astrolojide_evler', 'elektropozitif', 'bulgu', 'gösterge', 'imzalı', 'grafik_sembolü', 'imzalamak', 'işareti', 'göstergebilim', 'sinyalizasyon', 'sesletim', 'allen_elektronegatifliği', 'grafem']
silly	söylemiyorum	Incorrect	['saçma', 'sersem', 'aptalca', 'şapşal', 'aptal', 'enayice', 'saçmalık', 'akılsız', 'saçmalığı', 'ahmak', 'angut', 'aptal_salak_bön_ahmak_ahmaklar', 'silly']
sin	sin	Match	['günahkârlık', 'günahkarlar', 'singalaca', 'sinhala', 'seylanca', 'günahkar', 'günâh', 'sinüs_fonksiyonu', 'sin', 'şin', 'singapur_changi_havalimanı', 'günahkâr', 'nanna', 'günah_işlemek', 'vebal', 'sinüs', 'ﺱ', 'shin', 'س', 'günah']
skin	deride	Found close match: ['deri', 'derisi']	['day_for_night', 'skinnable', 'eklentileri', 'almost_human', 'baskılı_devre_kartı', 'derisi', 'ten', 'devre_kartı', 'fişli', 'ray_of_light', 'baskı_devre', 'supernatural', 'dış_görünüm', 'zar', 'kabuğu', 'psikiyatrik_hastane', 'skin', 'derma', 'blender', 'cildi', 'bdk_baskılı_devre_kartı', 'deri_hücresi', 'deri', 'eklenti', 'avustralya_aborijin_akrabalık', 'kutanöz', 'rkelly', 'akıl_hastanesi', 'r_kelly', 'cilt', 'robert_sylvester_kelly', 'plugin', 'deri_solunumu']
smart	akıllı	Match	['smart_metodu', 'zekâ', 'istihbarat', 'smart', 'istihbarat_teşkilatı', 'zeki', 'akıllıca', 'anlak', 'kendi_kendini_izleme_çözümleme_ve_raporlama_teknolojisi', 'arsiz', 'zeka', 'smarting', 'akıllı']
smiling	gülümser	Found close match: ['gülümseme', 'gülümseyiş', 'gülümseyen']	['gülümseyiş', 'gülümseyen', 'sırıtmak', 'güleç', 'tebessüm', 'gülücük', 'gülme', 'gülüş', 'mütebessim', 'sırıtma', 'gülümseme', 'gülümsemek']
solution	çözüm	Match	['hal', 'çözümü', 'sonuç', 'cevap', 'denklem_çözme', 'çözünen', 'solüsyon', 'denklemi_çözme', 'çözelti', 'solution', 'problem_çözme', 'sorun_çözme', 'çözüm', 'çözeltiler']
soul	ruhunda	Found close match: ['ruhu', 'ruh']	['rûhânî', 'ruhu', 'ruh', 'birisi', 'kimse', 'ölümlü', 'soulfulness', 'can', 'biri', 'soul_müzik', 'kişi', 'aiúa', 'bireysel', 'soul', 'hint_mistisizmi', 'birey', 'fani']
sound	ses	Match	['konuşma_ses', 'sesi', 'sağlıklı', 'ses_dalgası', 'işitsel_duyu', 'ses_en_çok_hangi_ortamda_yayılır', 'telefon', 'boğaz', 'tecnocumbia', 'ses_şiddeti', 'ses_nasıl_oluşur', 'sound', 'ses', 'sesin_oluşumu', 'sesler', 'akustik_dalga', 'ses_dalgaları']
spoke	konuşuyordu	Found close match: ['konuştu']	['konuşma_dili', 'sesli_iletişim', 'konuştuğum_iletişim', 'tekerlek_konuştu', 'konuşma_dili__yazı_dili', 'konuştu', 'konuşma_iletişim', 'konuşmacı', 'konuşma', 'sözlü_iletişim', 'rundle', 'konuşma_iletişimi', 'konuşulan_dil', 'ispit', 'dil', 'spoke']
star	yıldızı	Found close match: ['yıldızlı', 'yıldız', 'yıldızlar']	['assolist', '✱', 'gelişmiş_yıldız_topolojisi', 'yıldız_topoloji', 'yıldız_derecelendirmesi', 'estelle', 'mavin', 'uzman', 'ünlü', '5_yıldızlı_otel', 'ilean_almaguer', 'film_yıldızları', 'başrol_oyuncusu', '∗', 'yıldız_imi', 'televizyon_kişiliği', 'dört_yıldızlı_otel', 'usta', 'yıldız_sınıflandırma', 'kefal', 'yıldız_sınıflandırması', '2_yıldızlı_otel', '4_yıldızlı_otel', 'tar_dosya_formatı', 'yıldızlı', 'star_topolojisi', 'star_gazetesi', 'targz', 'yildiz', 'tar', 'yıldız_işareti', 'maven', 'yıldız_ağ', 'üç_yıldızlı_otel', 'yıldız_yarıçapı', 'air', 'vızıltı', 'beş_yıldızlı_otel', 'bir_yıldızlı_otel', '＊', 'star', 'popstar', 'film_yıldızı', 'xerox_star', 'ünlüler', 'mütehassıs', 'süperstar', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'steroidojenik_akut_düzenleyici_protein', 'yıldız_çokgen', 'hotshot', '3_yıldızlı_otel', 'yıldız_(star)_topolojisi', 'yıldız', 'star_gazete', 'yıldız_topolojisi', 'i̇ki_yıldızlı_otel', 'oynadığı', 'ünlü_kişi', '❃', 'deha', 'yıldızlar', '1_yıldızlı_otel', 'estelle_swaray', 'asterisk']
student	öğrenci	Match	['kitapçılık', 'âlim', 'üniversite_öğrencisi', 'william_sealy_gosset', 'kitapçılarda', 'öğrenciler', 'kitapçı', 'üniversiteli', 'educatee', 'bilgin', 'öğrenci', 'bilimsel_kişi']
stupid	beğenmiyorum	Incorrect	['salak', 'saçma', 'puding_kafa', 'fakir_balık', 'aptal', 'aptal_kişi', 'ravensymone', 'sıcak_kompres', 'pudden_kafa', 'aptal_salak_bön_ahmak_ahmaklar', 'aptallık', 'aptalca', 'ahmak']
successful	başarılı	Match	['successful', 'başarılı']
