ability	capacités	Found close match: ['capacité']	['adresse', 'habileté', 'capacité', 'faculté', 'intelligence', 'aptitude', 'habilité', 'pouvoir']
delivery	livraison	Match	['tenue_de_stock', 'gag', 'livraisons', 'lotus_birth', 'accouchement_parturition', 'tour', 'stockage_de_tôles', 'stockée', 'plaisanterie', 'offre', 'aliénables', 'plaisanter', 'discours', 'aliénation', 'transport', 'sauvetages', 'blagues', 'delivery', 'livraison_à_domicile', 'rupture_de_stock', 'moyen_de_transport', 'pas', 'badinage', 'fourniture', 'apportant', 'industrie_transport', 'stock', 'histoire_drôle', 'sauvetage', 'enfantement', 'stockage_de_plaques', 'blade', 'blade_the_series', 'importation', 'naissance', 'transport_de_voyageurs', 'infrastructures_de_transport', 'sauver', 'transfert_légal', 'accouchement_par_voie_vaginale', 'livraison', 'stockage_de_produits_longs', 'facétieux', 'accouchements', 'cornes', 'stock_de_bois', 'rupture_des_stocks', 'farce', 'difficulté_de_transport', 'un_accouchement', 'industrie_du_transport', 'laccouchement', 'rupture_de_stocks', 'maternité', 'aliénable', 'délivrance', 'distribution', 'gestion_des_stocks', 'accouchement', 'transports', 'badiner', 'blague', 'rire', 'misebas', 'parturition', 'lancer', 'façon_de_parler', 'calembredaine', 'gestion_de_stock']
dessert	desserts	Match	['dessert', 'desserts', 'vins_moelleux', 'afters', 'liquoreux', 'vin_de_dessert', 'vins_liquoreux', 'vins_de_dessert', 'vin_liquoreux']
device	accéléromètre	Incorrect	['communications_mobiles', 'système', 'device', 'dispositif', 'machine', 'équipements_informatiques', 'matériels_informatiques', 'matériel', 'manœuvre', 'équipement_informatique', 'portable', 'téléphones_cellulaires', 'natel', 'téléphones_portables', 'matériel_informatique', 'plateformes_informatiques', 'téléphone_cellulaire', 'telephone_mobile', 'mécanisme', 'périphérique', 'materiel_informatique', 'ficktelefon', '06', 'configsys', 'machines', 'hardwares', 'emblème', 'cellulaire', 'communication_cellulaire', 'téléphones_mobiles', 'devve', 'nicolai_reedtz', 'g', 'platesformes_informatiques', 'gsm', 'mobile', 'téléphone_portable', 'quincaille', 'appareil', 'telephone_portable', 'hardware', 'téléphone_mobile', 'biens_déquipement', 'communication_mobile', 'téléphone_sans_fil', 'cellule']
dig	fouiller	Found close match: ['fouille']	['simulacre', 'quolibet', 'peiner', 'dig', 'site_archéologique', 'domain_information_groper', 'appréhender', 'andré_pierre_jean_dignimont', 'retourner', 'remettre', 'andré_dignimont', 'entamer', 'poignarder', 'saisir', 'percée', 'moquerie', 'excaver', 'creuse', 'sépuiser_à_la_tâche', 'collective_soul', 'creuser', 'fouille', 'comprendre', 'creusement', 'excavation']
dinner	dîner	Match	['dîner', 'tasse_de_thé', 'tiffin', 'souper', 'repas_de_midi', 'repas_du_midi', 'repas_du_soir', 'thé', 'repas', 'le_dîner', 'diner', 'nos_enfants', 'i_nostri_ragazzi', 'déjeuner', 'goûter', 'almuerzo', 'dejeuner', 'thé_laprèsmidi', 'heure_du_thé', 'lheure_du_thé', 'dinner', 'herbata', 'lunch']
disease	maladie	Match	['pleurésie', 'problème_de_santé', 'begowal', 'conditions_médicales', 'malades', 'disease', 'malade', 'pathologie', 'affection_médicale', 'trouble_médical', 'malaise', 'morbidité', 'maladie', 'morbide', 'maladies', 'taux_de_morbidité', 'mal', 'pleuresie']
dissolve	dissoudre	Match	['dissolve', 'décongeler', 'fondre', 'dégeler', 'fondu_enchaîné', 'fondu', 'supprimer', 'se_dissoudre', 'dissoudre', 'fade_in', 'fondu_enchainé', 'fondu_enchaine']
disturb	troubler	Match	['préoccuper', 'toucher', 'gêner', 'troubler', 'débattre', 'perturber', 'déranger', 'émouvoir']
do	dois	Not found	[]
doctor	docteur	Match	['chirurgien_exploitation', 'rétablir', 'réparer', 'médecins', 'médecin', 'docteur', 'médecin_conventionné', 'thèse_doctorale', 'toubib', 'chirurgie', 'doctorat_supérieur', 'dr_who', 'secteur_à_honoraires_libres', 'hologramme_de_commandement_durgence', 'traiter', 'dame_du_temps', 'recherche_doctorale', 'spécialiste', 'le_docteur', 'doctor', 'doctorat_professionnel', 'le_dixième_docteur', 'docteur_holographique_de_secours', 'chirurgien', 'médecin_non_conventionné', 'premier_docteur', 'dépassement_dhonoraires', 'rude_boy', 'episode_spécial_de_noël', 'sixième_docteur', 'médecin_conventionné_de_secteur_1', 'doctoresse', 'hologramme_medical_durgence', 'onzième_docteur', 'falsifier', 'rude_boys', 'neuvième_docteur', 'dr', 'dc_who', 'médecin_degré', 'eliza', 'docteur_guerrier', 'chirurgien_chirurgienne', 'septième_docteur', 'médecin_conventionné_de_secteur_2', 'dixième_docteur', 'loïc_nottet', 'douzième_docteur', 'doctorat', 'docteur_de_l’eglise', 'doctorat_de_recherche', 'troisième_docteur', 'jouer_au_docteur', 'licence', 'hologramme_médical_durgence', 'praticiens_libéraux', 'ellis_park_stadium', 'phytothérapeutes', 'position_de_thèse', 'quatrième_docteur', 'treizième_docteur', 'chirurgienne', 'docteur_de_l’église', 'doctor_of_letters', 'cinquième_docteur', 'dépassement_dhonoraire', 'medecin', 'le_docteur_doctor_who', 'docteur_de_léglise', 'doctor_who', 'doctorats', 'docteurs_de_leglise', 'docteur_who', 'études_doctorales', 'chirurgiens', 'thèse_de_doctorat', 'huitième_docteur', 'docteur_de_leglise', 'rude_girls', 'deuxième_docteur', 'docteurs_de_léglise', 'le_médecin_de_famille']
dog	chien	Match	['landier', 'sepandar_kamvar', 'wienerwurst', 'colonel_odessa_cubbage', 'différence_de_gaussiennes', 'antonio_angelo_del_sambro', 'roquet', 'isaac_kleiner', 'père_grégori', 'canidés', 'chienne', 'firedog', 'clic', 'cliquer', 'familiaris', 'personnages_de_halflife_2', 'psychos_path', 'pere_gregori', 'franc', 'docteur_arne_magnusson', 'chienfer', 'achille', 'chien_domestique', 'chiennes', 'chenet', 'résistance', 'hotdogs', 'docteur_rosenberg', 'canis_familiaris_domesticus', 'cliquet', 'pister', 'cageot', 'chasser', 'chenêt', 'hot_dog', 'canis_familiaris', 'canis_canis', 'uriah', 'canaille', 'saucisse', 'talon', 'weenie', 'judith_mossman', 'poursuivre', 'famille_des_canidés', 'francfortois', 'roteux', 'cynoidea', 'dr_kleiner', 'suivre', 'gina_cross', 'vs_duck_hunt', 'viande_de_chien', 'saucisse_de_francfort', 'canidae', 'chien_chaud', 'quignon', 'duck_hunt', 'canin', 'femme_mal_habillée', 'canis_lupus_familiaris', 'le_chien_dans_la_mythologie_chinoise', 'cynophagie', 'dog', 'hotdog', 'petits_chiens', 'resistance', 'chiens', 'canidé', 'odessa_cubbage', 'richard_keller', 'détente', 'cave_johnson', 'chien', 'colette_green', 'personnages_de_halflife', 'francfort']
dressing	habiller	Found close match: ['habillé', 'habillement', 'habiliment']	['aqua_teen_hunger_force_saison_2', 'fertilisation', 'habillé', 'vetement', 'portable', 'vêtement', 'habits', 'meche', 'fringue', 'tenue_vestimentaire', 'habit', 'habiliment', 'bandage', 'mèche', 'pansement_médical', 'industrie_vêtement', 'article_de_lhabillement', 'tenue', 'sauce_à_salade', 'farce', 'fringues', 'nippe', 'pansement', 'habillement', 'dressing', 'vêtements', 'vinaigrette', 'pansements', 'fécondation']
driver	pilote	Match	['chasseneige', 'roues_accouplées', 'conductrice', 'camioneur', 'essieux_couplés', 'home', 'camionneurs', 'routier', 'massif_forestier', 'la_forêt', 'pilote', 'forêts', 'wälder', 'conduite_camion', 'chauffeur_de_maître', 'driver_you_are_the_wheelman', 'massifs_forestiers', 'bois', 'driver__san_francisco', 'driver_san_francisco', 'essieu_couplé', 'pilote_informatique', 'chauffeur_de_poidslourd', 'types_de_forets', 'chauffeur_de_camion', 'roues_couplées', 'pilote_de_périphérique', 'domaine_forestier', 'cowcatcher', 'conducteur_de_camion', 'roues_motrices', 'boisement', 'chauffeur', 'chauffeur_camion', 'roue_motrice', 'automobiliste', 'pilotes_de_périphériques', 'pilote_logiciel', 'zone_boisée', 'chassepierres', 'forêt', 'conducteur', 'boisée', 'chauffeuse', 'driver', 'milieux_forestiers', 'pilote_dimprimante', 'camionneuse', 'brousse', 'conducteur_routier', 'chauffeur_routier', 'foret', 'the_driver', 'les_bois', 'chauffeur_de_poids_lourds', 'boisé', 'trucker', 'fôret', 'forêts_de_conifères', 'camionneur', 'numéro_un_en_bois']
economy	économie	Match	['walden', 'léconomie_politique', 'économiquement', 'economie', 'économie_rurale', 'sciences_économiques', 'la_science_économique', 'vie_économique', 'bas_de_laine', 'économiques', 'science_économique', 'epargne', 'activités_économiques', 'épargnant', 'économique', 'économie_réelle', 'épargne_liquide', 'économies', 'éconocroques', 'taux_dépargne', 'épargne', 'economique', 'sciences_economiques', 'système_économique', 'régime_économique', 'sens_de_léconomie', 'économie', 'activité_économique', 'systeme_economique', 'economy', 'walden_ou_la_vie_dans_les_bois', 'économie_nationale', 'égonomie', 'economie_politique', 'économie_politique', 'systèmes_économiques']
election	élection	Match	['élection_directe', 'élection', 'élus', 'vote_populaire', 'réélection', 'arriviste', 'processus_electoral', 'traite_de_cooperation_sur_les_brevets', 'larriviste', 'traité_de_coopération_sur_les_brevets', 'élections', 'élections_indirectes', 'bref_délection', 'électoral', 'hak_se_wui', 'élu', 'démocratiquement_élu', 'processus_électoral', 'politique_électorale', 'election', 'scrutin', 'élections_directes', 'consultation_électorale', 'élections_libres']
electron	électron	Match	['electron', 'négatron', 'rayon_classique_de_lélectron', 'nuage_électronique', 'négaton', 'électrons', 'électron']
elegance	élégance	Match	['élégance_mathématique', 'beau', 'to_kalon', 'elégance', 'beauté_classique', 'élégance', 'élégant', 'beau_gosse', 'grâce', 'finesse', 'beaut', 'karlgeorg_hoefer', 'beauté', 'beauté_mathématique', 'beaute', 'beauté_de_la_femme', 'élégante']
emotion	émotion	Match	['beez', 'émotive', 'émotionnels', 'bandai_visual', 'émotion_humaine', 'emotion', 'émotion', 'television_rules_the_nation', 'émotions', 'maverick_sabre', 'beez_entertainment', 'ae_planning', 'émotionnel', 'émotionnelle', 'ému', 'psychologie_des_émotions', 'human_after_all', 'émouvoir', 'amoureuse']
emotionally	émotionnellement	Match	['émotive', 'émotion', 'émotionnels', 'émotion_humaine', 'émotions', 'emotion', 'émotionnel', 'émotionnelle', 'ému', 'psychologie_des_émotions', 'émotionnellement', 'émouvoir']
engine	moteur	Match	['moteur_logiciel', 'game_engine', 'machine', 'machine_locomotive', 'moteur_chemin_de_fer', 'locomobile', 'moteurs', 'moteur_3d', 'moteur', 'motor', 'moteur_de_jeux', 'ray_alder', 'engine', 'locomotives', 'motorisation', 'types_de_moteurs', 'loco', 'locomotive', 'moteurs_de_jeux', 'son_du_moteur', 'moteur_de_jeu', 'moteur_de_jeu_vidéo']
event	évènement	Match	['elizabeth_bachinsky', 'contrefactuelle', 'écouteur', 'auditrice', 'contrefactualité', 'événement_historique', 'événement', 'evénement', 'effet', 'conséquence', 'auditeur', 'appuyez_sur_une_touche', 'frappe', 'écouteuse', 'evenement', 'évènements_historiques', 'retombée', 'résultante', 'incidence', 'évènement', 'corollaire', 'cause', 'contrefactuel', 'contrafactualite', 'événements_historiques', 'contrafactuel', 'cas', 'gestion_des_événements', 'touche', 'résultat', 'gestionnaire_dévénements', 'contrafactualité', 'suite', 'suites']
experiment	expériences	Match	['experiment', 'the_experiment', 'experiment_georgia', 'essayer', 'expérience_scientifique', 'experimental', 'expérimental', 'sciences_expérimentales', 'expérience', 'recherche_expérimentale', 'expériences_scientifiques', 'experience_scientifique', 'méthodes_expérimentales', 'experimentation', 'analyse_experimentale', 'méthode_expérimentale', 'expérience_aléatoire', 'protocole_expérimental', 'methode_experimentale', 'expérimentation', 'microryza', 'science_expérimentale', 'analyse_expérimentale', 'expérience_cruciale', 'experience_aleatoire', 'expériences', 'protocole_dexpérimentation', 'expérimenter', 'groupe_expérimental', 'axperimentation']
extremely	extrêmement	Match	['fortement', 'admirablement', 'vachement', 'extrêmement', 'énormément', 'fort', 'supérieurement', 'particulièrement', 'hautement', 'super', 'haut']
feeling	sentiment	Match	['sentiment', 'sensation', 'sentimental', 'toucher', 'esprit', 'sens', 'rétroaction_tactile', 'tactile', 'foi', 'sentir', 'émotion', 'flaveur', 'système_somatosensoriel', 'notion', 'impression', 'effet', 'feeling', 'saveur', 'ton', 'sens_du_toucher', 'regard', 'idée', 'croyance', 'sensation_tactile', 'sentiments', 'opinion', 'avis', 'sentiment_intuitif']
fight	combat	Match	['conflit', 'pousser', 'défendre', 'combat_armé', 'engagement_militaire', 'militer', 'sefforcer', 'lutter', 'bagarre', 'brooke_candy', 'escarmouches', 'compétitivité_économique', 'sopposer', 'bataille', 'combat', 'batailler', 'frames', 'battre', 'guerroyer', 'combattre', 'lutte', 'entraînement_au_combat', 'se_battre', 'croisade', 'compétitivité', 'engagement', 'fight']
fish	poissons	Match	['fish', 'sh3pxd2a', 'derek_william_dick', 'pêcher', 'fluorescente_par_hybridation_in_situ', 'hybridation_in_situ_en_fluorescence', 'go_fish', 'poissons_comestibles', 'la_pêche', 'pêche', 'poisson', 'anatomie_des_poissons', 'poisson_comestible', 'alevins', 'fluorescence_double_hybridation_in_situ', 'angle', 'poissons_poissons', 'friendly_interactive_shell', 'civelles', 'pisces', 'pterygiophore', 'alevin', 'frai', 'hybridation_fluorescente_insitu', 'poissons_marins', 'glossaire_du_poker', 'hybridation_fluorescente_in_situ', 'pois', 'jasper_fish', 'pisciforme', 'piscicole', 'derek_dick', 'poissons', 'let_go', 'fluorescent_in_situ_hybridization', 'arête_de_poisson', 'ichtyofaune', 'william_derek_dick', 'poisson_table', 'rayons_mous', 'ichthyen', 'phish']
flow	écoulement	Match	['young_money', 'ymcmb', 'taux_decoulement', 'afflux', 'règles', 'menstruations', 'musique_rap', 'réseau', 'menstruation', 'rap', 'rapper', 'dynamique_fluide', 'couler', 'circuler', 'coulant', 'débit_massique', 'liquidité', 'physique_des_fluides', 'courant', 'mecanique_des_fluides', 'pression_hydraulique', 'affaires', 'rappeuse', 'ménorrhée', 'automne', 'actuel', 'débit', 'grail', 'débitvolume_linéique', 'flux', 'débit_volumique', 'mois', 'taux_découlement', 'young_money_entertainment', 'gravity_recovery_and_interior_laboratory', 'ultramarines', 'époques', 'florent_mothe', 'menstrues', 'écoulement', 'flow', 'mecaflu', 'catamenia', 'hydrodynamisme', 'rappeurs', 'emceeing', 'flot', 'réseau_découlement', 'rappeur', 'avoir_ses_règles', 'chemin_augmentant', 'mécanique_des_fluides', 'checker_t', 'ruisseau', 'hydrolique', 'menstruel', 'rythm_and_poetry', 'protorap', 'fluidifier', 'débit_volumétrique', 'flux_de_paquets', 'peura', 'hydrauliques', 'artiste_de_rap', 'ragnagnas', 'fluide_dynamicist', 'dynamique_des_fluides', 'mécaniques_des_fluides', 'son', 'dynamicist_fluide', 'tomber', 'debit', 'réseau_de_flot', 'découler', 'hydrodynamique', 'période', 'période_menstruelle', 'hydraulique']
food	nourriture	Match	['denrée', 'besoins_alimentaires', 'manger', 'nutriment', 'ressources_alimentaires', 'familier', 'storgitssjön', 'aliment', 'matière_à_penser', 'nutritif', 'produits_alimentaires', 'la_nourriture_solide', 'macronutriment', 'micronutriment', 'aéroport_de_moanda', 'alimentaire', 'nourrir', 'besoin_alimentaire', 'zico_chain', 'pâtée', 'denrée_alimentaire', 'nutriments', 'aliments', 'food', 'nourriture', 'nourriture_intellectuelle', 'denrées_alimentaires', 'bouffe', 'macronutriments', 'ressource_alimentaire', 'produit_alimentaire', 'matière_à_réflexion', 'kirby', 'alimentation']
garbage	poubelles	Found close match: ['poubelle']	['déchets_ménagers_et_assimilés', 'déchet', 'déchets_solides_municipaux', 'refuser', 'ordures_ménagères', 'ordure_ménagère_résiduelle', 'ferraille', 'refus', 'ordures_menageres', 'déchets', 'déchets_solides', 'déchet_domestique', 'gaspiller_la_matière', 'poubelle', 'ordure_ménagère_et_assimilée', 'lutte_contre_le_gaspillage_alimentaire', 'detritus', 'gaspillage_alimentaire', 'déchets_de_métaux_ferreux', 'ordures_ménagères_et_assimilées', 'déchet_demballage', 'withering_to_death', 'les_déchets_alimentaires', 'débris', 'déchets_alimentaires', 'déchets_ménagers', 'restes', 'ordure_ménagère', 'déchets_municipaux', 'déchet_métallique', 'ordures_ménagères_résiduelles', 'déchet_ménager_et_assimilé', 'ordures', 'ordure', 'récupération_de_ferraille', 'déchet_assimilé', 'dechet', 'déchet_de_cuisine', 'garbage', 'déchets_assimilés', 'détritus', 'déchet_ménager']
gold	or	Match	['traffic_gold', 'disque_de_certification', 'préalpha', 'numéro_atomique_79', 'globalscale_observations_of_the_limb_and_disk', 'version_release_candidate', 'doré', 'medaille_dor', 'abba_gold__greatest_hits', 'abba_gold_greatest_hits', 'version', 'logiciel_bêta', 'jaune_dor', 'the_island_years', 'cold_fall', 'couleur_dambre', '7440575', 'discographie_de_new_edition', 'certification_platine', 'music_recording_sales_certification', 'randgold_resources', 'sonicflood', 'prix_de_lor', 'e175', 'anthology', 'or', 'disque_dor', 'disque_de_diamant', 'double_dvd_de_diamant', 'médailles_dor', 'bêtatesteur', 'gold', 'moonlighting_the_anthology', 'come_sail_away__the_styx_anthology', 'quadruple_disque_de_platine', 'bêta_ouverte', 'disque_dargent', 'phase_de_développement', 'wanna·one', 'multiplatine', 'alpha_logiciels', 'platine', '79', 'médaille_dor', 'mais_le_docteur_est_dor', 'bombs_away_dream_babies', 'cold', 'version_préliminaire_ctp', 'or_natif', 'double_disque_de_platine', 'version_finalisée', 'ambre', 'young_lust_the_aerosmith_anthology', 'industrie_aurifère', 'aurum', 'sir_sly', 'disque_d’argent', 'bêtatest', '(4955)_gold', 'version_alpha', 'médaille_dor_olympique', 'au', 'gabriel_rios', 'or_jaune', 'pesant_dor', 'double_disque_dor', 'aurifère', 'cycle_de_développement_d’un_logiciel', 'froot', 'release_candidate', 'bobby_brown', 'alpha_test', 'shooting_star', 'version_bêta_publique', 'triple_disque_de_platine', 'e_175', 'sandhja', 'marché_de_lor', 'version_du_logiciel', 'dvd_de_diamant', 'cycle_de_vie_du_logiciel', 'or_filonien', 'disque_de_platine', 'the_essential_lynyrd_skynyrd', 'cycle_de_vie_du_logiciel_version', 'bêta_fermée', 'version_dun_logiciel', 'wanna_one', 'disque_d’or', 'cream_gold', 'gold_ep', 'the_heist', 'version_bêta', 'dvd_de_platine', 'disques_dor', 'certification_dor', 'certifié_disque_dor', 'or_rose', 'disques_de_certifications', 'ambre_jaune', 'gabriel_ríos']
great	grande	Match	['supérieur', 'gros', 'très_bien', 'grand', 'enceinte', 'capitale', 'grande', 'formidable', 'chouette', 'rxfp2', 'fin', 'génial', 'great', 'pas_mal', 'sensass', 'bath', 'super', 'gravide', 'illustriousness', 'chic', 'majuscule', 'grandeur', 'éminent', 'épatant']
gun	mitrailleuse	Found close match: ['torpille']	['artillerie', 'champignon', 'district', 'arme_de_projectile', 'fusil', 'armes_à_feu', 'districts_du_japon', 'torpille', 'disticts_du_japon', 'cowboys', 'arme_de_petit_calibre', 'petit_calibre', 'pédale_daccélérateur', 'hitman', 'tueur_à_gages', 'canon', 'la_pédale_daccélérateur', 'gunfighting', 'arme', 'petit_bras', 'conventional_weapons', 'revolver', 'gun', 'feu', 'gun_for_hire', 'armes_légères', 'arme_a_feu', 'arme_légère', 'as_de_la_gachette', 'pistolero', 'part', 'princesse_gun', 'petitbras', 'pistolet', 'pompe_à_graisse', 'mercenaire', 'pédale_daccélération', 'armement_léger', 'munition', 'gaz', 'tireur', 'gunshu', 'as_de_la_gâchette', 'louder_than_love', 'arme_à_feu', 'flingueur', 'district_du_japon', 'arme_lourde', 'sicaire', 'accélérateur']
hair	cheveux	Match	['poil', 'deux_doigts', 'pilus', 'étoffe_de_crin', 'hair', 'cheveux', 'crin', 'pelage', 'poilu', 'tête', 'chevelure', 'cheveu', 'coiffure', 'cheveux_humains', 'tige_pilaire', 'poils', 'let_the_sunshine', 'duvet', 'bourre', 'tif']
help	aider	Match	['participer', 'servir', 'faciliter', 'the_help', 'organisations_humanitaires', 'relief', 'travailleur_humanitaire', 'profiter', 'soutien_humanitaire', 'aide', 'entraide', 'coopérant', 'association_humanitaire', 'se_servir', 'aide_humanitaire', 'humanitaire', 'saison_5_des_experts__manhattan', 'voyage_humanitaire', 'convois_humanitaires', 'assistance_humanitaire', 'la_couleur_des_sentiments', 'humanitarisme', 'travaux_de_secours', 'fichier_daide', 'aide_internationale', 'cassie_newton', 'assister', 'aides_en_ligne', 'assistant', 'ministration', 'commande_help', 'organisation_humanitaire', 'adjoint', 'assistance', 'auxiliaire', 'associations_humanitaires', 'action_caritative', 'aide_contextuelle', 'empêcher', 'secours', 'aidez', 'actions_humanitaires', 'action_humanitaire', 'la_prédiction', 'couleur_des_sentiments', 'travailleurs_humanitaires', 'convoi_humanitaire', 'aider', 'help', 'aide_en_ligne', 'secourir', 'soigner']
hurting	dégoûte	Incorrect	['douleur', 'douleur_neurogène', 'blesser', 'sensation_douloureuse', 'evr', 'sensation_de_douleur', 'douleur_chronique', 'douleur_aiguë', 'douleur_neuropathique', 'douloureux', 'peine', 'hyperalgésie', 'indolore', 'douleurs_chroniques', 'mal', 'hurting']
ignorance	ignorance	Match	['ignard', 'avidyā', 'avijjā', 'méconnaissance', 'avijja', 'avidya', 'ignare', 'lignorance', 'ignorance']
illness	maladie	Match	['problème_de_santé', 'conditions_médicales', 'malêtre', 'malades', 'malade', 'pathologie', 'affection_médicale', 'trouble_médical', 'malaise', 'maladie', 'morbide', 'maladies', 'morbidité', 'mal', 'taux_de_morbidité']
impress	impressionner	Match	['affecter', 'gangs_de_presse', 'deviner', 'imprimer', 'shangaïer', 'impressionne', 'impressionner', 'rétorquer', 'remuer', 'enrôlement', 'réquisition', 'instiller', 'épater', 'pressegang', 'presse', 'imaginer']
invention	invention	Match	['inventions', 'innover', 'innovant', 'innovante', 'conception', 'innovations', 'inventé', 'innovation_technologique', 'inventer', 'invention', 'inventeurs', 'innovateurs', 'discographie_de_phil_keaggy', 'innovation']
investigation	enquête	Match	['méthodes_de_recherche', 'recherche_scientifique', 'recherche_publique', 'recherche', 'canal_dinvestigation', 'investigation', 'recherche_universitaire', 'chercheurs', 'enquête', 'recherches_originales', 'recherche_privée', 'milieu_scientifique', 'recherche_académique']
invisible	invisible	Match	['invisibles', 'dside', 'holy_diver', 'discret', 'invisible', 'heavy_love', 'floored', 'world_of_noise', 'elevate', 'taylor_swift', 'measure_of_a_man', 'sound_of_white_noise', 'dream_evil', 'invisibilité', 'invisibilite', 'falling_uphill', 'evilized', 'everything_changes']
job	embaucher	Not found	[]
jungle	jungle	Match	['tash_sultana', 'body_and_the_sun', 'jungles', 'forêt_tropicale', 'forêt_vierge', 'discographie_de_pitbull', 'bakufu_slump', 'if_youre_reading_this_its_too_late', 'jungle_entertainment', 'shine_a_little_love', 'jungleboys', 'out_of_the_blue', 'jungle_music', 'midnight_machine_gun_rhymes_and_alibis', 'the_jungle', 'camp_hobo', 'jungle', 'the_bravehearts', 'jeu_du_combat_des_animaux', 'brousse', 'bravehearts', 'circus_in_the_sky', 'jungle_oldschool', 'my_head_is_a_jungle']
kindness	compassion	Incorrect	['forgivingness', 'amabilité', 'kindness', 'gentillesse', 'bonté']
king	roi	Match	['sm_le_roi', 'cadre_supérieur', 'baron_du_bois', 'rex', 'megaman__bass', 'le_roi', '♚', 'pouvoir_royal', 'droit_héréditaire', 'riley_b_king', 'bbking', 'reverend_horton_heat', 'billie_jean_moffitt_king', 'magnats', 'pet_rescue_saga', 'businessman', 'dame', 'grand_homme_daffaires', 'homme_daffaires', 'rockman__forte', 'magnat', 'pouvoir', 'billie_jean_king', 'bb_king', 'reine', 'le_roi_cest_moi', 'martin_luther_king', 'billy_jean_moffitt', 'régicratie', 'chef_dentreprise', 'george_king', 'magnat_du_transport_maritime', 'monarques', 'monarque', 'mega_man__bass', 'tycoon', 'b_b_king', 'billie_jean_moffitt_roi', 'baron', 'monarque_mâle', 'royauté', 'kingcom', 'charles_bird_king', 'megaman_and_bass', 'martin_luther_king_jr', 'billie_jean_moffitt', 'régnante', 'jessica_king', 'championne_du_monde', 'king_810', 'memoirs_of_a_murderer', 'tom_cato_visnes', 'regnant', 'industriel', 'industriels', 'magnat_des_affaires', 'king_ov_hell', 'souverain', 'king', 'riley_king', '♔', 'monarchies', 'monarchique', 'tête_couronnée', 'mega_man_and_bass', 'monarchie', 'monarchie_héréditaire', 'monarchiques', 'roi']
lady	dame	Match	['george_allen', 'sainte_vierge', 'marie_mère_de_dieu', 'titre_de_civilité', 'titre', 'prédicat_nobiliaire', 'mme', 'dames', 'noble', 'sainte_marie_mère_de_dieu', 'prédicat', 'sa_vie', 'dans_la_lumière', 'madame', 'vierge_marie', 'forme_dadresse', 'marie', 'sainte_marie', 'la_vierge', 'lady', 'mère_de_la_grâce', 'personnages_de_devil_may_cry', 'la_belle_et_le_clochard', 'gospa', 'vergil', 'viergemarie', 'marie_stuart', 'mère_de_la_divine_grâce', 'mater_gratiae', 'trish', 'sparda', 'nero', 'saintevierge', 'marie_de_nazareth', 'mère_du_sauveur', 'virgo_maria', 'notre_dame', 'marie_mère_de_jésus', 'damoche', 'titre_de_respect', 'titres_et_prédicats', 'mère_du_christ', 'style', 'the_lady', 'pairesse', 'ljady', 'lady_and_the_tramp', 'dame', 'titres', 'vierge', 'marie_immaculée']
land	terres	Match	['entité_territoriale_administrative_du_mexique', 'pouvoir_séculier', 'bienfonds', 'land_allemand', 'gouvernementales', 'propriété', 'pouvoirs_publics', 'etat_souverain', 'propriété_immobilière', 'peuple', 'droits_fonciers', 'règne', 'rive', 'biens_fonciers', 'contrée', 'soumettre', 'mener', 'létat', 'terres', 'débarquer', 'appareil_détat', 'nation', 'amener', 'droit_immobilier', 'aboutir', 'marché_de_limmobilier', 'puissance', 'droit_foncier', 'atterrir', 'apporter', 'terre_ferme', 'états_souverains', 'propriété_foncière', 'marché_immobilier', 'national', 'land_de_lallemagne', 'agriculture', 'edwin_herbert_land', 'länder_allemand', 'état_mexicain', 'länder_de_l’allemagne', 'sphère', 'terre', 'sol', 'état_fédéré_de_lallemagne', 'soulever', 'land', 'remettre', 'éleveur', 'adapter', 'propriétaire_foncier', 'exercer', 'état_fédéré_dallemagne', 'limmobilier', 'propriété_terrienne', 'domaine_rural', 'la_terre_ferme', 'se_poser', 'domaine', 'états', 'état_fédéré_allemand', 'provoquer', 'immobilier', 'terrir', 'engendrer', 'masse_terrestre', 'res_publica', 'théorie_déclarative_de_letat', 'sixology', 'marche_immobilier', 'pouvoir_public', 'bundesländer', 'aligner', 'état', 'susciter', 'biens_immobiliers', 'état_moderne', 'états_mexicains', 'patrimoine_immobilier', 'propriétaire_terrien', 'pays', 'bien_immobilier', 'immeuble', 'lander_de_lallemagne', 'edwin_land', 'assolir', 'état_souverain', 'länder_de_lallemagne', 'états_allemands', 'domaine_féodal', 'propriétaire_foncière', 'bundesland', 'maitrise_foncière', 'déposer', 'etat', 'attirer', 'société_politique', 'länder_dallemagne', 'pastille', 'terrain', 'terra_firma', 'liste_des_länder_dallemagne_par_densité_population_et_superficie', 'corps_politique', 'acres', 'mettre', 'din_terre', 'domaine_privé', 'hectares', 'administration_détat', 'länder_allemands', 'land_dallemagne', 'territoire', 'poser', 'fonds', 'états_de_lallemagne', 'royaume', 'nations', 'regrouper', 'edwin_h_land', 'arriver', 'parvenir', 'états_fédérés_allemands', 'état_indépendant', 'état_allemand', 'secteur_de_limmobilier']
